num,start,end,script
2,00:00:34.743,00:00:37.913,"['of', 'a', 'legendary', 'warrior...']"
3,00:00:37.955,00:00:41.583,"['...whose', 'kung', 'fu', 'skills']"
4,00:00:37.955,00:00:41.583,"['were', 'the', 'stuff', 'of', 'legend.']"
5,00:00:41.625,00:00:47.548,"['He', 'traveled', 'the', 'land']"
6,00:00:41.625,00:00:47.548,"['in', 'search', 'of', 'worthy', 'foes.']"
10,00:00:57.265,00:01:02.312,"['I', 'see', 'you', 'like', 'to', 'chew.', 'Maybe']"
11,00:00:57.265,00:01:02.312,"['you', 'should', 'chew', 'on', 'my', 'fist!']"
12,00:01:02.354,00:01:06.400,"['The', 'warrior', 'said', 'nothing,']"
13,00:01:02.354,00:01:06.400,"['for', 'his', 'mouth', 'was', 'full.']"
14,00:01:06.441,00:01:09.945,"['Then', 'he', 'swallowed.']"
15,00:01:06.441,00:01:09.945,"['And', 'then', 'he', 'spoke.']"
16,00:01:09.987,00:01:12.155,"['Enough', 'talk.']"
17,00:01:09.987,00:01:12.155,"[""Let's"", 'fight!']"
18,00:01:12.197,00:01:13.824,['Shashabooey!']
19,00:01:16.577,00:01:18.412,"['He', 'was', 'so', 'deadly,', 'in', 'fact,']"
20,00:01:18.453,00:01:20.706,"['that', 'his', 'enemies', 'would']"
21,00:01:18.453,00:01:20.706,"['go', 'blind', 'from', 'overexposure']"
22,00:01:20.748,00:01:22.082,"['to', 'pure', 'awesomeness.']"
23,00:01:22.123,00:01:24.626,"['-', 'My', 'eyes!']"
24,00:01:22.123,00:01:24.626,"['-', ""He's"", 'too', 'awesome!']"
25,00:01:24.668,00:01:27.379,"['-', 'And', 'attractive.']"
26,00:01:24.668,00:01:27.379,"['-', 'How', 'can', 'we', 'repay', 'you?']"
27,00:01:27.421,00:01:30.465,"['There', 'is', 'no', 'charge']"
28,00:01:27.421,00:01:30.465,"['for', 'awesomeness.']"
29,00:01:30.507,00:01:33.218,"['-', 'Or', 'attractiveness.']"
31,00:01:33.260,00:01:35.054,['Kablooey!']
33,00:01:35.094,00:01:37.138,"['how', 'many', 'foes', 'he', 'faced.']"
34,00:01:37.180,00:01:40.517,"['They', 'were', 'no', 'match']"
35,00:01:37.180,00:01:40.517,"['for', 'his', 'bodacity!']"
36,00:01:49.359,00:01:50.778,['Yah!']
37,00:01:52.738,00:01:57.910,"['Never', 'before', 'had', 'a', 'panda']"
38,00:01:52.738,00:01:57.910,"['been', 'so', 'feared!', 'And', 'so', 'loved.']"
39,00:01:57.952,00:02:01.038,"['Even', 'the', 'most', 'heroic', 'heroes']"
40,00:01:57.952,00:02:01.038,"['in', 'all', 'of', 'China,']"
41,00:02:01.080,00:02:03.415,"['the', 'Furious', 'Five,']"
42,00:02:03.457,00:02:06.501,"['bowed', 'in', 'respect']"
43,00:02:03.457,00:02:06.501,"['to', 'this', 'great', 'master.']"
44,00:02:06.543,00:02:09.588,"['-', 'We', 'should', 'hang', 'out.']"
45,00:02:06.543,00:02:09.588,"['-', 'Agreed.']"
48,00:02:12.215,00:02:14.676,"['would', 'have', 'to', 'wait.']"
49,00:02:14.718,00:02:18.889,"['Because', 'when', ""you're"", 'facing']"
50,00:02:14.718,00:02:18.889,"['the', '10,000', 'demons']"
51,00:02:14.718,00:02:18.889,"['of', 'Demon', 'Mountain,']"
52,00:02:18.931,00:02:22.142,"[""there's"", 'only', 'one', 'thing']"
53,00:02:18.931,00:02:22.142,"['that', 'matters', 'and', ""that's...""]"
54,00:02:22.183,00:02:23.852,"['Po!', 'Get', 'up!']"
55,00:02:23.894,00:02:25.646,"[""You'll"", 'be', 'late', 'for', 'work!']"
56,00:02:25.687,00:02:27.522,['What?']
60,00:02:33.403,00:02:35.864,"['Po!', 'Get', 'up!']"
64,00:02:50.963,00:02:54.091,"['you', 'doing', 'up', 'there?']"
65,00:02:54.133,00:02:55.759,"['Uh...', 'nothing.']"
68,00:02:59.304,00:03:03.017,"['Monkey!', 'Mantis!']"
69,00:02:59.304,00:03:03.017,"['Crane!', 'Viper!', 'Tigress!']"
71,00:03:04.351,00:03:06.478,['Uh...']
73,00:03:09.648,00:03:12.943,"[""You're"", 'late', 'for', 'work.']"
74,00:03:12.985,00:03:14.486,['Coming!']
77,00:03:24.412,00:03:28.834,"['-', 'Sorry,', 'Dad.']"
78,00:03:24.412,00:03:28.834,"['-', 'Sorry', ""doesn't""]"
79,00:03:24.412,00:03:28.834,"['make', 'the', 'noodles.']"
80,00:03:28.876,00:03:31.210,"['What', 'were', 'you', 'doing', 'up', 'there?']"
81,00:03:28.876,00:03:31.210,"['All', 'that', 'noise.']"
82,00:03:31.252,00:03:33.714,"['Oh.', 'Nothing.']"
83,00:03:31.252,00:03:33.714,"['I', 'just', 'had', 'a', 'crazy', 'dream.']"
84,00:03:33.755,00:03:35.090,"['-', 'About', 'what?']"
85,00:03:33.755,00:03:35.090,"['-', 'Huh?']"
86,00:03:35.132,00:03:36.717,"['What', 'were', 'you', 'dreaming', 'about?']"
87,00:03:36.758,00:03:39.178,"['What', 'was', 'I...?', 'Uh...']"
88,00:03:39.219,00:03:41.346,"['I', 'was', 'dreaming', 'about...']"
89,00:03:41.805,00:03:42.973,['...uh...']
90,00:03:43.015,00:03:45.809,"['-', '...noodles.']"
91,00:03:43.015,00:03:45.809,"['-', 'Noodles?']"
92,00:03:45.851,00:03:48.187,"['You', 'were', 'really']"
93,00:03:45.851,00:03:48.187,"['dreaming', 'about', 'noodles?']"
94,00:03:48.228,00:03:50.939,"['Uh...', 'yeah.', 'What', 'else']"
95,00:03:48.228,00:03:50.939,"['would', 'I', 'be', 'dreaming', 'about?']"
96,00:03:50.981,00:03:53.525,"['Oh!', 'Careful!']"
97,00:03:50.981,00:03:53.525,"['That', 'soup', 'is', 'sharp.']"
98,00:03:53.567,00:03:59.322,"['Oh,', 'happy', 'day!', 'My', 'son,', 'finally']"
99,00:03:53.567,00:03:59.322,"['having', 'the', 'noodle', 'dream!']"
100,00:03:59.364,00:04:04.369,"['You', ""don't"", 'know', 'how', 'long', ""I've""]"
101,00:03:59.364,00:04:04.369,"['been', 'waiting', 'for', 'this', 'moment.']"
102,00:04:04.411,00:04:08.082,"['-', 'This', 'is', 'a', 'sign,', 'Po.']"
103,00:04:04.411,00:04:08.082,"['-', 'A', 'sign', 'of', 'what?']"
104,00:04:08.123,00:04:11.168,"['You', 'are', 'almost', 'ready']"
105,00:04:08.123,00:04:11.168,"['to', 'be', 'entrusted']"
106,00:04:11.210,00:04:15.296,"['with', 'the', 'secret', 'ingredient']"
107,00:04:11.210,00:04:15.296,"['of', 'my', 'Secret', 'Ingredient', 'Soup.']"
108,00:04:15.338,00:04:17.966,"['And', 'then', 'you', 'will']"
109,00:04:15.338,00:04:17.966,"['fulfill', 'your', 'destiny']"
110,00:04:18.008,00:04:20.427,"['and', 'take', 'over']"
111,00:04:18.008,00:04:20.427,"['the', 'restaurant!']"
112,00:04:20.468,00:04:22.179,"['Just', 'as', 'I', 'took', 'it', 'over']"
113,00:04:20.468,00:04:22.179,"['from', 'my', 'father,']"
114,00:04:22.221,00:04:24.181,"['who', 'took', 'it', 'over']"
115,00:04:22.221,00:04:24.181,"['from', 'his', 'father...']"
116,00:04:24.223,00:04:26.808,"['...who', 'won', 'it']"
117,00:04:24.223,00:04:26.808,"['from', 'a', 'friend', 'in', 'mahjong.']"
118,00:04:26.850,00:04:31.730,"['-', 'Dad,', 'Dad,', 'Dad,']"
119,00:04:26.850,00:04:31.730,"['it', 'was', 'just', 'a', 'dream.']"
120,00:04:26.850,00:04:31.730,"['-', 'No,', 'it', 'was', 'the', 'dream.']"
121,00:04:31.772,00:04:35.483,"['We', 'are', 'noodle', 'folk.']"
122,00:04:31.772,00:04:35.483,"['Broth', 'runs', 'through', 'our', 'veins.']"
123,00:04:35.525,00:04:39.487,"['But,', 'Dad,', ""didn't"", 'you', 'ever']"
124,00:04:35.525,00:04:39.487,"['want', 'to', 'do', 'something', 'else?']"
125,00:04:39.529,00:04:41.489,"['Something', 'besides', 'noodles?']"
126,00:04:41.531,00:04:44.409,"['Actually,', 'when', 'I', 'was']"
127,00:04:41.531,00:04:44.409,"['young', 'and', 'crazy,']"
128,00:04:44.451,00:04:48.622,"['I', 'thought', 'about', 'running', 'away']"
129,00:04:44.451,00:04:48.622,"['and', 'learning', 'how', 'to', 'make', 'tofu.']"
130,00:04:48.663,00:04:49.831,"['So', 'why', ""didn't"", 'you?']"
131,00:04:49.873,00:04:51.792,"['Because', 'it', 'was', 'a', 'stupid', 'dream.']"
132,00:04:51.833,00:04:55.170,"['Can', 'you', 'imagine']"
133,00:04:51.833,00:04:55.170,"['me', 'making', 'tofu?']"
135,00:04:58.423,00:05:01.843,"['No!', 'We', 'all', 'have']"
136,00:04:58.423,00:05:01.843,"['our', 'place', 'in', 'this', 'world.']"
137,00:05:01.885,00:05:04.471,"['Mine', 'is', 'here,']"
138,00:05:01.885,00:05:04.471,"['and', 'yours', 'is...']"
139,00:05:04.512,00:05:05.847,"['I', 'know,', 'is', 'here.']"
140,00:05:05.889,00:05:09.017,"['No,', ""it's"", 'at', 'tables']"
141,00:05:05.889,00:05:09.017,"['2,', '5,', '7,', 'and', '12']"
142,00:05:09.059,00:05:11.103,"['Service', 'with', 'a', 'smile.']"
146,00:05:40.339,00:05:44.761,"['Well', 'done,', 'students...', 'if', 'you']"
147,00:05:40.339,00:05:44.761,"['were', 'trying', 'to', 'disappoint', 'me.']"
148,00:05:44.803,00:05:48.015,"['Tigress,', 'you', 'need', 'more', 'ferocity!']"
149,00:05:44.803,00:05:48.015,"['Monkey,', 'greater', 'speed.']"
150,00:05:48.056,00:05:50.809,"['Crane,', 'height.']"
151,00:05:48.056,00:05:50.809,"['Viper,', 'subtlety.', 'Mantis...']"
