start,end,script
00:00:19.854,00:00:26.819,"Long ago, in ancient China, the Peacocks ruled over Gongmen City."
00:00:26.944,00:00:34.451,"They brought great joy and prosperity to the city, for they had invented fireworks."
00:00:37.997,00:00:44.670,"But their son, Lord Shen, saw darker power in the fireworks."
00:00:44.795,00:00:52.636,"What had brought color and joy, could also bring darkness and destruction."
00:00:52.761,00:00:56.515,Shen's troubled parents consulted a soothsayer.
00:00:56.640,00:01:07.609,She foretold that if Shen continued down this dark path he would be defeated by a warrior of black and white.
00:01:07.735,00:01:11.947,The young lord set out to change his fate.
00:01:12.072,00:01:14.241,But what he did next...
00:01:14.366,00:01:17.619,...only sealed it.
00:01:21.206,00:01:25.627,"Shen returned to his parents, full of pride."
00:01:25.753,00:01:30.424,"But in their faces, he saw only horror."
00:01:31.800,00:01:34.887,He was banished from the city forever.
00:01:35.012,00:01:38.223,But Shen swore revenge.
00:01:38.348,00:01:45.439,"Someday he would return, and all of China would bow at his feet."
00:02:16.470,00:02:21.100,"It's almost done, Lord Shen, but we've run out of metal."
00:02:21.224,00:02:25.562,Search the farthest villages!
00:02:25.687,00:02:27.982,China will be mine.
00:02:37.825,00:02:41.161,And then the Dragon Warrior joined the Furious Five!
00:02:41.286,00:02:44.331,And they became the most awesomest kung fu team ever!
00:02:44.456,00:02:45.833,Enough talk. Let's fight!
00:02:45.958,00:02:47.334,- Yah!
00:02:47.459,00:02:48.877,"Listen, listen."
00:02:49.003,00:02:50.629,You can hear the Dragon Warrior training right now!
00:02:53.007,00:02:54.675,- It's too dangerous!
00:02:54.800,00:02:58.345,- Stay focused!
00:02:58.470,00:03:00.722,How is he doing that with his face?
00:03:07.479,00:03:09.982,Yes! New record!
00:03:10.107,00:03:12.860,- Keep going! Hit 40!
00:03:12.985,00:03:14.862,we'll get to 40!
00:03:14.987,00:03:16.071,Do it.
00:03:16.195,00:03:18.197,No problem!
00:03:18.323,00:03:19.867,Yeah!
00:03:20.742,00:03:22.410,Yeah!!
00:03:25.706,00:03:27.332,- Yeah!
00:03:27.457,00:03:29.543,- Yes!
00:03:29.668,00:03:31.252,"Well done, Po!"
00:03:31.378,00:03:33.588,- Your training has paid off.
00:03:33.714,00:03:35.674,"- Oh, Master Shifu!"
00:03:35.799,00:03:38.218,- Gotta go. See you later!
00:03:38.343,00:03:40.554,"You'll save those for me, right?"
00:04:00.741,00:04:02.159,Inner peace.
00:04:04.661,00:04:07.706,- Inner peace.
00:04:13.212,00:04:15.422,Master Shifu.
00:04:15.547,00:04:17.632,"Master Shifu, what do we got?"
00:04:17.758,00:04:20.468,Pirates?
00:04:20.594,00:04:24.890,"Whatever it is, I will take them down, 'cause I am in a mood."
00:04:25.015,00:04:28.309,"I need to get something done, you know what I mean?"
00:04:28.435,00:04:30.311,"Uh, what are you doing?"
00:04:30.437,00:04:34.691,One of Master Oogway's final teachings.
00:05:06.598,00:05:08.976,How did you do that?
00:05:09.101,00:05:10.978,Inner peace.
00:05:11.103,00:05:14.355,Inner piece. That's cool.
00:05:14.481,00:05:16.108,Inner piece of what?
00:05:16.233,00:05:17.943,It is the next phase of your training.
00:05:18.068,00:05:24.574,Every master must find his path to inner peace.
00:05:24.699,00:05:29.163,Some choose to meditate for 50 years in a cave just like this...
00:05:30.580,00:05:33.500,...without the slightest taste of food or water.
00:05:35.335,00:05:36.920,Or?
00:05:37.045,00:05:40.174,Some find it through pain and suffering as I did.
00:05:40.299,00:05:45.637,"Po, the day you were chosen as Dragon Warrior was the worst day of my life."
00:05:45.762,00:05:47.181,By far.
00:05:47.306,00:05:48.807,Nothing else came close.
00:05:48.932,00:05:53.603,"It was the worst, most painful, mind-destroying, horrible moment..."
00:05:53.728,00:05:56.481,- OK.
00:06:00.277,00:06:10.162,"But once I realized the problem was not you, but within me, I found inner peace, and was able to harness the flow of the universe."
00:06:10.287,00:06:12.789,So that's it?
