word,counts
can,46
just,42
go,38
here,36
know,32
panda,31
so,28
son,28
will,27
gon,26
now,25
how,23
could,21
come,20
teach,20
back,20
more,19
chi,19
let,19
there,18
got,17
take,16
ca,15
good,15
why,14
look,14
only,14
master,14
right,14
wait,13
mean,13
little,13
time,13
guys,13
never,13
going,12
doing,12
years,12
ready,12
stop,11
really,11
faster,10
one,10
too,10
think,10
even,10
then,10
where,10
oogway,10
would,10
pandas,10
try,10
learn,9
run,9
find,9
again,9
see,9
all,9
ever,9
thought,9
village,9
should,8
say,8
of,8
very,8
tell,8
power,8
turn,8
finally,8
course,8
show,8
chat,8
still,7
day,7
enough,7
must,7
battle,7
father,7
secret,7
cool,7
when,7
said,7
heard,7
universe,7
keep,6
green,6
work,6
lost,6
always,6
world,6
left,6
life,6
help,6
long,6
thank,6
entrance,6
away,6
dumpling,6
sorry,6
eating,6
true,6
brother,6
message,6
much,6
saw,6
thing,6
teaching,6
dramatic,6
save,5
same,5
able,5
roll,5
fit,5
hold,5
huh,5
kind,5
friend,5
fly,5
love,5
first,5
dance,5
make,5
coming,5
name,5
need,5
noodles,5
dumplings,5
seen,5
high,5
baby,5
side,5
sweet,5
army,5
beautiful,5
best,5
bad,5
worried,5
wrong,5
talking,5
found,4
mortal,4
supposed,4
okay,4
made,4
peace,4
awesome,4
sure,4
training,4
looking,4
taken,4
bring,4
whole,4
great,4
wings,4
done,4
taking,4
stuff,4
better,4
tired,4
believe,4
home,4
hug,4
ago,4
hat,4
class,4
in,4
soon,4
maybe,4
wo,4
means,3
final,3
bath,3
makes,3
took,3
finish,3
fire,3
fight,3
told,3
feel,3
may,3
mastered,3
seriously,3
used,3
lunch,3
kicking,3
worry,3
hear,3
hope,3
hungry,3
inner,3
jade,3
handsome,3
job,3
wonder,3
alone,3
guy,3
guess,3
grown,3
kidding,3
low,3
already,3
knew,3
way,3
watch,3
give,3
later,3
want,3
least,3
arms,3
lied,3
friends,3
forgive,3
at,3
mom,3
meant,3
care,3
teacher,3
stairs,3
squadron,3
place,3
check,3
either,3
spare,3
saved,3
stay,3
once,3
realm,3
old,3
taught,3
saying,3
defend,3
put,3
nice,3
things,3
call,3
scary,3
careful,3
second,3
close,3
came,3
set,3
move,3
stopped,3
send,3
remember,3
knows,2
question,2
mortals,2
warriors,2
warrior,2
war,2
real,2
punching,2
proud,2
leave,2
last,2
justice,2
kitten,2
signal,2
hit,2
shop,2
honor,2
works,2
says,2
sick,2
sleep,2
realize,2
running,2
legend,2
stand,2
return,2
record,2
kids,2
pretty,2
like,2
less,2
stupid,2
own,2
over,2
tried,2
others,2
totally,2
opinion,2
making,2
man,2
mantis,2
masters,2
noodle,2
technique,2
sent,2
meet,2
thinking,2
thinks,2
throw,2
mind,2
minute,2
monster,2
tiny,2
pack,2
student,2
lesson,2
stronger,2
potential,2
position,2
mountains,2
poof,2
up,2
unprotected,2
live,2
log,2
pick,2
perhaps,2
understand,2
strong,2
looks,2
lose,2
loser,2
turns,2
trying,2
lot,2
performance,2
about,2
past,2
rats,2
zombies,2
bloom,2
chopsticks,2
fine,2
get,2
asking,2
asked,2
gift,2
given,2
fighting,2
anymore,2
gong,2
eat,2
around,2
armor,2
days,2
hang,2
destroy,2
gather,2
asthma,2
attack,2
destroyed,2
brought,2
cave,2
charge,2
awaits,2
awesomely,2
beat,2
chitty,2
chit,2
forever,2
flower,2
food,2
follow,2
comes,2
else,2
heads,2
extra,2
almost,2
contest,2
fair,2
bug,2
also,2
engage,2
cousins,2
afraid,2
amazing,2
happened,2
family,2
confused,2
buns,2
dads,2
buddy,2
happen,2
exactly,2
action,2
spend,1
suspicious,1
successor,1
such,1
staring,1
catch,1
buffet,1
special,1
surveillance,1
squadrons,1
suits,1
succeed,1
super,1
spot,1
spicy,1
burn,1
style,1
subtle,1
start,1
strike,1
strength,1
stranger,1
straight,1
stopping,1
butt,1
by,1
chick,1
stomach,1
bunnies,1
cape,1
steps,1
stepped,1
students,1
step,1
steal,1
carried,1
starving,1
bunch,1
string,1
started,1
speak,1
smoke,1
soup,1
sea,1
shiny,1
share,1
served,1
compliment,1
compliments,1
sense,1
sell,1
self,1
sees,1
confusing,1
consider,1
consumed,1
scroll,1
sounds,1
cookie,1
cookies,1
coolest,1
correct,1
saving,1
crazy,1
created,1
sauce,1
sat,1
sandwiches,1
creatures,1
salts,1
shook,1
cold,1
closest,1
clean,1
sound,1
chicken,1
sometimes,1
someday,1
soft,1
soak,1
choked,1
sneaking,1
snacklace,1
snack,1
smells,1
smell,1
smart,1
sleeping,1
sketch,1
skadoosh,1
skadoo,1
sir,1
chose,1
sides,1
chubby,1
claw,1
shut,1
showing,1
showed,1
swarming,1
hence,1
swinging,1
switch,1
anywhere,1
apart,1
appetite,1
warn,1
warming,1
arm,1
wants,1
wanted,1
walking,1
walk,1
waited,1
visitors,1
viper,1
villagers,1
artifacts,1
as,1
vanished,1
usually,1
use,1
uphill,1
unscathed,1
unroll,1
unite,1
attacked,1
underestimate,1
attention,1
turned,1
water,1
waterproof,1
ways,1
words,1
young,1
yet,1
actually,1
written,1
wounded,1
added,1
adding,1
adopted,1
after,1
working,1
worked,1
alike,1
wondered,1
wear,1
alive,1
wish,1
wisdom,1
wins,1
wing,1
win,1
ambitious,1
ambushed,1
whoa,1
ancient,1
answers,1
welcome,1
await,1
tubs,1
trust,1
blame,1
bestie,1
betrayed,1
thingy,1
bigger,1
bird,1
birdie,1
birth,1
that,1
bit,1
tenders,1
telling,1
blade,1
blank,1
third,1
blinked,1
crossbow,1
tea,1
bought,1
boy,1
talk,1
break,1
takes,1
takeout,1
broke,1
brothers,1
tacky,1
belongs,1
though,1
truly,1
became,1
backache,1
triplets,1
badly,1
trick,1
tremendous,1
banished,1
trail,1
town,1
touch,1
barely,1
total,1
beak,1
together,1
bellies,1
tofu,1
today,1
title,1
become,1
becomes,1
times,1
bed,1
tigress,1
thunder,1
thumb,1
throwing,1
behold,1
critical,1
returned,1
cruel,1
lobby,1
lucky,1
luckier,1
luck,1
fiving,1
flammable,1
flows,1
focus,1
losing,1
foe,1
fools,1
foot,1
fought,1
location,1
living,1
mistake,1
lived,1
fragile,1
franchise,1
fulfilled,1
lift,1
full,1
fun,1
lethal,1
funny,1
fur,1
future,1
legs,1
legendary,1
fist,1
lying,1
machine,1
mad,1
minutes,1
farm,1
fast,1
met,1
fate,1
mess,1
memory,1
fatter,1
fault,1
favorite,1
fear,1
feast,1
feeling,1
matters,1
matter,1
mastery,1
feels,1
mastering,1
feet,1
felt,1
many,1
few,1
maniacs,1
maniac,1
figure,1
figures,1
finger,1
gave,1
led,1
getting,1
insect,1
incredible,1
including,1
important,1
impenetrable,1
immovable,1
imagine,1
idiots,1
idiot,1
idea,1
hurt,1
hard,1
humiliated,1
hates,1
hugs,1
hugger,1
having,1
head,1
hot,1
hoped,1
hoo,1
heal,1
healing,1
healthy,1
helmets,1
hinges,1
hinge,1
hill,1
infamous,1
instance,1
giant,1
instead,1
leading,1
lay,1
land,1
kung,1
gone,1
knowledge,1
knowing,1
goose,1
grab,1
greatness,1
ground,1
grounds,1
kid,1
groveling,1
kicker,1
hall,1
hammocks,1
hand,1
judgment,1
jombies,1
join,1
hands,1
jiggle,1
itchy,1
invited,1
interrupt,1
instruction,1
mission,1
moment,1
round,1
priceless,1
raised,1
quite,1
quiet,1
quick,1
questions,1
decide,1
defending,1
defense,1
pull,1
destined,1
prophecy,1
problem,1
probably,1
destiny,1
momma,1
presence,1
prepare,1
poster,1
destroying,1
pose,1
die,1
po,1
plan,1
died,1
picture,1
picking,1
disappearing,1
pet-als,1
death,1
deal,1
dare,1
danger,1
crushing,1
rock,1
road,1
cup,1
ridiculous,1
ride,1
rickshaw,1
ribbons,1
ribbon,1
rhino,1
higher,1
dad,1
restaurant,1
respect,1
requires,1
daddy,1
rematch,1
relaxed,1
related,1
reinforcements,1
regular,1
rediscover,1
recognize,1
received,1
receive,1
reasons,1
dancer,1
distract,1
dolls,1
perfect,1
offense,1
occasion,1
nunchuck,1
number,1
nowhere,1
nose,1
normal,1
noon,1
enjoy,1
enlightened,1
no,1
eternal,1
next,1
new,1
evacuated,1
needs,1
needed,1
eventually,1
neck,1
napping,1
named,1
exit,1
expansion,1
faces,1
most,1
facing,1
fail,1
fall,1
energy,1
enemies,1
peppercorns,1
ended,1
peed,1
door,1
paying,1
pay,1
pathetic,1
path,1
double,1
passed,1
party,1
parts,1
parenthood,1
dragon,1
ducks,1
pan,1
packed,1
package,1
earth,1
easy,1
otherwise,1
egg,1
other,1
orders,1
open,1
embarrassing,1
emerge,1
empty,1
end,1
loved,1
