word,counts
will,34
just,31
know,27
can,27
panda,23
how,23
wait,21
so,20
come,20
here,19
when,18
now,18
gon,16
stop,15
go,14
could,13
see,13
thought,12
got,12
never,12
going,12
time,12
should,11
way,11
said,11
would,11
noodles,10
maybe,10
look,10
let,10
right,10
back,10
believe,9
tell,9
good,9
make,9
where,8
work,8
big,8
actually,8
want,8
secret,8
doing,7
warrior,7
done,7
destiny,7
eat,7
really,7
think,7
why,7
quit,7
only,7
then,7
finally,7
there,7
mean,7
may,7
scroll,7
day,6
thank,6
ready,6
master,6
more,6
fat,6
son,6
ca,6
trained,6
peace,6
first,6
try,6
dream,6
trying,6
guys,6
coming,6
seen,6
prison,6
take,6
must,6
told,5
upset,5
say,5
sorry,5
huh,5
valley,5
need,5
years,5
fire,5
great,5
noodle,5
even,5
well,5
inner,5
ingredient,5
thing,5
level,5
impossible,5
history,4
thinking,4
control,4
enough,4
else,4
easy,4
ever,4
stuck,4
defeat,4
train,4
things,4
friend,4
free,4
dreaming,4
peach,4
before,4
little,4
power,4
awesome,4
also,4
making,4
bring,4
old,4
use,4
read,4
open,4
long,4
all,4
loved,4
true,4
beat,4
trust,4
belong,4
yet,4
proud,4
hit,3
watch,3
hold,3
home,3
illusion,3
tree,3
bad,3
morning,3
promise,3
double,3
weakness,3
takes,3
probably,3
battle,3
like,3
nerve,3
news,3
accident,3
accidents,3
wrong,3
fulfill,3
worthy,3
worry,3
give,3
sleep,3
again,3
stayed,3
fell,3
opponent,3
fault,3
one,3
guess,3
guy,3
moment,3
hard,3
help,3
of,3
clear,3
understand,3
legendary,3
leave,3
knew,3
crazy,3
kung,3
tigress,3
cut,3
listen,3
citizens,3
universe,3
longer,3
choose,3
boy,3
room,3
meant,3
begin,3
change,3
saying,3
too,3
very,3
today,3
greatest,2
learn,2
least,2
late,2
rid,2
sit,2
ground,2
gone,2
pointing,2
impressive,2
out,2
folk,2
sky,2
picked,2
smile,2
full,2
legend,2
fruit,2
limitless,2
light,2
about,2
found,2
part,2
guards,2
happens,2
looking,2
kind,2
jail,2
mind,2
hurt,2
hungry,2
might,2
journey,2
quits,2
much,2
match,2
rather,2
seed,2
real,2
kidding,2
prisoner,2
sell,2
sign,2
next,2
sense,2
night,2
heart,2
heard,2
present,2
hear,2
head,2
hardest,2
shifu,2
mistake,2
respect,2
ok,2
knows,2
mouth,2
flabby,2
foes,2
face,2
blank,2
crossbows,2
excellent,2
course,2
toes,2
anywhere,2
eyes,2
tofu,2
wish,2
continue,2
answer,2
stuff,2
teach,2
student,2
stronger,2
up,2
dead,2
escape,2
that,2
awesomeness,2
talking,2
talk,2
door,2
becomes,2
become,2
waiting,2
die,2
dew,2
ears,2
better,2
ball,2
bigger,2
wanted,2
supposed,2
bye,2
always,2
students,2
bones,2
took,2
world,2
stairs,2
chew,2
fly,2
stand,2
top,2
broken,2
focus,2
turn,2
alive,2
start,2
training,2
children,2
find,2
feet,2
father,2
still,2
feared,2
started,2
almost,2
feel,2
brought,2
step,2
wo,2
tomorrow,2
turned,1
villagers,1
vision,1
quiet,1
victory,1
resume,1
rage,1
turning,1
restaurant,1
turtle,1
regular,1
venom,1
veins,1
refused,1
unraveled,1
vegetables,1
raised,1
tweaked,1
utter,1
used,1
ups,1
twice,1
quadruple,1
warm,1
put,1
vowed,1
wiser,1
pounds,1
possibly,1
poor,1
points,1
wolf,1
won,1
point,1
po,1
working,1
plant,1
place,1
pits,1
pinky,1
picking,1
yesterday,1
personal,1
perhaps,1
young,1
perfect,1
peeky,1
praying,1
wings,1
precautions,1
wash,1
pure,1
punch,1
protect,1
wake,1
walks,1
propping,1
walls,1
problem,1
warriors,1
pride,1
wing,1
waste,1
weapons,1
wearing,1
whole,1
whomever,1
whooaa,1
pretty,1
willing,1
prepare,1
trusted,1
running,1
tried,1
shelf,1
single,1
simply,1
strike,1
sight,1
showed,1
stupid,1
shop,1
style,1
such,1
sharp,1
stopped,1
sucked,1
suffer,1
suited,1
shakes,1
settle,1
service,1
suits,1
serious,1
sent,1
strength,1
size,1
summoned,1
splinter,1
southern,1
sound,1
souls,1
sore,1
sometimes,1
someday,1
souvenirs,1
special,1
spilt,1
snickety,1
steps,1
split,1
spots,1
snake,1
smelled,1
smart,1
slight,1
slices,1
stay,1
skills,1
sensitive,1
selling,1
treats,1
rotted,1
though,1
threw,1
saw,1
sauce,1
tipper,1
safely,1
runs,1
souvenir,1
run,1
road,1
tenders,1
totally,1
ridiculous,1
touch,1
tough,1
tournament,1
trampoline,1
revealed,1
return,1
traveled,1
thin,1
says,1
survive,1
talent,1
swallowed,1
tables,1
tail,1
seems,1
seemed,1
seem,1
seeing,1
taken,1
taking,1
security,1
scare,1
taught,1
second,1
search,1
scrolls,1
teacher,1
teeth,1
scariest,1
tempt,1
scared,1
able,1
lightning,1
patience,1
dad,1
cookies,1
cool,1
cracked,1
created,1
cry,1
cub,1
damage,1
concerned,1
darkness,1
deadly,1
decision,1
deep,1
deepest,1
defeated,1
contain,1
concentrate,1
denied,1
choosing,1
called,1
careful,1
cart,1
cave,1
chance,1
charge,1
claws,1
completely,1
cleaning,1
clearly,1
close,1
closely,1
collect,1
combat,1
demons,1
destined,1
butt,1
explain,1
enjoy,1
entire,1
entrusted,1
escaped,1
evacuate,1
excuse,1
extra,1
enemies,1
faced,1
facial,1
facing,1
fact,1
failed,1
fall,1
energy,1
either,1
destroy,1
disappointing,1
develop,1
developed,1
dice,1
difficult,1
digesting,1
disappoint,1
disgrace,1
easier,1
disregard,1
doubt,1
dragged,1
dreams,1
drove,1
dying,1
butterfly,1
buns,1
fan,1
as,1
apple,1
apply,1
appreciate,1
armor,1
arms,1
around,1
ask,1
anymore,1
asleep,1
at,1
ate,1
attach,1
attractive,1
attractiveness,1
apology,1
amazing,1
avoid,1
adequate,1
absolutely,1
accidentally,1
acting,1
action,1
acupuncture,1
add,1
after,1
already,1
afterwards,1
agitated,1
ago,1
ahead,1
allow,1
almond,1
authentic,1
awaits,1
brush,1
both,1
bloody,1
blossom,1
bluffing,1
blur,1
bodacity,1
body,1
bouncing,1
blind,1
bowed,1
bowl,1
breathing,1
brick,1
broke,1
brother,1
blinded,1
blades,1
away,1
bear,1
awkward,1
baby,1
bandit,1
based,1
bath,1
bean,1
becoming,1
bit,1
beginning,1
behold,1
believed,1
belly,1
biceps,1
birthplace,1
falls,1
farmers,1
path,1
lovely,1
live,1
loosened,1
lose,1
lot,1
lousy,1
love,1
mantis,1
lied,1
many,1
mark,1
masters,1
matter,1
matters,1
meets,1
life,1
learning,1
mighty,1
knuckles,1
interesting,1
joke,1
judge,1
killed,1
kinda,1
kitchen,1
ladder,1
learned,1
laid,1
land,1
last,1
later,1
laughter,1
leaf,1
message,1
mile,1
insist,1
over,1
once,1
oogway,1
orange,1
order,1
otherwise,1
outnumbered,1
overexposure,1
often,1
paid,1
painting,1
paintings,1
pardon,1
pardons,1
parts,1
on,1
obeying,1
mine,1
mysteries,1
minute,1
monkey,1
months,1
most,1
motion,1
moves,1
mystery,1
nurture,1
mystical,1
nauseous,1
no,1
noise,1
none,1
north,1
inspire,1
in,1
fast,1
friends,1
foretold,1
forget,1
forgetting,1
forgive,1
forgotten,1
forth,1
front,1
forbidden,1
future,1
gather,1
get,1
gift,1
ginkgo,1
given,1
force,1
fool,1
glue,1
finding,1
fear,1
feeling,1
ferocity,1
figured,1
figures,1
filled,1
fine,1
flip,1
finished,1
fist,1
fix,1
flapping,1
flex,1
flexibility,1
glad,1
goes,1
immobilized,1
hope,1
highest,1
hike,1
historic,1
hole,1
honestly,1
honor,1
hot,1
heroic,1
humility,1
humor,1
hurts,1
hygiene,1
idiot,1
imagine,1
hides,1
heroes,1
gotten,1
hand,1
greatness,1
grow,1
guard,1
guide,1
had,1
halfway,1
hang,1
hero,1
happy,1
harmony,1
having,1
heartless,1
hearts,1
height,1
zeng,1
