start,end,script
00:00:17.726,00:00:20.646,Ahh! Hey!
00:00:20.646,00:00:22.063,Ooh! Ahh! Ah! Ahh!
00:00:24.358,00:00:29.237,"Well done, boys. Looks like ice-cold sushi for breakfast."
00:00:51.969,00:00:54.722,See the lion? Look at the lion and get the lion.
00:00:59.518,00:01:05.065,"Now, son, if you're gonna grow up and be like your daddy someday, you gotta learn how to fight."
00:01:05.065,00:01:07.609,- Da-da.
00:01:07.609,00:01:11.822,"let me show you something, OK?"
00:01:11.822,00:01:14.408,- You see this mark?
00:01:14.408,00:01:16.326,You and me are the same.
00:01:16.326,00:01:19.663,"When you're bigger, you'll be alpha lion, just like your daddy."
00:01:19.663,00:01:21.623,- Now let me see you fight.
00:01:21.623,00:01:23.333,- Ready?
00:01:23.333,00:01:25.586,"No, Alakay. No dancing!"
00:01:25.586,00:01:28.171,"You just amuse yourself, don't you?"
00:01:28.171,00:01:30.841,You're a strange kid.
00:01:30.841,00:01:33.052,"- Ooh, ahh, ooh, ahh."
00:01:33.052,00:01:35.554,"Now, come on, let's try it again."
00:01:35.554,00:01:37.431,"No, Alakay."
00:01:37.431,00:01:39.850,Stop that right now.
00:01:39.850,00:01:43.437,It's so disappointing when they don't grow up the way you want.
00:01:43.437,00:01:46.815,"Makunga. You're not challenging me again, are you?"
00:01:46.815,00:01:51.403,"Look on the bright side, Zuba."
00:01:46.815,00:01:54.823,"After I defeat you and take over as alpha lion, you'll have more time to spend with your pathetic son."
00:01:56.784,00:02:02.623,"Before I kick your butt, let me ask you: Why do you want to become the alpha lion?"
00:02:02.623,00:02:05.960,"I'm better looking, I have better hair, I'm deceivingly smart..."
00:02:05.960,00:02:08.629,...and I want everyone else to do what I say.
00:02:09.755,00:02:12.841,We'll fight on three. One...
00:02:12.841,00:02:16.845,"Pay attention, Alakay. Daddy gonna show you how it's done."
00:02:16.845,00:02:18.764,"Two, three!"
00:02:41.120,00:02:43.831,- Who's the alpha lion?
00:02:43.831,00:02:45.540,Don't you forget it.
00:02:45.540,00:02:48.794,"And that, Alakay, is how you attack..."
00:02:49.920,00:02:51.212,Alakay?
00:02:54.800,00:02:55.968,Hah!
00:02:55.968,00:02:59.888,"That's it. Here, kitty, kitty."
00:03:01.180,00:03:02.933,"Ah, this one's a beauty."
00:03:03.892,00:03:05.352,He'll be worth a few bucks.
00:03:06.561,00:03:08.689,easier and easier.
00:03:11.817,00:03:13.861,Alakay! Alakay!
00:03:14.444,00:03:16.363,Alakay!
00:03:18.699,00:03:20.868,Da-da!
00:03:21.451,00:03:23.495,No! No! No!
00:03:38.093,00:03:41.388,- Daddy!
00:03:45.600,00:03:47.811,Da-da!
00:03:52.649,00:03:53.775,Ow! Ow!
00:04:10.751,00:04:13.003,Daddy!
00:04:33.356,00:05:26.409,"I've been around the world in the pouring rain Feeling out of place and feeling strange Take me to a place where they know my name 'Cause I ain't met nobody that looks the same I'm a fish out of water Lion out of the jungle He's a fish out of water Lion out of the jungle I'm a fish out of water Lion out of the jungle He's a fish out of water Lion out of the jungle I need my peoples, my peoples Take me to my peoples Play that jungle fever Show 'em some love Show love Just gotta have someone Gotta have someone To relate to, to relate to I've found a brand new home Feeling right at home Feeling right at home Feeling right at home I've found a brand new home See, I been traveling Been traveling forever..."
00:05:26.409,00:05:30.164,- I don't like the looks of this guy.
00:05:30.164,00:05:32.499,I think he's kind of a showoff.
00:05:47.306,00:05:49.183,Roar!!
00:05:50.309,00:05:53.103,New York City...
00:05:53.103,00:05:55.605,...Alex the Lion!
00:05:55.605,00:05:59.193,Woo-hoo! I still think he's kind of a showoff.
00:05:59.193,00:06:01.360,Gotta give it to him.
00:06:01.360,00:06:05.615,"Maybe he should take a break. You know, we could all use a vacation."
00:06:05.615,00:06:07.659,"Come on, where would we go on vacation?"
00:06:07.659,00:06:11.079,"I don't know about you, but I want to go to Connecticut!"
00:06:11.079,00:06:18.670,"several animals, including the world-famous Alex the Lion, the King Of New York, escaped from the Central Park Zoo tonight."
00:06:18.670,00:06:22.174,The escapees were cornered in Grand Central Station.
00:06:22.174,00:06:25.302,He was a very bad kitty.
00:06:25.302,00:06:35.562,"Animal rights activists, who convinced zoo officials to have the animals sent to Africa, were stunned to learn that the freighter carrying the animals was reported missing today."
00:06:35.562,00:06:42.319,of New Yorkers have gathered at the zoo to mourn the loss of their beloved zoo animals.
00:06:42.319,00:06:46.531,"The question on everyone's mind, where are they now?"
00:07:27.155,00:07:40.419,"I like to move it, move it He likes to move it move it She likes to move it move it - We like to Come on! Y'all know this one!"
00:07:40.419,00:07:44.256,- We like to We'll miss you little fuzz buckets!
00:07:44.256,00:07:45.673,You've been a great crowd!
00:07:45.673,00:07:47.926,Glad we could introduce you to the toilet.
00:07:47.926,00:07:51.263,"If you ever come look us up in Manhattan, feel free to call first."
00:07:53.807,00:07:56.143,"Seriously though, call. OK?"
00:07:56.143,00:07:58.937,"Settle down, everybody."
00:07:58.937,00:08:01.315,You can't leave without this!
00:08:01.315,00:08:04.192,"Hey! Surprise, freaks! Whoa!"
00:08:04.192,00:08:06.820,Shake it! Shake it.
00:08:06.820,00:08:10.365,"Look, I'm a lady!"
00:08:10.365,00:08:14.786,I'm a lady! Not really!
00:08:14.786,00:08:19.082,Which of you is attracted to me? Hands up!
00:08:20.125,00:08:22.127,Ha-ha! Yes!
00:08:22.127,00:08:26.965,"Hey, freaks! You will be very glad to hear that I am coming with you."
00:08:28.133,00:08:29.801,"Oh, no, thank you."
00:08:30.927,00:08:33.096,"Yes, thank you."
00:08:33.096,00:08:38.352,Until I return with the spoils from the new country...
00:08:38.352,00:08:41.188,...Stevie will be in charge!
00:08:44.941,00:08:47.944,"I don't think they like that idea so much, Julien."
00:08:47.944,00:08:52.991,"What is that you're saying, No."
00:08:52.991,00:08:57.578,"Could we...? No, you didn't say that! How is that even possible?"
00:08:57.578,00:09:01.708,Naughty little thing!
00:09:03.751,00:09:06.671,"King Julien, wait for me!"
00:09:06.671,00:09:10.258,I'm all packed! I have a whole itinerary planned!
00:09:10.258,00:09:13.178,"Oh, no! It's Mort!"
00:09:13.178,00:09:15.222,Don't let him on.
00:09:15.222,00:09:18.433,He's carrying scissors and hand cream!
00:09:21.269,00:09:25.357,"Everybody in! Quickly, get in, get in! Get in quick!"
00:09:29.486,00:09:31.696,You guys!
00:09:35.575,00:09:37.577,Oopsie-daisy!
00:09:37.577,00:09:41.664,That has to be the second biggest slingshot I've ever seen.
00:09:41.664,00:09:43.917,But it'll have to do. Attention.
00:09:43.917,00:09:45.793,This is your captain speaking.
00:09:45.793,00:09:50.715,"In the event of a water emergency, place the vest over your head then kiss your... good-bye."
00:09:50.715,00:09:52.884,"New York City, here we come!"
00:09:52.884,00:09:56.012,God this hunk of junk flies.
00:09:56.012,00:09:57.972,"Personal God, hunk...? What?"
00:09:58.765,00:10:00.475,"We are go, sir."
00:10:00.475,00:10:03.770,Open the door! I'm outside!
00:10:03.770,00:10:09.443,"In case of loss in cabin pressure, place the mask over your face to hide your terrified expression."
00:10:09.443,00:10:13.780,"Excuse me, miss, but aren't these supposed to be attached to my seat?"
00:10:13.780,00:10:16.116,"- No, sir."
00:10:16.116,00:10:17.409,Hey!
00:10:17.409,00:10:18.785,Launch!
00:10:18.785,00:10:19.869,- Launch!
00:11:00.494,00:11:02.412,Ahh! Gremlin!
00:11:05.706,00:11:07.208,"Hey, Mort."
00:11:14.715,00:11:18.178,"- Hey, somebody's dreaming."
00:11:18.178,00:11:20.221,You got Madagascar on the brain.
00:11:20.221,00:11:21.973,I know I'm gonna miss it.
00:11:21.973,00:11:23.724,"It was incredible, wasn't it?"
00:11:23.724,00:11:25.644,I think it'll seem more fun the further we are from it.
00:11:25.644,00:11:27.646,- Like when you bit me on the butt?
00:11:27.646,00:11:32.108,I'm gonna take that thing you're holding onto and use it onstage.
00:11:32.108,00:11:36.196,It's all part of my little actor's salad bar of emotional tidbits.
00:11:36.196,00:11:38.990,Are the butts next to the croutons at the salad bar?
00:11:40.450,00:11:42.202,You don't need to be sarcastic.
00:11:42.202,00:11:46.289,"When we get back, I might sign up for the breeding program."
00:11:46.289,00:11:47.706,Breeding program?
00:11:47.706,00:11:50.960,We reach a point when we want to meet somebody.
00:11:50.960,00:11:53.421,"Settle down, have a relationship."
00:11:53.421,00:11:54.713,I can see that.
00:11:54.713,00:11:58.218,Like dating?
00:11:58.218,00:11:59.760,"Yeah, dating."
00:11:59.760,00:12:02.721,Other... other guys?
00:12:02.721,00:12:05.975,"What do you mean, other guys?"
00:12:09.312,00:12:11.272,Darn it!
00:12:11.272,00:12:14.942,I'm gonna... What is holding up that beverage service?!
00:12:14.942,00:12:16.777,I'm gonna go check.
00:12:16.777,00:12:20.574,I'm gonna catch a few winks.
00:12:23.910,00:12:27.539,"Oh, I like laughing!"
00:12:27.539,00:12:30.625,- To laugh!
00:12:30.625,00:12:32.835,"Whoa, whoa, whoa, whoa!"
00:12:32.835,00:12:35.505,Do you mind going back?
00:12:35.505,00:12:40.594,It's nothing personal. It's just that we're better than you.
00:12:40.594,00:12:42.845,"- He shoots, he scores!"
00:12:42.845,00:12:45.848,"- Hey, in-flight slave."
00:12:45.848,00:12:48.602,Bring my nuts on a silver platter.
00:12:48.602,00:12:50.645,We just wanted to check on the drinks we ordered.
00:12:50.645,00:12:52.939,Sorry. Been a little backed up.
00:12:52.939,00:12:55.567,- I guess I'll go back...
00:12:55.567,00:12:59.987,"You're freaking me out! Can you please go over there, please?"
00:12:59.987,00:13:03.283,What happened to the separation of the classes?
