word,counts
move,65
like,50
know,48
right,37
go,36
here,34
got,33
just,32
so,31
little,29
look,27
love,27
can,27
need,26
come,25
could,23
want,23
how,23
son,23
lion,22
let,22
will,20
good,20
see,20
where,19
going,19
take,18
home,18
when,17
back,17
water,16
now,16
gon,16
ca,16
friend,16
think,15
tell,15
there,15
say,14
make,14
never,14
guys,14
dance,13
all,13
party,12
only,11
thought,11
then,11
would,11
foofie,11
way,11
better,10
looks,10
bad,10
thing,10
reserve,10
always,10
place,10
too,9
feeling,9
fight,9
shake,9
people,9
more,9
stop,9
plane,9
happened,9
why,8
wait,8
found,8
other,8
boy,8
bring,8
mind,8
leave,8
great,8
give,8
ai,7
mean,7
doing,7
of,7
man,7
stay,7
sacrifice,7
alpha,7
maybe,7
kiss,7
real,7
jungle,7
ever,7
even,7
king,7
laugh,7
kind,7
very,7
things,7
find,7
help,7
fly,7
charge,7
thank,7
girl,6
pay,6
one,6
really,6
physically,6
show,6
sound,6
care,6
should,6
perfect,6
get,6
woman,6
dancing,6
listen,6
hands,6
guess,6
friends,6
traveling,6
hole,6
big,6
marty,6
bit,6
doctor,6
use,6
name,6
day,6
world,6
new,6
hat,6
life,6
hard,5
nice,5
rain,5
ground,5
gone,5
rite,5
gods,5
fix,5
last,5
hunters,5
comes,5
excuse,5
left,5
dying,5
passage,5
lost,5
lot,5
loves,5
done,5
music,5
dad,5
daddy,5
said,5
zoo,5
try,5
volcano,5
ants,5
thanks,5
spot,5
time,5
best,5
as,5
away,5
animals,5
turn,5
believe,5
around,4
watering,4
first,4
fine,4
survive,4
banish,4
sure,4
lady,4
alive,4
fish,4
crazy,4
crack,4
told,4
few,4
forever,4
old,4
ok,4
feel,4
hold,4
else,4
head,4
most,4
spit,4
next,4
huge,4
coming,4
keep,4
talk,4
pride,4
in,4
face,4
wrong,4
seen,4
check,4
pull,4
problems,4
live,4
likes,4
wo,4
talking,4
round,4
lackin,4
bestest,4
beautiful,4
lions,3
easy,3
strange,3
must,3
nature,3
eat,3
lips,3
enough,3
straight,3
thumbs,3
house,3
much,3
before,3
mom,3
hours,3
dead,3
together,3
maternity,3
came,3
may,3
horrible,3
holes,3
meet,3
apart,3
blood,3
die,3
fishy,3
looking,3
bigger,3
hot,3
baby,3
today,3
shoulder,3
glad,3
stage,3
peoples,3
buddy,3
pick,3
guy,3
alike,3
far,3
play,3
chunky,3
witch,3
again,3
pretty,3
kitty,3
fun,3
quick,3
butt,3
work,3
attention,3
save,3
remember,3
saying,3
showoff,3
sir,3
years,3
slept,3
same,3
weird,3
ask,3
dam,3
boys,3
night,3
no,3
o,3
call,3
welcome,3
crash,3
break,3
happy,3
exactly,3
small,3
amazing,3
own,3
whole,3
pants,3
parade,3
part,3
bye,3
huh,2
jeep,2
hurt,2
hurry,2
hunk,2
salad,2
heh,2
wanted,2
hope,2
young,2
goes,2
worry,2
gold,2
woof,2
wondering,2
grit,2
wish,2
grow,2
win,2
hair,2
handbag,2
white,2
wherever,2
hate,2
having,2
headed,2
hear,2
heard,2
heart,2
herd,2
weeks,2
holding,2
wear,2
watch,2
vacation,2
taste,2
kept,2
open,2
settle,2
shelter,2
performance,2
side,2
slightly,2
over,2
opinion,2
somethin,2
kill,2
once,2
off,2
speaking,2
nuts,2
number,2
spend,2
squid,2
set,2
pipe,2
service,2
serpentine,2
run,2
roar,2
rising,2
rise,2
rid,2
remain,2
relate,2
says,2
second,2
questions,2
program,2
private,2
pouring,2
point,2
plumpy,2
squiggly,2
news,2
stand,2
talent,2
longer,2
long,2
thinking,2
light,2
touching,2
learn,2
launch,2
laughing,2
tradition,2
later,2
traditional,2
landing,2
la,2
unique,2
upriver,2
loss,2
many,2
started,2
mark,2
step,2
still,2
movin,2
morning,2
stuck,2
months,2
miss,2
minute,2
mine,2
met-al,2
met,2
men,2
means,2
stuff,2
stupid,2
paws,2
about,2
dj,2
arms,2
fault,2
breeding,2
bust,2
eyes,2
carrying,2
food,2
chukka,2
anywhere,2
anyway,2
case,2
choosing,2
father,2
dry,2
etch,2
bell,2
country,2
cold,2
catch,2
captain,2
cool,2
fever,2
beloved,2
finally,2
days,2
dancer,2
engine,2
end,2
bright,2
concerned,2
emergency,2
awful,2
easier,2
feels,2
earn,2
dried,2
black,2
dating,2
brand,2
dinner,2
crowd,2
dog,2
fair,2
doll,2
bar,2
gathered,2
actually,2
course,2
born,2
ceremony,2
build,2
beauty,2
doin,2
door,2
bone,2
doctors,2
afraid,2
choice,2
ahead,2
become,2
been,2
air,2
change,2
freaks,2
down,2
brown,2
business,2
cry,2
bucks,1
skills,1
skinny,1
buckle,1
sign,1
skill,1
buckets,1
skedaddle,1
sit,1
brownies,1
sister,1
simply,1
shuffle,1
silver,1
sides,1
brought,1
bride,1
skip,1
skirts,1
someday,1
breathe,1
somewhat,1
breakfast,1
song,1
sore,1
sort,1
speak,1
brake,1
special,1
speed,1
spell,1
brain,1
box,1
spoils,1
boundaries,1
spots,1
solved,1
solve,1
solution,1
slow,1
skyscrapers,1
slappers,1
slave,1
sleep,1
broke,1
slingshot,1
slip,1
sly,1
solid,1
shoots,1
smart,1
smarty,1
smile,1
smooch,1
snap,1
soap,1
short,1
giraffe,1
shoo,1
rights,1
catchy,1
rest,1
restlessly,1
return,1
returns,1
reverse,1
ridiculous,1
riff,1
casualty,1
cast,1
rut,1
roamed,1
carry,1
roots,1
careful,1
roundness,1
row,1
rude,1
ruined,1
running,1
rescue,1
required,1
reported,1
report,1
quiet,1
quit,1
racket,1
raff,1
challenging,1
raining,1
raise,1
ramming,1
reach,1
ready,1
challenge,1
realized,1
certain,1
recruited,1
relationship,1
relocate,1
rely,1
celebration,1
celebrate,1
runs,1
sacred,1
shh,1
burden,1
busting,1
seeing,1
seem,1
seemed,1
senses,1
sent,1
separation,1
serious,1
spread,1
bunch,1
candy,1
setback,1
bummer,1
several,1
bulb,1
shaking,1
shall,1
shame,1
shark,1
sheet,1
busy,1
seat,1
seafood,1
scouts,1
sad,1
sadly,1
safe,1
candied,1
canal,1
calls,1
sarcastic,1
savages,1
savanna,1
cabin,1
saw,1
butts,1
buttons,1
butter,1
scan,1
schedule,1
science,1
scissors,1
scores,1
seriously,1
bodies,1
bottom,1
tracked,1
universe,1
up,1
attacked,1
ups,1
attack,1
used,1
user,1
attached,1
assume,1
vest,1
vet,1
assembly,1
volume,1
aside,1
wake,1
walk,1
area,1
wants,1
warn,1
attracted,1
union,1
unclog,1
trouble,1
awkward,1
transcends,1
trash,1
travel,1
treat,1
tremendous,1
tried,1
trippin,1
truly,1
uncle,1
autograph,1
trying,1
tsetse,1
authority,1
twelfth,1
twice,1
ugly,1
unaccounted,1
wash,1
appreciation,1
appears,1
activists,1
advantage,1
adjust,1
added,1
works,1
actor,1
worse,1
worst,1
worth,1
wreck,1
wonder,1
action,1
ya,1
account,1
yesterday,1
accident,1
zebra,1
zestiness,1
zig,1
wonderful,1
advice,1
apparently,1
ancestral,1
wave,1
anymore,1
