start,end,script
00:00:43.126,00:00:47.923,"NARRATOR: Everyone is born, but not everyone is born the same."
00:00:47.923,00:00:52.553,Some will grow to be butchers or bakers or candlestick makers.
00:00:52.553,00:00:56.264,Some will only be really good at making Jell-O salad.
00:00:56.264,00:01:00.602,"One way or another, though, every human being is unique..."
00:01:00.602,00:01:02.897,for better or for worse.
00:01:04.231,00:01:09.069,Most parents believe their children are the most beautiful creatures ever to grace the planet.
00:01:09.069,00:01:11.030,Others take a less emotional approach.
00:01:11.030,00:01:13.240,What a waste of time.
00:01:13.240,00:01:15.951,"And expensive, $9.25 for a bar of soap!"
00:01:15.951,00:01:17.745,"Well, I had to take a shower, Harry."
00:01:17.745,00:01:20.330,$5000?
00:01:20.330,00:01:22.249,"What are they gonna do, repossess the kid?"
00:01:39.892,00:01:41.643,There's no way out.
00:01:48.358,00:01:50.485,Harry!
00:01:50.485,00:01:52.237,H-H-Harry!
00:01:52.237,00:01:53.697,BOY: The Wormwood guy is back!
00:01:53.697,00:02:02.330,"NARRATOR: Harry and Zinnia Wormwood lived in a very nice neighborhood, in a very nice house, but they were not really very nice people."
00:02:11.423,00:02:15.010,"Get out of the street, you little dodos!"
00:02:20.099,00:02:25.980,NARRATOR: The Wormwoods were so wrapped up in their own silly lives that they barely noticed they had a daughter.
00:02:25.980,00:02:33.112,"Had they paid any attention to her at all, they'd have realized she was a rather extraordinary child."
00:02:33.112,00:02:35.739,"Oh, my gosh, Matilda!"
00:02:35.739,00:02:38.075,They named her Matilda.
00:02:38.075,00:02:39.534,You're supposed to eat the spinach!
00:02:39.534,00:02:45.457,"Ew! Ew, ew, ew, ew!"
00:02:49.962,00:02:54.549,Babies! You're better off raising tomatoes!
00:02:54.549,00:03:02.432,"NARRATOR: By the time she was 2, Matilda had learned what most people learn in their early 30s: How to take care of herself."
00:03:05.769,00:03:10.398,"As time went by, she developed a sense of style."
00:03:10.398,00:03:13.443,"Every morning, Matilda's older brother, Michael, went to school."
00:03:13.443,00:03:15.529,"Bye, Mom."
00:03:15.529,00:03:18.323,Her father went to work selling used cars for unfair prices.
00:03:18.323,00:03:19.616,Make money!
00:03:19.616,00:03:21.702,And her mother took off to play bingo.
00:03:21.702,00:03:22.995,Soup's on the stove.
00:03:22.995,00:03:25.080,Heat it up if you get hungry.
00:03:25.080,00:03:27.749,Matilda was left alone.
00:03:29.292,00:03:31.879,That was how she liked it.
00:04:06.287,00:04:10.584,"NARRATOR: By the time she was 4, Matilda had read every magazine in the house."
00:04:10.584,00:04:16.506,"One night, she got up her courage and asked her father for something she desperately wanted."
00:04:16.506,00:04:19.885,A book? What do you want a book for?
00:04:19.885,00:04:21.302,To read.
00:04:21.302,00:04:27.684,To read? Why would you want to read when you got the television set sitting right in front of you?
00:04:27.684,00:04:32.231,There's nothing you can get from a book that you can't get from a television faster.
00:04:32.231,00:04:34.900,Get out of the way!
00:04:34.900,00:04:38.904,NARRATOR: Matilda already knew that she was somewhat different from her family.
00:04:40.447,00:04:44.367,She saw that whatever she needed in this world she'd have to get herself.
00:04:44.367,00:04:46.787,Bye!
00:04:46.787,00:04:49.164,There's fish fingers in the microwave.
00:04:51.666,00:04:58.799,"NARRATOR: The next morning, after her parents left, Matilda set off in search of a book."
00:05:35.752,00:05:38.713,"Where are the children's books, please?"
00:05:38.713,00:05:40.757,In that room right over there.
00:05:40.757,00:05:44.469,Would you like me to pick you out one with lots of pictures in it?
00:05:44.469,00:05:49.099,"No, thank you."
00:06:04.323,00:06:16.126,"NARRATOR: From then on, every day, as soon as her mother went to bingo, Matilda walked the 10 blocks to the library and devoured one book after another."
00:06:19.338,00:06:25.468,"NARRATOR: When she finished all the children's books, she started wandering around in search of something else."
00:06:25.468,00:06:33.894,"Mrs. Phelps, who had been watching her with fascination for the past few weeks, offered Matilda some valuable library information."
00:06:33.894,00:06:36.688,"You know, you can have your very own library card."
00:06:36.688,00:06:39.274,And then you could take books home.
00:06:39.274,00:06:42.319,And you wouldn't have to walk here every day.
00:06:42.319,00:06:44.738,You could take as many as you like.
00:06:44.738,00:06:47.199,That would be wonderful.
00:06:48.867,00:07:01.462,"NARRATOR: So Matilda's strong young mind continued to grow, nurtured by the voices of all those authors who had sent their books out into the world like ships onto the sea."
00:07:09.179,00:07:16.686,These books gave Matilda a hopeful and comforting message: You are not alone.
00:07:37.291,00:07:38.750,Any packages come today?
00:07:38.750,00:07:40.294,Uh-uh.
00:07:40.294,00:07:42.796,Where'd all this come from?
00:07:42.796,00:07:46.300,The library.
00:07:46.300,00:07:48.218,You've never set foot in a library.
00:07:48.218,00:07:49.386,You're only 4 years old.
00:07:49.386,00:07:51.471,Six and a half.
00:07:51.471,00:07:52.889,Six and a half.
00:07:52.889,00:07:55.267,"If you were 6 1/2, you'd be in school already."
00:07:55.267,00:07:56.893,I want to be in school.
00:07:56.893,00:07:59.687,I told you I was supposed to start school in September.
00:07:59.687,00:08:01.606,You wouldn't listen.
00:08:01.606,00:08:03.691,Get up! Get up!
00:08:03.691,00:08:07.112,Get out here.
00:08:09.323,00:08:11.783,"Dearest pie, how old is Matilda?"
00:08:11.783,00:08:13.160,Four.
00:08:13.160,00:08:14.828,"I'm 6 1/2, Mommy."
00:08:14.828,00:08:16.037,"Five, then."
00:08:16.037,00:08:18.581,I was 6 in August.
00:08:18.581,00:08:20.292,I want to go to school.
00:08:21.542,00:08:23.586,School.
00:08:23.586,00:08:25.713,Who would be here to sign for the packages?
00:08:25.713,00:08:28.675,We can't leave valuable packages sitting out on the doorstep.
00:08:28.675,00:08:31.761,"HARRY: Now, go watch TV like a good kid."
00:08:31.761,00:08:35.974,"You know, sometimes I think there's something wrong with that girl."
00:08:35.974,00:08:38.143,Hmph. Tell me about it.
00:08:38.143,00:08:41.271,"Hey, dipface."
00:08:41.271,00:08:43.523,"Have another marshmallow, dipface!"
00:08:43.523,00:08:46.318,Dipface!
00:08:53.408,00:08:56.744,NARRATOR: Sometimes Matilda longed for a friend.
00:08:56.744,00:09:00.332,"Someone like the kind, courageous people in her books."
00:09:00.332,00:09:09.007,"It occurred to her that like talking dragons and princesses with hair long enough to climb, such people might exist only in storybooks."
00:09:09.007,00:09:16.515,"But Matilda was about to discover that she could be her own friend, that she had a kind of strength she wasn't even aware of."
00:09:16.515,00:09:19.267,I'm great!
00:09:19.267,00:09:22.687,"Michael, pencil and paper in the kitchen. Oh!"
00:09:22.687,00:09:25.315,"Did we sell some cars today, honeydew?"
00:09:25.315,00:09:26.983,Did we? Mwah!
00:09:26.983,00:09:28.609,Does that mean I can get that new TV?
00:09:28.609,00:09:30.278,Yeah.
00:09:30.278,00:09:32.572,"Son, one day you're gonna have to earn your own living."
00:09:32.572,00:09:34.449,It's time you learned the family business.
00:09:34.449,00:09:37.202,Sit down.
00:09:37.202,00:09:42.290,"All right, the first car your brilliant father sold cost $320."
00:09:42.290,00:09:46.086,"I sold it for $1,158."
00:09:46.086,00:09:48.838,The second one cost $512.
00:09:48.838,00:09:54.177,"I sold it for $2,269."
00:09:54.177,00:09:55.845,"Wait, Dad."
00:09:55.845,00:09:57.180,Just write.
00:09:57.180,00:10:02.060,The third cost $68.
00:10:02.060,00:10:07.648,And the fourth cost $1100.
00:10:02.060,00:10:13.321,I sold it for 7839 big American boffos.
00:10:13.321,00:10:15.115,What was my profit for the day?
00:10:15.115,00:10:16.491,Could you repeat the last one?
00:10:16.491,00:10:18.868,"$10,265."
00:10:22.038,00:10:24.583,Check it if you don't believe me.
00:10:28.128,00:10:31.005,You're a little cheat.
00:10:31.005,00:10:32.882,From all the way over here?
00:10:34.134,00:10:36.219,Are you being smart with me?
00:10:36.219,00:10:40.640,"If you're being smart with me, young lady, you're gonna be punished."
00:10:40.640,00:10:43.101,Punished for being smart?
00:10:43.101,00:10:45.145,For being a smart aleck.
00:10:45.145,00:10:49.399,"When a person is bad, that person has to be taught a lesson."
00:10:49.399,00:10:51.276,Person?
