word,counts
like,45
get,34
one,33
know,28
school,28
go,26
got,22
na,22
right,22
take,20
gon,20
come,19
little,19
children,17
never,17
want,17
house,17
father,17
day,16
think,15
could,15
would,15
good,14
see,14
time,14
really,13
run,13
car,13
people,13
back,12
home,11
say,11
make,10
girl,10
way,10
life,10
look,10
yes,9
watching,9
mean,9
book,9
something,9
today,9
better,9
let,9
believe,9
child,9
hair,9
money,9
great,8
things,8
every,8
cops,8
read,8
family,8
going,8
okay,8
cake,8
nice,8
hat,7
smart,7
books,7
feel,7
put,7
library,7
show,7
thing,7
another,7
ever,7
course,7
nothing,7
chokey,7
two,7
yeah,7
please,7
away,7
bad,7
times,7
used,6
big,6
supposed,6
sure,6
wonderful,6
class,6
college,6
kid,6
boy,6
minute,6
mother,6
small,6
leave,6
much,6
wrong,6
throw,6
young,6
us,6
called,6
teacher,6
years,6
tv,5
parents,5
person,5
world,5
even,5
wanted,5
doll,5
set,5
use,5
first,5
lesson,5
second,5
newt,5
packages,5
old,5
went,5
give,5
sold,5
alone,5
mind,5
daughter,5
need,5
long,5
sometimes,5
lady,5
turn,5
room,5
kind,4
happy,4
chocolate,4
cars,4
cash,4
talking,4
tell,4
teaching,4
left,4
last,4
head,4
heart,4
understand,4
disgusting,4
kids,4
came,4
entire,4
beats,4
whatever,4
inside,4
cost,4
tip,4
power,4
someone,4
enough,4
around,4
well,4
new,4
especially,4
answer,4
nobody,4
always,4
play,4
fish,4
search,4
call,4
eat,4
principal,4
sweet,4
handle,4
dipface,4
real,4
ta,4
business,4
reading,4
half,4
looks,4
glass,4
salesmen,4
made,4
may,4
born,4
middle,4
huh,4
bingo,4
spell,4
sell,3
stay,3
shall,3
thought,3
far,3
ew,3
telling,3
hide,3
everyone,3
soon,3
found,3
end,3
friend,3
strong,3
frog,3
fused,3
stupid,3
gave,3
snake,3
sticky,3
gone,3
fibers,3
face,3
done,3
grow,3
guy,3
everything,3
sitting,3
died,3
federal,3
hard,3
talk,3
taught,3
sign,3
teach,3
door,3
ribbon,3
chalk,3
lives,3
cheat,3
anything,3
work,3
next,3
poem,3
remember,3
liar,3
light,3
listen,3
ate,3
without,3
must,3
ready,3
learn,3
wait,3
love,3
move,3
lovely,3
powers,3
morning,3
beat,3
beautiful,3
promise,3
might,3
pretty,3
miss,3
learned,3
bigger,3
afraid,3
numbers,3
law,3
tomorrow,3
place,3
important,3
knew,3
yesterday,3
kitchen,3
cookies,3
night,2
personally,2
fun,2
powerful,2
game,2
