num,start,end,script
13,00:04:15.589,00:04:16.965,"['Whoa,', 'there!']"
14,00:04:34.900,00:04:36.568,['Halt!']
15,00:04:36.610,00:04:38.653,"['Who', 'goes', 'there?']"
16,00:04:38.695,00:04:41.573,"['It', 'is', 'I,', 'Arthur,']"
17,00:04:38.695,00:04:41.573,"['Son', 'of', 'Uther', 'Pendragon,']"
18,00:04:41.615,00:04:43.200,"['from', 'the', 'Castle', 'of', 'Camelot,']"
19,00:04:43.242,00:04:46.703,"['king', 'of', 'the', 'Britons,']"
20,00:04:43.242,00:04:46.703,"['defeater', 'of', 'the', 'Saxons,']"
21,00:04:46.745,00:04:49.164,"['sovereign', 'of', 'all', 'England.']"
22,00:04:50.707,00:04:52.417,"['Pull', 'the', 'other', 'one.']"
23,00:04:52.459,00:04:55.963,"['I', 'am,', 'and', 'this', 'is']"
24,00:04:52.459,00:04:55.963,"['my', 'trusty', 'servant,', 'Patsy.']"
25,00:04:56.004,00:04:58.298,"['We', 'have', 'ridden', 'the', 'length']"
26,00:04:56.004,00:04:58.298,"['and', 'breadth', 'of', 'the', 'land']"
27,00:04:58.339,00:04:59.674,"['in', 'search', 'of', 'knights']"
28,00:04:59.716,00:05:02.010,"['who', 'will', 'join', 'me']"
29,00:04:59.716,00:05:02.010,"['in', 'my', 'court', 'at', 'Camelot.']"
30,00:05:02.052,00:05:04.596,"['I', 'must', 'speak']"
31,00:05:02.052,00:05:04.596,"['with', 'your', 'lord', 'and', 'master.']"
32,00:05:04.638,00:05:07.474,"['-What?', 'Ridden', 'on', 'a', 'horse?']"
33,00:05:04.638,00:05:07.474,['-Yes.']
34,00:05:07.515,00:05:09.893,"[""-You're"", 'using', 'coconuts!']"
35,00:05:07.515,00:05:09.893,['-What?']
36,00:05:09.935,00:05:12.062,"[""You've"", 'got', 'two', 'empty', 'halves']"
37,00:05:09.935,00:05:12.062,"['of', 'coconut,']"
38,00:05:12.104,00:05:13.981,"['and', ""you're"", 'banging', 'them']"
39,00:05:12.104,00:05:13.981,['together.']
40,00:05:14.022,00:05:18.318,"['So?', 'We', 'have', 'ridden', 'since']"
41,00:05:14.022,00:05:18.318,"['the', 'snows', 'of', 'winter']"
42,00:05:14.022,00:05:18.318,"['covered', 'this', 'land.']"
43,00:05:18.359,00:05:19.903,"['Through', 'the', 'Kingdom', 'of', 'Mercia.']"
44,00:05:19.945,00:05:21.029,"['Where', 'did', 'you']"
45,00:05:19.945,00:05:21.029,"['get', 'the', 'coconuts?']"
46,00:05:22.114,00:05:23.448,"['We', 'found', 'them.']"
47,00:05:23.490,00:05:27.035,"['Found', 'them?', 'In', 'Mercia?']"
48,00:05:23.490,00:05:27.035,"['The', 'coconut', 'is', 'tropical.']"
49,00:05:27.077,00:05:28.203,"['What', 'do', 'you', 'mean?']"
50,00:05:28.245,00:05:29.746,"['Well,', 'this', 'is', 'a', 'temperate', 'zone.']"
51,00:05:29.788,00:05:31.790,"['The', 'swallow', 'may', 'fly']"
52,00:05:29.788,00:05:31.790,"['south', 'with', 'the', 'sun,']"
53,00:05:31.832,00:05:33.500,"['or', 'the', 'house', 'martin']"
54,00:05:31.832,00:05:33.500,"['or', 'the', 'plover']"
55,00:05:33.541,00:05:35.752,"['may', 'seek', 'warmer', 'climes']"
56,00:05:33.541,00:05:35.752,"['in', 'winter,']"
57,00:05:35.794,00:05:38.046,"['yet', 'these', 'are', 'not', 'strangers']"
58,00:05:35.794,00:05:38.046,"['to', 'our', 'land.']"
59,00:05:38.088,00:05:41.340,"['Are', 'you', 'suggesting']"
60,00:05:38.088,00:05:41.340,"['coconuts', 'migrate?']"
61,00:05:41.382,00:05:43.844,"['Not', 'at', 'all.']"
62,00:05:41.382,00:05:43.844,"['They', 'could', 'be', 'carried.']"
63,00:05:43.885,00:05:46.805,['What?']
64,00:05:43.885,00:05:46.805,"['A', 'swallow', 'carrying', 'a', 'coconut?']"
65,00:05:46.847,00:05:48.640,"['It', 'could', 'grip', 'it', 'by', 'the', 'husk.']"
66,00:05:48.682,00:05:51.392,"[""It's"", 'not', 'a', 'question']"
67,00:05:48.682,00:05:51.392,"['of', 'where', 'he', 'grips', 'it.']"
68,00:05:51.434,00:05:54.271,"[""It's"", 'a', 'simple', 'question']"
69,00:05:51.434,00:05:54.271,"['of', 'weight', 'ratios.']"
70,00:05:54.313,00:05:58.441,"['A', 'five-ounce', 'bird', 'could', 'not']"
71,00:05:54.313,00:05:58.441,"['carry', 'a', 'one-pound', 'coconut.']"
72,00:05:58.483,00:06:00.235,"['It', ""doesn't"", 'matter.']"
73,00:06:00.277,00:06:01.736,"['Will', 'you', 'go', 'and', 'tell', 'your', 'master']"
74,00:06:01.778,00:06:05.073,"['that', 'Arthur', 'from', 'the', 'court']"
75,00:06:01.778,00:06:05.073,"['of', 'Camelot', 'is', 'here?']"
76,00:06:05.115,00:06:08.367,"['Listen,', 'in', 'order', 'to', 'maintain']"
77,00:06:05.115,00:06:08.367,"['air-speed', 'velocity,']"
78,00:06:08.409,00:06:10.704,"['a', 'swallow', 'needs']"
79,00:06:08.409,00:06:10.704,"['to', 'beat', 'its', 'wings']"
80,00:06:10.745,00:06:12.914,"['43', 'times', 'every', 'second,']"
81,00:06:10.745,00:06:12.914,['right?']
82,00:06:12.956,00:06:15.667,['-Please!']
83,00:06:12.956,00:06:15.667,"['-Am', 'I', 'right?']"
84,00:06:15.709,00:06:17.127,"[""I'm"", 'not', 'interested.']"
85,00:06:17.169,00:06:20.797,"['It', 'could', 'be', 'carried']"
86,00:06:17.169,00:06:20.797,"['by', 'an', 'African', 'swallow.']"
87,00:06:20.839,00:06:22.841,"['Oh,', 'yes!']"
88,00:06:20.839,00:06:22.841,"['An', 'African', 'swallow,', 'maybe.']"
89,00:06:22.883,00:06:25.552,"['Not', 'a', 'European', 'swallow.']"
90,00:06:22.883,00:06:25.552,"[""That's"", 'my', 'point.']"
91,00:06:25.593,00:06:27.054,"['Oh,', 'yeah.']"
92,00:06:25.593,00:06:27.054,"['I', 'agree', 'with', 'that.']"
93,00:06:27.095,00:06:28.429,"['Will', 'you', 'ask', 'your', 'master']"
94,00:06:28.471,00:06:31.099,"['if', 'he', 'wants']"
95,00:06:28.471,00:06:31.099,"['to', 'join', 'my', 'court', 'at', 'Camelot?']"
96,00:06:32.184,00:06:33.352,"['But', 'then,', 'of', 'course,']"
