num,start,end,script
4,00:00:24.858,00:00:27.277,"[""we're"", 'lucky', 'enough', 'to', 'be', 'talking', 'to', 'Anna', 'Scott,']"
5,00:00:27.360,00:00:29.320,"[""Hollywood's"", 'biggest', 'star', 'by', 'far.']"
6,00:00:29.404,00:00:32.782,"['Miss', ""Scott's"", 'latest', 'film', 'is', 'once', 'again', 'topping', 'the', 'charts...']"
12,00:02:29.899,00:02:33.194,"['But,', 'you', 'know,', 'a', 'million,', 'million', 'miles', 'from', 'the', 'world', 'I', 'live', 'in.']"
13,00:02:33.278,00:02:35.780,"['Which', 'is', 'here,', 'Notting', 'Hill.']"
14,00:02:35.864,00:02:37.532,"['My', 'favorite', 'bit', 'of', 'London.']"
15,00:02:38.116,00:02:39.450,"[""There's"", 'the', 'market', 'on', 'weekdays']"
16,00:02:39.534,00:02:41.911,"['selling', 'every', 'fruit', 'and', 'vegetable', 'known', 'to', 'man.']"
17,00:02:42.370,00:02:45.081,"['Rock', 'hard', 'bananas,', 'five', 'for', 'a', 'pound!']"
18,00:02:45.206,00:02:47.292,"['The', 'tattoo', 'parlor', 'with', 'a', 'guy', 'outside']"
19,00:02:47.375,00:02:51.045,"['who', 'got', 'drunk', 'and', 'now', ""can't"", 'remember', 'why', 'he', 'chose', '""I', 'love', 'Ken.""']"
20,00:02:51.796,00:02:55.133,"['The', 'radical', 'hairdressers,', 'where', 'everyone', 'comes', 'out', 'looking', 'like']"
21,00:02:55.216,00:02:58.177,"['the', 'Cookie', 'Monster,', 'whether', 'they', 'want', 'to', 'or', 'not.']"
22,00:02:58.261,00:03:00.221,"['And', 'then,', 'suddenly,', ""it's"", 'the', 'weekend']"
23,00:03:00.305,00:03:03.182,"['and', 'from', 'break', 'of', 'day', 'hundreds', 'of', 'stalls', 'appear', 'out', 'of', 'nowhere']"
24,00:03:03.266,00:03:06.185,"['filling', 'Portobello', 'Road,', 'right', 'up', 'to', 'Notting', 'Hill', 'Gate.']"
25,00:03:06.269,00:03:10.148,"['And', 'wherever', 'you', 'look', 'thousands', 'of', 'people', 'are', 'buying', 'millions', 'of', 'antiques,']"
26,00:03:10.231,00:03:14.152,"['some', 'genuine,', 'and', 'some', 'not', 'quite', 'so', 'genuine.']"
27,00:03:15.528,00:03:18.823,"['And', ""what's"", 'great', 'is', 'that', 'lots', 'of', 'friends', 'have', 'ended', 'up', 'in', 'this', 'part', 'of', 'London.']"
28,00:03:18.907,00:03:22.243,"[""That's"", 'Tony,', 'for', 'example,', 'architect', 'turned', 'chef']"
29,00:03:22.327,00:03:25.788,"['who', 'recently', 'invested', 'all', 'the', 'money', 'he', 'ever', 'earned', 'in', 'a', 'new', 'restaurant.']"
30,00:03:25.872,00:03:29.208,"['And', 'so,', 'this', 'is', 'where', 'I', 'spend', 'my', 'days', 'and', 'years,']"
31,00:03:29.292,00:03:31.169,"['in', 'this', 'small', 'village', 'in', 'the', 'middle', 'of', 'the', 'city,']"
32,00:03:31.252,00:03:34.380,"['in', 'a', 'house', 'with', 'a', 'blue', 'door', 'that', 'my', 'wife', 'and', 'I', 'bought', 'together']"
33,00:03:34.464,00:03:38.259,"['before', 'she', 'left', 'me', 'for', 'a', 'man', 'who', 'looked', 'exactly', 'like', 'Harrison', 'Ford.']"
34,00:03:38.343,00:03:42.263,"['And', 'where', 'I', 'now', 'lead', 'a', 'strange', 'half-life', 'with', 'a', 'lodger', 'called...']"
35,00:03:42.347,00:03:43.348,['Spike?']
36,00:03:48.186,00:03:49.187,['Hi.']
37,00:03:49.270,00:03:52.482,"['You', ""couldn't"", 'help', 'me', 'with', 'an', 'incredibly', 'important', 'decision,', 'could', 'you?']"
38,00:03:52.565,00:03:54.525,"['Is', 'this', 'important', 'in', 'comparison', 'to,', ""let's"", 'say,']"
39,00:03:54.609,00:03:56.236,"['whether', 'they', 'should', 'cancel', 'Third', 'World', 'debt?']"
40,00:03:56.319,00:03:59.906,"[""That's"", 'right.', ""I'm"", 'at', 'last', 'going', 'out', 'on', 'a', 'date', 'with', 'the', 'great', 'Janine']"
41,00:03:59.989,00:04:02.075,"['and', 'I', 'just', 'wanna', 'be', 'sure', ""I've"", 'picked', 'the', 'right', 'T-shirt.']"
42,00:04:02.158,00:04:04.035,"['-What', 'are', 'the', 'choices?', '-Well,', 'wait', 'for', 'it.']"
43,00:04:12.377,00:04:15.255,"['First', ""there's"", 'this', 'one.', 'Cool,', 'huh?']"
44,00:04:15.964,00:04:20.093,"['Yeah,', 'it', 'might', 'make', 'it', 'hard', 'to', 'strike', 'a', 'really', 'romantic', 'note.']"
45,00:04:20.343,00:04:22.303,"['Point', 'taken.', ""Don't"", 'despair.']"
46,00:04:22.387,00:04:25.890,"['If', ""it's"", 'romance', ""we're"", 'looking', 'for,', 'I', 'believe', 'I', 'have', 'just', 'the', 'thing.']"
47,00:04:30.979,00:04:34.232,"['Yeah,', 'well,', 'there', 'again,', 'she', 'might', 'not', 'think', 'you', 'had', 'true', 'love', 'on', 'your', 'mind.']"
48,00:04:34.315,00:04:36.818,"['Right.', 'Just', 'one', 'more.']"
49,00:04:43.283,00:04:44.784,"['True', 'love,', 'here', 'I', 'come.']"
50,00:04:50.873,00:04:54.544,"['Well,', 'yeah.', 'Yeah,', ""that's,"", ""that's"", 'perfect.']"
51,00:04:55.878,00:04:59.257,"['Great.', 'Thanks.', 'Wish', 'me', 'luck.']"
52,00:05:00.049,00:05:01.175,"['Good', 'luck.']"
54,00:05:09.100,00:05:12.228,"['as', 'I', 'walked', 'the', 'thousand', 'yards', 'through', 'the', 'market', 'to', 'work,']"
55,00:05:12.312,00:05:16.524,"['never', 'suspecting', 'that', 'this', 'was', 'the', 'day', 'that', 'was', 'gonna', 'change', 'my', 'life', 'forever.']"
56,00:05:17.066,00:05:20.028,"['This', 'is', 'work,', 'by', 'the', 'way,', 'my', 'little', 'travel', 'bookshop.']"
57,00:05:21.487,00:05:22.405,"['Morning,', 'Martin.']"
58,00:05:22.488,00:05:23.740,"['Morning,', 'Monseigneur.']"
59,00:05:24.365,00:05:27.327,"['Which,', 'well,', 'sells', 'travel', 'books']"
60,00:05:27.410,00:05:30.788,"['and', 'to', 'be', 'frank', 'with', 'you,', ""doesn't"", 'always', 'sell', 'many', 'of', 'those.']"
61,00:05:34.667,00:05:35.793,['Classic.']
