num,start,end,script
2,00:00:56.765,00:00:59.267,"['DOCUMENTARY', 'FILMMAKER:']"
3,00:00:56.765,00:00:59.267,['Antarctica.']
4,00:00:59.309,00:01:02.563,"['An', 'inhospitable', 'wasteland.']"
5,00:01:02.604,00:01:05.941,"['But', 'even', 'here,', 'on']"
6,00:01:02.604,00:01:05.941,"['the', ""Earth's"", 'frozen', 'bottom,']"
7,00:01:05.983,00:01:07.943,"['we', 'find', 'life.']"
9,00:01:15.116,00:01:16.994,"['And', 'not', 'just', 'any', 'life.']"
10,00:01:21.498,00:01:23.458,['Penguins.']
12,00:01:23.500,00:01:26.085,"['Joyous,', 'frolicking,', 'waddling,']"
13,00:01:26.127,00:01:28.839,"['cute', 'and', 'cuddly', 'life.']"
15,00:01:28.881,00:01:31.967,"['Look', 'at', 'them', 'tumbling']"
16,00:01:32.009,00:01:34.261,"['onto', 'their', 'chubby', 'bum-bums.']"
17,00:01:34.302,00:01:37.180,"['Who', 'could', 'take', 'these']"
18,00:01:34.302,00:01:37.180,"['frisky', 'little', 'snow', 'clowns...']"
19,00:01:37.222,00:01:38.640,['Seriously?']
20,00:01:38.682,00:01:41.184,"['Does', 'anyone', 'even', 'know']"
21,00:01:38.682,00:01:41.184,"['where', ""we're"", 'marching', 'to?']"
22,00:01:41.226,00:01:43.270,"['Who', 'cares?']"
23,00:01:41.226,00:01:43.270,"['I', 'question', 'nothing.']"
24,00:01:43.311,00:01:45.313,"['Me,', 'too.']"
25,00:01:43.311,00:01:45.313,"['Me,', 'too.']"
26,00:01:43.311,00:01:45.313,"['Well,', 'fine!']"
27,00:01:45.355,00:01:47.441,"[""We'll"", 'just', 'fly']"
28,00:01:45.355,00:01:47.441,"['to', 'the', 'front', 'of', 'the', 'line']"
29,00:01:47.482,00:01:48.901,"['and', 'see', 'for', 'ourselves.']"
30,00:01:48.943,00:01:51.946,"['Kowalski!', 'Rico!']"
31,00:01:48.943,00:01:51.946,"['Engage', 'aerial', 'surveillance.']"
33,00:01:53.655,00:01:55.824,"['Here', 'we', 'go!']"
34,00:01:53.655,00:01:55.824,"['Doing', 'it!', 'Come', 'on!']"
35,00:01:55.866,00:01:57.868,"['Skipper,', 'we', 'appear']"
36,00:01:55.866,00:01:57.868,"['to', 'be', 'flightless.']"
37,00:01:57.910,00:01:59.703,"['Aw,', 'well,', ""what's""]"
38,00:01:57.910,00:01:59.703,"['the', 'point', 'of', 'these?']"
