start,end,script
00:00:45.128,00:00:50.258,"Thy kingdom come, thy will be done on earth as it is in heaven."
00:00:52.135,00:01:02.312,"Give us this day our daily bread, and forgive us our trespasses, as we forgive those who trespass against us."
00:01:04.314,00:01:09.402,"Lead us not into temptation, but deliver us from evil."
00:01:11.112,00:01:18.745,"For the kingdom, the power, and the glory are yours, now and forever."
00:01:19.204,00:01:21.331,Amen.
00:01:40.600,00:01:42.685,and with lows in the upper 20s.
00:01:42.769,00:01:45.522,There will likely be some refreeze on some of the roads.
00:01:45.605,00:01:53.154,"So, slick spots are possible tonight in isolated low-- You know the most important thing your granddad ever taught me?"
00:01:54.489,00:01:55.657,Hmm?
00:01:58.701,00:01:59.869,Be ready.
00:02:02.580,00:02:06.501,"Hurricane, flood, whatever it ends up being."
00:02:07.544,00:02:11.089,"No more food gets delivered to the grocery store, gas stations dry up."
00:02:12.340,00:02:14.050,"People just turn on each other, and, uh..."
00:02:16.052,00:02:19.889,"All of a sudden, all that stands between you and being dead is you."
00:02:25.812,00:02:27.230,"I'm proud of you, son."
00:02:28.565,00:02:30.233,It was a nice shot.
00:03:30.001,00:03:31.711,"Wait, wait, wait. I forgot something."
00:03:31.794,00:03:32.921,"Hold on a second, Anna!"
00:03:39.928,00:03:41.221,Are we taking the truck?
00:03:41.304,00:03:42.972,"We're going up the street, you dope."
00:03:46.643,00:03:47.810,Come on.
00:03:52.398,00:03:53.858,Give me a ride.
00:03:53.942,00:03:54.984,Here.
00:04:02.575,00:04:04.744,I got half of what I need saved from the summer.
00:04:04.827,00:04:06.371,-I thought maybe you'd-- -Forget it.
00:04:06.454,00:04:09.207,I can barely get enough carpentry work to keep up with the mortgage.
00:04:10.458,00:04:12.961,"Well, why don't you rent out grandpa's old apartment house?"
00:04:14.587,00:04:18.424,"Like I keep telling your mother, it's an old building, and it'll cost a fortune to fix it up."
00:04:41.614,00:04:43.574,-Happy Thanksgiving. -Happy Thanksgiving.
00:04:45.076,00:04:46.202,"Oh, for God's sake, Keller. Get the hell in here."
00:04:51.749,00:04:53.501,"Keller, you got the deer you shot?"
00:04:53.584,00:04:55.003,-This one's Ralph's. -Yeah.
00:04:55.086,00:04:56.713,"Well, you killed it, you take it into the kitchen."
00:04:56.796,00:04:57.839,Thank you.
00:04:57.922,00:04:59.465,-Happy Thanksgiving. -Happy Thanksgiving.
00:05:02.719,00:05:06.222,"All right. Joy. Joy, three times."
00:05:06.306,00:05:09.434,"-Joy, get your dolls off the table. -Y'all missing the game."
00:05:10.977,00:05:12.729,Hey. Happy Thanksgiving.
00:05:12.812,00:05:14.230,"Anna, come here."
00:05:15.273,00:05:16.941,We wait until we're invited. You understand?
00:05:19.986,00:05:22.655,Us veterinarians make lousy butchers.
00:05:27.243,00:05:28.995,Can I go outside with Joy?
00:05:29.078,00:05:32.081,"Uh, convince your brother to go with you, and you can."
00:05:32.165,00:05:33.541,All right.
00:05:34.334,00:05:35.793,"And wear a hat, please."
00:05:35.877,00:05:37.378,You're just getting over a cold.
00:05:37.462,00:05:38.838,"Joy, you wear a hat, too."
00:05:48.598,00:05:50.558,That's... that's what my dad says.
00:05:50.641,00:05:53.644,"And the deer, if they have too many babies, then the babies starve anyway."
00:05:53.728,00:05:55.688,-You gotta keep the population down. -Right.
00:05:57.106,00:05:58.316,"Your dad say that, too?"
00:06:00.526,00:06:02.612,"Hey, hey! Get away from that thing!"
00:06:02.695,00:06:04.363,Let me see that.
00:06:04.447,00:06:06.491,"-Come on, let's go. -No."
00:06:06.574,00:06:08.451,"I said let's go! Hey, hey, hey, hey, hey."
00:06:08.534,00:06:10.703,Stop. You can't just take somebody's stuff like that.
00:06:10.787,00:06:12.038,No! Let's go!
00:06:12.121,00:06:13.206,"Come on. Come on, come on, come on."
00:06:14.457,00:06:16.501,Wait. Shh. You hear that?
00:06:18.002,00:06:19.545,Somebody's in there.
00:06:20.129,00:06:21.756,"All right, I don't feel like getting yelled at."
00:06:21.839,00:06:23.216,"Let's go. Not on Thanksgiving, okay?"
00:06:36.562,00:06:38.523,there's no money for new marching-band uniforms.
00:06:38.606,00:06:42.360,"These kids are wearin' the same uniforms they had when we went there, and they were old then."
00:06:45.655,00:06:47.782,Why isn't he speaking to me?
00:06:47.865,00:06:49.283,He doesn't speak.
00:06:50.952,00:06:52.703,-Cutie pie. -Mm-hmm.
00:06:52.787,00:06:54.205,"-Oh, my gosh! -Whoa."
00:06:54.288,00:06:56.040,"He's fast, too."
00:06:57.041,00:06:59.460,He's so quick. Is that a slide?
