word,counts
know,73
just,69
right,67
tell,56
gon,53
where,49
go,48
come,47
here,42
all,33
now,32
there,32
look,30
can,29
said,29
girls,28
want,28
let,27
when,26
need,25
why,25
think,24
got,22
make,21
man,21
wait,20
find,19
say,19
okay,19
take,19
daughter,18
in,18
house,18
see,18
put,18
day,17
police,17
found,17
ca,17
so,17
could,17
guy,16
show,16
home,16
fucking,16
more,16
help,16
stop,15
night,15
understand,15
then,15
would,15
time,14
away,14
never,14
little,13
fuck,13
how,13
give,13
last,13
told,13
hands,12
car,12
good,12
thought,12
rv,12
came,12
keep,12
sorry,11
back,11
huh,11
sure,11
out,11
too,11
talk,10
shit,10
lot,10
joy,10
hear,10
way,10
husband,10
name,9
left,9
saying,9
much,9
move,9
call,9
took,9
done,9
thing,9
doing,9
thank,9
kids,8
fuckin,8
maybe,8
maze,8
listen,8
parking,8
parked,8
asking,8
stay,7
girl,7
drink,7
people,7
mind,7
seen,7
other,7
will,7
only,7
days,7
whistle,7
happened,7
better,7
goin,7
around,7
aunt,6
open,6
old,6
mom,6
year,6
head,6
children,6
run,6
clothes,6
forgive,6
street,6
should,6
start,6
sleep,6
very,6
heard,5
basement,5
baby,5
new,5
comes,5
hurt,5
still,5
read,5
turn,5
ran,5
sit,5
trouble,5
wife,5
made,5
playing,5
same,5
many,5
as,5
doin,5
ever,5
morning,5
gone,5
wo,5
detector,5
best,5
believe,5
walk,5
get,5
years,5
minute,5
bring,5
die,5
used,5
lie,5
wanted,5
slow,5
scared,4
door,4
knows,4
dead,4
killed,4
down,4
love,4
lost,4
dog,4
long,4
second,4
dad,4
custody,4
drawing,4
looking,4
hell,4
shoot,4
hmm,4
talks,4
taking,4
bodies,4
cops,4
real,4
one,4
ask,4
woods,4
question,4
always,4
family,4
alone,4
work,4
ai,4
half,4
probably,4
soon,4
place,4
point,4
feel,4
shut,4
week,4
nod,4
son,4
drive,4
tryin,4
map,4
room,4
driving,4
mean,4
kid,4
up,4
gave,4
check,4
telling,4
getting,4
spent,4
needs,4
mother,4
missing,4
father,3
hurry,3
else,3
either,3
inside,3
supposed,3
face,3
following,3
hours,3
table,3
kingdom,3
fine,3
store,3
surveillance,3
suspect,3
guess,3
somewhere,3
detective,3
parents,3
happy,3
boy,3
boss,3
born,3
book,3
of,3
before,3
went,3
bad,3
over,3
asshole,3
going,3
anyway,3
watch,3
anymore,3
wool,3
already,3
person,3
alive,3
ahead,3
ago,3
again,3
guys,3
accident,3
about,3
possibilities,3
red,3
song,3
next,3
means,3
today,3
fortune,3
like,3
helped,3
touch,3
front,3
cried,3
couple,3
corpse,3
truck,3
considering,3
close,3
clear,3
few,3
case,3
building,3
choice,3
use,3
must,3
rest,3
hard,3
hat,3
gets,3
camper,3
snakes,2
hide,2
gun,2
slowly,2
hope,2
hoping,2
somethin,2
happen,2
hold,2
hand,2
a,2
sleeps,2
money,2
recognize,2
reconcile,2
none,2
noise,2
remember,2
monkey,2
mmm,2
id,2
requests,2
miss,2
responsible,2
might,2
messing,2
ride,2
reason,2
ones,2
outside,2
own,2
questions,2
paper,2
questioning,2
park,2
protect,2
property,2
promise,2
priest,2
pretty,2
prepare,2
pray,2
power,2
possible,2
maze-book,2
matters,2
mannequins,2
kind,2
idea,2
imitation,2
influence,2
innocent,2
sister,2
singing,2
investigation,2
invisible,2
jail,2
shower,2
job,2
shot,2
keys,2
kill,2
kitchen,2
making,2
late,2
send,2
lead,2
least,2
