num,start,end,script
28,00:01:21.963,00:01:25.713,"['You', 'know,', ""you're"", 'not', 'supposed', 'to', 'buy', 'your', 'own', 'birthday', 'breakfast.']"
30,00:01:27.963,00:01:29.796,"['-I', 'hate', 'birthdays.', 'But', 'I', 'love', 'you', 'though.', '-Yeah.']"
31,00:01:33.755,00:01:34.713,"['So', 'you', 'want', 'some?']"
32,00:01:35.255,00:01:38.046,"['-Yeah,', 'when', 'I', 'get', 'out', 'of', 'the', 'shower,', 'baby.', '-I', ""wasn't"", 'talking', 'about', 'that.']"
33,00:01:38.921,00:01:39.921,"['-Oh,', 'no?', '-No.']"
34,00:01:40.005,00:01:43.255,"[""That's"", 'not', 'what', ""you're"", 'talking', 'about?', 'Oh,', 'happy', 'birthday', 'to', 'me.']"
35,00:01:43.338,00:01:44.171,['Uh-huh.']
36,00:01:50.713,00:01:51.796,"[""That's"", 'a', 'hot', 'outfit.']"
37,00:01:52.296,00:01:53.588,"['I', 'need', 'to', 'look', 'professional.']"
38,00:01:53.671,00:01:55.671,"['Relax,', 'okay?', 'Everyone', 'there', 'loves', 'you.']"
39,00:01:56.213,00:01:58.421,"['I', 'just...', 'I', ""don't"", 'know', 'if', 'I', 'can', 'do', 'this.']"
40,00:01:59.255,00:02:01.921,"['Every', 'manager', 'at', 'our', 'company', 'has', 'a', 'college', 'degree.']"
41,00:02:02.421,00:02:04.005,"['Yeah,', 'well,', ""I'd"", 'argue', 'that...']"
42,00:02:04.546,00:02:07.713,"['fifteen', ""years'"", 'experience', 'is', 'worth,', 'what,', 'ten', 'degrees?']"
43,00:02:08.796,00:02:10.463,"['-Not', 'to', 'these', 'people.', '-Oh.']"
44,00:02:11.630,00:02:12.713,"['But', 'thank', 'you.']"
45,00:02:24.463,00:02:25.755,"['I', 'need', 'you', 'today,', 'Abuela.']"
46,00:02:25.838,00:02:29.130,"['Just', 'remember', 'that', 'they', 'need', 'you', 'more', 'than', 'you', 'need', 'them,', 'okay?']"
47,00:02:29.213,00:02:31.630,"['-Look,', ""I'm"", 'just', 'trying', 'to', 'stay', 'focused.', '-Yeah.']"
48,00:02:31.713,00:02:33.005,"['Keep', 'my', 'eye', 'on', 'the', 'ball.']"
49,00:02:33.588,00:02:35.755,"['-Did', 'you', 'just', 'sports-metaphor', 'me?', '-Oh,', 'God.']"
50,00:02:35.838,00:02:38.296,"['Hey,', 'you', 'know,', 'just', 'take', 'it', 'one', 'game', 'at', 'a', 'time.']"
51,00:02:38.380,00:02:39.838,"['What', 'if', 'Weiskopf', ""doesn't"", 'like', 'me?']"
52,00:02:39.921,00:02:42.171,"['Well,', ""it's"", 'a', 'game', 'of', 'inches.', ""You've"", 'got', 'to', 'give', 'them', '110%.']"
53,00:02:42.255,00:02:43.130,"[""I'm"", 'ignoring', 'you.']"
54,00:02:43.213,00:02:46.380,"['Do', 'you', 'like,', '""It\'s', 'an', 'honor', 'to', 'meet', 'you,', 'Mr.', 'Weiskopf""?', 'Or', 'is', 'that--']"
55,00:02:46.463,00:02:48.380,"['-Too', 'ass-kissy.', '-Yeah,', 'okay.']"
56,00:02:49.755,00:02:51.171,"['I', 'have', 'to', 'get', 'this,', 'Trey.']"
57,00:02:51.255,00:02:52.130,"['Hey,', 'look...']"
58,00:02:53.255,00:02:55.630,"['The', 'only', 'thing', 'with', 'a', 'prayer', 'of', 'stopping', 'you...']"
59,00:02:56.130,00:02:57.255,"['is', 'you.']"
60,00:03:00.046,00:03:01.088,"[""I'm"", 'going', 'to', 'be', 'late.']"
61,00:03:01.171,00:03:02.130,['Okay.']
62,00:03:02.630,00:03:03.963,"['-Knock', ""'em"", 'dead.', '-Okay.']"
63,00:03:05.421,00:03:07.588,"['Your', 'ass', 'looks', 'great', 'in', 'those', 'jeans,', 'by', 'the', 'way.']"
64,00:03:07.671,00:03:10.171,"['Again?', 'You', 'know,', ""I'm"", 'not', 'a', 'piece', 'of', 'meat.']"
65,00:03:10.255,00:03:12.005,"['Okay,', 'but', ""we're"", 'gonna', 'have', 'to', 'make', 'this', 'quick.']"
66,00:03:12.088,00:03:12.921,['Bye!']
67,00:03:13.005,00:03:14.588,"['Okay.', 'Bye!']"
73,00:03:29.088,00:03:31.546,"['to', 'show', 'you', 'what', ""we've"", 'been', 'doing', 'at', 'Value', 'Shop', '151.']"
75,00:03:34.046,00:03:37.796,"['Ozone', 'Park', 'Value', 'Shop', 'outsells', 'its', 'nearest', 'competition', 'twice', 'over.']"
76,00:03:38.380,00:03:39.380,"['Let', 'me', 'show', 'you', 'why.']"
77,00:03:39.880,00:03:41.671,"['Welcome', 'to', 'our', 'online', 'store.']"
78,00:03:42.213,00:03:44.630,"['My', 'best', 'friend,', 'Joan', 'Volpintesta,', 'fellow', 'employee,']"
79,00:03:44.713,00:03:47.380,"['sends', 'her', 'son', 'Dilly', 'into', 'the', 'store', 'with', 'his', 'cell', 'phone']"
80,00:03:47.463,00:03:50.380,"['to', 'hold', 'up', 'every', 'single', 'cut', 'of', 'sirloin', 'for', 'her', 'beef', 'braciola.']"
81,00:03:51.338,00:03:52.338,"[""That's"", 'when', 'it', 'hit', 'me.']"
82,00:03:52.421,00:03:54.088,"[""It's"", 'a', 'live', 'feed.', 'Interesting.']"
83,00:03:54.171,00:03:58.088,"['Yes.', 'From', 'home,', 'our', 'subscribers', 'can', 'pick', 'a', 'certain', 'cut', 'of', 'salmon,']"
84,00:03:58.171,00:03:59.380,"['the', 'third', 'lemon', 'from', 'the', 'back.']"
85,00:03:59.880,00:04:01.005,"['Anything', 'they', 'want.']"
86,00:04:01.088,00:04:04.130,"['They', 'shop', 'before', 'noon,', 'we', 'deliver', 'by', 'six,', '20-mile', 'radius.']"
87,00:04:04.213,00:04:06.213,"['Expands', 'our', 'community,', 'expands', 'our', 'volume.']"
88,00:04:06.296,00:04:08.005,"['And', 'expands', 'our', 'profits', 'nicely.']"
89,00:04:08.505,00:04:10.505,"['And', 'this', 'is', 'where', 'it', 'all', 'began.']"
90,00:04:11.088,00:04:12.546,"['-Monday', 'Moms?', '-Yes.']"
91,00:04:12.630,00:04:14.130,"['This', 'was', 'all', ""Maya's"", 'idea.']"
92,00:04:14.880,00:04:16.213,"['Meet', 'the', 'aforementioned', 'Joan.']"
93,00:04:16.713,00:04:18.171,"['-Hello.', '-Well,', 'hello.']"
94,00:04:18.255,00:04:21.796,"['Hi.', ""I'm"", 'a', 'mom', 'of', 'two', 'kids']"
95,00:04:21.880,00:04:23.630,"['and', 'I', 'have', 'a', 'deadbeat', 'ex']"
96,00:04:23.713,00:04:26.880,"['and', 'I', 'was', 'sharing', 'my', 'woes', 'with', 'some', 'other', 'moms']"
97,00:04:26.963,00:04:30.713,"['when', 'Maya', 'smartly', 'suggested', 'that', 'we', 'start', 'a', 'weekly', 'bitch', 'fest--']"
98,00:04:30.796,00:04:31.963,"['-Social', 'club.', '-A', 'social', 'club.']"
99,00:04:32.046,00:04:34.838,"['You', 'know,', 'cater', 'to', 'Monday', 'moms,', 'or', 'dads...']"
100,00:04:35.421,00:04:36.921,"['and', 'it', 'just', 'grew', 'from', 'there.']"
101,00:04:37.005,00:04:39.505,"['Wait,', 'are', 'you', 'talking', 'customers', 'or', 'staff?']"
103,00:04:41.546,00:04:44.671,"['Suzi', 'DaVinci.', 'I', 'call', 'it', 'Value', 'Shop', 'therapy.']"
104,00:04:44.755,00:04:45.880,"[""We're"", 'like', 'shopping', 'friends.']"
105,00:04:45.963,00:04:47.921,"['We', 'swap', 'stories,', 'coupons--']"
107,00:04:50.630,00:04:52.255,"['I', ""don't"", 'even', 'know', 'what', 'to', 'say,']"
108,00:04:52.338,00:04:54.463,"['except', ""Arthur's"", 'going', 'to', 'be', 'extremely', 'fortunate']"
109,00:04:54.546,00:04:56.088,"['to', 'have', 'you', 'as', 'a', 'first', 'lieutenant.']"
110,00:04:56.171,00:04:58.755,"['So', ""I'm"", 'going', 'to', 'leave', 'you', 'alone', 'to', 'get', 'to', 'know', 'each', 'other', 'better.']"
111,00:05:02.630,00:05:04.046,"['Mr.', 'Weiskopf,', 'can', 'I', 'have', 'a', 'minute?']"
112,00:05:04.130,00:05:05.046,"['You', 'can', 'have', 'two.']"
113,00:05:05.546,00:05:06.463,"['Thank', 'you.']"
114,00:05:07.380,00:05:09.005,"['I', 'prepared', 'for', 'this', 'meeting', 'for', 'weeks.']"
115,00:05:09.088,00:05:10.255,"['And', 'you', 'did', 'great.']"
116,00:05:12.755,00:05:13.630,"['I', 'put...']"
117,00:05:14.130,00:05:16.380,"['fifteen', 'years', 'of', 'my', 'life', 'into', 'this', 'store,']"
