num,start,end,script
1,00:00:37.204,00:00:39.247,"['MOBSTER', '1:']"
3,00:00:39.289,00:00:40.916,"['MOBSTER', '2:']"
7,00:00:42.417,00:00:44.545,"['DON:', 'Wait!']"
8,00:00:42.417,00:00:44.545,"['I', 'gotta', 'call', 'it', 'in!']"
10,00:00:47.046,00:00:48.089,"['MAN:', 'Move', 'it!']"
13,00:00:57.098,00:00:58.099,"['MOBSTER', '4:', 'Hey!']"
14,00:00:59.727,00:01:01.102,"['Bobby,', 'you', 'hear', 'me?']"
15,00:01:07.902,00:01:09.486,"['Right', 'there,', 'motherfucker!']"
19,00:01:26.587,00:01:28.005,"['LITTLE', 'TONY:', 'Please!']"
20,00:01:28.047,00:01:30.049,"['Just', 'fucking', 'stop,', 'man!']"
21,00:01:30.089,00:01:31.759,"['Just', 'put', 'the', 'gun', 'down!']"
23,00:01:37.056,00:01:38.097,['Please.']
24,00:01:39.140,00:01:40.809,"[""I'm"", 'fucking', 'begging', 'you.']"
25,00:01:40.851,00:01:43.520,"['I', ""didn't"", 'touch', 'him!']"
26,00:01:40.851,00:01:43.520,"['I', ""didn't"", 'touch', 'that', 'old', 'man!']"
30,00:02:10.130,00:02:12.967,"['YOUNG', 'CHRIS:', 'Worse', 'on', 'Friday']"
31,00:02:10.130,00:02:12.967,"['Died', 'on', 'Saturday']"
32,00:02:13.008,00:02:14.342,"['Buried', 'on', 'Sunday']"
33,00:02:14.384,00:02:17.178,"['That', 'was', 'the', 'end']"
34,00:02:14.384,00:02:17.178,"['Of', 'Solomon', 'Grundy']"
35,00:02:17.220,00:02:19.974,"['Solomon', 'Grundy']"
36,00:02:17.220,00:02:19.974,"['Born', 'on', 'a', 'Monday']"
37,00:02:20.015,00:02:21.558,"['Christened', 'on', 'Tuesday']"
39,00:02:23.978,00:02:26.021,"['Justine,', 'please.']"
40,00:02:29.483,00:02:32.903,"['NEUROLOGIST:', ""It's"", 'called']"
41,00:02:29.483,00:02:32.903,"['""stimming,""', 'self-stimulation.']"
42,00:02:32.945,00:02:36.073,"['Whereas', 'you', 'and', 'I', 'might']"
43,00:02:32.945,00:02:36.073,"['tap', 'our', 'fingers...']"
44,00:02:36.115,00:02:38.742,"['grind', 'our', 'teeth,']"
45,00:02:36.115,00:02:38.742,"['bite', 'our', 'nails...']"
46,00:02:38.784,00:02:40.702,"['your', 'son', 'rocks']"
47,00:02:38.784,00:02:40.702,"['back', 'and', 'forth.']"
48,00:02:40.744,00:02:43.664,"[""It's"", 'more', 'obvious,']"
49,00:02:40.744,00:02:43.664,"['but', 'perfectly', 'natural.']"
50,00:02:43.705,00:02:45.040,"['We', 'came', 'here', 'because']"
51,00:02:45.082,00:02:47.250,"['we', 'heard', 'you']"
52,00:02:45.082,00:02:47.250,"['specialized', 'in,', 'uh...']"
53,00:02:47.292,00:02:49.336,"['What', 'is', 'it?']"
54,00:02:47.292,00:02:49.336,"['What', 'does', 'he', 'have?']"
55,00:02:49.377,00:02:52.589,"[""I'm"", 'not', 'a', 'fan']"
56,00:02:49.377,00:02:52.589,"['of', 'labels,', ""ma'am.""]"
57,00:02:52.631,00:02:55.467,"['Your', 'son', 'is']"
58,00:02:52.631,00:02:55.467,"['a', 'remarkable', 'young', 'man.']"
59,00:02:55.509,00:02:58.386,"[""CHRIS'"", 'MOTHER:', 'Who', 'goes', 'crazy']"
60,00:02:55.509,00:02:58.386,"['when', 'you', 'turn', 'the', 'vacuum', 'on.']"
61,00:02:58.428,00:03:01.598,"['He', 'wears', 'one', 'T-shirt,']"
62,00:02:58.428,00:03:01.598,"[""won't"", 'let', 'you', 'hug', 'him.']"
63,00:03:01.640,00:03:03.642,['NEUROLOGIST:']
64,00:03:01.640,00:03:03.642,"['Loud', 'noises,', 'bright', 'lights...']"
65,00:03:03.684,00:03:07.104,"['can', 'be', 'especially', 'difficult']"
66,00:03:03.684,00:03:07.104,"['for', 'someone', 'like', 'your', 'son.']"
67,00:03:07.146,00:03:10.649,"['The', 'shirt,', 'most', 'likely']"
68,00:03:07.146,00:03:10.649,"['fabric', 'sensitivity.']"
70,00:03:11.984,00:03:13.944,"['Hugging,']"
71,00:03:11.984,00:03:13.944,"['closeness,', 'touching...']"
72,00:03:13.986,00:03:15.194,"['Justine,', 'no', 'shoes', 'today.']"
