words,counts
bruno,44
well,30
one,24
know,22
go,20
come,18
think,18
like,18
yes,15
want,14
see,14
oh,14
going,14
would,13
dad,13
move,13
really,12
friends,12
back,11
away,11
could,11
jew,11
children,11
look,10
still,10
father,10
time,10
make,10
hmm,10
books,9
get,9
little,9
herr,9
good,9
us,9
people,9
thing,9
right,8
farm,8
around,8
let,8
find,8
something,8
day,8
work,8
home,8
man,7
though,7
coming,7
say,7
old,7
never,7
gretel,7
swing,7
pajamas,7
ralf,7
shmuel,7
play,6
must,6
mum,6
getting,6
got,6
kommandant,6
place,6
nice,6
camp,6
thought,6
new,6
mother,6
told,6
bad,6
better,6
bit,6
thank,5
long,5
seen,5
life,5
believe,5
ever,5
country,5
history,5
course,5
house,5
strange,5
even,5
smell,5
somewhere,5
sorry,5
great,5
uh,5
goodbye,5
bring,5
miss,4
sort,4
might,4
much,4
elsa,4
stop,4
soldier,4
everything,4
duty,4
take,4
evil,4
maria,4
making,4
grandma,4
family,4
finish,4
understand,4
grandpa,4
dangerous,4
world,4
perhaps,4
proud,4
afraid,4
pavel,4
game,4
wanted,4
horrible,4
part,4
papa,4
exploring,4
feel,4
end,4
liszt,4
thee,4
things,4
doctor,4
called,4
lieutenant,4
two,4
says,4
number,3
cellar,3
mm,3
dear,3
playing,3
sick,3
silly,3
moment,3
room,3
sit,3
party,3
else,3
done,3
care,3
reading,3
different,3
reason,3
clothes,3
said,3
nation,3
sure,3
missing,3
luck,3
looked,3
ball,3
today,3
literature,3
farmers,3
kotler,3
anyway,3
anything,3
important,3
hut,3
wait,3
war,3
wear,3
went,3
garden,3
adventure,3
help,3
gave,3
wish,3
teach,3
dare,3
berlin,3
best,3
maybe,3
men,3
boy,3
exciting,3
made,3
miles,3
enjoy,3
expect,3
start,3
enemy,3
mom,2
forties,2
outside,2
forward,2
everyone,2
means,2
meant,2
grow,2
die,2
front,2
destructive,2
morning,2
hey,2
hair,2
density,2
helping,2
hard,2
peel,2
football,2
poor,2
give,2
please,2
heard,2
piece,2
died,2
join,2
food,2
farmer,2
eight,2
name,2
nathalie,2
explorer,2
need,2
lots,2
extra,2
lord,2
lives,2
news,2
newspapers,2
live,2
fair,2
dolls,2
jews,2
moving,2
left,2
enemies,2
offer,2
fatherland,2
fell,2
potatoes,2
master,2
kitchen,2
ones,2
opportunity,2
fight,2
love,2
obviously,2
professor,2
tires,2
week,2
almost,2
visiting,2
charge,2
allowed,2
waiting,2
supper,2
suppose,2
chimneys,2
school,2
surely,2
sweetheart,2
satchel,2
sandwich,2
um,2
tutor,2
stupid,2
sitting,2
tomorrow,2
came,2
anyone,2
used,2
animals,2
burn,2
spare,2
amen,2
soon,2
stuff,2
cannot,2
vermin,2
soldiers,2
careful,2
always,2
carry,2
way,2
saw,2
weeks,2
took,2
put,2
thousands,2
workers,2
probably,2
working,2
tiny,2
presumably,2
within,2
worse,2
tonight,2
yeah,2
tire,2
cut,2
yet,2
without,2
anymore,2
read,2
real,2
resurrection,2
collapse,2
ask,2
tell,2
taught,2
window,2
arrived,1
fiction,1
felt,1
apparently,1
appropriate,1
fighting,1
argue,1
favor,1
arose,1
attached,1
favorite,1
aware,1
asks,1
fed,1
available,1
authorities,1
aunt,1
art,1
families,1
attended,1
armor,1
feels,1
fellowship,1
date,1
film,1
ages,1
affairs,1
adult,1
gather,1
germans,1
adore,1
ghost,1
girls,1
add,1
actual,1
given,1
glasses,1
glorious,1
god,1
activity,1
achieved,1
absolutely,1
able,1
age,1
games,1
filth,1
ago,1
angels,1
finds,1
ample,1
fingers,1
first,1
forget,1
forms,1
also,1
found,1
friend,1
alike,1
airing,1
full,1
funerals,1
funny,1
air,1
ah,1
forgot,1
explore,1
failed,1
dressed,1
color,1
disagreements,1
clock,1
cleaning,1
disloyal,1
clean,1
choose,1
disturbed,1
choices,1
chocolate,1
facts,1
childhood,1
child,1
dressing,1
check,1
earth,1
chat,1
easier,1
chance,1
certainly,1
dig,1
complete,1
congratulations,1
continue,1
days,1
dead,1
current,1
cupboards,1
death,1
culture,1
decide,1
creative,1
create,1
delighted,1
cowards,1
cover,1
countryside,1
deserved,1
destiny,1
costumes,1
corrupted,1
cookery,1
control,1
centrally,1
easy,1
celebrate,1
boot,1
everywhere,1
body,1
blessing,1
example,1
except,1
bleed,1
big,1
bicycle,1
belongs,1
daddy,1
explored,1
behind,1
bedroom,1
bed,1
extremely,1
become,1
fact,1
factory,1
bandage,1
bombed,1
boots,1
either,1
everybody,1
caught,1
case,1
carried,1
cap,1
elsewhere,1
cakes,1
caf,1
bye,1
business,1
enthusiasm,1
entire,1
building,1
build,1
brought,1
eventual,1
bounds,1
boring,1
everlasting,1
every,1
youth,1
looking,1
government,1
speak,1
shower,1
side,1
situation,1
slandered,1
sleep,1
small,1
smaller,1
smells,1
someone,1
sometime,1
sometimes,1
sorrows,1
sorting,1
sound,1
special,1
grandmother,1
spend,1
spending,1
