num,start,end,script
2,00:00:37.329,00:00:40.875,['MAN:']
3,00:00:37.329,00:00:40.875,"['I', ""don't"", 'wanna', 'be', 'a', 'product']"
4,00:00:37.329,00:00:40.875,"['of', 'my', 'environment.']"
5,00:00:40.875,00:00:45.796,"['I', 'want', 'my', 'environment']"
6,00:00:40.875,00:00:45.796,"['to', 'be', 'a', 'product', 'of', 'me.']"
7,00:00:49.800,00:00:52.093,"['Years', 'ago,', 'we', 'had', 'the', 'Church.']"
8,00:00:52.093,00:00:55.931,"['That', 'was', 'only', 'a', 'way', 'of', 'saying']"
9,00:00:52.093,00:00:55.931,"['we', 'had', 'each', 'other.']"
11,00:00:58.642,00:01:00.352,"['But', 'now,', 'I', ""don't"", 'know,']"
12,00:00:58.642,00:01:00.352,"[""it's"", 'a', 'funny', 'thing.']"
13,00:01:00.352,00:01:02.897,"['I--', ""I'm,"", 'uh--']"
14,00:01:00.352,00:01:02.897,"['It', 'put', 'hate', 'in', 'your', 'heart.']"
15,00:01:03.814,00:01:05.566,['MAN:']
16,00:01:03.814,00:01:05.566,"['The', 'Knights', 'of', 'Columbus']"
17,00:01:05.566,00:01:08.736,"['were', 'real', 'head-breakers,']"
18,00:01:05.566,00:01:08.736,"['true', 'guineas.']"
19,00:01:08.736,00:01:11.739,"['They', 'took', 'over']"
20,00:01:08.736,00:01:11.739,"['their', 'piece', 'of', 'the', 'city.']"
21,00:01:13.741,00:01:17.870,"['Twenty', 'years', 'after', 'an', 'Irishman']"
22,00:01:13.741,00:01:17.870,"[""couldn't"", 'get', 'a', 'fucking', 'job,']"
23,00:01:17.870,00:01:22.791,"['we', 'had', 'the', 'presidency--']"
24,00:01:17.870,00:01:22.791,"['May', 'he', 'rest', 'in', 'peace.']"
25,00:01:22.791,00:01:25.753,"[""That's"", 'what', 'the', 'niggers']"
26,00:01:22.791,00:01:25.753,"[""don't"", 'realize.']"
27,00:01:25.753,00:01:29.006,"['If', 'I', 'got', 'one', 'thing']"
28,00:01:25.753,00:01:29.006,"['against', 'the', 'black', 'chappies,']"
29,00:01:29.006,00:01:30.340,"[""it's"", 'this.']"
30,00:01:30.340,00:01:32.509,"['No', 'one', 'gives', 'it', 'to', 'you.']"
31,00:01:32.509,00:01:34.678,"['You', 'have', 'to', 'take', 'it.']"
38,00:01:56.033,00:01:59.703,"['Vin,', ""don't"", 'make', 'me', 'have', 'to', 'come']"
39,00:01:56.033,00:01:59.703,"['down', 'here', 'again', 'for', 'this.']"
40,00:01:59.703,00:02:01.204,"[""Won't"", 'happen', 'again,']"
41,00:01:59.703,00:02:01.204,"['Mr.', 'C.']"
44,00:02:04.666,00:02:07.920,"[""Carmen's"", 'developing']"
45,00:02:04.666,00:02:07.920,"['into', 'a', 'fine', 'young', 'lady.']"
46,00:02:09.046,00:02:11.256,"['You', 'should', 'be', 'proud.']"
50,00:02:23.268,00:02:25.520,"['You', 'get', 'your', 'period', 'yet,']"
51,00:02:23.268,00:02:25.520,['Carmen?']
59,00:02:43.330,00:02:45.040,"['You', 'Johnny', ""Sullivan's"", 'kid?']"
60,00:02:46.708,00:02:48.460,"['You', 'live']"
61,00:02:46.708,00:02:48.460,"['with', 'your', 'grandmother?']"
62,00:02:48.794,00:02:50.045,['Yeah.']
63,00:02:50.045,00:02:52.923,"['Vin,', 'get', 'him', 'couple']"
64,00:02:50.045,00:02:52.923,"['loaves', 'of', 'bread,']"
65,00:02:52.923,00:02:54.299,"['couple', 'half-gallons']"
66,00:02:52.923,00:02:54.299,"['of', 'milk.']"
67,00:02:54.299,00:02:56.010,"['You', 'like', 'bologna']"
68,00:02:54.299,00:02:56.010,"['and', 'cheese?']"
69,00:02:56.010,00:02:57.385,"['Give', 'him']"
70,00:02:56.010,00:02:57.385,"['some', 'cold', 'cuts.']"
71,00:02:57.385,00:02:59.387,"['Throw', 'some', 'mayo', 'in.']"
72,00:02:59.387,00:03:01.348,"['You', 'like', 'comic', 'books?']"
73,00:03:03.558,00:03:06.103,"['You', 'do', 'good', 'in', 'school?']"
74,00:03:07.021,00:03:08.105,['Yeah.']
75,00:03:08.105,00:03:09.106,"[""That's"", 'good.']"
76,00:03:09.106,00:03:11.066,"['I', 'did', 'too.']"
77,00:03:11.066,00:03:13.110,"['They', 'call', 'that', 'a', 'paradox.']"
78,00:03:15.029,00:03:17.739,"['Just', 'keep', 'it.']"
79,00:03:15.029,00:03:17.739,"['Buy', 'yourself', 'some', 'makeup.']"
81,00:03:22.369,00:03:26.123,"['You', 'ever', 'wanna', 'earn']"
82,00:03:22.369,00:03:26.123,"['a', 'little', 'extra', 'money,']"
83,00:03:26.123,00:03:28.876,"['you', 'come', 'by', 'L', 'Street.']"
84,00:03:28.876,00:03:30.878,"['You', 'know', 'where', 'I', 'am']"
85,00:03:28.876,00:03:30.878,"['on', 'L', 'Street?']"
86,00:03:30.878,00:03:32.046,['Good.']
87,00:03:33.421,00:03:34.631,"['Good', 'boy.']"
88,00:03:33.421,00:03:34.631,['Thanks.']
90,00:03:37.342,00:03:38.927,['PRIEST:']
91,00:03:37.342,00:03:38.927,"['To', 'you,', 'O', 'Lord,']"
92,00:03:38.927,00:03:42.014,"['we', 'commend', 'the', 'soul']"
93,00:03:38.927,00:03:42.014,"['of', 'Alphonsus,', 'your', 'servant.']"
