words,counts
fucking,158
know,148
right,130
yeah,128
get,97
got,89
fuck,86
costello,62
like,54
one,53
gonna,52
guy,50
want,50
come,49
hey,47
man,47
go,46
see,46
good,45
cop,44
oh,44
something,38
queenan,36
guys,36
frank,36
huh,34
let,34
tell,33
look,32
would,32
uh,32
think,32
well,30
okay,28
give,28
mean,27
need,26
rat,25
people,25
back,24
colin,24
say,22
put,22
time,22
us,21
money,20
take,20
maybe,19
french,18
could,18
dignam,18
anything,18
going,18
find,17
wanna,17
phone,17
make,17
work,17
sorry,17
mother,17
police,17
yes,16
fuckin,16
billy,16
shit,16
said,16
thing,16
listen,15
fbi,15
two,15
call,15
gotta,15
came,15
dead,14
nothing,14
job,14
sergeant,14
sure,14
talk,14
keep,13
stop,13
thank,13
help,13
mr,12
em,12
undercover,12
state,12
never,12
cops,12
captain,12
last,12
jackie,12
little,11
bad,11
inside,11
new,11
uncle,11
everybody,11
night,11
still,11
god,11
getting,11
run,11
old,11
wrong,10
may,10
costigan,10
thought,10
hi,10
sir,10
even,10
anybody,10
open,10
detective,10
day,10
really,10
kill,10
family,10
father,10
business,10
way,10
home,10
cause,10
everything,10
believe,9
mm,9
boy,9
says,9
trust,9
providence,9
city,9
school,9
real,9
life,9
another,9
jimmy,9
name,9
ah,9
without,9
made,9
car,9
ya,9
wait,9
sullivan,9
somebody,9
working,9
must,9
long,9
christ,9
called,9
fire,9
meet,8
best,8
lie,8
many,8
prick,8
bill,8
coming,8
big,8
today,8
ass,8
enough,8
microprocessors,8
understand,8
shut,8
shoot,8
head,8
boston,8
building,8
idea,8
van,8
rest,8
ever,8
much,8
unit,8
question,8
move,8
please,8
knew,8
else,8
kid,8
son,8
kind,8
forget,7
thanks,7
course,7
numbers,7
pay,7
found,7
tail,7
francis,7
department,7
show,7
shot,7
better,7
weapons,7
ellerby,7
went,7
every,7
answer,7
use,7
saying,7
problem,7
hm,7
hear,7
care,7
priest,7
fitzy,7
told,7
lot,7
excuse,6
weeks,6
ahead,6
watch,6
irish,6
remind,6
heart,6
information,6
saw,6
wants,6
someone,6
card,6
nice,6
amen,6
always,6
already,6
case,6
papers,6
file,6
number,6
hmm,6
moving,6
deal,6
lawyer,6
delahunt,6
wife,6
great,6
actually,6
done,6
whoa,6
probably,6
arrest,6
might,6
gun,6
ask,6
motherfucker,6
months,6
trying,6
gets,6
stay,5
sean,5
phones,5
staff,5
street,5
siu,5
remember,5
close,5
body,5
bullshit,5
roof,5
special,5
seen,5
bout,5
sarge,5
peace,5
record,5
piece,5
southie,5
questions,5
place,5
period,5
catch,5
calls,5
point,5
three,5
guineas,5
access,5
hit,5
high,5
follow,5
lookit,5
looking,5
kennefick,5
heard,5
light,5
license,5
files,5
arm,5
leave,5
around,5
whatever,5
hard,5
trooper,5
happens,5
half,5
hand,5
hands,5
knows,5
jesus,5
girlfriend,5
jail,5
morning,5
cousin,5
identity,5
fucked,5
crew,5
crime,5
supper,5
nobody,5
surveillance,5
years,5
year,5
face,5
anyone,5
funeral,5
informant,5
massachusetts,5
things,5
four,5
gave,5
fine,5
however,4
house,4
feel,4
hope,4
search,4
first,4
gwen,4
friend,4
full,4
buy,4
set,4
bye,4
serious,4
sense,4
send,4
gives,4
goddamn,4
goes,4
calm,4
floor,4
cars,4
camera,4
rid,4
outta,4
id,4
pretty,4
dirty,4
cocksucker,4
madolyn,4
collie,4
makes,4
making,4
different,4
pop,4
difference,4
mikey,4
million,4
company,4
mind,4
miss,4
mmm,4
mouth,4
days,4
officer,4
congratulations,4
love,4
dog,4
cash,4
door,4
explain,4
exactly,4
investigation,4
cell,4
country,4
reason,4
killed,4
eating,4
checked,4
eat,4
cheese,4
l,4
quite,4
late,4
later,4
law,4
pussy,4
drop,4
left,4
empty,4
freud,4
stand,4
warrant,4
boss,4
william,4
world,4
bags,4
south,4
taking,4
ahem,4
turn,4
sit,4
supposed,4
bar,4
woman,4
tv,4
ago,4
weapon,4
area,4
truth,4
true,4
took,4
smart,4
address,4
staties,4
stephanie,4
bring,4
um,4
whole,4
almost,4
bastard,4
act,4
internal,3
blow,3
church,3
except,3
contact,3
lying,3
unless,3
investigations,3
upon,3
pappas,3
anymore,3
chinese,3
cut,3
expect,3
immaculate,3
meeting,3
waiting,3
allegedly,3
computer,3
sort,3
change,3
soul,3
hot,3
fall,3
matter,3
alone,3
hundred,3
check,3
mass,3
ice,3
also,3
marsh,3
married,3
environment,3
lord,3
problems,3
projects,3
tonight,3
prepare,3
perfect,3
eight,3
stick,3
comes,3
downstairs,3
poor,3
policeman,3
personally,3
kicked,3
trouble,3
troopers,3
statie,3
dump,3
lead,3
leak,3
least,3
lennon,3
kidding,3
coffee,3
clean,3
john,3
anyway,3
tired,3
umass,3
processors,3
store,3
relationship,3
spot,3
living,3
end,3
tomorrow,3
joke,3
pays,3
behavior,3
juice,3
cock,3
asking,3
live,3
together,3
stupid,3
fast,3
relax,3
happened,3
account,3
sitting,3
darlene,3
taken,3
security,3
government,3
following,3
grand,3
talking,3
tapes,3
target,3
cameras,3
suffolk,3
scene,3
cranberry,3
cannot,3
telling,3
minutes,3
smoke,3
giving,3
criminals,3
forgot,3
yap,3
shrink,3
young,3
friends,3
swear,3
neighborhood,3
brings,3
dad,3
bullet,3
cunt,3
surprised,3
funny,3
academy,3
myles,3
mushrooms,3
cry,3
service,3
bank,3
works,3
happen,3
babu,3
transaction,3
sometimes,3
bookie,3
ricans,3
airport,3
heh,3
met,3
departed,3
couple,3
respect,3
men,3
federal,3
somethin,3
agh,3
repeat,3
feeling,3
organized,3
reliable,3
away,3
happy,3
social,3
somewhere,3
nation,2
automatic,2
arresting,2
details,2
douche,2
daddy,2
line,2
dame,2
arrested,2
dick,2
doubts,2
liar,2
tough,2
attention,2
mention,2
narrow,2
attorney,2
trade,2
damn,2
aunt,2
names,2
balls,2
medal,2
nah,2
assigned,2
mercy,2
teeth,2
detail,2
looked,2
times,2
assault,2
lost,2
asshole,2
low,2
decision,2
luck,2
dinner,2
tells,2
ten,2
direct,2
lunch,2
tipped,2
thug,2
die,2
demise,2
thursday,2
marshes,2
merit,2
takes,2
thinking,2
thinks,2
though,2
deception,2
motherfuckers,2
attack,2
delicate,2
team,2
load,2
baby,2
murderer,2
milk,2
drug,2
drugs,2
guess,2
fitzgibbons,2
fitz,2
guns,2
whiff,2
whatnot,2
wha,2
welcome,2
afraid,2
afternoon,2
handle,2
finish,2
week,2
wedding,2
watching,2
fenway,2
heavy,2
felonies,2
wash,2
feelings,2
wanted,2
feed,2
highness,2
alarm,2
hits,2
wake,2
hold,2
five,2
whose,2
grant,2
gentlemen,2
friday,2
front,2
yet,2
yesterday,2
freaking,2
absence,2
frankie,2
fun,2
wow,2
worry,2
generally,2
genius,2
worried,2
grandmother,2
worker,2
girls,2
worked,2
word,2
gloucester,2
worcester,2
accuse,2
forged,2
action,2
wipe,2
followed,2
graduation,2
hollow,2
w,2
homos,2
tuesday,2
undercovers,2
navy,2
jerk,2
ugh,2
jobs,2
twice,2
judge,2
appear,2
kathy,2
keel,2
kept,2
kids,2
killing,2
erased,2
kneel,2
edward,2
easy,2
easier,2
lace,2
earth,2
earn,2
arnold,2
tree,2
lazio,2
due,2
transcript,2
erase,2
understood,2
fancy,2
including,2
honor,2
hours,2
faithful,2
fair,2
hurt,2
hurts,2
vin,2
fact,2
usually,2
ignored,2
america,2
inappropriate,2
used,2
eternal,2
upset,2
excellent,2
instance,2
upper,2
instructor,2
insurance,2
evidence,2
unto,2
investigate,2
units,2
involved,2
involves,2
jeez,2
able,2
near,2
professionally,2
cold,2
presently,2
coke,2
codes,2
cocksuckers,2
pretending,2
squeeze,2
bitch,2
probation,2
product,2
professional,2
class,2
practice,2
promotion,2
protected,2
proud,2
prove,2
blind,2
blood,2
citizens,2
cigarettes,2
pull,2
choose,2
pursue,2
standards,2
star,2
parents,2
personal,2
partners,2
parts,2
connected,2
password,2
patient,2
patriot,2
paying,2
pencils,2
behind,2
perpetual,2
concerned,2
pfft,2
start,2
step,2
pick,2
pictures,2
pills,2
station,2
compartmentalizing,2
plane,2
play,2
commonwealth,2
statements,2
popped,2
pursuit,2
choir,2
spent,2
serve,2
boys,2
brain,2
second,2
section,2
calling,2
six,2
self,2
sell,2
selling,2
sister,2
singh,2
since,2
blowjob,2
signed,2
busted,2
seven,2
shake,2
bunch,2
signal,2
shine,2
shock,2
shoes,2
side,2
brown,2
scumbag,2
boyfriend,2
scared,2
box,2
quick,2
boat,2
rather,2
souls,2
rats,2
reaching,2
ready,2
recommending,2
records,2
regular,2
result,2
books,2
ridiculous,2
ring,2
carrying,2
rise,2
carry,2
robbery,2
carmen,2
room,2
snitches,2
sake,2
small,2
part,2
black,2
sucking,2
normally,2
paid,2
notre,2
nuts,2
counselor,2
none,2
next,2
ordered,2
beer,2
crazy,2
cool,2
cui,2
p,2
band,2
office,2
cunts,2
curtain,2
county,2
north,2
subtle,2
beeped,2
curious,2
ow,2
cup,2
operation,2
fell,1
feet,1
book,1
bonus,1
decide,1
booked,1
air,1
casket,1
border,1
fellas,1
agree,1
crawl,1
born,1
finds,1
baggage,1
bag,1
agencies,1
deals,1
badge,1
agent,1
fill,1
carolina,1
carpet,1
figured,1
figure,1
death,1
feudal,1
cats,1
debt,1
crawling,1
catholic,1
ceilings,1
feds,1
caught,1
changed,1
changing,1
chappies,1
dedham,1
charges,1
alphonsus,1
charlie,1
faggot,1
chat,1
deerfield,1
definitely,1
crack,1
checks,1
bologna,1
chicken,1
china,1
facing,1
chinaman,1
faced,1
falling,1
cracking,1
families,1
bone,1
causes,1
deck,1
alive,1
age,1
bono,1
fear,1
decker,1
century,1
fathers,1
almighty,1
base,1
certain,1
fat,1
chair,1
far,1
bombardier,1
allow,1
chance,1
bothered,1
associate,1
finest,1
forth,1
crossed,1
bright,1
forms,1
dancing,1
c,1
ca,1
cadabra,1
cadets,1
briefing,1
forgives,1
forgive,1
dark,1
according,1
accordingly,1
cake,1
briefcase,1
brian,1
crown,1
buyers,1
caller,1
cruise,1
brought,1
freeze,1
cuts,1
free,1
freaks,1
da,1
bruce,1
bucks,1
abra,1
bringing,1
abusing,1
bureau,1
bang,1
frances,1
accents,1
acceptance,1
ballistics,1
forced,1
date,1
bottle,1
de,1
candidates,1
bagpipes,1
boxes,1
advantages,1
cream,1
bow,1
advice,1
fitness,1
fit,1
cannolis,1
firemen,1
chinamen,1
firefighters,1
bottom,1
fired,1
cap,1
capable,1
cancer,1
flip,1
foot,1
add,1
ball,1
acts,1
barrel,1
food,1
follows,1
breed,1
breakers,1
break,1
bread,1
barrigan,1
camel,1
fold,1
creek,1
flying,1
flush,1
florida,1
floors,1
bartenders,1
among,1
f,1
dressed,1
compromised,1
benefits,1
drinks,1
drinking,1
computers,1
drink,1
beeper,1
drew,1
conceal,1
completely,1
artist,1
died,1
dress,1
dreaming,1
dream,1
dies,1
coordinating,1
cooperation,1
corrupt,1
complain,1
attacks,1
common,1
commend,1
ears,1
earned,1
armored,1
commissioner,1
commit,1
committed,1
dying,1
becoming,1
drunk,1
duty,1
dumpster,1
attempted,1
compartment,1
cosigner,1
dug,1
dickhead,1
duck,1
dragging,1
downs,1
armed,1
asses,1
convicted,1
distress,1
distinction,1
connection,1
disrupt,1
dismissed,1
disinformation,1
connections,1
disinform,1
begin,1
directly,1
disgruntled,1
dirt,1
discuss,1
constant,1
contra,1
discovered,1
container,1
convince,1
asleep,1
confess,1
confident,1
convinced,1
double,1
dope,1
confession,1
asked,1
donut,1
donkey,1
confessional,1
confirm,1
diuretic,1
astronaut,1
assume,1
dollars,1
confirmed,1
documents,1
doctor,1
dob,1
division,1
bet,1
bets,1
eye,1
courtesy,1
blooey,1
answered,1
christmas,1
cigarette,1
aw,1
citizen,1
battery,1
available,1
av,1
chop,1
ev,1
court,1
etcetera,1
departures,1
escape,1
clams,1
depends,1
