num,start,end,script
4,00:01:36.221,00:01:38.640,"[""YOU'RE"", 'NOT', 'GETTING']"
5,00:01:36.221,00:01:38.640,"['AWAY', 'WITH', 'THIS!']"
6,00:01:38.682,00:01:39.892,['PALMER.']
7,00:01:39.934,00:01:40.601,['YEAH?']
8,00:01:39.934,00:01:40.601,"['YOU', 'ASSHOLE.']"
9,00:01:40.642,00:01:41.393,['OOPS.']
10,00:01:40.642,00:01:41.393,['HEY!']
11,00:01:41.435,00:01:43.062,['S-STOP!']
12,00:01:43.102,00:01:44.187,"['DID', 'THAT', 'JUST', 'HAPPEN?']"
13,00:01:44.229,00:01:45.188,"['YOU', 'MEANT', 'TO', 'DO', 'THAT!']"
14,00:01:45.230,00:01:46.273,"['NO,', 'YOU', 'STARTLED', 'ME.']"
15,00:01:46.314,00:01:47.441,"['YEAH,', 'YOU', 'MEANT']"
16,00:01:46.314,00:01:47.441,"['TO', 'DO', 'THAT.']"
17,00:01:47.482,00:01:49.902,"['S--', 'NO,', 'I', ""DON'T""]"
18,00:01:47.482,00:01:49.902,"['THINK', 'I', 'DID.']"
19,00:01:49.944,00:01:52.654,"['LISTEN,', 'THIS', ""WASN'T"", 'SOME']"
20,00:01:49.944,00:01:52.654,"['WEST', 'ENGLEWOOD', 'DRUG', 'SWEEP.']"
21,00:01:52.696,00:01:53.822,"['THE', 'SEARCH', 'WAS', 'GOOD.']"
22,00:01:53.864,00:01:55.991,"[""THERE'S"", 'NO', 'CHANCE']"
23,00:01:53.864,00:01:55.991,"['CARTER', 'TOSSES', 'IT.']"
24,00:01:56.033,00:01:58.660,"['WILL', 'YOU', 'CALM', 'DOWN?']"
25,00:01:56.033,00:01:58.660,"[""THAT'S"", 'WHY', 'THEY', 'CALL', 'IT']"
26,00:01:56.033,00:01:58.660,"['AN', 'EVIDENTIARY', 'HEARING.']"
27,00:01:58.702,00:01:59.995,"['WHAT,', 'SO', 'YOU', 'CAN', 'SMEAR', 'ME?']"
28,00:02:00.037,00:02:01.914,"['IMPLY', 'THAT', 'I', 'INVENTED']"
