num,start,end,script
2,00:01:09.569,00:01:14.491,"['I', 'know', 'you', 'want', 'this', 'to', 'be', 'over.']"
3,00:01:20.997,00:01:23.083,"[""I'm"", 'right', 'here.']"
4,00:01:27.504,00:01:30.131,"['I', 'will', 'be', 'right', 'here...']"
5,00:01:37.639,00:01:40.058,"['But,', 'you', ""don't"", 'give', 'up.']"
6,00:01:43.061,00:01:46.022,"['You', 'hear', 'me?']"
7,00:01:47.857,00:01:52.904,"['As', 'long', 'as', 'you', 'can', 'still', 'grab', 'a', 'breath,', 'you', 'fight.']"
8,00:01:54.531,00:01:57.909,"['You', 'breathe...', 'keep', 'breathing.']"
14,00:04:32.063,00:04:34.065,"['Ah,', 'shit.']"
15,00:04:35.900,00:04:38.569,"['Goddamn', 'sumbitches.']"
16,00:04:40.738,00:04:43.366,"['The', 'sumbitch', 'got', 'shit', 'for', 'brains.']"
18,00:04:48.913,00:04:51.082,"['-You', 'seen', 'Coulter?', 'TRAPPER:', 'Nope.']"
19,00:04:54.043,00:04:55.378,"['Listen', 'up!']"
20,00:04:55.586,00:04:59.257,"['When', 'them', 'plews', 'is', 'cleaned,', 'I', 'want', 'you', 'to', 'hoop', ""'em"", 'up', 'real', 'tight.']"
21,00:04:59.590,00:05:03.261,"['Remember,', ""we're"", 'not', 'doing', 'no', '15-pelt', 'bales!']"
22,00:05:03.469,00:05:05.555,"[""-We're"", 'doing', '30-pelt', 'bales!', 'HENRY:', 'Fitzgerald!']"
23,00:05:06.597,00:05:07.598,"[""Cap'n.""]"
24,00:05:07.765,00:05:10.893,"['Where', 'are', 'we', 'with', 'the', 'haul?', 'What', 'are', 'you', 'thinking?']"
25,00:05:11.936,00:05:14.647,"[""I'm"", 'thinking,', 'whatever', 'it', 'is', ""they're"", 'hunting', 'out', 'there...']"
26,00:05:14.814,00:05:16.774,"['...I', 'hope', 'it', ""don't"", 'need', 'another', 'shot.']"
