start,end,script
00:03:00.514,00:03:03.767,"Move! Move it! Move, move! Go!"
00:03:04.309,00:03:05.227,Move!
00:03:08.605,00:03:09.648,Get up!
00:04:06.872,00:04:08.290,"Mum, what's going on?"
00:04:13.420,00:04:14.546,That means a better job.
00:04:14.629,00:04:15.839,I know what promotion is.
00:04:16.423,00:04:18.425,"So, we're having a little party to celebrate."
00:04:18.508,00:04:20.635,"He's still going to be a soldier, though, isn't he?"
00:04:20.761,00:04:22.554,"Yes, my love. Yes."
00:04:22.637,00:04:24.598,Just a more important one now.
00:04:25.307,00:04:30.145,"There's some even more exciting news, but I think Dad wanted to tell you about that himself."
00:04:32.689,00:04:34.608,Moving? Where to?
00:04:35.108,00:04:36.151,To the countryside.
00:04:36.902,00:04:41.072,That's miles away What about Karl and Leon and Martin?
00:04:41.156,00:04:46.119,"Sweetheart, I know it's hard, but we're all having to say goodbye to our friends for the time being."
00:04:46.411,00:04:49.039,"Anyway, we'll make new ones where we're going. Won't we?"
00:04:49.122,00:04:51.249,"Of course, you will. You'll make lots of new friends."
00:04:53.710,00:04:56.463,"Bruno, you can have your friends around in the morning before we go."
00:04:57.339,00:05:01.092,Think of it as an adventure like in one of your books.
00:05:01.843,00:05:03.553,But this is the best house ever.
00:05:06.014,00:05:08.058,The house we're going to might be even better.
00:05:08.183,00:05:10.268,-Hmm. Dad says it's got a garden. -Mm-hmm.
00:05:12.479,00:05:19.820,"Look, the thing is, Bruno, the thing about being a soldier, is that life is not so much about choices, it's more about duty."
00:05:19.903,00:05:22.614,"So, if your country needs you to go somewhere, you'll go."
00:05:23.031,00:05:30.288,"Now, of course, going somewhere else is much easier when you know that your family are so delighted to go with you."
00:06:16.710,00:06:18.253,"It's only been a week, Nathalie."
00:06:18.336,00:06:21.631,"Oh, well. Perhaps it's me that's getting smaller."
00:06:23.758,00:06:26.803,"So, you two, well, what do you think of all this, hmm?"
00:06:26.928,00:06:28.471,Moving out of Berlin?
00:06:28.597,00:06:30.307,"Well, Mommy and Daddy say it's a good thing."
00:06:30.473,00:06:33.310,"-So, I suppose it must be. -Mm. Hmm."
00:06:35.145,00:06:38.940,"Children, be angels, will you? Pass some food around."
00:07:25.528,00:07:26.988,Doesn't he look wonderful?
00:07:27.530,00:07:29.074,Absolutely.
00:07:29.199,00:07:31.618,"Oh. I'm so proud of you, my boy."
00:07:32.786,00:07:41.169,"Oh, dear. I sometimes wonder if this is all down to me, making you those costumes for your little plays when you were tiny."
00:07:41.378,00:07:48.426,"-You used to adore all that dressing up. -Now, Nathalie… Does it still make you feel special, Ralf dear?"
00:07:49.010,00:07:52.055,"The uniform, and what it stands for?"
00:07:52.138,00:07:55.767,"Mother, it's a party. Let's not spoil things."
00:08:00.063,00:08:01.564,You should be careful.
00:08:02.023,00:08:06.027,Airing your views so publicly could land you in trouble. You know that.
00:08:08.571,00:08:12.367,"Oh. So, uh, how long are we losing you for, my boy?"
00:08:12.575,00:08:14.786,"Until the war is won, I would think."
00:08:14.869,00:08:17.330,"Well, not so long then."
00:09:32.781,00:09:33.656,"All right, Bruno."
00:09:34.908,00:09:36.076,Time to say goodbye.
00:10:44.477,00:10:47.689,"Watch this night well over me, and teach me, Lord, to trust in thee."
00:10:48.064,00:10:51.359,"Care for children, sick and poor. Grant them, Lord, thy blessing more."
00:10:51.484,00:10:55.780,"And this I pray in Jesus' name, care for my family just the same. Amen."
00:11:40.783,00:11:45.205,"Children, look. Look! Our new home."
00:12:34.003,00:12:37.757,I have some business to take care of. I'll see you shortly.
00:12:54.607,00:12:56.025,"Well, what do we think?"
00:12:58.528,00:13:01.364,"Hmm? Oh, come on. It's lovely."
00:13:01.739,00:13:26.556,"You two choose your rooms. I'll have Maria come and… What do you think of it, Maria? The new house."
00:13:27.557,00:13:30.893,"Well, it's not for me to say."
00:13:33.479,00:13:36.524,"But it won't feel like home until we make it feel like home, will it?"
00:14:44.675,00:14:46.928,The children over on the farm.
00:14:47.053,00:14:49.931,Farm? I didn't see a farm. And that one too.
00:14:50.181,00:14:54.435,-You can only see it from my room. -Oh. And there are some children there?
00:14:54.894,00:14:57.397,"-Yes, quite a few. -Well, that's good."
00:14:57.980,00:15:00.066,"So, I'll be able to play with them."
00:15:00.358,00:15:01.359,I don't see why not.
