word,counts
one,24
know,22
like,18
go,17
think,17
going,14
want,14
see,14
really,12
friends,12
well,11
back,11
away,11
come,11
could,11
would,10
make,10
still,10
people,9
children,9
thing,9
us,9
good,8
around,8
books,8
right,8
something,8
farm,8
find,8
day,8
yes,8
work,8
father,8
home,7
look,7
swing,7
little,7
though,7
old,7
time,7
coming,7
man,7
dad,7
pajamas,7
bit,6
camp,6
better,6
told,6
place,6
say,6
nice,6
got,6
get,6
must,6
thought,6
getting,6
new,6
play,6
long,5
course,5
country,5
house,5
life,5
history,5
smell,5
bring,5
bruno,5
seen,5
somewhere,5
even,5
believe,5
mother,5
never,5
ever,5
bad,5
strange,5
sorry,5
two,4
understand,4
says,4
part,4
afraid,4
proud,4
exploring,4
much,4
horrible,4
sort,4
world,4
family,4
feel,4
things,4
everything,4
soldier,4
finish,4
end,4
might,4
making,4
perhaps,4
called,4
doctor,4
game,4
miss,4
duty,4
thee,4
great,4
wanted,4
dare,3
start,3
dangerous,3
hut,3
important,3
dear,3
enjoy,3
farmers,3
sick,3
garden,3
gave,3
silly,3
sure,3
enemy,3
expect,3
exciting,3
done,3
help,3
take,3
else,3
teach,3
different,3
clothes,3
today,3
cellar,3
reading,3
luck,3
made,3
boy,3
men,3
best,3
missing,3
moment,3
ball,3
wear,3
went,3
nation,3
anything,3
number,3
party,3
reason,3
miles,3
looked,3
uh,3
room,3
let,3
literature,3
said,3
stop,3
love,2
sandwich,2
name,2
satchel,2
give,2
spare,2
need,2
news,2
saw,2
newspapers,2
potatoes,2
kitchen,2
poor,2
obviously,2
offer,2
front,2
please,2
ones,2
opportunity,2
forward,2
forties,2
football,2
food,2
playing,2
join,2
piece,2
mum,2
lots,2
move,2
real,2
heard,2
read,2
live,2
hmm,2
maybe,2
means,2
hard,2
meant,2
lieutenant,2
soldiers,2
put,2
hair,2
goodbye,2
school,2
professor,2
grow,2
probably,2
resurrection,2
sit,2
presumably,2
left,2
morning,2
lives,2
sitting,2
moving,2
peel,2
ask,2
died,2
way,2
tire,2
tiny,2
week,2
weeks,2
density,2
destructive,2
thank,2
within,2
tell,2
enemies,2
taught,2
window,2
wish,2
anyone,2
anymore,2
tires,2
war,2
cut,2
tonight,2
careful,2
care,2
used,2
charge,2
um,2
chimneys,2
came,2
tutor,2
burn,2
collapse,2
vermin,2
visiting,2
wait,2
waiting,2
took,2
animals,2
carry,2
everyone,2
farmer,2
stuff,2
allowed,2
supper,2
suppose,2
workers,2
always,2
surely,2
fell,2
fair,2
working,2
stupid,2
without,2
evil,2
yet,2
fight,2
worse,2
adventure,2
explorer,2
worry,1
queue,1
pupil,1
vital,1
victory,1
views,1
visit,1
publicly,1
question,1
race,1
quite,1
plays,1
wrap,1
usually,1
using,1
rain,1
useful,1
ralf,1
plain,1
yeah,1
yesterday,1
rats,1
young,1
perfect,1
use,1
properly,1
walked,1
works,1
realize,1
popular,1
wine,1
poorly,1
pottery,1
practice,1
whole,1
wonder,1
practiced,1
whenever,1
whatever,1
well-attended,1
pray,1
prefer,1
present,1
policy,1
promotion,1
point,1
presently,1
wonderful,1
weather,1
watchmaker,1
watching,1
wars,1
pretending,1
princesses,1
walking,1
possible,1
walk,1
promise,1
promised,1
stops,1
required,1
upstairs,1
throw,1
sorrows,1
soon,1
takes,1
talented,1
talk,1
sometimes,1
sometime,1
talking,1
someone,1
teaching,1
smells,1
telephone,1
smaller,1
small,1
sleep,1
telling,1
slandered,1
situation,1
termination,1
table,1
sweetheart,1
sweet,1
spoil,1
strong,1
stealing,1
steal,1
stay,1
struggles,1
stuck,1
stands,1
sport,1
spending,1
supposed,1
subject,1
spend,1
special,1
summer,1
speak,1
superiors,1
sound,1
sorting,1
therefore,1
side,1
upon,1
thy,1
safe,1
rooms,1
try,1
risking,1
trying,1
revival,1
tubercular,1
turn,1
result,1
stick,1
report,1
twelve,1
twice,1
reigneth,1
uniform,1
recreations,1
union,1
university,1
unpacked,1
trust,1
trucks,1
trouble,1
seems,1
shower,1
shortly,1
shining,1
shaving,1
shaved,1
shame,1
sent,1
select,1
seeing,1
trebled,1
together,1
secret,1
tomorrow,1
scary,1
saying,1
touch,1
town,1
toys,1
ability,1
loyalty,1
peckish,1
cover,1
deserved,1
delighted,1
decide,1
death,1
dead,1
days,1
date,1
current,1
cupboards,1
culture,1
creative,1
create,1
cowards,1
countryside,1
disagreements,1
costumes,1
corrupted,1
cookery,1
control,1
continue,1
complete,1
color,1
clock,1
cleaning,1
clean,1
choose,1
choices,1
chocolate,1
dig,1
disloyal,1
child,1
everybody,1
favorite,1
favor,1
families,1
failed,1
facts,1
factory,1
fact,1
extremely,1
extra-big,1
extra,1
explored,1
except,1
example,1
every,1
disturbed,1
everlasting,1
eventual,1
entire,1
enthusiasm,1
elsewhere,1
either,1
eight,1
easy,1
easier,1
earth,1
dressing,1
dressed,1
dolls,1
childhood,1
check,1
pastries,1
also,1
attached,1
asks,1
art,1
arrived,1
arose,1
armor,1
argue,1
appropriate,1
apparently,1
anyway,1
angels,1
ample,1
amen,1
almost,1
available,1
alike,1
air,1
ago,1
ages,1
age,1
affairs,1
adult,1
adore,1
add,1
actual,1
activity,1
achieved,1
absolutely,1
authorities,1
aware,1
chat,1
brought,1
chance,1
certainly,1
centrally-located,1
celebrate,1
caught,1
case,1
carried,1
cap,1
cakes,1
caf,1
business,1
building,1
build,1
bounds,1
bandage,1
boring,1
boots,1
boot,1
bombed,1
body,1
blessing,1
bleed,1
bicycle,1
belongs,1
behind,1
