word,counts
know,140
fucking,136
right,107
got,95
all,69
fuck,68
here,62
just,55
now,55
gon,49
so,46
guy,46
want,46
come,43
see,42
can,42
cop,41
good,40
go,39
would,36
how,35
guys,35
look,32
tell,32
let,31
why,31
think,30
give,24
mean,24
where,24
huh,24
people,24
costello,24
need,23
ca,23
there,22
put,21
say,21
could,21
rat,21
time,20
back,20
will,20
take,19
money,19
man,19
when,18
going,18
colin,18
make,17
doing,17
find,16
said,16
work,16
maybe,16
mother,15
phone,15
came,14
then,14
talk,14
other,14
thing,14
like,13
more,13
listen,13
keep,13
job,13
call,13
get,12
shit,12
only,12
cops,12
last,12
one,12
dead,12
undercover,12
run,11
okay,11
bad,11
police,11
night,11
new,11
never,11
too,11
thank,11
getting,11
fuckin,11
in,11
thought,10
business,10
stop,10
still,10
way,10
family,10
day,10
sorry,10
again,10
own,10
old,10
very,10
home,10
kill,10
really,10
life,9
believe,9
working,9
wo,9
trust,9
detective,9
wait,9
may,9
long,9
real,9
made,9
father,9
car,9
wrong,9
open,9
called,9
state,9
school,9
of,9
fire,9
name,8
question,8
city,8
meet,8
move,8
much,8
understand,8
prick,8
shut,8
little,8
building,8
even,8
head,8
help,8
idea,8
says,8
sure,8
best,8
son,8
else,8
kid,8
ever,8
kind,8
knew,8
use,7
hear,7
lot,7
enough,7
many,7
rest,7
coming,7
today,7
problem,7
microprocessors,7
lie,7
tail,7
should,7
course,7
must,7
pay,7
went,7
weapons,7
billy,7
ass,7
better,7
ask,6
lawyer,6
nice,6
gets,6
might,6
found,6
big,6
inside,6
care,6
arrest,6
case,6
saying,6
boy,6
file,6
ai,6
remind,6
papers,6
having,6
trying,6
wants,6
excuse,6
weeks,6
heart,6
ahead,6
deal,6
shot,6
out,6
shoot,6
show,6
wife,6
great,6
probably,6
told,6
numbers,6
moving,5
already,5
answer,5
department,5
down,5
number,5
forget,5
phones,5
guineas,5
always,5
sergeant,5
close,5
morning,5
actually,5
piece,5
looking,5
jail,5
ellerby,5
place,5
years,5
sarge,5
heard,5
hit,5
hard,5
motherfucker,5
point,5
files,5
things,5
happens,5
calls,5
crew,5
funeral,5
crime,5
information,5
unit,5
most,5
face,5
hand,5
surveillance,5
light,5
gave,5
watch,5
done,5
catch,5
stay,5
saw,5
supper,5
cousin,5
period,5
remember,5
roof,4
dog,4
love,4
took,4
ago,4
drop,4
pop,4
van,4
body,4
first,4
pussy,4
search,4
months,4
informant,4
warrant,4
country,4
address,4
access,4
questions,4
door,4
supposed,4
days,4
sense,4
house,4
bastard,4
goes,4
hope,4
late,4
later,4
cash,4
cars,4
different,4
makes,4
card,4
making,4
exactly,4
hands,4
difference,4
weapon,4
pretty,4
taking,4
leave,4
explain,4
left,4
record,4
area,4
license,4
mind,4
half,4
peace,4
woman,4
stand,4
priest,4
cell,4
arm,4
girlfriend,4
bar,4
rid,4
outta,4
identity,4
dirty,4
friend,4
eat,4
eating,4
world,4
seen,4
whole,4
empty,4
gives,4
killed,4
boss,4
however,4
fucked,4
truth,4
set,4
gun,4
cheese,4
checked,4
fine,4
tv,4
floor,4
taken,3
talking,3
poor,3
dignam,3
meeting,3
swear,3
happy,3
store,3
behavior,3
service,3
federal,3
stick,3
allegedly,3
environment,3
staties,3
surprised,3
mushrooms,3
happen,3
statie,3
fast,3
works,3
expect,3
away,3
feel,3
feeling,3
airport,3
spot,3
alone,3
send,3
downstairs,3
year,3
mouth,3
neighborhood,3
almost,3
married,3
stupid,3
high,3
shrink,3
prepare,3
dump,3
tapes,3
serious,3
policeman,3
scene,3
target,3
trouble,3
turn,3
check,3
respect,3
anyway,3
around,3
anymore,3
projects,3
true,3
clean,3
giving,3
kidding,3
knows,3
trooper,3
kicked,3
cock,3
cocksucker,3
sitting,3
coffee,3
met,3
over,3
waiting,3
comes,3
personally,3
change,3
as,3
living,3
bring,3
brings,3
pays,3
reason,3
bullet,3
bullshit,3
live,3
bank,3
minutes,3
funny,3
least,3
perfect,3
calm,3
up,3
camera,3
full,3
relationship,3
lead,3
captain,3
relax,3
reliable,3
law,3
hot,3
fall,3
transaction,3
lying,3
telling,3
im,3
on,3
couple,3
juice,3
sometimes,3
cranberry,3
blow,3
problems,3
account,3
soul,3
sort,3
criminals,3
cry,3
following,3
follow,3
quite,3
i,3
sir,3
forgot,3
company,3
also,3
computer,3
young,3
sit,3
tonight,3
tomorrow,3
together,3
congratulations,3
southie,3
government,3
processors,3
irish,3
asking,3
cut,3
side,2
signal,2
signed,2
graduation,2
grandmother,2
pull,2
baby,2
grand,2
guns,2
girls,2
men,2
whatnot,2
balls,2
guess,2
mention,2
mercy,2
welcome,2
goddamn,2
grant,2
had,2
robbery,2
lookit,2
judge,2
joke,2
jobs,2
wipe,2
ring,2
any,2
rise,2
room,2
kept,2
lost,2
involves,2
involved,2
investigate,2
sake,2
insurance,2
instance,2
assault,2
keel,2
looked,2
whiff,2
regular,2
ready,2
word,2
liar,2
recommending,2
able,2
records,2
load,2
reaching,2
leak,2
arresting,2
repeat,2
lace,2
rats,2
rather,2
result,2
