start,end,script
00:00:57.557,00:00:59.684,"for flight two to London, Heathrow."
00:01:00.810,00:01:01.728,Okay.
00:01:09.903,00:01:11.863,"I'm not even going to say it, Kate."
00:01:12.947,00:01:15.116,Maybe it'll be like I never left.
00:01:16.993,00:01:18.036,Okay?
00:01:31.216,00:01:32.050,Wait.
00:01:35.553,00:01:37.972,I have a really bad feeling about this.
00:01:38.056,00:01:39.682,About the plane?
00:01:40.433,00:01:42.602,You think it's gonna crash? Don't say that.
00:01:42.685,00:01:48.733,"No. Look, I know that we've talked about this a thousand times and we agreed that going to London was the right thing to do."
00:01:49.526,00:01:52.695,"But in my heart, this feels wrong."
00:01:55.073,00:01:57.867,"-Don't go, Jack. -You mean don't go at all?"
00:01:58.618,00:02:00.453,"Well, what… what about my internship?"
00:02:00.537,00:02:04.082,"Believe me, I know, I know what an incredible opportunity this is for you."
00:02:04.165,00:02:06.626,"-For us, Kate. -Right, for us."
00:02:07.252,00:02:12.173,"But I'm afraid that if you get on that plane-- Look, we're at the airport."
00:02:12.257,00:02:14.342,Nobody ever thinks clearly at the airport.
00:02:15.176,00:02:17.804,So we should just trust the decision we already made.
00:02:18.388,00:02:21.599,You've been accepted to one of the best law schools in the country.
00:02:21.683,00:02:24.227,I've got this internship at Barclay's Bank.
00:02:24.310,00:02:26.229,"We have a great plan, honey."
00:02:28.189,00:02:30.483,"You wanna do something great, Jack?"
00:02:30.567,00:02:35.155,"Let's flush the plan. Let's start our lives, right now, today."
00:02:35.238,00:02:41.744,"I mean, I have no idea what this life is gonna look like, but I know that it has the both of us in it, and I choose us."
00:02:44.747,00:02:47.083,"The plan doesn't make us great, Jack."
00:02:47.876,00:02:50.378,"What we have together, that's what makes us great."
00:03:00.930,00:03:04.183,"-I love you, Kate. -I love you too. I do."
00:03:09.355,00:03:12.150,And one year in London is not gonna change that.
00:03:13.109,00:03:15.236,A hundred years couldn't change that.
00:03:34.088,00:03:37.300,…economists were predicting a mild rally in the bond market.
00:03:37.383,00:03:53.274,"But as yesterday's trading drew to a close, the profit-takers stepped in sending all the major indexes sharply lower, and creating a note of uncertainty… I said, last night was great."
00:03:53.358,00:03:56.694,You are an amazing lover.
00:03:56.778,00:03:59.113,Thanks. You're not bad yourself.
00:03:59.197,00:04:02.617,-I wanna see you again. -I'd like that too.
00:04:02.700,00:04:03.660,Tonight.
00:04:07.080,00:04:08.623,So? I'll pour eggnog over you.
00:04:12.126,00:04:14.295,I have to go visit my parents out in Jersey.
00:04:14.879,00:04:16.047,Jersey?
00:04:16.130,00:04:19.300,Do you have any idea what the traffic's gonna be like?
00:04:20.009,00:04:21.427,That's why I'm taking the train.
00:04:23.721,00:04:24.973,"It was nice meeting you, Jack."
00:05:26.659,00:05:28.536,You don't have to stop singing on my account.
00:05:28.619,00:05:30.496,"Oh, it's because I'm shy, Betty."
00:05:31.831,00:05:36.627,"So, when are you gonna leave that old corpse, Mr. Peterson, and run away with me?"
00:05:37.295,00:05:40.214,You know you could never satisfy me the way he does.
00:05:41.382,00:05:42.633,Ah.
00:05:44.010,00:05:46.054,"Merry Christmas, Mr. Campbell."
00:05:46.137,00:05:47.722,"How did you make out this year, Tony?"
00:05:47.805,00:05:53.019,"Oh, about four grand, and a bottle of 25-year-old scotch from 9D."
00:05:53.102,00:05:55.104,I'm putting it all in commercial paper like you said.
00:05:55.188,00:05:57.440,"Good, but just until the deutsche mark turns."
00:05:57.523,00:06:00.109,"-Thank you, Mr. Campbell. -All right."
00:06:41.859,00:06:44.487,"-Good morning, Joe. -Merry Christmas, sir."
00:06:49.242,00:06:51.410,Campbell wants these available.
00:06:51.494,00:06:52.703,"Thanks, Adelle."
00:06:53.246,00:06:54.288,Better you than me.
00:06:57.416,00:07:03.214,"If Med Tech shares fall any lower than 43, we're in trouble with the stock valuations."
00:07:03.297,00:07:07.552,"So for god's sake, please, watch what you say to your institutional customers."
00:07:07.635,00:07:12.181,"We still have almost a full day of trading before zero hour, and I don't want any trouble."
00:07:15.643,00:07:17.019,"A penny for your thoughts, Alan?"
00:07:17.645,00:07:20.356,"Hm? Oh, god, I'm sorry."
00:07:20.440,00:07:23.317,"Jack, I was thinking about, you know, Dee and the kids."
00:07:23.401,00:07:25.695,"I promised I'd be home for dinner. It's Christmas Eve, Jack."
00:07:26.446,00:07:27.655,"Oh, is that tonight?"
00:07:29.365,00:07:31.868,"You think I like being here on Christmas Eve, Alan?"
00:07:32.618,00:07:34.954,"No. Well, maybe."
00:07:36.414,00:07:37.707,Okay.
00:07:38.541,00:07:42.920,"Okay, maybe I do have a touch of tunnel vision this holiday season."
00:07:43.004,00:07:48.468,"But in two days, we're going to announce one of the largest mergers in US corporate history."
00:07:48.551,00:07:52.138,"When a deal like this turns up, you get on it and you ride it till it's over."
00:07:52.221,00:07:54.765,You don't ask it for a vacation.
00:07:56.225,00:07:57.226,December 26.
00:07:57.310,00:08:01.481,"After that, there'll be so much money floating around here, it'll be like Christmas every day."
00:08:01.564,00:08:02.565,"December 26, people."
00:08:02.648,00:08:05.526,"If you'd like to celebrate that day, you all have my blessing."
00:08:05.610,00:08:06.861,"You're right, Jack. I'm really sorry."
00:08:06.944,00:08:09.447,"No, I don't want you to be sorry, Alan. I want you to be excited."
00:08:09.530,00:08:11.741,I want my gift to be the first gift you open this year.
00:08:11.824,00:08:12.700,-You know why? -Why?
00:08:12.783,00:08:15.578,Because my gift comes with ten zeros.
00:08:18.623,00:08:21.501,"Good man. Everybody, turn to page 12 in your prospectus."
00:08:27.882,00:08:29.217,"-Oh, good. -You have one for me?"
00:08:29.300,00:08:31.219,You have six messages. Two of them are imperative.
00:08:31.302,00:08:33.679,"No, Lois, are you nuts? I'm going home. I'm not even here now."
00:08:33.763,00:08:35.556,-Good night. Merry Christmas. -Merry Christmas.
00:08:35.640,00:08:38.309,It's only 8:30. I'm disappointed. Got some last-minute shopping to do?
00:08:38.392,00:08:41.187,"You too? This holiday's about giving, Adelle."
00:08:41.270,00:08:43.231,I'm giving everything I've got to this deal.
00:08:43.314,00:08:45.316,"So in a way, I'm more Christmassy than anybody."
00:08:45.399,00:08:47.193,"You're my role model, Jack."
00:08:51.948,00:08:54.158,-Mm-hm. -Care for a Lifesaver?
00:08:54.242,00:08:55.826,"-No, thank you. -Help yourself."
00:09:02.208,00:09:03.668,Kate Reynolds.
00:09:03.751,00:09:06.462,Her assistant said you could reach her at home after eight.
00:09:06.546,00:09:09.090,Kate Reynolds was my girlfriend in college.
00:09:09.173,00:09:10.591,I almost married her.
00:09:12.677,00:09:13.594,Almost married.
00:09:13.678,00:09:17.473,-And almost a broker at EF Hutton. -Excuse me?
00:09:17.557,00:09:19.308,She didn't want me to go to London.
00:09:20.977,00:09:24.730,"We're standing at the airport saying goodbye, and she asked me to stay."
00:09:25.398,00:09:26.524,So you left her.
00:09:26.607,00:09:29.235,"-Wasn't easy. -Oh, stop it."
00:09:29.318,00:09:30.611,I'm getting all weepy.
00:09:30.695,00:09:32.780,"I took the road less traveled, Adelle."
00:09:32.863,00:09:36.284,And look where it took you. I'm gonna get this gal on the phone.
00:09:40.621,00:09:44.250,-Nope. -You almost married this woman.
00:09:44.333,00:09:46.335,You're not even curious why she called?
00:09:46.419,00:09:48.754,"She's probably just having a fit of nostalgia, you know."
00:09:48.838,00:09:49.672,Lonely Christmas Eve.
00:09:49.755,00:09:51.716,"Called the one that got away, that kind of thing."
00:09:51.799,00:09:53.217,Why call her back and mislead her?
00:09:53.301,00:09:55.803,"This happened a very, very long time ago."
00:09:55.886,00:09:58.556,8:35 on Christmas Eve.
00:09:59.098,00:10:00.850,Jack Campbell still at his desk.
00:10:01.601,00:10:03.227,Now there's a Hallmark moment for you.
00:10:03.311,00:10:07.273,"Peter, I don't see you rushing home to trim the tree."
00:10:07.356,00:10:12.153,That's because I'm a heartless bastard who only cares about money.
00:10:12.236,00:10:14.280,"Well, you know what? God love you for that."
00:10:16.782,00:10:18.534,Got a call from Terry Haight.
00:10:20.995,00:10:22.538,Bob Thomas is nervous.
00:10:22.622,00:10:26.334,That'll happen when you're about to spend 130 billion dollars on some aspirin.
00:10:29.128,00:10:31.422,"Why are you staring at my breasts, Peter?"
00:10:31.505,00:10:33.382,"-I need you, tiger. -Where is he?"
00:10:33.466,00:10:34.342,Aspen.
00:10:34.425,00:10:37.428,Call Aunt Irma and tell her I won't be able to make it tomorrow.
00:10:37.928,00:10:39.639,"You're a credit to capitalism, Jack."
00:10:39.722,00:10:41.641,"Hey, Peter, let me ask you a question."
00:10:41.724,00:10:45.102,An old girlfriend calls you out of the blue on Christmas Eve.
00:10:45.186,00:10:46.312,What do you do?
00:10:46.395,00:10:48.773,You suddenly having trouble getting dates?
00:10:48.856,00:10:49.940,Yeah.
00:10:51.317,00:10:52.610,Leave it in the past.
00:10:53.611,00:10:59.617,"Old flames are like old tax returns… put 'em in the file cabinet for three years, and then you cut 'em lose."
00:11:03.037,00:11:05.498,I'll leave from my office tomorrow in the afternoon.
00:11:05.581,00:11:06.415,Call the group.
00:11:06.499,00:11:08.834,Schedule an emergency strategy session for noon.
00:11:09.418,00:11:11.295,That'll be a nice little holiday treat.
00:11:36.570,00:11:39.073,"-Good night, Frank. -Hey, Mr. Campbell."
00:11:39.156,00:11:41.534,Why didn't you call down? I would have had Joe get you a ride.
00:11:41.617,00:11:44.495,-I'm thinking I'll walk tonight. -It's a nice night for it.
00:11:44.578,00:11:46.539,-I'll send your car home for you. -That'll be fine.
00:11:46.622,00:11:48.582,"-And Merry Christmas to you, sir. -You too."
00:12:35.671,00:12:36.964,Eggnog?
00:12:37.047,00:12:39.633,"-Yeah, dairy case. Five dollars. -Okay."
00:12:52.354,00:12:54.315,"Yo. Hey, buster. Y'all do the lotto here, right?"
00:12:54.398,00:12:56.108,-Y'all do the lotto here? Cool. -Yeah.
00:12:56.192,00:12:58.027,"'Cause I got a winner, baby. I got a winner."
00:12:58.110,00:12:59.403,"Oh, certified, good as gold."
00:12:59.487,00:13:02.698,"I know lotto keep a lot of brothers down, but not Cash Money, you know what I'm saying?"
00:13:02.781,00:13:07.036,"Don't do me none, son, 'cause I'd be like… Bang on the lottery! You know what I mean?"
00:13:08.204,00:13:10.289,"Relax, son. Relax. I got you four numbers."
00:13:10.372,00:13:15.878,"Check it. Bust it, bust it. 6, 14, 16, 49. That's a winner, son."
00:13:15.961,00:13:18.797,"238 dollars, B. Cheddar coming."
00:13:18.881,00:13:21.342,-Give me my money. -I'm sorry. Your ticket bad.
00:13:21.425,00:13:22.968,You draw in the lines.
00:13:23.886,00:13:25.054,"What are you talking about, B?"
00:13:25.137,00:13:27.890,"You draw in the lines with a pencil, I know about this."
00:13:27.973,00:13:30.392,"Yo, bust it, check the ticket, son. Check the ticket."
00:13:30.476,00:13:31.685,"No, you get out."
00:13:31.769,00:13:37.650,"Yo, you ain't even looked at the ticket. You looking at me, son. Check the ticket-- You get out now! You take the ticket somewhere else."
00:13:37.733,00:13:38.817,Next customer in line!
00:13:43.322,00:13:45.032,"Oh, my god!"
00:13:45.950,00:13:48.369,"Check the ticket, stupid."
