start,end,script
00:01:09.569,00:01:12.447,"BEN: Freud said, Love and work. Work and love."
00:01:12.614,00:01:14.324,That's all there is.
00:01:14.491,00:01:17.327,"Well, I'm retired, and my wife is dead."
00:01:17.494,00:01:20.663,"As you can imagine, that's given me some time on my hands."
00:01:21.164,00:01:23.416,My wife's been gone for three and a half years.
00:01:23.583,00:01:24.959,I miss her in every way.
00:01:25.127,00:01:28.838,"And retirement? That is an ongoing, relentless effort in creativity."
00:01:29.005,00:01:31.758,"At first, I admit I enjoyed the novelty of it."
00:01:31.924,00:01:33.301,Sort of felt like I was playing hooky.
00:01:33.926,00:01:37.013,I used all the miles I'd saved and traveled the globe.
00:01:37.180,00:01:42.101,"The problem was, no matter where I went, as soon as I got home, the nowhere-to-be thing hit me like a ton of bricks."
00:01:42.769,00:01:45.272,I realized the key to this whole deal was to keep moving.
00:01:45.438,00:01:48.900,"Get up, get out of the house, and go somewhere. Anywhere."
00:01:50.443,00:01:53.780,"Come rain or shine, I'm at my Starbucks by 7:15."
00:01:54.822,00:01:56.533,"Excuse me, mind if we join you here?"
00:01:56.699,00:01:58.118,"Hey, how are ya?"
00:01:58.285,00:02:01.246,"BEN: Can't explain it, but it makes me feel part of something."
00:02:02.205,00:02:03.623,"These guys today, they're not numbers guys."
00:02:03.790,00:02:04.874,Don't talk figures with them.
00:02:05.041,00:02:06.209,BEN: How do I spend the rest of my days?
00:02:06.376,00:02:10.297,"You name it. Golf, books, movies, pinochle."
00:02:10.463,00:02:14.134,"Tried yoga, learned to cook, bought some plants, took classes in Mandarin."
00:02:16.803,00:02:19.431,"Translation, Believe me, I've tried everything."
00:02:20.515,00:02:23.351,"And then, of course, there are the funerals."
00:02:26.813,00:02:28.398,So many more than I could imagine.
00:02:30.567,00:02:35.405,The only traveling I do these days is out to San Diego to visit my son and his family.
00:02:35.905,00:02:38.241,They're great. I love 'em to pieces.
00:02:38.408,00:02:42.495,"But to be honest, I think I probably relied on them way more than I should."
00:02:42.662,00:02:45.165,"Don't get me wrong, I'm not an unhappy person."
00:02:45.332,00:02:46.833,Quite the contrary.
00:02:46.999,00:02:50.169,"I just know there's a hole in my life, and I need to fill it."
00:02:51.713,00:02:52.755,Soon.
00:02:55.508,00:03:00.555,"Which brings me to today, when I was leaving the market and caught your flyer out of the corner of my eye."
00:03:01.223,00:03:02.224,Hmm.
00:03:05.227,00:03:06.769,"Seniors, be an intern."
00:03:06.936,00:03:09.731,"Ben, I thought that was you. Hi."
00:03:09.897,00:03:12.108,-Hey. -What'd you find?
00:03:12.859,00:03:15.111,I think an Internet place is looking for senior interns.
00:03:15.278,00:03:16.946,-Am I reading this right? -Let me see.
00:03:17.113,00:03:27.123,"Applicants must be over 65 years of age, have organizational skills, a genuine interest in e-commerce, whatever that is, and a roll-up-your-sleeves attitude."
00:03:27.290,00:03:30.209,"AboutTheFit.com, isn't that the outfit that was..."
00:03:30.377,00:03:31.419,"Yeah, yeah, yeah."
00:03:31.586,00:03:33.588,They bought one of those old factories in Red Hook.
00:03:33.755,00:03:36.132,My daughter says they sell clothes on the Internet.
00:03:36.299,00:03:37.884,"How that works, I have no idea."
00:03:38.551,00:03:40.928,"Well, you have to upload the application."
00:03:41.095,00:03:44.932,"That could be challenging. Listen to this, Cover letters are so old-fashioned."
00:03:45.099,00:03:47.352,Show us who you are with a cover-letter video.
00:03:47.644,00:03:54.234,"Upload your video to YouTube or Vimeo using .mov, .avi, or a .mpg file."
00:03:54.901,00:03:56.778,We look forward to meeting you.
00:03:56.944,00:03:58.613,"Well, I guess that's meeting me."
00:03:58.780,00:04:01.574,I swear I don't even know what language that was.
00:04:01.741,00:04:03.576,"What are you doing tonight, Ben?"
00:04:03.743,00:04:04.744,A frozen lasagna?
00:04:06.078,00:04:12.502,"I could make a little salad, turn it into a dinner for two, like we did that time and never did again."
00:04:12.669,00:04:14.337,You know that was over five months ago?
00:04:14.587,00:04:18.341,"Oh, yeah. No, no, we gotta do that again, for sure, but okay if we take a rain check?"
00:04:19.133,00:04:20.427,"You're awful cute, you know that?"
00:04:20.593,00:04:21.594,"No, I didn't."
00:04:21.761,00:04:24.764,"Well, it's true, you are. So I'll see you."
00:04:26.974,00:04:28.601,"Don't take too long, doll."
00:04:29.185,00:04:30.562,You're not getting any younger.
00:04:31.103,00:04:33.105,"-I know, I know, I know. -All right."
00:04:54.877,00:05:02.134,"BEN: So here I am, applying to be one of your interns because the more I think about this idea, the more tremendous I think it is."
00:05:02.302,00:05:04.679,I love the idea of having a place I can go every day.
00:05:04.846,00:05:06.973,"I want the connection, the excitement."
00:05:07.139,00:05:10.518,"I wanna be challenged, and I guess I might even wanna be needed."
00:05:10.852,00:05:12.562,The tech stuff might take a bit to figure out.
00:05:12.729,00:05:17.525,I had to call my 9-year-old grandson just to find out what a USB connector was.
00:05:17.692,00:05:19.193,But I'll get there. Eager to learn.
00:05:19.361,00:05:22.572,"Also, I want you to know I've been a company man all my life."
00:05:22.739,00:05:25.617,"I'm loyal, I'm trustworthy, and I'm good in a crisis."
00:05:25.867,00:05:27.494,And I love that you're right here in Brooklyn.
00:05:27.660,00:05:33.416,"I've lived here all my life, and lately I feel I may not be hip enough to live in Brooklyn, so this could help with that, too."
00:05:33.583,00:05:35.710,"I read once, musicians don't retire."
00:05:35.877,00:05:38.004,They stop when there's no more music in them.
00:05:38.170,00:05:42.341,"Well, I still have music in me, absolutely positive about that."
00:06:12.079,00:06:13.873,"Good news, I found a size eight in navy."
00:06:14.040,00:06:15.041,"No, you are right."
00:06:15.207,00:06:16.709,That package should have arrived by now.
00:06:16.876,00:06:18.294,Let me track that for you.
00:06:18.461,00:06:20.212,"Yep, these pants are awesome if you have hips."
00:06:20.379,00:06:21.423,Super slimming.
00:06:21.589,00:06:23.883,"Okay, let me just review this with you."
00:06:24.050,00:06:25.217,You have six bridesmaids.
00:06:25.384,00:06:27.762,You ordered six of the silk chiffon Antoinette dresses in pink.
00:06:27.929,00:06:36.896,"The wedding is in three days, and the dresses just arrived all in charcoal gray, which we don't even sell, so that is a bit of a mystery."
00:06:37.229,00:06:38.815,"Okay, here's what we're gonna do about this."
00:06:38.981,00:06:41.108,I am gonna call the vendor and have this fixed today.
00:06:41.275,00:06:47.907,"I will personally see the dresses before they are FedExed, and I promise you they will be at your front door by 9:00 a.m. Friday, okay?"
00:06:48.074,00:06:52.537,"You know what, let me give you my cell just in case, 718-555-0199."
00:06:52.912,00:06:57.500,"Oh, thank you so much for your patience, and I am gonna refund you back all your money. It's the..."
00:07:01.253,00:07:03.339,"Okay, hey, you check this one off your list, okay?"
00:07:03.506,00:07:04.757,This is done.
00:07:05.091,00:07:08.010,"And, Rachel, have a great wedding."
00:07:08.511,00:07:10.262,"Oh, my God, how did that happen?"
00:07:10.472,00:07:11.473,BECKY: Jules?
00:07:11.639,00:07:12.807,"I know, I know, I'm late for something."
00:07:12.974,00:07:14.141,"Yeah, everything."
00:07:14.308,00:07:15.643,You see why I take customer service calls?
00:07:15.810,00:07:17.604,"I mean, it's so good. You learn so much."
00:07:17.770,00:07:18.771,"Okay, what's up? What am I doing?"
00:07:18.938,00:07:20.940,"Okay, Cameron was waiting for you, but had another meeting."
00:07:21.107,00:07:22.734,He said he'll be back at 2:00.
00:07:22.900,00:07:25.445,"Um, everyone needs you to sign off -on tomorrow's homepage. -Right."
00:07:25.612,00:07:27.113,And your 11:00 is in the big conference room.
00:07:27.279,00:07:32.284,"So is your 11:10. Finance needs you, and I guess you e-mailed a bunch of people at 4:00 a.m. about something?"
00:07:32.452,00:07:33.953,"Oh, good, I forgot about that."
00:07:34.120,00:07:36.413,I want to figure out a way for friends to shop together online.
00:07:36.581,00:07:37.582,Make it less of an alone thing.
00:07:37.749,00:07:38.750,"E-mail me that idea, will you?"
00:07:38.916,00:07:40.001,"Yeah, I like that."
00:07:40.167,00:07:41.418,"Um, is now a good time to call your mom back?"
00:07:41.586,00:07:43.838,"-Dude, I'm on a bike. -EMPLOYEES: Happy birthday!"
00:07:46.466,00:07:47.634,Oh!
00:07:49.469,00:07:50.637,"JULES: Oh, what a mess."
00:07:50.803,00:07:52.054,This is the middle of the office. Don't do...
00:07:52.221,00:07:53.430,Don't put that...
00:08:01.564,00:08:03.065,-RECEPTIONIST: Hello. -Hi.
00:08:03.232,00:08:07.654,I'm Ben Whittaker. I received an e-mail about an interview for the senior intern program.
00:08:07.820,00:08:08.946,"Hey, Ben. How's it goin'?"
00:08:09.238,00:08:10.532,"It's going good, real good. Thank you."
00:08:10.823,00:08:14.160,"Excellent. Take a seat around the corner, and someone from talent acquisition will come get you."
00:08:15.452,00:08:16.496,Thank you.
00:08:17.038,00:08:18.665,Talent acquisition?
00:08:29.008,00:08:32.386,"JULES: Okay, you guys have to remember, the homepage has to read in a glance."
00:08:32.554,00:08:36.182,"Also, you have to get back like this if you wanna see what it looks like if you're, like, over 35."
00:08:37.391,00:08:40.895,"Okay, so I can't read anything, but if I could, what do you want me to see?"
00:08:41.062,00:08:43.230,"Five Girls, One Shirt or Check Out The Fit?"
00:08:43.397,00:08:47.359,"Well, both, but what I really want you to see is the shirt worn by five different body types."
00:08:47.527,00:08:49.195,"Okay, then you gotta make me see that."
