start,end,script
00:01:36.221,00:01:38.640,YOU'RE NOT GETTING AWAY WITH THIS!
00:01:38.682,00:01:39.892,PALMER.
00:01:39.934,00:01:40.601,YEAH?
00:01:40.642,00:01:41.393,OOPS.
00:01:41.435,00:01:43.062,S-STOP!
00:01:43.102,00:01:44.187,DID THAT JUST HAPPEN?
00:01:44.229,00:01:45.188,YOU MEANT TO DO THAT!
00:01:45.230,00:01:46.273,"NO, YOU STARTLED ME."
00:01:46.314,00:01:47.441,"YEAH, YOU MEANT TO DO THAT."
00:01:47.482,00:01:49.902,"S-- NO, I DON'T THINK I DID."
00:01:49.944,00:01:52.654,"LISTEN, THIS WASN'T SOME WEST ENGLEWOOD DRUG SWEEP."
00:01:52.696,00:01:53.822,THE SEARCH WAS GOOD.
00:01:53.864,00:01:55.991,THERE'S NO CHANCE CARTER TOSSES IT.
00:01:56.033,00:01:58.660,WILL YOU CALM DOWN?
00:01:58.702,00:01:59.995,"WHAT, SO YOU CAN SMEAR ME?"
00:02:00.037,00:02:01.914,IMPLY THAT I INVENTED A PHANTOM WITNESS?
00:02:01.956,00:02:03.498,DID YOU?
00:02:01.956,00:02:05.417,"THE -- THE JADED LAWYER WITH NO, UH, NO RESPECT FOR THE LAW."
00:02:05.459,00:02:07.002,THAT'S ORIGINAL.
00:02:07.044,00:02:08.587,I RESPECT THE LAW JUST FINE.
00:02:08.629,00:02:10.047,I'M JUST NOT IN AWE OF IT.
00:02:10.089,00:02:11.548,I'M NOT ENCUMBERED BY IT.
00:02:11.590,00:02:18.138,"IF THE GREAT STATE OF ILLINOIS CAN'T MEET ITS BURDEN OF PROOF, IF I WALK WITH A GUILTY CLIENT, IT'S ON YOU."
00:02:18.179,00:02:20.432,"SO I SUGGEST YOU DO YOUR JOB, KATTAN."
00:02:20.474,00:02:25.228,"NOW, IF YOU'D LIKE TO FINISH THAT CLICHé, YOU FOLLOWED ME INTO THE PISSER TO UNLOAD."
00:02:25.270,00:02:26.563,DID IT INVOLVE MY REFLECTION?
00:02:26.605,00:02:28.732,"MAYBE SLEEPING AT NIGHT, HOW DO I DO IT?"
00:02:28.774,00:02:31.986,I DO IT ON A TEMPUR-PEDIC BED...
00:02:32.027,00:02:33.654,...IN A HIGHLAND PARK HOME...
