start,end,script
00:01:09.569,00:01:14.491,I know you want this to be over.
00:01:20.997,00:01:23.083,I'm right here.
00:01:27.504,00:01:30.131,I will be right here...
00:01:37.639,00:01:40.058,"But, you don't give up."
00:01:43.061,00:01:46.022,You hear me?
00:01:47.857,00:01:52.904,"As long as you can still grab a breath, you fight."
00:01:54.531,00:01:57.909,You breathe... keep breathing.
00:04:32.063,00:04:34.065,"Ah, shit."
00:04:35.900,00:04:38.569,Goddamn sumbitches.
00:04:40.738,00:04:43.366,The sumbitch got shit for brains.
00:04:48.913,00:04:51.082,-You seen Coulter? TRAPPER: Nope.
00:04:54.043,00:04:55.378,Listen up!
00:04:55.586,00:04:59.257,"When them plews is cleaned, I want you to hoop 'em up real tight."
00:04:59.590,00:05:03.261,"Remember, we're not doing no 15-pelt bales!"
00:05:03.469,00:05:05.555,-We're doing 30-pelt bales! HENRY: Fitzgerald!
00:05:06.597,00:05:07.598,Cap'n.
00:05:07.765,00:05:10.893,Where are we with the haul? What are you thinking?
00:05:11.936,00:05:14.647,"I'm thinking, whatever it is they're hunting out there..."
00:05:14.814,00:05:16.774,...I hope it don't need another shot.
00:05:16.941,00:05:18.901,Make sure we're ready to head out by dawn.
00:05:19.068,00:05:20.361,Been done by this morning.
00:05:20.528,00:05:23.573,"I'd have liked to be out by now, but the men are too tired."
00:05:23.740,00:05:26.284,We're only a few days from the fort. We're trapped out.
00:05:26.451,00:05:29.620,All we have to worry about is fresh meat for the boys.
00:05:30.246,00:05:32.665,"Well, you, uh, seen Coulter?"
00:05:35.626,00:05:38.671,"JIM: Hey, we took down an elk. A big one."
00:05:39.672,00:05:41.424,We need help to haul the meat back.
00:05:41.591,00:05:44.260,Let me know when it's on the spit. I'll help you with it then.
00:05:44.510,00:05:46.095,"Come on, I need your help."
00:05:46.345,00:05:48.681,We needed help when we were loading them bales.
00:05:49.015,00:05:51.684,I been eating this damn beaver meat so long...
00:05:52.018,00:05:54.062,...I'm starting to miss my wife's cooking.
00:05:54.228,00:05:56.856,-I'm starting to miss your wife. -Shut up.
00:05:57.190,00:05:58.357,COULTER: Help!
00:05:59.192,00:06:00.526,Help.
00:06:01.027,00:06:02.361,TRAPPER 1: Is that Coulter?
00:06:02.695,00:06:04.655,You go get the Captain.
00:06:04.822,00:06:06.282,STUBBY BILL: Jesus Christ.
00:06:09.452,00:06:11.204,TRAPPER 2: Anybody see them?
00:06:11.537,00:06:14.165,TRAPPER 3: Stay quiet. TRAPPER 4: Watch the ridge.
00:06:32.934,00:06:33.976,Pa?
00:06:34.352,00:06:35.603,Let's go.
00:06:49.659,00:06:50.952,TRAPPER 4: Shh.
00:07:21.941,00:07:24.610,I can't see 'em. I can't see 'em.
00:07:29.615,00:07:31.117,HENRY: Get down!
00:07:32.618,00:07:35.121,We're surrounded! They're everywhere!
00:07:35.371,00:07:36.998,HENRY: Stay here! Stay here!
00:07:38.332,00:07:39.625,"Paul, no!"
00:07:43.421,00:07:44.839,TRAPPER 3: Stay down!
00:07:48.384,00:07:51.053,-They want us out in the open. TRAPPER 3: Someone get him help!
00:07:51.304,00:07:53.806,Nobody move! Stay where you are!
00:07:54.140,00:07:55.766,They want the pelts.
00:07:55.933,00:07:59.061,We got to get on that boat right now or we'll lose it all.
00:08:20.917,00:08:22.251,"Move, move!"
00:08:25.338,00:08:29.175,Leave the furs! Leave the furs! To the boat!
00:08:54.283,00:08:56.452,Hawk!
00:09:02.458,00:09:03.960,Hawk!
00:09:04.377,00:09:05.962,Hawk!
00:09:34.240,00:09:37.577,"Grab some pelts! Come on, grab the pelts!"
00:09:56.929,00:10:00.600,Grab the pelts! Grab the pelts!
00:10:16.699,00:10:18.451,DAVE: Give this to my little girl.
00:10:18.784,00:10:20.786,You're coming with us. I'll get help.
00:10:27.960,00:10:30.630,GLASS: Leave the furs! Leave the pelts!
00:10:31.464,00:10:32.548,Willman!
00:10:33.633,00:10:36.594,-Lean on me. Just keep going. -Ahh!
00:10:39.639,00:10:41.641,Get to the boat!
00:11:03.579,00:11:05.081,Fucking savage!
00:11:06.415,00:11:08.668,Get on the fucking boat!
