word,counts
is,66
dont,47
be,44
have,42
good,41
just,39
go,39
was,37
know,37
im,35
are,35
do,35
going,30
get,29
here,28
let,28
there,26
can,26
not,23
now,22
want,22
come,20
world,20
so,20
think,20
how,19
when,19
see,19
back,18
cant,17
man,17
where,17
why,16
something,16
got,16
thank,15
like,14
time,14
been,14
look,14
were,13
nothing,13
really,13
has,13
did,12
would,12
right,12
first,12
way,12
say,11
could,11
ever,11
life,10
take,10
tell,10
isnt,10
anything,10
morning,10
help,9
ok,9
very,9
doing,9
still,9
will,9
had,9
stop,9
give,8
never,8
talking,8
thing,8
out,8
call,8
too,8
again,8
it,8
night,7
hell,7
transmission,7
everything,7
should,7
drive,7
live,7
watching,7
bus,6
cameras,6
came,6
cam,6
love,6
day,6
then,6
people,6
find,6
job,6
some,6
little,6
happening,5
away,5
turn,5
by,5
later,5
wrong,5
last,5
driver,5
leave,5
evening,5
great,5
all,5
new,5
made,5
year,5
boat,5
into,5
radio,5
dog,5
front,5
whole,5
much,5
one,4
afternoon,4
remember,4
christof,4
else,4
didnt,4
today,4
together,4
thinking,4
ahead,4
coming,4
over,4
only,4
cue,4
need,4
round,4
getting,4
doesnt,4
set,4
head,4
operator,4
island,4
somewhere,4
fake,4
old,4
being,4
understand,4
audience,4
move,4
month,4
lot,4
minute,4
making,4
more,4
make,4
left,4
started,4
true,4
seahaven,4
excuse,4
truman,4
mother,3
lie,3
went,3
traffic,3
somebody,3
am,3
up,3
cut,3
best,3
wasnt,3
memory,3
years,3
down,3
things,3
many,3
same,3
looking,3
saying,3
even,3
car,3
father,3
ready,3
feel,3
elevator,3
step,3
stand,3
tomorrow,3
kind,3
found,3
shut,3
truth,3
wind,3
music,3
announcer,3
friends,3
fancy,3
late,3
home,3
hold,3
thought,3
room,3
obstruction,2
few,2
forget,2
flowers,2
slice,2
fine,2
generated,2
self,2
flight,2
sign,2
once,2
show,2
shouldnt,2
shot,2
free,2
forward,2
food,2
former,2
papers,2
honor,2
sea,2
gonna,2
own,2
keep,2
knows,2
lawn,2
product,2
least,2
most,2
about,2
listen,2
long,2
looks,2
point,2
play,2
marlon,2
maybe,2
mean,2
meet,2
phone,2
person,2
paper,2
meryl,2
might,2
mind,2
payments,2
mixed,2
join,2
ive,2
islands,2
heart,2
school,2
grew,2
guard,2
guess,2
handles,2
happen,2
happened,2
harbor,2
hasnt,2
having,2
hear,2
network,2
moving,2
other,2
money,2
revenues,2
hours,2
human,2
return,2
mower,2
remind,2
in,2
recent,2
interview,2
youve,2
on,2
favorite,2
strange,2
couldnt,2
wanted,2
believe,2
terrified,2
country,2
behalf,2
television,2
become,2
teenager,2
tech,2
talk,2
dead,2
definitely,2
dented,2
swear,2
bad,2
determined,2
die,2
weather,2
studio,2
baby,2
discover,2
week,2
congratulations,2
this,2
voice,2
check,2
tv,2
building,2
calls,2
buckle,2
trying,2
try,2
brother,2
cars,2
cast,2
cause,2
child,2
birthday,2
born,2
took,2
tonight,2
classical,2
blows,2
told,2
viewers,2
close,2
closeup,2
throw,2
while,2
telling,2
does,2
work,2
eat,2
episode,2
worth,2
early,2
wont,2
woman,2
air,2
experience,2
always,2
wondering,2
ago,2
drink,2
end,2
wide,2
arent,2
sorry,2
almost,2
storm,2
face,2
young,2
downtown,2
position,1
vicinity,1
population,1
upcoming,1
use,1
politics,1
workers,1
please,1
variable,1
open,1
police,1
plummeted,1
pole,1
operators,1
vending,1
op,1
worry,1
unpredictable,1
positive,1
unwanted,1
type,1
yourself,1
privacy,1
youd,1
written,1
writing,1
umbrella,1
principals,1
uncle,1
prevent,1
pretending,1
unedited,1
presented,1
present,1
pregnancies,1
union,1
prefers,1
ones,1
predict,1
orleans,1
praise,1
possible,1
unprofessional,1
order,1
pirated,1
worked,1
planet,1
performer,1
overwhelmingly,1
womb,1
performance,1
perfect,1
wo,1
wasted,1
watch,1
watched,1
peeler,1
water,1
peel,1
wishing,1
