num,start,end,script
8,00:04:45.869,00:04:47.495,['Oh!']
10,00:04:53.252,00:04:55.254,['No!']
13,00:05:13.981,00:05:16.108,['No!']
15,00:05:28.870,00:05:30.122,"['There', 'she', 'is.']"
16,00:05:30.122,00:05:31.456,"['There', 'she', 'is.']"
21,00:05:40.215,00:05:41.883,"['There', 'she', 'is.']"
42,00:14:30.203,00:14:32.455,['DANIEL:']
43,00:14:30.203,00:14:32.455,"['Ladies', 'and', 'gentlemen,']"
44,00:14:32.455,00:14:36.209,"[""I've"", 'traveled', 'over', 'half']"
45,00:14:32.455,00:14:36.209,"['our', 'state', 'to', 'be', 'here', 'tonight.']"
46,00:14:36.209,00:14:38.169,"['I', ""couldn't"", 'get', 'away', 'sooner']"
47,00:14:38.169,00:14:40.046,"['because', 'my', 'new', 'well']"
48,00:14:38.169,00:14:40.046,"['was', 'coming', 'in', 'at', 'Coyote', 'Hills,']"
49,00:14:40.046,00:14:42.131,"['and', 'I', 'had', 'to', 'see', 'about', 'it.']"
50,00:14:42.131,00:14:45.426,"['That', 'well', 'is', 'now', 'flowing']"
51,00:14:42.131,00:14:45.426,"['at', '2,000', 'barrels,']"
52,00:14:45.426,00:14:49.180,"['and', ""it's"", 'paying', 'me', 'an', 'income']"
53,00:14:45.426,00:14:49.180,"['of', '$5,000', 'a', 'week.']"
54,00:14:49.180,00:14:50.724,"['I', 'have', 'two', 'others', 'drilling,']"
55,00:14:50.724,00:14:52.809,"['and', 'I', 'have', '16']"
56,00:14:50.724,00:14:52.809,"['producing', 'at', 'Antelope.']"
57,00:14:52.809,00:14:54.894,"['So,', 'ladies', 'and', 'gentlemen,']"
58,00:14:54.894,00:14:59.858,"['if', 'I', 'say', ""I'm"", 'an', 'oilman,']"
59,00:14:54.894,00:14:59.858,"['you', 'will', 'agree.']"
60,00:14:59.858,00:15:02.610,"['Now,', 'you', 'have']"
61,00:14:59.858,00:15:02.610,"['a', 'great', 'chance', 'here,']"
62,00:15:02.610,00:15:05.739,"['but', 'bear', 'in', 'mind', 'you', 'can', 'lose']"
63,00:15:02.610,00:15:05.739,"['it', 'all', 'if', ""you're"", 'not', 'careful.']"
64,00:15:05.739,00:15:08.408,"['Out', 'of', 'all', 'men', 'that', 'beg']"
65,00:15:05.739,00:15:08.408,"['for', 'a', 'chance', 'to', 'drill', 'your', 'lots,']"
66,00:15:08.408,00:15:11.160,"['maybe', 'one', 'in', '20']"
67,00:15:08.408,00:15:11.160,"['will', 'be', 'oilmen.']"
68,00:15:11.160,00:15:12.995,"['The', 'rest']"
69,00:15:11.160,00:15:12.995,"['will', 'be', 'speculators,']"
70,00:15:12.995,00:15:15.540,"[""that's"", 'men', 'trying', 'to', 'get']"
71,00:15:12.995,00:15:15.540,"['between', 'you', 'and', 'the', 'oilmen']"
72,00:15:15.540,00:15:17.542,"['to', 'get', 'some', 'of', 'the', 'money']"
73,00:15:15.540,00:15:17.542,"['that', 'ought,', 'by', 'rights,']"
74,00:15:17.542,00:15:19.502,"['come', 'to', 'you.']"
75,00:15:19.502,00:15:22.088,"['Even', 'if', 'you', 'find', 'one', 'that', 'has']"
76,00:15:19.502,00:15:22.088,"['money', 'and', 'means', 'to', 'drill,']"
77,00:15:22.088,00:15:25.049,"[""he'll"", 'maybe', 'know', 'nothing']"
78,00:15:22.088,00:15:25.049,"['about', 'drilling.']"
79,00:15:25.049,00:15:27.051,"[""He'll"", 'have', 'to', 'hire', 'the', 'job']"
80,00:15:25.049,00:15:27.051,"['out', 'on', 'contract,']"
81,00:15:27.051,00:15:29.637,"['and', 'then', ""you're"", 'depending']"
82,00:15:27.051,00:15:29.637,"['on', 'a', 'contractor,']"
83,00:15:29.637,00:15:32.348,"[""who'll"", 'rush', 'the', 'job', 'through']"
84,00:15:29.637,00:15:32.348,"['so', 'he', 'can', 'get', 'another', 'contract']"
85,00:15:32.348,00:15:33.767,"['just', 'as', 'quick', 'as', 'he', 'can.']"
86,00:15:33.767,00:15:35.268,"['This', 'is', 'the', 'way']"
87,00:15:33.767,00:15:35.268,"['that', 'this', 'works.']"
88,00:15:35.268,00:15:37.186,"['MAN', '1:']"
89,00:15:35.268,00:15:37.186,"['Well,', 'what', 'is', 'your', 'offer?']"
90,00:15:37.186,00:15:38.772,"[""We're"", 'wasting', 'time.']"
92,00:15:38.772,00:15:40.440,"['MAN', '2:', 'Please.']"
93,00:15:42.776,00:15:45.111,"['I', 'do', 'my', 'own', 'drilling.']"
94,00:15:45.111,00:15:47.363,"['And', 'the', 'men', 'that', 'work', 'for', 'me']"
95,00:15:45.111,00:15:47.363,"['work', 'for', 'me,']"
96,00:15:47.363,00:15:49.282,"['and', 'they', 'are', 'men', 'I', 'know.']"
97,00:15:49.282,00:15:52.993,"['I', 'make', 'it', 'my', 'business', 'to']"
98,00:15:49.282,00:15:52.993,"['be', 'there', 'and', 'to', 'see', 'their', 'work.']"
99,00:15:52.993,00:15:54.621,"['I', ""don't"", 'lose', 'my', 'tools']"
100,00:15:52.993,00:15:54.621,"['in', 'the', 'hole']"
101,00:15:54.621,00:15:56.080,"['and', 'spend', 'months']"
102,00:15:54.621,00:15:56.080,"['fishing', 'for', 'them.']"
