num,start,end,script
1,00:00:17.476,00:00:20.479,"['What', 'follows', 'is', 'based', 'on', 'actual', 'case', 'files.']"
3,00:00:44.795,00:00:49.633,"['July', '4,', '1969', '-', 'Vallejo,', 'CA']"
6,00:01:04.022,00:01:06.233,"['Where', 'have', 'you', 'been?', ""I've"", 'been', 'waiting', 'since', '7.']"
7,00:01:06.400,00:01:08.819,"['Get', 'in.', 'I', 'have', 'to', 'find', 'fireworks.']"
8,00:01:08.986,00:01:13.615,"['-Let', 'me', 'drive.', '-Get', 'in.', 'I', ""haven't"", 'eaten', 'in', '24', 'hours.']"
9,00:01:15.576,00:01:17.661,"['Are', 'you', 'coming', 'or', 'not?']"
11,00:01:33.260,00:01:37.431,"['...at', '1017', 'Fourth', 'Street,', 'San', 'Rafael.', 'Open', 'till', '9', 'Friday.']"
12,00:01:37.806,00:01:39.641,"[""It's"", 'too', 'crowded.']"
13,00:01:39.975,00:01:42.019,"['I', 'thought', 'you', 'were', 'starving.']"
14,00:01:43.645,00:01:46.023,"[""Let's"", 'go', 'someplace', 'quiet.']"
15,00:01:47.274,00:01:48.942,['Okay.']
17,00:01:59.995,00:02:01.538,"['MIKE:', 'What', 'are', 'we', 'doing?']"
18,00:02:03.290,00:02:07.711,"['Sitting.', 'Listening', 'to', 'music.', 'Talking.']"
19,00:02:08.545,00:02:10.714,"['You', 'seem', 'weird.', 'Is', 'everything', 'okay?']"
20,00:02:10.881,00:02:12.924,"['Yeah,', ""everything's"", 'fine.']"
21,00:02:20.223,00:02:22.934,"[""It's"", 'July.', 'How', 'many', 'shirts', 'are', 'you', 'wearing?']"
22,00:02:23.101,00:02:26.271,"[""-I'm"", 'cold.', ""-You're"", 'cold', 'on', 'the', 'Fourth', 'of', 'July?']"
24,00:02:30.734,00:02:33.153,"['Fuck', 'off', 'and', 'die!']"
26,00:02:38.992,00:02:40.327,['What?']
27,00:02:40.494,00:02:42.204,"['""Fuck', 'off', 'and', 'die""?']"
28,00:02:43.622,00:02:45.457,"['Shut', 'up.']"
30,00:03:10.189,00:03:12.776,"['Was', 'that', 'car', 'at', 'the', 'drive-in?']"
31,00:03:14.945,00:03:17.739,"['I', 'saw', 'that', 'car', 'at', 'Mr.', ""Ed's.""]"
32,00:03:23.578,00:03:27.124,"['-Do', 'you', 'want', 'me', 'to', 'tell', 'him', 'to', 'leave?', '-Stay', 'in', 'the', 'car.']"
33,00:03:42.389,00:03:44.975,"['-Was', 'that', 'your', 'husband?', '-No.']"
34,00:03:48.478,00:03:49.813,"['MIKE', 'Who', 'was', 'that,', 'Darlene?']"
35,00:03:51.273,00:03:53.233,"[""Don't"", 'worry', 'about', 'it.']"
36,00:03:53.400,00:03:55.235,"[""Don't"", 'tell', 'me', 'not', 'to', 'worry.', 'Who', 'was', 'it?']"
37,00:03:55.402,00:03:57.028,"[""It's"", 'nothing.']"
39,00:04:16.840,00:04:18.759,"['Oh,', 'shit.']"
40,00:04:21.428,00:04:23.221,"[""Let's"", 'go.']"
41,00:04:26.183,00:04:27.893,"['Now,', 'D.']"
42,00:04:39.863,00:04:41.490,"['Get', 'your', 'wallet.']"
