title,level_1,level_2,level_3,level_4,level_5,level_6
13TH,3732,833,606,115,44,44
About.Time,3220,317,257,47,27,14
Arthur.Christmas,2293,228,240,106,49,39
Baby.Driver,2849,246,351,77,21,43
Bad.Boys,3707,344,392,94,57,40
Bee.Movie,2940,421,379,76,30,62
Ben.Platt.Live.from.Radio.City.Music.Hall,1157,76,78,12,7,14
Bo.Burnham_.Inside,983,117,70,11,5,8
Bo.Burnham_.Make.Happy,1165,119,137,22,21,20
Chasing.Coral,2526,300,439,54,21,25
Constantine,1809,202,217,34,22,17
Dave.Chappelle_.Sticks.&.Stones,2203,217,247,40,33,32
Dave.Chappelle_.Sticks._.Stones,2357,217,251,35,29,32
David.Attenborough_.A.Life.on.Our.Planet,2035,413,384,59,15,22
Disclosure,3793,425,520,90,53,91
Dolittle,2120,279,240,65,24,29
Dracula.Untold,1162,146,156,39,7,2
Enola.Holmes,2616,342,270,62,25,22
FYRE_.The.Greatest.Party.That.Never.Happened,4679,576,431,78,36,56
Heroin(e),1318,162,117,32,7,10
How.to.Be.Single,3698,285,267,64,57,28
In.Time,2094,194,116,23,1,7
Inception,3819,321,215,118,26,20
Inside.Job,3689,1192,801,72,27,44
Interstellar,4158,572,524,107,43,79
It_s.Complicated,3606,243,219,44,18,18
Jumanji_.Welcome.to.the.Jungle,3014,283,330,73,31,40
Kill.Bill_.Vol..1,1011,127,161,31,34,18
Kiss.the.Ground,2571,557,519,92,36,63
Klaus,2433,168,155,72,24,26
Knock.Down.The.House,2393,386,203,41,12,19
Kung.Fu.Panda,1514,176,140,61,4,20
Kung.Fu.Panda.2,1556,176,137,77,17,21
Kung.Fu.Panda.3,2052,177,148,91,26,21
Madagascar_.Escape.2.Africa,2610,268,248,62,23,35
Matilda,2205,210,202,43,34,43
Monty.Python.and.the.Holy.Grail,1816,279,310,96,21,58
Morning.Glory,3917,422,352,80,47,75
Notting.Hill,3338,321,276,60,45,32
Passengers,2100,204,201,26,16,42
Penguins.of.Madagascar_.The.Movie,2030,329,384,91,32,47
Prisoners,3027,200,216,41,12,14
Seaspiracy,4078,670,776,98,46,45
Second.Act,3333,336,248,52,34,30
The.Accountant,2751,428,370,68,28,38
The.Boy.in.the.Striped.Pajamas,1243,137,89,25,2,7
The.Dark.Knight,4162,490,430,70,57,44
The.Departed,4243,428,653,126,37,47
The.Family.Man,3386,285,216,59,18,17
The.Intern,4910,382,306,55,34,46
The.Judge,3459,396,299,142,26,35
The.Revenant,1778,186,164,84,19,7
The.Social.Dilemma,3870,600,489,64,48,35
The.Truman.Show,2261,164,146,74,10,8
There.Will.Be.Blood,2898,230,258,44,12,38
Three.Identical.Strangers,3116,283,247,37,38,21
Virunga,1580,243,158,49,11,16
What.the.Health,5126,824,870,124,107,93
Zodiac,5421,529,421,137,49,64
