Word,Lemmas
be,is;was;are;were;'s;been;being;'re;'m;am;m
have,had;has;'ve;having;'s;'d;d;ve
it,its;they
he,his;him;they
i,my;me;we;is
they,their;them;'em
you,your;ya;ye
not,n't
she,her
do,did;does;done;doing;du;d'
we,our;us
will,'ll;wo;ll
say,said;says;saying
would,'d
can,ca;cans;can;could
go,going;went;gone;goes;goin'
get,got;getting;gets;gotten
make,made;making;makes
up,ups;upping;upped
see,seen;saw;seeing;sees
other,others
time,times;timed;timing
know,knew;known;knows;knowing
take,took;taken;taking;takes
year,years
well,better;wells;welling;welled
like,liked;likes;liking
then,thens
think,thought;thinking;thinks
come,came;coming;comes
now,nows
use,used;using;uses
over,overs
good,best;better;goods
work,working;worked;works;wrought
give,given;gave;giving;gives
new,newer;newest
people,peoples;peopling;peopled
look,looked;looking;looks
one,ones
way,ways
right,rights;righting;righted
back,backed;backs;backing
man,men;manned;mans;manning
find,found;finding;finds
down,downs;downing;downed
day,days
need,needs;needed;needing
much,muches
want,wanted;wants;wanting
last,lasted;lasts;lasting
thing,things
own,owned;owns;owning
tell,told;telling;tells
still,stills;stilling;stilled;stiller;stillest
must,musts
child,children
show,shown;shows;showed;showing
mean,means;meant;meaning
put,putting;puts
place,places;placed;placing
government,governments
become,became;becomes;becoming
part,parts;parted;parting
great,greater;greatest;greats
change,changes;changed;changing
leave,left;leaving;leaves
old,older;oldest;olds
case,cases;casing;cased
life,lives
little,littles
house,houses;housing;housed
system,systems
far,further;furthest;farther;farthest
point,points;pointed;pointing
long,longer;longest;longed;longing;longs
same,sames
group,groups;grouped;grouping
end,ended;ends;ending
call,called;calls;calling
number,numbers;numbered;numbering
woman,women
feel,felt;feeling;feels
seem,seemed;seems;seeming
might,mights
high,higher;highest;highs
world,worlds
area,areas
ask,asked;asking;asks
company,companies
course,courses;coursing;coursed
home,homes;homing;homed
problem,problems
service,services;servicing;serviced
hand,hands;handed;handing
try,trying;tried;tries
form,forms;formed;forming
state,states;stated;stating
set,sets;setting
school,schools;schooling;schooled
party,parties
turn,turned;turning;turns
early,earlier;earliest
provide,provided;provides;providing
small,smaller;smallest;smalls
help,helped;helping;helps
hold,held;holding;holds
keep,kept;keeping;keeps
start,started;starting;starts
country,countries
large,larger;largest
report,reported;reports;reporting
member,members
local,locals
week,weeks
move,moved;moving;moves
head,heads;headed;heading
play,played;playing;plays
second,seconds;seconded;seconding
face,faces;faced;facing
run,running;ran;runs
order,orders;ordered;ordering
open,opened;opening;opens
example,examples
bring,brought;bringing;brings
word,words;worded;wording
question,questions;questioned;questioning
family,families
begin,began;beginning;begun;begins
result,results;resulted;resulting
fact,facts
follow,followed;following;follows
pay,paid;paying;pays
study,studies;studied;studying
term,terms;termed;terming
support,supported;supporting;supports
month,months
write,written;wrote;writing;writes
talk,talking;talks;talked;talkin'
level,levels;levelled;levelling
business,businesses
power,powers;powered;powering
book,books;booked;booking
side,sides;sided;siding
young,younger;youngest
public,publics
general,generals
lead,led;leading;leads
national,nationals
control,controls;controlled;controlling
act,acts;acting;acted
interest,interests;interested;interesting
night,nights
name,names;named;naming
development,developments
eye,eyes;eyed;eyeing
water,waters;watering;watered
money,moneys;monies
cost,costs;costing;costed
present,presented;presents;presenting
market,markets;marketed;marketing
offer,offered;offers;offering
british,britishes
force,forces;forced;forcing
plan,plans;planning;planned
line,lines;lined;lining
include,included;includes;including
live,lived;living;lives
view,views;viewed;viewing
hear,heard;hearing;hears
council,councils
policy,policies
issue,issues;issued;issuing
london,londons
effect,effects;effected;effecting
court,courts;courting;courted
room,rooms;rooming;roomed
car,cars
believe,believed;believes;believing
late,later;latest
stand,stood;standing;stands
big,biggest;bigger
meet,met;meeting;meets
round,rounds;rounded;rounding;rounder;roundest
return,returned;returning;returns
close,closed;closer;closing;closest;closes
idea,ideas
subject,subjects;subjected;subjecting
allow,allowed;allowing;allows
job,jobs
sort,sorts;sorted;sorting
body,bodies
law,laws
rate,rates;rated;rating
enough,enoughs
fall,fell;falling;fallen;falls
authority,authorities
happen,happened;happens;happening
matter,matters;mattered;mattering
friend,friends
increase,increased;increases;increasing
minister,ministers;ministering;ministered
produce,produced;producing;produces
carry,carried;carrying;carries
mind,minds;minded;minding
road,roads
least,leasts
claim,claims;claimed;claiming
whole,wholes
light,lights;lit;lighter;lighting;lightest;lighted
appear,appeared;appears;appearing
cause,caused;causes;causing
half,halves
low,lower;lowest;lows;lowing;lowed
price,prices;priced;pricing
centre,centres;centred;centring
hope,hoped;hopes;hoping
record,records;recorded;recording
clear,cleared;clearer;clearing;clearest;clears
reason,reasons;reasoned;reasoning
hour,hours
process,processes;processed;processing
office,offices
war,wars;warring;warred
full,fuller;fullest
figure,figures;figured;figuring
major,majors;majoring;majored
bit,bits
experience,experiences;experienced;experiencing
consider,considered;considering;considers
person,persons
kind,kinds;kinder;kindest
love,loved;loves;loving
suggest,suggested;suggests;suggesting
require,required;requires;requiring
let,letting;lets
period,periods
expect,expected;expecting;expects
deal,dealing;dealt;deals
sit,sat;sitting;sits
society,societies
door,doors
base,based;basing;bases;baser;basest
mother,mothers;mothering;mothered
continue,continued;continues;continuing
anything,anythings
position,positions;positioned;positioning
research,researching;researched;researches
labour,labours;labouring;laboured
top,tops;topped;topping
police,policing;policed;polices
share,shares;shared;sharing
city,cities
care,cared;caring;cares
community,communities
add,added;adding;adds
individual,individuals
lose,lost;losing;loses
value,values;valued;valuing
type,types;typed;typing
age,ages;aged;ageing
action,actions
win,won;winning;wins
stop,stopped;stops;stopping
design,designed;designs;designing
minute,minutes;minuting;minuted;minutest
remain,remained;remains;remaining
voice,voices;voiced;voicing
