title,level_1,level_2,level_3,level_4,level_5,level_6,WPS_mean,WPS_std,WPS_min,WPS_max,running_time(sec),weight
13TH,789,371,252,85,43,28,2.9619731318275813,0.7939549853728156,1.0655301012253595,5.9970014992503735,5744.28,0.6267103971254884
About.Time,645,201,104,59,24,13,2.182928247040382,1.0945440268044817,0.5034401745259272,6.08,6962.126,0.5170834311243433
Anne.with.an.E,946,493,282,228,60,93,3.0983483187271137,0.9453407086079024,0.5920663114268798,6.849315068493151,20562.876,0.1750727865109919
Arthur.Christmas,564,175,104,54,40,28,2.156860271747184,0.925752334001934,0.5102040816326531,5.2631578947368425,5404.775,0.6660776813095828
Baby.Driver,604,165,122,46,23,24,2.833973976945636,1.2497040481625006,0.574052812858783,10.657193605683837,6654.023,0.5410260830177474
Bad.Boys,613,197,108,41,35,29,2.5074422830590275,1.155208751212932,0.5386479935362241,7.052186177715092,6847.716,0.5257227373331487
Bee.Movie,654,230,156,70,28,43,2.617451635833877,1.1438767491268855,0.5155968032998195,6.216696269982239,5425.42,0.6635430989674532
Ben.Platt.Live.from.Radio.City.Music.Hall,355,67,37,18,9,7,3.827371264179285,1.1112267038672807,1.1415525114155252,6.657789613848203,4747.034,0.7583682779605119
Better.Call.Saul,1119,589,429,181,129,122,2.4632440948004657,1.01959158056975,0.5047955577990914,6.164383561643835,26840.69,0.1341247188503723
Black.Mirror,1028,531,349,146,115,67,2.570689210379409,1.2683296384035156,0.5,10.9375,20417.8,0.176316743233845
Bo.Burnham_.Inside,339,83,28,9,8,7,2.7634714320651854,0.9688972667240624,0.6775354647469829,5.289139633286318,4635.882,0.7765512582071762
Bo.Burnham_.Make.Happy,400,90,49,18,23,17,3.410114834639913,1.2341549702143548,0.7733952049497294,7.380073800738008,3394.307,1.0605994095407398
Breaking.Bad,958,418,253,87,60,75,2.2914945022127173,1.0229465338661528,0.5101173269852066,6.617038875103392,20064.308,0.1794230830188611
Chasing.Coral,630,201,123,28,22,19,3.127005483938388,0.8186911491612229,0.7784524365561264,7.194244604316548,4916.328,0.7322538284670997
Constantine,498,143,89,40,18,16,2.20827999035105,0.8923974921977383,0.5047955577990914,5.275779376498801,7066.519,0.5094446077340201
Dave.Chappelle_.Sticks.&.Stones,494,150,64,28,21,18,3.384967361966186,1.0099658181888416,0.9990009990009991,6.1349693251533735,3875.831,0.928833068314898
Dave.Chappelle_.Sticks._.Stones,512,153,64,27,20,17,3.384967361966186,1.0099658181888416,0.9990009990009991,6.1349693251533735,3875.831,0.928833068314898
David.Attenborough_.A.Life.on.Our.Planet,556,259,151,40,17,18,2.268698037553482,0.5363886491387484,0.982511298879937,5.326231691078561,4547.543,0.7916362747971818
Disclosure,689,272,164,73,47,59,3.173665403596692,0.9110191436450372,0.9049773755656108,6.45557946510913,6160.988,0.5843218652592733
Disenchantment,986,544,403,250,124,122,2.8850574304946344,0.8396460963050217,0.5014130732063087,5.722070844686647,15818.969000000005,0.2275748817764292
Dolittle,586,217,109,55,25,24,2.84114594877296,1.0103110876284729,0.5739063894911364,6.393180607352158,5530.859,0.6508934688083713
Dracula.Untold,371,124,65,37,6,2,2.2914669047308003,0.79174095879467,0.6851661527920521,4.72212132219397,5038.199,0.7145410492916219
Enola.Holmes,627,223,117,51,26,21,3.2634910164364306,0.951268039377534,0.5106303964348714,6.191950464396284,6947.667,0.5181595490975603
FYRE_.The.Greatest.Party.That.Never.Happened,816,304,180,62,49,34,3.310124238081864,0.8412422744135732,0.9789525208027408,6.711409395973154,5702.947,0.631252578710621
Friends,789,228,154,70,54,34,2.432684914012419,0.9380009397783544,0.5046681806712087,8.561643835616437,15963.151999999998,0.2255193711116702
Heroin(e),403,105,46,13,10,7,3.4737834668234213,1.1220021475078503,0.5577244841048522,7.052186177715093,2198.946,1.637147979077249
How.to.Be.Single,618,188,107,33,37,21,3.02405276884256,1.3474425586972538,0.6069802731411229,10.905125408942205,6134.795,0.586816674395803
How.to.Get.Away.With.Murder,1008,459,283,110,65,42,2.778949590875752,1.259527652822375,0.5102040816326531,11.07011070110701,25296.564,0.1423118175258901
In.Time,440,126,46,20,1,6,2.1817857925317656,0.9454910082738188,0.5047955577990914,5.483207676490747,6094.504,0.5906961419665981
Inception,567,181,89,21,13,13,2.749064082579055,1.2745271365929356,0.5575689991636464,7.299270072992701,8311.387,0.4331407020272308
Inside.Job,817,410,222,49,32,21,2.383672559998768,0.6109041394912393,0.5268703898840885,4.388926401080351,6440.601,0.5589540479219254
Interstellar,709,309,174,49,44,47,2.786998372112919,0.9016485980123852,0.5735753821445984,7.104795737122559,9747.112,0.3693401696830815
It_s.Complicated,617,160,96,37,24,15,2.5534044672116547,1.2299187840806922,0.5105948429920858,8.513931888544892,6786.916,0.5304323790069009
Jumanji_.Welcome.to.the.Jungle,578,166,106,45,22,25,3.016157318267156,1.1654453547987258,0.5212405525149857,6.960556844547564,6534.903,0.5508880544975189
Kill.Bill_.Vol..1,387,110,67,31,17,14,2.6019456073959777,1.0450383633067126,0.7861635220125786,6.784260515603799,6106.517,0.5895340993892263
Kiss.the.Ground,631,248,153,38,35,32,2.79560818204367,0.8693533696545789,0.8718395815170008,7.9908675799086755,4910.947,0.7330561702254168
Klaus,543,128,67,52,24,21,3.020931925480352,1.0618716666605532,0.6224496853171035,7.677543186180422,5366.792,0.6707917877197401
Knock.Down.The.House,596,184,108,25,17,12,3.177433527778789,0.9741330359763908,0.6438789507572577,5.99828620394173,4908.195,0.7334671910957083
Kung.Fu.Panda,415,119,65,24,6,11,2.0365501107660164,0.8887717325151913,0.5047955577990914,4.926108374384237,4953.949,0.7266929877558288
Kung.Fu.Panda.2,439,124,46,37,14,12,2.15909521340858,1.0604488785211243,0.5211047420531527,7.104795737122559,4838.917,0.743968123445804
Kung.Fu.Panda.3,444,100,65,30,16,15,2.958068006751806,1.09919636176047,0.7490636704119851,7.6701821668264625,4910.655,0.7330997596043706
