title,level_1,level_2,level_3,level_4,level_5,level_6
13TH,693,362,373,76,34,30
About.Time,619,168,182,41,23,13
Anne.with.an.E,876,388,489,204,49,96
Arthur.Christmas,528,138,181,56,32,30
Baby.Driver,577,149,176,41,17,24
Bad.Boys,576,179,173,39,27,29
Bee.Movie,616,199,237,62,24,43
Ben.Platt.Live.from.Radio.City.Music.Hall,339,63,67,9,7,8
Better.Call.Saul,1012,509,651,176,98,123
Black.Mirror,923,467,570,123,85,68
Bo.Burnham_.Inside,321,82,49,10,5,7
Bo.Burnham_.Make.Happy,378,80,88,19,15,17
Breaking.Bad,888,360,387,100,41,75
Chasing.Coral,587,182,181,35,19,19
Constantine,466,127,148,29,18,16
Dave.Chappelle_.Sticks.&.Stones,474,125,115,27,16,18
Dave.Chappelle_.Sticks._.Stones,492,127,115,27,15,17
David.Attenborough_.A.Life.on.Our.Planet,506,225,232,47,13,18
Disclosure,640,238,263,63,41,59
Disenchantment,924,438,646,205,92,124
Dolittle,549,185,185,52,21,24
Dracula.Untold,356,92,120,28,7,2
Enola.Holmes,582,203,192,45,22,21
FYRE_.The.Greatest.Party.That.Never.Happened,746,288,278,65,34,34
Friends,749,187,238,74,47,34
Heroin(e),374,109,76,13,5,7
How.to.Be.Single,597,150,172,31,33,21
How.to.Get.Away.With.Murder,897,436,438,104,50,42
In.Time,409,123,83,17,1,6
Inception,519,172,146,28,6,13
Inside.Job,714,391,353,52,20,21
Interstellar,645,272,272,65,31,47
It_s.Complicated,592,133,154,37,18,15
Jumanji_.Welcome.to.the.Jungle,554,139,163,40,20,26
Kill.Bill_.Vol..1,369,97,104,23,19,14
Kiss.the.Ground,569,224,238,52,22,32
Klaus,516,118,123,37,20,21
Knock.Down.The.House,544,195,147,32,11,13
Kung.Fu.Panda,399,105,101,20,3,12
Kung.Fu.Panda.2,423,103,95,27,11,13
Kung.Fu.Panda.3,427,88,106,20,13,16
MINDHUNTER,1104,628,880,223,122,165
Madagascar_.Escape.2.Africa,533,168,159,43,18,30
Matilda,582,139,148,38,24,39
Monty.Python.and.the.Holy.Grail,482,169,156,73,13,30
Morning.Glory,672,237,242,59,32,53
Narcos,1000,529,601,130,56,58
Notting.Hill,645,184,207,40,25,22
Passengers,501,123,122,18,14,19
Peaky.Blinders,812,334,397,93,31,36
Penguins.of.Madagascar_.The.Movie,532,173,206,56,21,39
Prisoners,505,115,115,24,9,12
Rick.and.Morty,951,457,612,175,88,91
Seaspiracy,739,308,343,59,30,28
Second.Act,651,202,192,36,27,26
Sherlock,894,383,434,103,47,58
Stranger.Things,745,237,273,65,37,39
The.Accountant,680,249,253,53,26,31
The.Boy.in.the.Striped.Pajamas,366,82,63,17,2,6
The.Dark.Knight,688,281,280,62,35,30
The.Departed,665,229,240,58,26,32
The.Family.Man,615,174,164,46,18,13
The.Good.Doctor,1003,535,706,185,129,180
The.Intern,697,188,202,42,29,32
The.Judge,581,206,207,51,21,27
The.Revenant,416,96,83,20,11,7
The.Social.Dilemma,689,292,294,44,33,31
The.Truman.Show,487,120,103,28,10,7
There.Will.Be.Blood,501,129,126,23,7,18
Three.Identical.Strangers,612,171,182,30,17,18
Virunga,468,177,112,24,8,7
What.the.Health,753,322,397,86,57,55
Zodiac,771,238,260,76,36,42
