Word,compound_lemmas
a-bit,abit;abits;a bit;a bits
a-bone-of-contention,aboneofcontention;aboneofcontentions;a bone of contention;a bone of contentions
a-breath-of-fresh-air,abreathoffreshair;abreathoffreshairs;a breath of fresh air;a breath of fresh airs
a-broken-heart,abrokenheart;abrokenhearts;a broken heart;a broken hearts
a-broken-home,abrokenhome;abrokenhomes;a broken home;a broken homes
a-certain,acertain;acertains;a certain;a certains
a-change-of-clothes,achangeofclothes;achangeofclothess;a change of clothes;a change of clothess
a-change-of-heart,achangeofheart;achangeofhearts;a change of heart;a change of hearts
a-clap-of-thunder,aclapofthunder;aclapofthunders;a clap of thunder;a clap of thunders
a-conflict-of-interest,aconflictofinterest;aconflictofinterests;a conflict of interest;a conflict of interests
a-deep-sleep,adeepsleep;adeepsleeps;a deep sleep;a deep sleeps
a-downward-spiral,adownwardspiral;adownwardspirals;a downward spiral;a downward spirals
a-drop-in-the-ocean,adropintheocean;adropintheoceans;a drop in the ocean;a drop in the oceans
a-fair-chance,afairchance;afairchances;a fair chance;a fair chances
a-few,afew;afews;a few;a fews
a-fine-line,afineline;afinelines;a fine line;a fine lines
a-flight-of-stairs,aflightofstairs;aflightofstairss;a flight of stairs;a flight of stairss
a-force-to-be-reckoned-with,aforcetobereckonedwith;aforcetobereckonedwiths;a force to be reckoned with;a force to be reckoned withs
a-free-hand,afreehand;afreehands;a free hand;a free hands
a-good-deal,agooddeal;agooddeals;a good deal;a good deals
a-great-deal,agreatdeal;agreatdeals;a great deal;a great deals
a-hand,ahand;ahands;a hand;a hands
a-handful-of,ahandfulof;ahandfulofs;a handful of;a handful ofs
a-labor-of-love,alaboroflove;alaborofloves;a labor of love;a labor of loves
a-last-resort,alastresort;alastresorts;a last resort;a last resorts
a-little,alittle;alittles;a little;a littles
a-little-bit,alittlebit;alittlebits;a little bit;a little bits
a-lot,alot;alots;a lot;a lots
a-matter-of-course,amatterofcourse;amatterofcourses;a matter of course;a matter of courses
a-matter-of-life-and-death,amatteroflifeanddeath;amatteroflifeanddeaths;a matter of life and death;a matter of life and deaths
a-means-to-an-end,ameanstoanend;ameanstoanends;a means to an end;a means to an ends
a-narrow-escape,anarrowescape;anarrowescapes;a narrow escape;a narrow escapes
a-nest-egg,anestegg;anesteggs;a nest egg;a nest eggs
a-pity,apity;apitys;a pity;a pitys
a-roof-over-your-head,aroofoveryourhead;aroofoveryourheads;a roof over your head;a roof over your heads
a-rule-of-thumb,aruleofthumb;aruleofthumbs;a rule of thumb;a rule of thumbs
a-safe-bet,asafebet;asafebets;a safe bet;a safe bets
a-sense-of-humor,asenseofhumor;asenseofhumors;a sense of humor;a sense of humors
a-shade,ashade;ashades;a shade;a shades
a-shame,ashame;ashames;a shame;a shames
a-sharp-pain,asharppain;asharppains;a sharp pain;a sharp pains
a-shoulder-to-cry-on,ashouldertocryon;ashouldertocryons;a shoulder to cry on;a shoulder to cry ons
a-slap-in-the-face,aslapintheface;aslapinthefaces;a slap in the face;a slap in the faces
a-sleepless-night,asleeplessnight;asleeplessnights;a sleepless night;a sleepless nights
a-sore-point,asorepoint;asorepoints;a sore point;a sore points
a-stroke-of-luck,astrokeofluck;astrokeoflucks;a stroke of luck;a stroke of lucks
a-sure-thing,asurething;asurethings;a sure thing;a sure things
a-thing,athing;athings;a thing;a things
a-tight-corner,atightcorner;atightcorners;a tight corner;a tight corners
a-touch,atouch;atouchs;a touch;a touchs
a-while,awhile;awhiles;a while;a whiles
above-all,aboveall;abovealls;above all;above alls
according-to,accordingto;accordingtos;according to;according tos
across-the-board,acrosstheboard;acrosstheboards;across the board;across the boards
add-insult-to-injury,addinsulttoinjury;addinsulttoinjurys;add insult to injury;add insult to injurys
after-all,afterall;afteralls;after all;after alls
again-and-again,againandagain;againandagains;again and again;again and agains
against-all-odds,againstallodds;againstalloddss;against all odds;against all oddss
against-the-law,againstthelaw;againstthelaws;against the law;against the laws
air-conditioning,airconditioning;airconditionings;air conditioning;air conditionings
air-force,airforce;airforces;air force;air forces
alarm-clock,alarmclock;alarmclocks;alarm clock;alarm clocks
all-along,allalong;allalongs;all along;all alongs
all-at-once,allatonce;allatonces;all at once;all at onces
all-but,allbut;allbuts;all but;all buts
all-day-long,alldaylong;alldaylongs;all day long;all day longs
all-hours,allhours;allhourss;all hours;all hourss
all-in-all,allinall;allinalls;all in all;all in alls
all-is-well,alliswell;alliswells;all is well;all is wells
all-of-a-sudden,allofasudden;allofasuddens;all of a sudden;all of a suddens
all-over,allover;allovers;all over;all overs
all-over-again,alloveragain;alloveragains;all over again;all over agains
all-over-somewhere,alloversomewhere;alloversomewheres;all over somewhere;all over somewheres
all-over-the-place,allovertheplace;allovertheplaces;all over the place;all over the places
all-right,allright;allrights;all right;all rights
all-shapes-and-sizes,allshapesandsizes;allshapesandsizess;all shapes and sizes;all shapes and sizess
all-the-best,allthebest;allthebests;all the best;all the bests
all-the-time,allthetime;allthetimes;all the time;all the times
all-the-way,alltheway;alltheways;all the way;all the ways
all-things-considered,allthingsconsidered;allthingsconsidereds;all things considered;all things considereds
among-other-things,amongotherthings;amongotherthingss;among other things;among other thingss
amputate-	,amputate	;amputate	s;amputate 	;amputate 	s
amputation-noun,amputationnoun;amputationnouns;amputation noun;amputation nouns
an-appetite-for-something,anappetiteforsomething;anappetiteforsomethings;an appetite for something;an appetite for somethings
an-invasion-of-privacy,aninvasionofprivacy;aninvasionofprivacys;an invasion of privacy;an invasion of privacys
anaemia-,anaemia;anaemias;anaemia ;anaemia s
anaemic-,anaemic;anaemics;anaemic ;anaemic s
and-so-on,andsoon;andsoons;and so on;and so ons
anti-depressant,antidepressant;antidepressants;anti depressant;anti depressants
any-more,anymore;anymores;any more;any mores
anything-like,anythinglike;anythinglikes;anything like;anything likes
apart-from,apartfrom;apartfroms;apart from;apart froms
apartment-building,apartmentbuilding;apartmentbuildings;apartment building;apartment buildings
apply-yourself,applyyourself;applyyourselfs;apply yourself;apply yourselfs
arm-in-arm,arminarm;arminarms;arm in arm;arm in arms
around-the-clock,aroundtheclock;aroundtheclocks;around the clock;around the clocks
arrest-,arrest;arrests;arrest ;arrest s
artificial-intelligence,artificialintelligence;artificialintelligences;artificial intelligence;artificial intelligences
as-a-consequence,asaconsequence;asaconsequences;as a consequence;as a consequences
as-a-matter-of-fact,asamatteroffact;asamatteroffacts;as a matter of fact;as a matter of facts
as-a-whole,asawhole;asawholes;as a whole;as a wholes
as-far-as-i-know,asfarasiknow;asfarasiknows;as far as i know;as far as i knows
as-follows,asfollows;asfollowss;as follows;as followss
as-for,asfor;asfors;as for;as fors
as-if,asif;asifs;as if;as ifs
as-it-happens,asithappens;asithappenss;as it happens;as it happenss
as-it-stands,asitstands;asitstandss;as it stands;as it standss
as-long-as,aslongas;aslongass;as long as;as long ass
as-many-as,asmanyas;asmanyass;as many as;as many ass
as-opposed-to,asopposedto;asopposedtos;as opposed to;as opposed tos
as-soon-as,assoonas;assoonass;as soon as;as soon ass
as-soon-as-possible,assoonaspossible;assoonaspossibles;as soon as possible;as soon as possibles
as-though,asthough;asthoughs;as though;as thoughs
as-usual,asusual;asusuals;as usual;as usuals
as-well,aswell;aswells;as well;as wells
as-well-as,aswellas;aswellass;as well as;as well ass
as-yet,asyet;asyets;as yet;as yets
as-you-know,asyouknow;asyouknows;as you know;as you knows
assert-yourself,assertyourself;assertyourselfs;assert yourself;assert yourselfs
at-a-disadvantage,atadisadvantage;atadisadvantages;at a disadvantage;at a disadvantages
at-a-glance,ataglance;ataglances;at a glance;at a glances
at-a-loss,ataloss;atalosss;at a loss;at a losss
at-a-loss-for-words,atalossforwords;atalossforwordss;at a loss for words;at a loss for wordss
at-all,atall;atalls;at all;at alls
at-all-costs,atallcosts;atallcostss;at all costs;at all costss
at-any-price,atanyprice;atanyprices;at any price;at any prices
at-any-rate,atanyrate;atanyrates;at any rate;at any rates
at-best,atbest;atbests;at best;at bests
at-ease,atease;ateases;at ease;at eases
at-face-value,atfacevalue;atfacevalues;at face value;at face values
at-fault,atfault;atfaults;at fault;at faults
at-first,atfirst;atfirsts;at first;at firsts
at-first-sight,atfirstsight;atfirstsights;at first sight;at first sights
at-hand,athand;athands;at hand;at hands
at-heart,atheart;athearts;at heart;at hearts
at-issue,atissue;atissues;at issue;at issues
at-least,atleast;atleasts;at least;at leasts
at-length,atlength;atlengths;at length;at lengths
at-once,atonce;atonces;at once;at onces
at-one-time-or-another,atonetimeoranother;atonetimeoranothers;at one time or another;at one time or anothers
at-random,atrandom;atrandoms;at random;at randoms
at-risk,atrisk;atrisks;at risk;at risks
at-the-best-of-times,atthebestoftimes;atthebestoftimess;at the best of times;at the best of timess
at-the-latest,atthelatest;atthelatests;at the latest;at the latests
at-the-moment,atthemoment;atthemoments;at the moment;at the moments
at-the-same-time,atthesametime;atthesametimes;at the same time;at the same times
at-the-very-least,attheveryleast;attheveryleasts;at the very least;at the very leasts
at-this-rate,atthisrate;atthisrates;at this rate;at this rates
at-times,attimes;attimess;at times;at timess
at-your-convenience,atyourconvenience;atyourconveniences;at your convenience;at your conveniences
at-your-fingertips,atyourfingertips;atyourfingertipss;at your fingertips;at your fingertipss
at-your-own-risk,atyourownrisk;atyourownrisks;at your own risk;at your own risks
back-and-forth,backandforth;backandforths;back and forth;back and forths
back-off,backoff;backoffs;back off;back offs
back-out,backout;backouts;back out;back outs
bank-account,bankaccount;bankaccounts;bank account;bank accounts
bathing-suit,bathingsuit;bathingsuits;bathing suit;bathing suits
be-a-disgrace,beadisgrace;beadisgraces;be a disgrace;be a disgraces
be-a-first,beafirst;beafirsts;be a first;be a firsts
