Word,oxford_level,oxford_version,lexile_grade,lexile_category,awsl,toefl,tsl,bsl,ngsl_freq,ngsl_sp_freq,naver_priority,lemmetized,proper_noun,word_level,camb_level,category
industry,A2,3000,3,social_studies,Y,N,N,N,A1,A1,2.0,True,False,1,B2,social_studies
ankle,A2,3000,0,NN,N,N,N,N,B1,B1,2.0,True,False,1,B1,NN
book,A1,3000,0,NN,Y,N,N,N,A1,A1,2.0,True,False,1,B1,NN
eight,A1,3000,0,NN,Y,Y,N,N,A3,A3,2.0,True,False,1,A1,NN
wash,A1,3000,0,NN,N,N,N,N,A2,A2,2.0,True,False,1,A1,NN
wash-up,NN,0,0,NN,N,N,N,N,NN,NN,-1.0,,,1,A1,NN
stop,A1,3000,0,NN,Y,N,N,N,A1,A1,2.0,True,False,1,B1,NN
washing,A2,3000,0,NN,N,N,N,N,NN,NN,2.0,True,False,1,NN,NN
store,A1,3000,0,NN,Y,N,N,N,A1,A1,2.0,True,False,1,B2,NN
eighteen,A1,3000,0,NN,N,Y,N,N,A3,A3,2.0,True,False,1,A1,NN
pound,A1,3000,0,NN,Y,N,N,N,A1,A1,2.0,True,False,1,B2,NN
crowded,A2,3000,0,NN,N,N,N,N,NN,NN,2.0,False,False,1,A2,NN
storm,A2,3000,0,NN,N,N,N,N,A2,A2,2.0,True,False,1,A2,NN
potato,A1,3000,0,NN,N,N,N,N,A3,A3,2.0,True,False,1,A1,NN
story,A1,3000,0,NN,Y,N,N,N,A1,A1,2.0,True,False,1,C2,NN
eighty,A1,3000,0,NN,N,Y,N,N,A3,A3,2.0,True,False,1,A2,NN
animal,A1,3000,0,NN,Y,N,N,N,A1,A1,2.0,True,False,1,B2,NN
stove,A2,3000,0,NN,N,Y,N,N,B1,B1,2.0,True,False,1,A2,NN
straight,A2,3000,0,NN,Y,N,N,N,A2,A1,2.0,True,False,1,B2,NN
cross,A2,3000,0,NN,Y,N,N,N,A1,A1,2.0,True,False,1,C2,NN
poster,A2,3000,0,NN,N,Y,Y,Y,A4,A4,1.0,True,False,1,A2,NN
author,A2,3000,0,NN,Y,N,N,N,A1,A1,2.0,True,False,1,B1,NN
crowd,A2,3000,0,NN,N,N,N,N,A2,A2,2.0,True,False,1,C1,NN
stone,A2,3000,0,NN,N,N,N,N,A2,A2,2.0,True,False,1,B1,NN
two,A1,3000,0,NN,Y,N,N,N,A3,A3,2.0,True,False,1,A1,NN
post,A1,3000,0,NN,Y,N,N,N,A1,A1,2.0,True,False,1,B1,NN
typical,A2,3000,5,general,Y,N,N,N,A2,A2,2.0,True,False,1,B1,general
curly,A2,3000,0,NN,N,N,N,N,B2,B2,2.0,True,False,1,B1,NN
forget,A1,3000,0,NN,Y,N,N,N,A1,A1,2.0,True,False,1,B1,NN
beef,A2,3000,0,NN,N,Y,N,Y,B1,A4,2.0,True,False,1,B1,NN
result,A1,3000,2,general,Y,N,N,N,A1,A1,2.0,True,False,1,B1,general
body,A1,3000,0,NN,Y,N,N,N,A1,A1,2.0,True,False,1,C2,NN
forest,A2,3000,0,NN,Y,N,N,N,A2,A2,2.0,True,False,1,A2,NN
shape,A2,3000,1,general,Y,N,N,N,A1,A2,2.0,True,False,1,C2,general
foreign,A2,3000,3,social_studies,Y,N,N,N,A1,A1,2.0,True,False,1,B2,social_studies
follow,A1,3000,0,NN,Y,N,N,N,A1,A1,2.0,True,False,1,C1,NN
egg,A1,3000,0,NN,Y,N,N,N,A2,A2,2.0,True,False,1,B2,NN
cup,A1,3000,0,NN,N,N,N,N,A2,A2,2.0,True,False,1,B1,NN
improve,A1,3000,3,general,Y,N,N,N,A1,A1,2.0,True,False,1,A2,general
still,A1,3000,0,NN,Y,N,N,N,A1,A1,2.0,True,False,1,C2,NN
we,A1,3000,0,NN,Y,N,N,N,A1,A1,2.0,True,False,1,B1,NN
type,A1,3000,0,NN,Y,N,N,N,A1,A1,2.0,True,False,1,C2,NN
culture,A1,3000,1,social_studies,Y,N,N,N,A1,A1,2.0,True,False,1,B1,social_studies
power,A2,3000,0,NN,Y,N,N,N,A1,A1,2.0,True,False,1,C1,NN
in,A1,3000,0,NN,Y,N,N,N,A1,A1,2.0,True,False,1,B2,NN
bedroom,A1,3000,0,NN,N,N,N,N,A2,A2,2.0,True,False,1,A1,NN
shake,A2,3000,0,NN,Y,N,N,N,A2,A2,2.0,True,False,1,C2,NN
boil,A2,3000,2,science,N,Y,N,N,A4,A4,2.0,True,False,1,B1,science
stomach,A2,3000,0,NN,N,N,N,N,A3,A3,2.0,True,False,1,A2,NN
cry,A2,3000,0,NN,N,N,N,N,A2,A2,2.0,True,False,1,C2,NN
watch,A1,3000,0,NN,Y,N,N,N,A1,A1,2.0,True,False,1,B2,NN
angry,A1,3000,0,NN,N,N,N,N,A2,A2,2.0,True,False,1,A2,NN
ancient,A2,3000,0,NN,Y,N,N,N,A2,A3,2.0,True,False,1,B1,NN
pop,A2,3000,0,NN,Y,N,N,N,A2,A2,2.0,True,False,1,C2,NN
poor,A1,3000,0,NN,Y,N,N,N,A1,A1,2.0,True,False,1,B2,NN
pool,A1,3000,0,NN,Y,N,N,N,A2,A2,2.0,True,False,1,B2,NN
bed,A1,3000,0,NN,Y,N,N,N,A1,A1,2.0,True,False,1,C2,NN
credit-card,NN,0,0,NN,N,N,N,N,NN,NN,-1.0,,,1,A1,NN
following,A2,3000,0,NN,N,N,N,N,NN,NN,2.0,True,False,1,B2,NN
become,A1,3000,0,NN,Y,N,N,N,A1,A1,2.0,True,False,1,NN,NN
independent,A2,3000,1,general,Y,N,N,N,A2,A1,2.0,True,False,1,B2,general
street,A1,3000,0,NN,Y,N,N,N,A1,A1,2.0,True,False,1,A1,NN
bone,A2,3000,0,NN,N,N,N,N,A2,A2,2.0,True,False,1,B1,NN
foot,A1,3000,0,NN,Y,N,N,N,A1,A1,2.0,True,False,1,B1,NN
criminal,A2,3000,5,social_studies,N,N,N,N,A2,A2,2.0,True,False,1,B2,social_studies
crime,A2,3000,0,NN,N,N,N,N,A2,A1,2.0,True,False,1,B1,csi
wave,A2,3000,1,science,Y,N,N,N,A2,A2,2.0,True,False,1,C2,science
individual,A2,3000,4,general,Y,N,N,N,A1,A1,2.0,True,False,1,C2,general
user,A2,3000,0,NN,N,N,N,N,A2,A2,2.0,True,False,1,B1,NN
usual,A2,3000,0,NN,Y,N,N,N,A2,A2,2.0,True,False,1,B1,NN
food,A1,3000,0,NN,N,N,N,N,A1,A1,2.0,True,False,1,A1,NN
way,A1,3000,0,NN,Y,N,N,N,A1,A1,2.0,True,False,1,C2,NN
pollution,A2,3000,2,science,N,N,N,N,A3,A3,2.0,True,False,1,B1,science
and,A1,3000,0,NN,Y,N,N,N,A1,A1,2.0,True,False,1,B1,NN
tv,A1,3000,0,NN,N,Y,N,N,B2,B2,2.0,True,,1,A1,NN
stress,A2,3000,0,NN,Y,N,N,N,A2,A2,2.0,True,False,1,C1,NN
twelve,A1,3000,0,NN,Y,Y,N,N,A3,A3,2.0,True,False,1,A1,NN
popular,A1,3000,0,NN,Y,N,N,N,A1,A1,2.0,True,False,1,C2,NN
population,A2,3000,0,NN,N,N,N,N,A1,A1,2.0,True,False,1,B2,NN
include,A1,3000,0,NN,Y,N,N,N,A1,A1,2.0,True,False,1,A2,NN
included,A2,3000,0,NN,N,N,N,N,NN,NN,0.0,False,False,1,NN,NN
credit,A2,3000,0,NN,Y,N,N,N,A1,A1,2.0,True,False,1,B2,NN
including,A2,3000,0,NN,N,N,N,N,NN,NN,2.0,False,False,1,A2,NN
possible,A1,3000,0,NN,Y,N,N,N,A1,A1,2.0,True,False,1,B1,NN
