Word,oxford_level,oxford_version,lexile_grade,lexile_category,awsl,toefl,tsl,bsl,ngsl_freq,ngsl_sp_freq,naver_priority,lemmetized,proper_noun,word_level,camb_level,category
a,NN,0,0,NN,Y,N,N,N,A1,A1,2.0,True,False,2.0,A2,
a-bit,NN,0,0,NN,N,N,N,N,NN,NN,-1,,,,B2,
a-bone-of-contention,NN,0,0,NN,N,N,N,N,NN,NN,-1,,,,C2,
a-breath-of-fresh-air,NN,0,0,NN,N,N,N,N,NN,NN,-1,,,,C2,
a-broken-heart,NN,0,0,NN,N,N,N,N,NN,NN,-1,,,,B2,
a-broken-home,NN,0,0,NN,N,N,N,N,NN,NN,-1,,,,C2,
a-certain,NN,0,0,NN,N,N,N,N,NN,NN,-1,,,,B2,
a-change-of-clothes,NN,0,0,NN,N,N,N,N,NN,NN,-1,,,,A2,
a-change-of-heart,NN,0,0,NN,N,N,N,N,NN,NN,-1,,,,C2,
a-clap-of-thunder,NN,0,0,NN,N,N,N,N,NN,NN,-1,,,,C2,
a-conflict-of-interest,NN,0,0,NN,N,N,N,N,NN,NN,-1,,,,C2,
a-deep-sleep,NN,0,0,NN,N,N,N,N,NN,NN,-1,,,,B2,
a-downward-spiral,NN,0,0,NN,N,N,N,N,NN,NN,-1,,,,C2,
a-drop-in-the-ocean,NN,0,0,NN,N,N,N,N,NN,NN,-1,,,,C2,
a-fair-chance,NN,0,0,NN,N,N,N,N,NN,NN,-1,,,,C2,
a-few,NN,0,0,NN,N,N,N,N,NN,NN,-1,,,,A2,
a-fine-line,NN,0,0,NN,N,N,N,N,NN,NN,-1,,,,C1,
a-flight-of-stairs,NN,0,0,NN,N,N,N,N,NN,NN,-1,,,,C2,
a-force-to-be-reckoned-with,NN,0,0,NN,N,N,N,N,NN,NN,-1,,,,C2,
a-free-hand,NN,0,0,NN,N,N,N,N,NN,NN,-1,,,,C2,
a-good-deal,NN,0,0,NN,N,N,N,N,NN,NN,-1,,,,C1,
a-great-deal,NN,0,0,NN,N,N,N,N,NN,NN,-1,,,,B2,
a-hand,NN,0,0,NN,N,N,N,N,NN,NN,-1,,,,B1,
a-handful-of,NN,0,0,NN,N,N,N,N,NN,NN,-1,,,,B2,
a-labor-of-love,NN,0,0,NN,N,N,N,N,NN,NN,-1,,,,C2,
a-last-resort,NN,0,0,NN,N,N,N,N,NN,NN,-1,,,,C2,
a-little,NN,0,0,NN,N,N,N,N,NN,NN,-1,,,,B2,
a-little-bit,NN,0,0,NN,N,N,N,N,NN,NN,-1,,,,A2,
a-lot,NN,0,0,NN,N,N,N,N,NN,NN,-1,,,,A1,
