Word,oxford_level,oxford_version,lexile_grade,lexile_category,awsl,toefl,tsl,bsl,ngsl_freq,ngsl_sp_freq,naver_priority,lemmetized
a,NN,0.0,0.0,NN,Y,N,N,N,A1,A1,2,True
aback,NN,0.0,0.0,NN,N,N,N,N,B3,C1,0,False
abacus,NN,0.0,0.0,NN,N,N,N,N,C3,C3,1,True
abalone,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,True
abandon,B2,3000.0,0.0,NN,N,N,N,N,A2,A3,2,True
abandonment,NN,0.0,0.0,NN,N,N,N,N,B3,C1,0,True
abase,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True
abash,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True
abate,NN,0.0,0.0,NN,N,N,N,N,C1,C1,1,True
abatement,NN,0.0,0.0,NN,N,N,N,N,C1,C3,0,True
abattoir,NN,0.0,0.0,NN,N,N,N,N,C2,C2,0,True
abaya,NN,0.0,0.0,NN,N,N,N,N,C5,C2,0,True
abbacy,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True
abbess,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,True
abbey,NN,0.0,0.0,NN,N,N,N,N,B3,C1,1,True
abbot,NN,0.0,9.0,social_studies,N,N,N,N,C1,C3,1,True
abbreviate,NN,0.0,9.0,general,N,Y,N,N,B3,C1,1,True
abbreviation,NN,0.0,6.0,general,N,Y,N,N,B3,C1,1,True
abdicate,NN,0.0,9.0,social_studies,N,N,N,N,C1,C1,0,True
abdication,NN,0.0,0.0,NN,N,N,N,N,C2,C2,0,True
abdomen,NN,0.0,6.0,science,N,Y,N,N,B3,B3,1,True
abdominal,NN,0.0,9.0,science,N,N,N,N,A4,A4,1,True
abduct,NN,0.0,0.0,NN,N,N,N,N,B3,B2,0,True
abduction,NN,0.0,0.0,NN,N,N,N,N,C1,B3,0,True
abductor,NN,0.0,0.0,NN,N,N,N,N,C3,C2,0,True
abed,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,False
abelian,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,False
aberrant,NN,0.0,0.0,NN,N,N,N,N,C1,C2,0,True
aberration,NN,0.0,9.0,science,N,N,N,N,C1,C1,0,True
abet,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0,True
abettor,NN,0.0,0.0,NN,N,N,N,N,C5,NN,0,True
abeyance,NN,0.0,0.0,NN,N,N,N,N,C3,C2,0,True
abhor,NN,0.0,0.0,NN,N,N,N,N,C1,C1,1,True
abhorrence,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,True
abhorrent,NN,0.0,0.0,NN,N,N,N,N,C2,C1,0,False
abide,NN,0.0,0.0,NN,N,N,Y,N,B2,B1,1,True
abigail,NN,0.0,0.0,NN,N,Y,N,N,NN,NN,0,True
ability,A2,3000.0,4.0,general,N,N,N,N,A1,A1,2,True
abiotic,NN,0.0,4.0,science,N,N,N,N,C4,NN,0,False
abject,NN,0.0,0.0,NN,N,N,N,N,C1,C1,1,False
abjectly,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,False
abjure,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,True
ablate,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True
ablation,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,True
ablative,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True
ablaze,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0,False
able,A2,3000.0,0.0,NN,Y,N,N,N,A1,A1,2,True
ablution,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,True
ably,NN,0.0,9.0,general,N,N,N,N,C2,C3,0,False
abnormal,NN,0.0,6.0,science,N,Y,N,N,B2,B2,1,True
abnormality,NN,0.0,0.0,NN,N,N,N,N,B2,C1,0,True
abnormally,NN,0.0,9.0,science,N,N,N,N,C1,C2,0,False
aboard,NN,0.0,0.0,NN,N,N,Y,N,B1,B1,1,False
abode,NN,0.0,6.0,social_studies,N,N,N,N,C1,C2,1,True
abolish,C1,5000.0,4.0,social_studies,N,N,N,Y,B1,B1,1,True
abolition,NN,0.0,5.0,social_studies,N,N,N,N,B2,B2,1,True
abolitionism,NN,0.0,9.0,social_studies,N,N,N,N,C4,NN,1,True
abolitionist,NN,0.0,4.0,social_studies,N,Y,N,N,C1,C1,0,True
abomasum,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True
abominable,NN,0.0,0.0,NN,N,N,N,N,C2,C2,1,False
abominably,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,False
abomination,NN,0.0,6.0,social_studies,N,N,N,N,C2,C2,1,True
aborad,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,False
aboriginal,NN,0.0,9.0,social_studies,N,N,N,N,C1,C1,0,True
aborigine,NN,0.0,6.0,social_studies,N,N,N,N,C3,C2,0,True
abort,NN,0.0,0.0,NN,N,N,N,N,B3,B3,0,True
abortion,C1,5000.0,0.0,NN,N,N,N,N,A3,A2,0,True
abortionist,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True
abortive,NN,0.0,0.0,NN,N,N,N,N,C1,C3,0,False
abound,NN,0.0,0.0,NN,N,N,N,N,B2,C1,1,True
about,A1,3000.0,0.0,NN,Y,N,N,N,A1,A1,2,False
above,A1,3000.0,0.0,NN,Y,N,N,N,A1,A2,2,True
aboveground,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,False
abracadabra,NN,0.0,0.0,NN,N,N,N,N,C5,C3,0,True
abrade,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True
abraham,NN,0.0,0.0,NN,N,Y,N,N,NN,NN,0,True
abrasion,NN,0.0,6.0,science,N,Y,N,N,C2,C2,0,True
abrasive,NN,0.0,9.0,science,N,N,N,N,C1,C1,0,True
abreast,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0,False
abridge,NN,0.0,9.0,social_studies,N,N,N,N,C2,C2,1,True
abridgment,NN,0.0,0.0,NN,N,N,N,N,C3,C2,0,True
abroad,B2,3000.0,6.0,social_studies,N,N,N,N,A2,A3,2,False
abrogate,NN,0.0,0.0,NN,N,N,N,N,C2,C2,0,True
abrupt,NN,0.0,0.0,NN,N,N,N,N,B2,B3,1,False
abruptly,NN,0.0,9.0,general,N,N,N,N,B1,B3,1,False
abruptness,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True
abscess,NN,0.0,0.0,NN,N,N,N,N,C1,C2,0,True
abscissa,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True
abscond,NN,0.0,0.0,NN,N,N,N,N,C2,C2,0,True
abseil,NN,0.0,0.0,NN,N,N,N,N,C2,NN,0,True
absence,C1,5000.0,9.0,general,N,N,N,N,A2,A3,2,True
absent,C1,5000.0,0.0,NN,N,Y,Y,N,B1,B1,2,True
absentee,NN,0.0,9.0,social_studies,N,N,N,N,B3,B1,0,True
absenteeism,NN,0.0,0.0,NN,N,N,N,N,C1,C2,0,True
absently,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,False
absentmindedly,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,False
absolute,B2,3000.0,6.0,general,Y,N,N,N,A3,A3,2,True
absolutely,B1,3000.0,0.0,NN,N,N,N,N,A2,A1,2,False
absolution,NN,0.0,0.0,NN,N,N,N,N,C2,C3,0,True
absolutism,NN,0.0,9.0,social_studies,N,N,N,N,C2,NN,0,True
absolutist,NN,0.0,0.0,NN,N,N,N,N,C2,C2,0,True
absolve,NN,0.0,0.0,NN,N,N,N,N,C1,C1,1,True
absorb,B2,5000.0,3.0,science,Y,Y,Y,Y,A3,A3,2,True
absorbency,NN,0.0,0.0,NN,N,N,N,N,C5,C3,0,True
absorbent,NN,0.0,0.0,NN,N,N,N,N,C3,C2,0,True
absorber,NN,0.0,0.0,NN,N,N,N,N,C3,C2,0,True
absorption,NN,0.0,6.0,science,N,N,N,Y,A4,A4,1,True
absorptive,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,False
abstain,NN,0.0,0.0,NN,N,N,N,N,C1,B3,1,True
abstainer,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True
abstemious,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,False
abstention,NN,0.0,0.0,NN,N,N,N,N,C1,C2,0,True
abstinence,NN,0.0,0.0,NN,N,N,N,N,C1,B2,0,True
abstinent,NN,0.0,0.0,NN,N,N,N,N,C5,C2,0,True
abstract,B2,5000.0,0.0,NN,Y,N,N,N,A3,A3,1,True
abstraction,NN,0.0,0.0,NN,N,N,N,N,B2,C1,1,True
abstractly,NN,0.0,6.0,math,N,N,N,N,C4,NN,0,False
abstractness,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True
abstruse,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,True
absurd,C1,5000.0,0.0,NN,N,N,N,N,B1,B1,1,True
absurdity,NN,0.0,9.0,social_studies,N,N,N,N,C1,C1,1,True
absurdly,NN,0.0,0.0,NN,N,N,N,N,C1,C2,0,False
abundance,NN,0.0,9.0,general,N,Y,N,N,B1,B2,1,True
abundant,NN,0.0,6.0,social_studies,N,Y,N,N,B1,B2,1,False
abundantly,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0,False
abuse,C1,5000.0,0.0,NN,N,N,N,N,A2,A2,2,True
abuser,NN,0.0,0.0,NN,N,N,N,N,C1,B3,2,True
abusive,NN,0.0,0.0,NN,N,N,N,N,B2,B2,0,False
abut,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0,True
abutment,NN,0.0,0.0,NN,N,N,N,N,C4,C3,0,True
abuzz,NN,0.0,0.0,NN,N,N,N,N,C3,C2,0,False
abysmal,NN,0.0,0.0,NN,N,N,N,N,C2,C1,0,False
abysmally,NN,0.0,0.0,NN,N,N,N,N,C5,NN,0,False
abyss,NN,0.0,0.0,NN,N,N,N,N,C1,C1,1,True
abyssal,NN,0.0,5.0,science,N,N,N,N,C4,NN,0,False
ac,NN,0.0,0.0,NN,N,Y,N,N,NN,NN,0,True
acacia,NN,0.0,0.0,NN,N,Y,N,N,C3,C2,0,True
academia,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0,True
academic,B1,3000.0,6.0,general,N,N,N,N,A2,A3,2,True
academically,NN,0.0,0.0,NN,N,N,N,N,C1,B2,0,False
academician,NN,0.0,0.0,NN,N,N,N,N,C3,C3,0,True
academy,C1,5000.0,0.0,NN,Y,Y,N,N,B1,B1,1,True
acanthocephalan,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True
acanthus,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True
accede,NN,0.0,0.0,NN,N,N,N,N,C1,C2,0,True
accelerate,C1,5000.0,4.0,science,Y,Y,N,Y,A4,A4,1,True
acceleration,NN,0.0,4.0,science,N,Y,N,N,A4,A4,0,True
accelerator,NN,0.0,9.0,science,N,N,N,N,B3,B3,0,True
accelerometer,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True
accent,B2,5000.0,0.0,NN,N,Y,Y,N,A3,A3,2,True
accentual,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,False
accentuate,NN,0.0,0.0,NN,N,N,N,N,B3,C1,0,True
accentuation,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True
accept,A2,3000.0,0.0,NN,Y,N,N,N,A1,A1,2,True
acceptability,NN,0.0,0.0,NN,N,N,N,N,C1,C2,0,True
acceptable,B2,3000.0,0.0,NN,N,N,N,N,A3,A3,2,False
acceptance,C1,5000.0,9.0,general,N,Y,Y,Y,A4,B1,1,True
acceptation,NN,0.0,0.0,NN,N,N,N,N,C5,NN,0,True
acceptor,NN,0.0,9.0,science,N,N,N,N,C3,NN,0,True
access,B1,3000.0,0.0,NN,Y,N,N,N,A1,A1,2,True
accessibility,NN,0.0,0.0,NN,N,N,N,N,B2,B1,0,True
accessible,C1,5000.0,9.0,general,N,Y,Y,Y,B1,B1,1,True
accession,NN,0.0,0.0,NN,N,N,N,N,B2,C1,1,True
accessorize,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True
accessory,NN,0.0,0.0,NN,N,N,Y,N,B1,B2,1,True
accident,A2,3000.0,0.0,NN,Y,N,N,N,A2,A2,2,True
accidental,NN,0.0,0.0,NN,N,N,N,N,B2,B2,2,True
accidentally,B2,5000.0,0.0,NN,N,Y,N,N,B2,B1,0,False
acclaim,NN,0.0,6.0,social_studies,N,Y,Y,N,B2,B2,1,True
acclamation,NN,0.0,0.0,NN,N,N,N,N,C3,C2,0,True
acclimate,NN,0.0,0.0,NN,N,N,N,N,C3,C1,0,True
acclimatization,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True
acclimatize,NN,0.0,0.0,NN,N,N,N,N,C2,C2,0,True
accolade,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0,True
accommodate,B2,5000.0,9.0,general,N,Y,Y,Y,B1,B1,1,True
accommodation,B2,5000.0,6.0,social_studies,N,N,N,N,A2,A3,2,True
accompaniment,NN,0.0,0.0,NN,N,Y,N,N,B3,C1,1,True
accompanist,NN,0.0,0.0,NN,N,N,N,N,C3,C2,0,True
accompany,B2,3000.0,0.0,NN,N,N,N,N,A2,A3,2,True
accomplice,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0,True
accomplish,B2,5000.0,0.0,NN,N,N,N,N,A3,A2,2,True
accomplishment,C1,5000.0,0.0,NN,N,Y,Y,Y,B1,B1,1,True
accord,NN,0.0,0.0,NN,N,N,N,N,A1,A1,1,True
accordance,NN,0.0,0.0,NN,N,N,N,Y,B1,B2,1,True
accordant,NN,0.0,0.0,NN,N,N,N,N,C5,NN,0,False
according,NN,0.0,0.0,NN,Y,N,N,N,NN,NN,2,True
accordingly,C1,5000.0,0.0,NN,N,N,Y,Y,B1,B2,1,False
accordion,NN,0.0,0.0,NN,N,N,N,N,C1,C1,1,True
accordionist,NN,0.0,0.0,NN,N,N,N,N,C4,C2,0,True
accost,NN,0.0,0.0,NN,N,N,N,N,C2,C1,0,True
account,B1,3000.0,0.0,NN,Y,N,N,N,A1,A1,2,True
accountability,C1,5000.0,0.0,NN,N,N,N,Y,B1,B1,0,True
accountable,C1,5000.0,9.0,social_studies,N,N,N,Y,B1,B1,1,True
accountancy,NN,0.0,0.0,NN,N,N,N,N,B3,C2,0,True
accountant,B2,5000.0,0.0,NN,N,Y,Y,Y,B1,B1,1,True
accoutrement,NN,0.0,0.0,NN,N,N,N,N,C2,C3,0,True
accredit,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0,True
accreditation,NN,0.0,0.0,NN,N,N,N,N,C1,B3,0,True
accrete,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,True
accretion,NN,0.0,9.0,science,N,N,N,N,C1,NN,0,True
accretionary,NN,0.0,0.0,NN,N,N,N,N,C5,NN,0,False
accrual,NN,0.0,0.0,NN,N,N,N,Y,C1,NN,0,True
accrue,NN,0.0,0.0,NN,N,N,N,Y,B2,B3,0,True
acculturate,NN,0.0,0.0,NN,N,N,N,N,C5,C3,0,True
acculturation,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True
accumulate,C1,5000.0,0.0,NN,N,Y,Y,Y,A4,A4,1,True
accumulation,C1,5000.0,9.0,science,N,Y,N,Y,A4,A4,1,True
accumulative,NN,0.0,0.0,NN,N,N,N,N,C4,C2,0,False
accumulator,NN,0.0,0.0,NN,N,N,N,N,C3,C3,0,True
accuracy,B2,5000.0,5.0,general,N,Y,Y,Y,A4,A4,1,True
accurate,B2,3000.0,4.0,general,Y,N,N,N,A3,A2,2,True
accurately,B2,5000.0,6.0,general,N,Y,Y,Y,A4,A4,1,False
accurse,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,False
accursed,NN,0.0,9.0,social_studies,N,N,N,N,NN,NN,1,False
accusation,C1,5000.0,6.0,social_studies,N,N,N,Y,B1,B1,1,True
accusative,NN,0.0,0.0,NN,N,N,N,N,C2,NN,0,True
accusatory,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,False
accuse,B2,3000.0,5.0,social_studies,N,N,N,N,A2,A2,2,True
accused,C1,5000.0,0.0,NN,N,N,N,N,NN,NN,0,True
accuser,NN,0.0,0.0,NN,N,N,N,N,C1,B3,0,True
accusingly,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,False
accustom,NN,0.0,0.0,NN,N,Y,Y,N,B1,B1,1,True
ace,NN,0.0,0.0,NN,N,N,N,N,B2,B1,1,True
acerbic,NN,0.0,0.0,NN,N,N,N,N,C2,C2,0,False
acetaldehyde,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True
acetaminophen,NN,0.0,0.0,NN,N,N,N,N,C3,C2,0,True
acetate,NN,0.0,9.0,science,N,N,N,N,C1,C1,0,True
acetic,NN,0.0,9.0,science,N,N,N,N,C2,NN,0,False
acetone,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True
acetyl,NN,0.0,0.0,NN,N,N,N,N,C3,C2,0,True
acetylate,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True
acetylation,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True
acetylcholine,NN,0.0,0.0,NN,N,N,N,N,C3,C2,0,True
acetylene,NN,0.0,9.0,science,N,N,N,N,C4,NN,0,True
ache,NN,0.0,0.0,NN,N,N,N,N,B1,B1,1,True
achievable,NN,0.0,0.0,NN,N,N,N,N,C1,B3,0,False
achieve,A2,3000.0,5.0,general,Y,N,N,N,A1,A2,2,True
achievement,B1,3000.0,6.0,general,N,N,N,N,A2,A3,2,True
achiever,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0,True
achy,NN,0.0,0.0,NN,N,N,N,N,C3,C2,0,False
acid,B2,5000.0,4.0,science,N,Y,N,Y,A3,A3,2,True
acidic,NN,0.0,5.0,science,N,Y,N,N,A4,A4,0,False
acidification,NN,0.0,0.0,NN,N,N,N,N,C2,C2,0,True
acidify,NN,0.0,0.0,NN,N,N,N,N,C3,C3,0,True
acidity,NN,0.0,6.0,science,N,N,N,N,C1,C1,0,True
