Word,oxford_level,oxford_version,lexile_grade,lexile_category,awsl,toefl,tsl,bsl,ngsl_freq,ngsl_sp_freq,naver_priority,lemmetized,proper_noun
a,NN,0.0,0.0,NN,Y,N,N,N,A1,A1,2,True,False
aback,NN,0.0,0.0,NN,N,N,N,N,B3,C1,0,False,False
abacus,NN,0.0,0.0,NN,N,N,N,N,C3,C3,1,True,False
abalone,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,True,False
abandon,B2,3000.0,0.0,NN,N,N,N,N,A2,A3,2,True,False
abandonment,NN,0.0,0.0,NN,N,N,N,N,B3,C1,0,True,False
abase,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False
abash,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False
abate,NN,0.0,0.0,NN,N,N,N,N,C1,C1,1,True,False
abatement,NN,0.0,0.0,NN,N,N,N,N,C1,C3,0,True,False
abattoir,NN,0.0,0.0,NN,N,N,N,N,C2,C2,0,True,False
abaya,NN,0.0,0.0,NN,N,N,N,N,C5,C2,0,True,False
abbacy,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False
abbess,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,True,False
abbey,NN,0.0,0.0,NN,N,N,N,N,B3,C1,1,True,False
abbot,NN,0.0,9.0,social_studies,N,N,N,N,C1,C3,1,True,False
abbreviate,NN,0.0,9.0,general,N,Y,N,N,B3,C1,1,True,False
abbreviation,NN,0.0,6.0,general,N,Y,N,N,B3,C1,1,True,False
abdicate,NN,0.0,9.0,social_studies,N,N,N,N,C1,C1,0,True,False
abdication,NN,0.0,0.0,NN,N,N,N,N,C2,C2,0,True,False
abdomen,NN,0.0,6.0,science,N,Y,N,N,B3,B3,1,True,False
abdominal,NN,0.0,9.0,science,N,N,N,N,A4,A4,1,True,False
abduct,NN,0.0,0.0,NN,N,N,N,N,B3,B2,0,True,False
abduction,NN,0.0,0.0,NN,N,N,N,N,C1,B3,0,True,False
abductor,NN,0.0,0.0,NN,N,N,N,N,C3,C2,0,True,False
abed,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,False,False
abelian,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,False,False
aberrant,NN,0.0,0.0,NN,N,N,N,N,C1,C2,0,True,False
aberration,NN,0.0,9.0,science,N,N,N,N,C1,C1,0,True,False
abet,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0,True,False
abettor,NN,0.0,0.0,NN,N,N,N,N,C5,NN,0,True,False
abeyance,NN,0.0,0.0,NN,N,N,N,N,C3,C2,0,True,False
abhor,NN,0.0,0.0,NN,N,N,N,N,C1,C1,1,True,False
abhorrence,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,True,False
abhorrent,NN,0.0,0.0,NN,N,N,N,N,C2,C1,0,False,False
abide,NN,0.0,0.0,NN,N,N,Y,N,B2,B1,1,True,False
abigail,NN,0.0,0.0,NN,N,Y,N,N,NN,NN,0,True,False
ability,A2,3000.0,4.0,general,N,N,N,N,A1,A1,2,True,False
abiotic,NN,0.0,4.0,science,N,N,N,N,C4,NN,0,False,False
abject,NN,0.0,0.0,NN,N,N,N,N,C1,C1,1,False,False
abjectly,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,False,False
abjure,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,True,False
ablate,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False
ablation,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,True,False
ablative,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False
ablaze,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0,False,False
able,A2,3000.0,0.0,NN,Y,N,N,N,A1,A1,2,True,False
ablution,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,True,False
ably,NN,0.0,9.0,general,N,N,N,N,C2,C3,0,False,False
abnormal,NN,0.0,6.0,science,N,Y,N,N,B2,B2,1,True,False
