Word,oxford_level,oxford_version,lexile_grade,lexile_category,awsl,toefl,tsl,bsl,ngsl_freq,ngsl_sp_freq,naver_priority,lemmetized,proper_noun,word_level,camb_level,category
a,NN,0.0,0.0,NN,Y,N,N,N,A1,A1,2.0,True,False,2.0,A2,
a bit,,,,,,,,,,,,,,,B2,
a bone of contention,,,,,,,,,,,,,,,C2,
a breath of fresh air,,,,,,,,,,,,,,,C2,
a broken heart,,,,,,,,,,,,,,,B2,
a broken home,,,,,,,,,,,,,,,C2,
a certain,,,,,,,,,,,,,,,B2,
a change of clothes,,,,,,,,,,,,,,,A2,
a change of heart,,,,,,,,,,,,,,,C2,
a clap of thunder,,,,,,,,,,,,,,,C2,
a conflict of interest,,,,,,,,,,,,,,,C2,
a deep sleep,,,,,,,,,,,,,,,B2,
a downward spiral,,,,,,,,,,,,,,,C2,
a drop in the ocean,,,,,,,,,,,,,,,C2,
a fair chance,,,,,,,,,,,,,,,C2,
a few,,,,,,,,,,,,,,,A2,
a fine line,,,,,,,,,,,,,,,C1,
a flight of stairs,,,,,,,,,,,,,,,C2,
a force to be reckoned with,,,,,,,,,,,,,,,C2,
a free hand,,,,,,,,,,,,,,,C2,
a good deal,,,,,,,,,,,,,,,C1,
a great deal,,,,,,,,,,,,,,,B2,
a hand,,,,,,,,,,,,,,,B1,
a handful of,,,,,,,,,,,,,,,B2,
a labor of love,,,,,,,,,,,,,,,C2,
a last resort,,,,,,,,,,,,,,,C2,
a little,,,,,,,,,,,,,,,B2,
a little bit,,,,,,,,,,,,,,,A2,
a lot,,,,,,,,,,,,,,,A1,
a matter of course,,,,,,,,,,,,,,,C1,
a matter of life and death,,,,,,,,,,,,,,,C2,
a means to an end,,,,,,,,,,,,,,,C2,
a narrow escape,,,,,,,,,,,,,,,C2,
a nest egg,,,,,,,,,,,,,,,C2,
a pity,,,,,,,,,,,,,,,A2,
a roof over your head,,,,,,,,,,,,,,,C2,
a rule of thumb,,,,,,,,,,,,,,,C1,
a safe bet,,,,,,,,,,,,,,,C2,
a sense of humor,,,,,,,,,,,,,,,B1,
a shade,,,,,,,,,,,,,,,C2,
a shame,,,,,,,,,,,,,,,A2,
a sharp pain,,,,,,,,,,,,,,,C2,
a shoulder to cry on,,,,,,,,,,,,,,,C2,
a slap in the face,,,,,,,,,,,,,,,C2,
a sleepless night,,,,,,,,,,,,,,,C1,
a sore point,,,,,,,,,,,,,,,C2,
a stroke of luck,,,,,,,,,,,,,,,C2,
a sure thing,,,,,,,,,,,,,,,C1,
a thing,,,,,,,,,,,,,,,B1,
a tight corner,,,,,,,,,,,,,,,C2,
a touch,,,,,,,,,,,,,,,C2,
a while,,,,,,,,,,,,,,,B1,
aback,NN,0.0,0.0,NN,N,N,N,N,B3,C1,0.0,False,False,4.0,,
abacus,NN,0.0,0.0,NN,N,N,N,N,C3,C3,1.0,True,False,4.0,,
abalone,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0.0,True,False,6.0,,
abandon,B2,3000.0,0.0,NN,N,N,N,N,A2,A3,2.0,True,False,2.0,C1,
abandoned,,,,,,,,,,,,,,,B2,
abandonment,NN,0.0,0.0,NN,N,N,N,N,B3,C1,0.0,True,False,4.0,,
abase,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0.0,True,False,6.0,,
abash,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0.0,True,False,6.0,,
abate,NN,0.0,0.0,NN,N,N,N,N,C1,C1,1.0,True,False,4.0,,
abatement,NN,0.0,0.0,NN,N,N,N,N,C1,C3,0.0,True,False,5.0,,
abattoir,NN,0.0,0.0,NN,N,N,N,N,C2,C2,0.0,True,False,6.0,,
abaya,NN,0.0,0.0,NN,N,N,N,N,C5,C2,0.0,True,False,6.0,,
abbacy,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0.0,True,False,6.0,,
abbess,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0.0,True,False,6.0,,
abbey,NN,0.0,0.0,NN,N,N,N,N,B3,C1,1.0,True,False,4.0,,
abbot,NN,0.0,9.0,social_studies,N,N,N,N,C1,C3,1.0,True,False,4.0,,
abbreviate,NN,0.0,9.0,general,N,Y,N,N,B3,C1,1.0,True,False,4.0,,
abbreviation,NN,0.0,6.0,general,N,Y,N,N,B3,C1,1.0,True,False,4.0,,
abdicate,NN,0.0,9.0,social_studies,N,N,N,N,C1,C1,0.0,True,False,5.0,,
abdication,NN,0.0,0.0,NN,N,N,N,N,C2,C2,0.0,True,False,6.0,,
abdomen,NN,0.0,6.0,science,N,Y,N,N,B3,B3,1.0,True,False,4.0,,medical
abdomen,NN,0.0,6.0,science,N,Y,N,N,B3,B3,1.0,True,False,4.0,,medical
abdominal,NN,0.0,9.0,science,N,N,N,N,A4,A4,1.0,True,False,3.0,,
abduct,NN,0.0,0.0,NN,N,N,N,N,B3,B2,0.0,True,False,4.0,,
abduction,NN,0.0,0.0,NN,N,N,N,N,C1,B3,0.0,True,False,5.0,,legal_terms
abductor,NN,0.0,0.0,NN,N,N,N,N,C3,C2,0.0,True,False,6.0,,
abed,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0.0,False,False,6.0,,
abelian,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0.0,False,False,6.0,,
aberrant,NN,0.0,0.0,NN,N,N,N,N,C1,C2,0.0,True,False,5.0,,
aberration,NN,0.0,9.0,science,N,N,N,N,C1,C1,0.0,True,False,5.0,,
abet,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0.0,True,False,5.0,,
abettor,NN,0.0,0.0,NN,N,N,N,N,C5,NN,0.0,True,False,6.0,,
abeyance,NN,0.0,0.0,NN,N,N,N,N,C3,C2,0.0,True,False,6.0,,
abhor,NN,0.0,0.0,NN,N,N,N,N,C1,C1,1.0,True,False,4.0,,
abhorrence,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0.0,True,False,6.0,,
abhorrent,NN,0.0,0.0,NN,N,N,N,N,C2,C1,0.0,False,False,6.0,,
abide,NN,0.0,0.0,NN,N,N,Y,N,B2,B1,1.0,True,False,3.0,,
abigail,NN,0.0,0.0,NN,N,Y,N,N,NN,NN,0.0,True,False,4.0,,
ability,A2,3000.0,4.0,general,N,N,N,N,A1,A1,2.0,True,False,1.0,B1,
abiotic,NN,0.0,4.0,science,N,N,N,N,C4,NN,0.0,False,False,5.0,,
abject,NN,0.0,0.0,NN,N,N,N,N,C1,C1,1.0,False,False,4.0,,
abjectly,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0.0,False,False,6.0,,
abjure,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0.0,True,False,6.0,,
ablate,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0.0,True,False,6.0,,
ablation,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0.0,True,False,6.0,,
ablative,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0.0,True,False,6.0,,
ablaze,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0.0,False,False,5.0,,
able,A2,3000.0,0.0,NN,Y,N,N,N,A1,A1,2.0,True,False,1.0,C2,
ablution,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0.0,True,False,6.0,,
ably,NN,0.0,9.0,general,N,N,N,N,C2,C3,0.0,False,False,4.0,,
abnormal,NN,0.0,6.0,science,N,Y,N,N,B2,B2,1.0,True,False,3.0,C1,medical
abnormal,NN,0.0,6.0,science,N,Y,N,N,B2,B2,1.0,True,False,3.0,C1,medical
abnormal,NN,0.0,6.0,science,N,Y,N,N,B2,B2,1.0,True,False,3.0,C1,medical
abnormality,NN,0.0,0.0,NN,N,N,N,N,B2,C1,0.0,True,False,3.0,,
abnormally,NN,0.0,9.0,science,N,N,N,N,C1,C2,0.0,False,False,5.0,,
aboard,NN,0.0,0.0,NN,N,N,Y,N,B1,B1,1.0,False,False,3.0,C1,
abode,NN,0.0,6.0,social_studies,N,N,N,N,C1,C2,1.0,True,False,4.0,,
abolish,C1,5000.0,4.0,social_studies,N,N,N,Y,B1,B1,1.0,True,False,3.0,B2,
abolition,NN,0.0,5.0,social_studies,N,N,N,N,B2,B2,1.0,True,False,3.0,,
abolitionism,NN,0.0,9.0,social_studies,N,N,N,N,C4,NN,1.0,True,False,4.0,,
abolitionist,NN,0.0,4.0,social_studies,N,Y,N,N,C1,C1,0.0,True,False,4.0,,
abomasum,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0.0,True,False,6.0,,
abominable,NN,0.0,0.0,NN,N,N,N,N,C2,C2,1.0,False,False,4.0,,
abominably,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0.0,False,False,6.0,,
abomination,NN,0.0,6.0,social_studies,N,N,N,N,C2,C2,1.0,True,False,4.0,,
aborad,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0.0,False,False,6.0,,
aboriginal,NN,0.0,9.0,social_studies,N,N,N,N,C1,C1,0.0,True,False,5.0,,
aborigine,NN,0.0,6.0,social_studies,N,N,N,N,C3,C2,0.0,True,False,5.0,,
abort,NN,0.0,0.0,NN,N,N,N,N,B3,B3,0.0,True,False,4.0,,
abortion,C1,5000.0,0.0,NN,N,N,N,N,A3,A2,0.0,True,False,3.0,C1,
abortionist,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0.0,True,False,6.0,,
abortive,NN,0.0,0.0,NN,N,N,N,N,C1,C3,0.0,False,False,5.0,,
abound,NN,0.0,0.0,NN,N,N,N,N,B2,C1,1.0,True,False,3.0,,
about,A1,3000.0,0.0,NN,Y,N,N,N,A1,A1,2.0,False,False,1.0,A1,
above,A1,3000.0,0.0,NN,Y,N,N,N,A1,A2,2.0,True,False,1.0,C2,
above all,,,,,,,,,,,,,,,B1,
aboveground,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0.0,False,False,6.0,,
abracadabra,NN,0.0,0.0,NN,N,N,N,N,C5,C3,0.0,True,False,6.0,,
abrade,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0.0,True,False,6.0,,
abraham,NN,0.0,0.0,NN,N,Y,N,N,NN,NN,0.0,True,True,4.0,,
abrasion,NN,0.0,6.0,science,N,Y,N,N,C2,C2,0.0,True,False,4.0,,medical
abrasive,NN,0.0,9.0,science,N,N,N,N,C1,C1,0.0,True,False,5.0,,
abreast,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0.0,False,False,5.0,,
abridge,NN,0.0,9.0,social_studies,N,N,N,N,C2,C2,1.0,True,False,4.0,,
abridgment,NN,0.0,0.0,NN,N,N,N,N,C3,C2,0.0,True,False,6.0,,
abroad,B2,3000.0,6.0,social_studies,N,N,N,N,A2,A3,2.0,False,False,2.0,B1,
abrogate,NN,0.0,0.0,NN,N,N,N,N,C2,C2,0.0,True,False,6.0,,
abrupt,NN,0.0,0.0,NN,N,N,N,N,B2,B3,1.0,False,False,3.0,C2,
abruptly,NN,0.0,9.0,general,N,N,N,N,B1,B3,1.0,False,False,3.0,C2,
abruptness,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0.0,True,False,6.0,,
abscess,NN,0.0,0.0,NN,N,N,N,N,C1,C2,0.0,True,False,5.0,,medical
abscissa,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0.0,True,False,6.0,,
abscond,NN,0.0,0.0,NN,N,N,N,N,C2,C2,0.0,True,False,6.0,,
abseil,NN,0.0,0.0,NN,N,N,N,N,C2,NN,0.0,True,False,6.0,,
absence,C1,5000.0,9.0,general,N,N,N,N,A2,A3,2.0,True,False,2.0,B2,
absent,C1,5000.0,0.0,NN,N,Y,Y,N,B1,B1,2.0,True,False,3.0,B1,
absentee,NN,0.0,9.0,social_studies,N,N,N,N,B3,B1,0.0,True,False,4.0,,
absenteeism,NN,0.0,0.0,NN,N,N,N,N,C1,C2,0.0,True,False,5.0,,
absently,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0.0,False,False,6.0,,
absentmindedly,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0.0,False,False,6.0,,
absolute,B2,3000.0,6.0,general,Y,N,N,N,A3,A3,2.0,True,False,2.0,B2,
absolutely,B1,3000.0,0.0,NN,N,N,N,N,A2,A1,2.0,False,False,2.0,B1,
absolution,NN,0.0,0.0,NN,N,N,N,N,C2,C3,0.0,True,False,6.0,,
absolutism,NN,0.0,9.0,social_studies,N,N,N,N,C2,NN,0.0,True,False,6.0,,
absolutist,NN,0.0,0.0,NN,N,N,N,N,C2,C2,0.0,True,False,6.0,,
absolve,NN,0.0,0.0,NN,N,N,N,N,C1,C1,1.0,True,False,4.0,,
absorb,B2,5000.0,3.0,science,Y,Y,Y,Y,A3,A3,2.0,True,False,3.0,C1,
absorbency,NN,0.0,0.0,NN,N,N,N,N,C5,C3,0.0,True,False,6.0,,
absorbent,NN,0.0,0.0,NN,N,N,N,N,C3,C2,0.0,True,False,6.0,,
absorber,NN,0.0,0.0,NN,N,N,N,N,C3,C2,0.0,True,False,6.0,,
absorption,NN,0.0,6.0,science,N,N,N,Y,A4,A4,1.0,True,False,3.0,,
absorptive,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0.0,False,False,6.0,,
abstain,NN,0.0,0.0,NN,N,N,N,N,C1,B3,1.0,True,False,4.0,,
abstainer,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0.0,True,False,6.0,,
abstemious,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0.0,False,False,6.0,,
abstention,NN,0.0,0.0,NN,N,N,N,N,C1,C2,0.0,True,False,5.0,,
abstinence,NN,0.0,0.0,NN,N,N,N,N,C1,B2,0.0,True,False,5.0,,
abstinent,NN,0.0,0.0,NN,N,N,N,N,C5,C2,0.0,True,False,6.0,,
abstract,B2,5000.0,0.0,NN,Y,N,N,N,A3,A3,1.0,True,False,3.0,B2,
abstraction,NN,0.0,0.0,NN,N,N,N,N,B2,C1,1.0,True,False,3.0,,
abstractly,NN,0.0,6.0,math,N,N,N,N,C4,NN,0.0,False,False,6.0,,
abstractness,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0.0,True,False,6.0,,
abstruse,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0.0,True,False,6.0,,
absurd,C1,5000.0,0.0,NN,N,N,N,N,B1,B1,1.0,True,False,3.0,B2,
absurdity,NN,0.0,9.0,social_studies,N,N,N,N,C1,C1,1.0,True,False,4.0,,
absurdly,NN,0.0,0.0,NN,N,N,N,N,C1,C2,0.0,False,False,5.0,,
abundance,NN,0.0,9.0,general,N,Y,N,N,B1,B2,1.0,True,False,3.0,,
abundant,NN,0.0,6.0,social_studies,N,Y,N,N,B1,B2,1.0,False,False,3.0,,
abundantly,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0.0,False,False,5.0,,
abuse,C1,5000.0,0.0,NN,N,N,N,N,A2,A2,2.0,True,False,2.0,C2,
abuser,NN,0.0,0.0,NN,N,N,N,N,C1,B3,2.0,True,False,3.0,,
abusive,NN,0.0,0.0,NN,N,N,N,N,B2,B2,0.0,False,False,3.0,C2,
abut,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0.0,True,False,5.0,,
abutment,NN,0.0,0.0,NN,N,N,N,N,C4,C3,0.0,True,False,6.0,,
abuzz,NN,0.0,0.0,NN,N,N,N,N,C3,C2,0.0,False,False,6.0,,
abysmal,NN,0.0,0.0,NN,N,N,N,N,C2,C1,0.0,False,False,6.0,,
abysmally,NN,0.0,0.0,NN,N,N,N,N,C5,NN,0.0,False,False,6.0,,
abyss,NN,0.0,0.0,NN,N,N,N,N,C1,C1,1.0,True,False,4.0,,
abyssal,NN,0.0,5.0,science,N,N,N,N,C4,NN,0.0,False,False,6.0,,
ac,NN,0.0,0.0,NN,N,Y,N,N,NN,NN,0.0,True,False,4.0,,
acacia,NN,0.0,0.0,NN,N,Y,N,N,C3,C2,0.0,True,False,4.0,,
academia,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0.0,True,False,5.0,,
academic,B1,3000.0,6.0,general,N,N,N,N,A2,A3,2.0,True,False,2.0,B2,
academically,NN,0.0,0.0,NN,N,N,N,N,C1,B2,0.0,False,False,5.0,,
academician,NN,0.0,0.0,NN,N,N,N,N,C3,C3,0.0,True,False,6.0,,
academy,C1,5000.0,0.0,NN,Y,Y,N,N,B1,B1,1.0,True,False,3.0,,
acanthocephalan,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0.0,True,,6.0,,
acanthus,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0.0,True,False,6.0,,
accede,NN,0.0,0.0,NN,N,N,N,N,C1,C2,0.0,True,False,5.0,,
accelerate,C1,5000.0,4.0,science,Y,Y,N,Y,A4,A4,1.0,True,False,3.0,C2,
acceleration,NN,0.0,4.0,science,N,Y,N,N,A4,A4,0.0,True,False,3.0,,
accelerator,NN,0.0,9.0,science,N,N,N,N,B3,B3,0.0,True,False,4.0,,
accelerometer,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0.0,True,False,6.0,,
accent,B2,5000.0,0.0,NN,N,Y,Y,N,A3,A3,2.0,True,False,3.0,B2,
accentual,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0.0,False,False,6.0,,
accentuate,NN,0.0,0.0,NN,N,N,N,N,B3,C1,0.0,True,False,4.0,,
accentuation,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0.0,True,False,6.0,,
accept,A2,3000.0,0.0,NN,Y,N,N,N,A1,A1,2.0,True,False,1.0,B2,
