word,level
1,TRUE
1,zero
1,young
1,you
1,yet
1,yesterday
1,yes
1,yellow
1,year
1,yard
1,wrong
1,write
1,would
1,worth
1,worse
1,worry
1,world
1,work
1,word
1,wood
1,wonder
1,woman
1,without
1,within
1,with
1,wish
1,winter
1,wine
1,window
1,wind
1,win
1,will
1,wild
1,wife
1,wide
1,why
1,whole
1,who
1,white
1,while
1,which
1,whether
1,where
1,when
1,wheel
1,what
1,wet
1,west
1,well
1,weight
1,week
1,wednesday
1,wed
1,web
1,weather
1,wear
1,we
1,way
1,wave
1,water
1,watch
1,waste
1,wash
1,warm
1,war
1,want
1,wall
1,walk
1,wake
1,wait
1,voice
1,visit
1,view
1,video
1,very
1,van
1,usual
1,use
1,upon
1,up
1,until
1,unless
1,understand
1,underneath
1,under
1,uncle
1,ugly
1,type
1,two
1,twenty
1,twelve
1,turn
1,tuesday
1,try
1,truth
1,trust
1,trouble
1,trip
1,tree
1,treat
1,travel
1,train
1,track
1,town
1,toward
1,touch
1,total
1,top
1,tooth
1,too
1,tonight
1,tomorrow
1,together
1,today
1,to
1,tire
1,time
1,till
1,tight
1,tie
1,thursday
1,throw
1,through
1,throat
1,three
1,thousand
1,though
1,this
1,thirty
1,thirteen
1,thirst
1,think
1,thing
1,thick
1,they
1,there
1,then
1,the
1,that
1,thank
1,than
1,test
1,terrible
1,term
1,tend
1,ten
1,tell
1,television
1,telephone
1,tear
1,team
1,teach
1,tea
1,tax
1,taste
1,tape
1,tall
1,talk
1,take
1,tail
1,table
1,system
1,swim
1,sweet
1,surprise
1,sure
1,suppose
1,support
1,sunday
1,sun
1,summer
1,suit
1,suggest
1,sudden
1,such
1,subject
1,stupid
1,stuff
1,study
1,student
1,strong
1,strike
1,street
1,strange
1,straight
1,story
1,store
1,stop
1,stone
1,still
1,stick
1,step
1,steal
1,stay
1,station
1,state
1,start
1,stare
1,star
1,stand
1,stage
1,square
1,spring
1,spot
1,sport
1,spend
1,special
1,speak
1,space
1,south
1,sound
1,sort
1,sorry
