Word,oxford_level,oxford_version
a,A1,3000
abandon,B2,3000
ability,A2,3000
abolish,C1,5000
about,A1,3000
above,A1,3000
absence,C1,5000
absolute,B2,3000
absolutely,B1,3000
absorb,B2,5000
abstract,B2,5000
abundance,C1,5000
abuse,C1,5000
academic,B1,3000
academy,C1,5000
accelerate,C1,5000
accent,B2,5000
accept,A2,3000
acceptable,B2,3000
acceptance,C1,5000
access,B1,3000
accessible,C1,5000
accident,A2,3000
accidentally,B2,5000
accommodate,B2,5000
accommodation,B1,3000
accompany,B2,3000
accomplish,B2,5000
accomplishment,C1,5000
accordance,C1,5000
according,A2,3000
accordingly,C1,5000
account,B1,3000
accountability,C1,5000
accountable,C1,5000
accountant,B2,5000
accumulate,C1,5000
accumulation,C1,5000
accuracy,B2,5000
accurate,B2,3000
accurately,B2,5000
accusation,C1,5000
accuse,B2,3000
accused,C1,5000
achieve,A2,3000
achievement,B1,3000
acid,B2,5000
acknowledge,B2,3000
acquire,B2,3000
acquisition,C1,5000
acre,C1,5000
across,A1,3000
act,B1,3000
action,A1,3000
activate,B2,5000
activation,C1,5000
activist,C1,5000
activity,A1,3000
actor,A1,3000
actress,A1,3000
actv,A2,3000
ad,B1,3000
adaptation,C1,5000
add,A1,3000
addiction,B2,5000
additional,B2,3000
additionally,B2,5000
address,A1,3000
adequate,B2,5000
adequately,B2,5000
adhere,C1,5000
adjacent,C1,5000
adjust,B2,5000
adjustment,C1,5000
administer,C1,5000
administration,B2,3000
administrative,C1,5000
administrator,C1,5000
admission,C1,5000
adolescent,C1,5000
adopt,B2,3000
adoption,C1,5000
adult,A1,3000
advance,B2,3000
adventure,A2,3000
adverse,C1,5000
advertisement,A2,3000
advertising,A2,3000
advice,A1,3000
advise,B1,3000
advocate,C1,5000
aesthetic,C1,5000
affair,B2,3000
affection,C1,5000
affordable,B2,5000
afraid,A1,3000
after,A1,3000
aftermath,C1,5000
afternoon,A1,3000
afterwards,B2,3000
again,A1,3000
age,A1,3000
agency,B2,3000
agenda,B2,3000
aggression,C1,5000
aggressive,B2,3000
ago,A1,3000
agreement,B1,3000
agricultural,C1,5000
agriculture,B2,5000
ahead,B1,3000
aid,B2,3000
aide,C1,5000
aids,B2,5000
aircraft,B2,3000
alarm,B2,3000
albeit,C1,5000
alcoholic,B1,3000
alien,B2,5000
alignment,C1,5000
alike,C1,5000
allegation,C1,5000
allege,C1,5000
allegedly,C1,5000
alliance,C1,5000
allocate,C1,5000
allocation,C1,5000
allow,A2,3000
allowance,C1,5000
alongside,B2,5000
alter,B2,3000
alternative,B1,3000
altogether,B2,5000
aluminium,C1,5000
amateur,C1,5000
amazed,B1,3000
amazing,A1,3000
ambassador,C1,5000
ambition,B1,3000
ambitious,B1,3000
ambulance,B2,5000
amend,C1,5000
amendment,C1,5000
amid,C1,5000
amount,B2,3000
amusing,B2,5000
an,A1,3000
analogy,C1,5000
analyse,B1,3000
analyst,B2,5000
ancestor,B2,5000
anchor,C1,5000
anger,B2,3000
angle,B2,3000
animation,B2,5000
anniversary,B2,3000
announce,B1,3000
announcement,B1,3000
annoy,B1,3000
annoying,B1,3000
annual,B2,3000
annually,B2,5000
anonymous,C1,5000
another,A1,3000
answer,A1,3000
anticipate,B2,5000
anxiety,B2,5000
anxious,B2,3000
any,A1,3000
anybody,A2,3000
anyone,A1,3000
anything,A1,3000
anyway,A2,3000
anywhere,A2,3000
apart,B1,3000
apartment,A1,3000
apologize,B1,3000
apology,B2,5000
app,A2,3000
apparatus,C1,5000
apparent,B2,3000
apparently,B2,3000
appeal,B2,3000
appealing,C1,5000
appear,A2,3000
appearance,A2,3000
appetite,C1,5000
applaud,C1,5000
apple,A1,3000
applicable,C1,5000
applicant,B2,5000
application,B1,3000
apply,A2,3000
appoint,C1,5000
appointment,B1,3000
appreciate,B1,3000
appreciation,C1,5000
approach,B2,3000
appropriate,B2,3000
appropriately,B2,5000
approval,B2,3000
approve,B2,3000
approximately,B1,3000
april,A1,3000
arbitrary,C1,5000
architectural,C1,5000
architecture,A2,3000
archive,C1,5000
arguably,C1,5000
argue,A2,3000
arise,B2,3000
arm,C1,5000
arrangement,A2,3000
arrest,B1,3000
arrive,A1,3000
arrow,B2,5000
art,A1,3000
article,A1,3000
articulate,C1,5000
artwork,B2,5000
ashamed,B2,3000
aside,B2,5000
aspect,B2,3000
aspire,C1,5000
assassination,C1,5000
assault,C1,5000
assemble,C1,5000
assembly,C1,5000
assert,C1,5000
assertion,C1,5000
assessment,B2,3000
asset,B2,5000
assign,B2,5000
assignment,B1,3000
assist,B1,3000
assistance,B2,5000
assistant,A2,3000
associate,B2,3000
associated,B2,3000
association,B2,3000
assume,B2,3000
assumption,B2,5000
assurance,C1,5000
assure,B2,5000
astonishing,B2,5000
asylum,C1,5000
athlete,A2,3000
atmosphere,B1,3000
atrocity,C1,5000
attach,B1,3000
attachment,B2,5000
attain,C1,5000
attendance,C1,5000
attorney,C1,5000
attraction,B1,3000
attractive,A2,3000
attribute,C1,5000
auction,B2,5000
audience,A2,3000
audio,B2,5000
audit,C1,5000
authentic,C1,5000
author,A2,3000
authority,B1,3000
authorize,C1,5000
auto,C1,5000
automatic,B2,5000
automatically,B2,5000
autonomy,C1,5000
availability,C1,5000
available,A2,3000
average,A2,3000
avoid,A2,3000
await,C1,5000
award,A2,3000
awareness,B2,5000
away,A1,3000
awful,A2,3000
awkward,B2,5000
back,A2,3000
backdrop,C1,5000
background,A2,3000
backing,C1,5000
backup,C1,5000
backwards,B1,3000
bad,A1,3000
badge,B2,5000
badly,A2,3000
bail,C1,5000
bake,B1,3000
balanced,B2,5000
ballet,B2,5000
balloon,B2,5000
ballot,C1,5000
banner,C1,5000
bar,A2,3000
bare,C1,5000
barely,B2,5000
bargain,B2,5000
barrel,C1,5000
based,A2,3000
basement,B2,5000
basket,B2,5000
basketball,A2,3000
bass1,C1,5000
bat,B2,5000
bath,A1,3000
bathroom,A1,3000
battlefield,C1,5000
bay,C1,5000
beach,A1,3000
beam,C1,5000
bean,A2,3000
beast,C1,5000
beat,A2,3000
beautiful,A1,3000
because,A1,3000
become,A1,3000
beer,A1,3000
begin,A1,3000
beginning,A1,3000
behalf,C1,5000
behave,A2,3000
behaviour,A2,3000
behind,A1,3000
believe,A1,3000
belong,A2,3000
beloved,C1,5000
bench,C1,5000
benchmark,C1,5000
beneath,C1,5000
beneficial,B2,5000
beneficiary,C1,5000
beside,B2,5000
besides,B2,5000
best,A1,3000
betray,C1,5000
better,A2,3000
between,A1,3000
bias,B2,5000
bicycle,A1,3000
bid,B2,5000
bill,B2,3000
billion,A2,3000
bin,A2,3000
bind,C1,5000
biography,C1,5000
biological,B2,5000
bishop,C1,5000
bite,B1,3000
bizarre,C1,5000
blade,C1,5000
blanket,B2,5000
block,B1,3000
blog,A1,3000
blood,A2,3000
blow,B2,5000
board,B1,3000
boast,C1,5000
bold,B2,5000
bomb,B1,3000
bombing,B2,5000
booking,B2,5000
boost,B2,5000
border,B1,3000
boring,A1,3000
bother,B1,3000
bottle,A1,3000
bounce,C1,5000
bound,B2,5000
boundary,C1,5000
bow1,C1,5000
bowl,A2,3000
branch,B1,3000
brand,B1,3000
brave,B1,3000
breach,C1,5000
bread,A1,3000
breakdown,C1,5000
breakfast,A1,3000
breakthrough,C1,5000
breath,B1,3000
breathe,B1,3000
breathing,B1,3000
breed,C1,5000
brick,B2,5000
bride,B1,3000
briefly,B2,5000
brilliant,A2,3000
bring,A1,3000
broadband,C1,5000
broadcast,B2,3000
broadcaster,B2,5000
broadly,B2,5000
broken,A2,3000
brown,A1,3000
browser,C1,5000
brush,A2,3000
brutal,C1,5000
