Word,Domain,Level
each,general,1
solve,general,1
shape,general,1
sentence,general,1
grow,general,1
vocabulary,general,1
compare,general,1
chart,general,1
science,general,1
inquiry,general,1
addition,general,1
essential,general,1
pattern,general,1
explain,general,1
below,general,1
observe,general,1
activity,general,1
strategy,general,1
alike,general,1
resource,general,1
describe,general,1
detail,general,1
envision,general,1
large,general,1
complete,general,1
model,general,1
topic,general,1
natural,general,1
independent,general,1
predict,general,1
symbol,general,1
technology,general,1
estimate,general,1
solve,math,1
unit,math,1
subtract,math,1
measure,math,1
cube,math,1
equal,math,1
graph,math,1
math,math,1
subtraction,math,1
data,math,1
mathematical,math,1
estimate,math,1
plant,science,1
earth,science,1
soil,science,1
seed,science,1
ocean,science,1
matter,science,1
energy,science,1
solid,science,1
material,science,1
scientist,science,1
heat,science,1
liquid,science,1
habitat,science,1
magnet,science,1
temperature,science,1
nonliving,science,1
gas,science,1
cycle,science,1
insect,science,1
lab,science,1
stem,science,1
shelter,science,1
electricity,science,1
plastic,science,1
gram,science,1
diagram,science,1
environment,science,1
shell,science,1
thermometer,science,1
pole,science,1
attract,science,1
engineer,science,1
giraffe,science,1
mass,science,1
reuse,science,1
ant,science,1
planet,science,1
elephant,science,1
caterpillar,science,1
gravity,science,1
liter,science,1
melt,science,1
metal,science,1
mixture,science,1
tadpole,science,1
astronaut,science,1
cub,science,1
mammal,science,1
motion,science,1
vapor,science,1
evaporate,science,1
hive,science,1
lens,science,1
lizard,science,1
seedling,science,1
dissolve,science,1
erosion,science,1
flow,science,1
pulley,science,1
reflect,science,1
wave,science,1
analog,science,1
beetle,science,1
foldable,science,1
fossil,science,1
iron,science,1
lever,science,1
reptile,science,1
rocket,science,1
snail,science,1
survive,science,1
tiger,science,1
wetland,science,1
dam,science,1
country,social_studies,1
explore,social_studies,1
state,social_studies,1
community,social_studies,1
strategy,social_studies,1
farm,social_studies,1
goods,social_studies,1
journal,social_studies,1
unite,social_studies,1
vote,social_studies,1
culture,social_studies,1
citizen,social_studies,1
history,social_studies,1
genre,social_studies,1
transportation,social_studies,1
government,social_studies,1
native,social_studies,1
king,social_studies,1
continent,social_studies,1
property,social_studies,1
trade,social_studies,1
colony,social_studies,1
freedom,social_studies,1
market,social_studies,1
custom,social_studies,1
independence,social_studies,1
party,social_studies,1
pilgrim,social_studies,1
plain,social_studies,1
celebration,social_studies,1
citizenship,social_studies,1
factory,social_studies,1
crop,social_studies,1
volunteer,social_studies,1
constitution,social_studies,1
folktale,social_studies,1
governor,social_studies,1
mayor,social_studies,1
museum,social_studies,1
nation,social_studies,1
pledge,social_studies,1
invention,social_studies,1
language,social_studies,1
route,social_studies,1
capital,social_studies,1
statue,social_studies,1
grace,social_studies,1
immigrant,social_studies,1
war,social_studies,1
atlas,social_studies,1
capitol,social_studies,1
discover,social_studies,1
geography,social_studies,1
border,social_studies,1
cattle,social_studies,1
dam,social_studies,1
landmark,social_studies,1
literary,social_studies,1
narrator,social_studies,1
principal,social_studies,1
suburb,social_studies,1
wheat,social_studies,1
form,general,2
event,general,2
clue,general,2
effect,general,2
amount,general,2
connect,general,2
example,general,2
reason,general,2
volume,general,2
comprehension,general,2
direction,general,2
purpose,general,2
illustrate,general,2
expository,general,2
opinion,general,2
value,general,2
contrast,general,2
during,general,2
retell,general,2
solution,general,2
contain,general,2
context,general,2
difference,general,2
design,general,2
summarize,general,2
paragraph,general,2
selection,general,2
sequence,general,2
fiction,general,2
web,general,2
mental,general,2
method,general,2
result,general,2
analyze,general,2
communicate,general,2
location,general,2
apply,general,2
classify,general,2
expand,general,2
recycle,general,2
carefully,general,2
interest,general,2
concept,general,2
infer,general,2
source,general,2
informational,general,2
process,general,2
revise,general,2
experience,general,2
correctly,general,2
preview,general,2
relate,general,2
system,general,2
investigate,general,2
toward,general,2
theme,general,2
length,math,2
centimeter,math,2
total,math,2
regroup,math,2
sum,math,2
area,math,2
volume,math,2
addend,math,2
product,math,2
least,math,2
digit,math,2
angle,math,2
equation,math,2
rectangle,math,2
triangle,math,2
round,math,2
penguin,science,2
landform,science,2
mineral,science,2
dinosaur,science,2
tornado,science,2
hurricane,science,2
solar,science,2
adapt,science,2
orbit,science,2
trait,science,2
beak,science,2
oil,science,2
shark,science,2
zone,science,2
backbone,science,2
climate,science,2
vibrate,science,2
whale,science,2
amphibian,science,2
palm,science,2
rhythm,science,2
volcano,science,2
cactus,science,2
healthy,science,2
human,science,2
constellation,science,2
pollen,science,2
compound,science,2
oxygen,science,2
physical,science,2
compass,science,2
footprint,science,2
muscle,science,2
oral,science,2
precipitation,science,2
texture,science,2
condense,science,2
fuel,science,2
grasshopper,science,2
jellyfish,science,2
kilogram,science,2
larva,science,2
monitor,science,2
parrot,science,2
prey,science,2
telescope,science,2
beaver,science,2
burrow,science,2
decompose,science,2
extinct,science,2
loop,science,2
lung,science,2
particle,science,2
pollution,science,2
predator,science,2
tissue,science,2
wire,science,2
acorn,science,2
chipmunk,science,2
equator,science,2
friction,science,2
level,science,2
robin,science,2
satellite,science,2
bulb,science,2
coal,science,2
coyote,science,2
crust,science,2
current,science,2
electric,science,2
gill,science,2
hedgehog,science,2
herd,science,2
mentally,science,2
pupa,science,2
shuttle,science,2
silver,science,2
underground,science,2
boil,science,2
camouflage,science,2
conservation,science,2
coral,science,2
crater,science,2
earthquake,science,2
evaporation,science,2
fern,science,2
filter,science,2
glacier,science,2
grassland,science,2
hemisphere,science,2
hibernate,science,2
nymph,science,2
otter,science,2
ramp,science,2
tilt,science,2
vibration,science,2
woodland,science,2
zebra,science,2
astronomer,science,2
boulder,science,2
chemical,science,2
contraction,science,2
drought,science,2
humus,science,2
loam,science,2
loudness,science,2
manatee,science,2
paleontologist,science,2
pollute,science,2
powder,science,2
raccoon,science,2
reflection,science,2
skeleton,science,2
sprout,science,2
strand,science,2
substance,science,2
dye,science,2
environmental,science,2
polar,science,2
court,social_studies,2
region,social_studies,2
trail,social_studies,2
consume,social_studies,2
judge,social_studies,2
chief,social_studies,2
pronoun,social_studies,2
festival,social_studies,2
monument,social_studies,2
council,social_studies,2
election,social_studies,2
urban,social_studies,2
adverb,social_studies,2
rural,social_studies,2
tax,social_studies,2
barter,social_studies,2
colonist,social_studies,2
fable,social_studies,2
harvest,social_studies,2
income,social_studies,2
slavery,social_studies,2
railroad,social_studies,2
soldier,social_studies,2
cardinal,social_studies,2
equator,social_studies,2
petition,social_studies,2
artifact,social_studies,2
civil,social_studies,2
fought,social_studies,2
sue,social_studies,2
century,social_studies,2
demand,social_studies,2
electoral,social_studies,2
fort,social_studies,2
heritage,social_studies,2
peninsula,social_studies,2
predicate,social_studies,2
rainfall,social_studies,2
spirit,social_studies,2
suburban,social_studies,2
army,social_studies,2
battle,social_studies,2
british,social_studies,2
cliff,social_studies,2
democracy,social_studies,2
elect,social_studies,2
humorous,social_studies,2
league,social_studies,2
migrate,social_studies,2
motto,social_studies,2
revolution,social_studies,2
savanna,social_studies,2
simile,social_studies,2
slave,social_studies,2
turkey,social_studies,2
veteran,social_studies,2
ancestor,social_studies,2
ballot,social_studies,2
budget,social_studies,2
campaign,social_studies,2
candidate,social_studies,2
county,social_studies,2
enterprise,social_studies,2
harbor,social_studies,2
irrigate,social_studies,2
marketplace,social_studies,2
palace,social_studies,2
plow,social_studies,2
roam,social_studies,2
townspeople,social_studies,2
tropical,social_studies,2
agriculture,social_studies,2
alphabet,social_studies,2
batter,social_studies,2
buffalo,social_studies,2
cartoon,social_studies,2
colonial,social_studies,2
courthouse,social_studies,2
crown,social_studies,2
declare,social_studies,2
eastern,social_studies,2
economics,social_studies,2
emperor,social_studies,2
enemy,social_studies,2
executive,social_studies,2
figurative,social_studies,2
grant,social_studies,2
irrigation,social_studies,2
legislature,social_studies,2
longhorn,social_studies,2
manufacture,social_studies,2
meridian,social_studies,2
occupation,social_studies,2
political,social_studies,2
ree,social_studies,2
royal,social_studies,2
scarcity,social_studies,2
simmer,social_studies,2
slogan,social_studies,2
southwest,social_studies,2
stepsister,social_studies,2
affect,general,3
organize,general,3
represent,general,3
critical,general,3
factor,general,3
separate,general,3
locate,general,3
prediction,general,3
operation,general,3
active,general,3
depend,general,3
section,general,3
term,general,3
hypothesis,general,3
link,general,3
focus,general,3
similar,general,3
standard,general,3
express,general,3
allow,general,3
statement,general,3
observation,general,3
suppose,general,3
improve,general,3
adaptation,general,3
invent,general,3
balance,general,3
develop,general,3
illustration,general,3
definition,general,3
display,general,3
opposite,general,3
phrase,general,3
visual,general,3
passage,general,3
description,general,3
interpret,general,3
nutrient,general,3
characteristic,general,3
challenge,general,3
determine,general,3
multiple,general,3
online,general,3
prefix,general,3
professor,general,3
revolve,general,3
situation,general,3
surround,general,3
visualize,general,3
combination,general,3
conserve,general,3
generalize,general,3
interact,general,3
knowledge,general,3
potential,general,3
relevant,general,3
behavior,general,3
evaluate,general,3
excite,general,3
explanation,general,3
interactive,general,3
declaration,general,3
phase,general,3
procedure,general,3
response,general,3
unique,general,3
average,general,3
occur,general,3
caption,general,3
representative,general,3
suffix,general,3
construct,general,3
content,general,3
farther,general,3
fluency,general,3
inherit,general,3
relationship,general,3
clearly,general,3
pronunciation,general,3
reasonableness,general,3
fraction,math,3
multiplication,math,3
divide,math,3
division,math,3
perimeter,math,3
multiply,math,3
distance,math,3
x,math,3
graphic,math,3
compute,math,3
scale,math,3
measurement,math,3
exercise,math,3
polygon,math,3
quadrilateral,math,3
weigh,math,3
algebra,math,3
expression,math,3
axis,math,3
variable,math,3
metric,math,3
zero,math,3
cone,math,3
commutative,math,3
parallelogram,math,3
millimeter,math,3
ecosystem,science,3
organism,science,3
adaptation,science,3
signal,science,3
milliliter,science,3
electrical,science,3
cell,science,3
reproduce,science,3
potential,science,3
atmosphere,science,3
renewable,science,3
disease,science,3
vertebrate,science,3
wedge,science,3
absorb,science,3
circuit,science,3
nonrenewable,science,3
crane,science,3
iguana,science,3
kinetic,science,3
tortoise,science,3
kilometer,science,3
lava,science,3
male,science,3
