Word,Frequency
the,A1
be,A1
and,A1
of,A1
to,A1
a,A1
in,A1
have,A1
it,A1
you,A1
he,A1
for,A1
they,A1
not,A1
that,A1
we,A1
on,A1
with,A1
this,A1
I,A1
do,A1
as,A1
at,A1
she,A1
but,A1
from,A1
by,A1
will,A1
or,A1
say,A1
go,A1
so,A1
all,A1
if,A1
one,A1
would,A1
about,A1
can,A1
which,A1
there,A1
know,A1
more,A1
get,A1
who,A1
like,A1
when,A1
think,A1
make,A1
time,A1
see,A1
what,A1
up,A1
some,A1
other,A1
out,A1
good,A1
people,A1
year,A1
take,A1
no,A1
well,A1
because,A1
very,A1
just,A1
come,A1
could,A1
work,A1
use,A1
than,A1
now,A1
then,A1
also,A1
into,A1
only,A1
look,A1
want,A1
give,A1
first,A1
new,A1
way,A1
find,A1
over,A1
any,A1
after,A1
day,A1
where,A1
thing,A1
most,A1
should,A1
need,A1
much,A1
right,A1
how,A1
back,A1
mean,A1
even,A1
may,A1
here,A1
many,A1
such,A1
last,A1
child,A1
tell,A1
really,A1
call,A1
before,A1
company,A1
through,A1
down,A1
show,A1
life,A1
man,A1
change,A1
place,A1
long,A1
between,A1
feel,A1
too,A1
still,A1
problem,A1
write,A1
same,A1
lot,A1
great,A1
try,A1
leave,A1
number,A1
both,A1
own,A1
part,A1
point,A1
little,A1
help,A1
ask,A1
meet,A1
start,A1
talk,A1
something,A1
put,A1
another,A1
become,A1
interest,A1
country,A1
old,A1
each,A1
school,A1
late,A1
high,A1
different,A1
off,A1
next,A1
end,A1
live,A1
why,A1
while,A1
world,A1
week,A1
play,A1
might,A1
must,A1
home,A1
never,A1
include,A1
course,A1
house,A1
report,A1
group,A1
case,A1
woman,A1
around,A1
book,A1
family,A1
seem,A1
let,A1
again,A1
kind,A1
keep,A1
hear,A1
system,A1
every,A1
question,A1
during,A1
always,A1
big,A1
set,A1
small,A1
study,A1
follow,A1
begin,A1
important,A1
since,A1
run,A1
under,A1
turn,A1
few,A1
bring,A1
early,A1
hand,A1
state,A1
move,A1
money,A1
fact,A1
however,A1
area,A1
provide,A1
name,A1
read,A1
friend,A1
month,A1
large,A1
business,A1
without,A1
information,A1
open,A1
order,A1
government,A1
word,A1
issue,A1
market,A1
pay,A1
build,A1
hold,A1
service,A1
against,A1
