Word,Frequency
be,A1
the,A1
and,A1
to,A1
a,A1
of,A1
you,A1
it,A1
in,A1
have,A1
that,A1
we,A1
they,A1
not,A1
do,A1
he,A1
this,A1
for,A1
on,A1
but,A1
know,A1
go,A1
so,A1
with,A1
say,A1
get,A1
think,A1
I,A1
there,A1
will,A1
at,A1
as,A1
what,A1
about,A1
she,A1
like,A1
just,A1
one,A1
if,A1
or,A1
well,A1
all,A1
from,A1
people,A1
would,A1
can,A1
out,A1
because,A1
up,A1
when,A1
who,A1
now,A1
some,A1
right,A1
see,A1
very,A1
come,A1
thing,A1
more,A1
make,A1
time,A1
want,A1
by,A1
no,A1
really,A1
then,A1
year,A1
good,A1
mean,A1
take,A1
here,A1
other,A1
which,A1
look,A1
work,A1
could,A1
way,A1
how,A1
talk,A1
lot,A1
where,A1
back,A1
much,A1
yes,A1
use,A1
into,A1
something,A1
over,A1
give,A1
pause,A1
call,A1
any,A1
than,A1
day,A1
kind,A1
first,A1
unclear,A1
tell,A1
down,A1
need,A1
also,A1
try,A1
put,A1
only,A1
actually,A1
should,A1
last,A1
even,A1
let,A1
find,A1
little,A1
sort,A1
why,A1
new,A1
today,A1
many,A1
still,A1
after,A1
thank,A1
through,A1
start,A1
point,A1
question,A1
most,A1
happen,A1
off,A1
feel,A1
big,A1
before,A1
too,A1
week,A1
problem,A1
hear,A1
part,A1
ask,A1
country,A1
long,A1
issue,A1
yeah,A1
different,A1
change,A1
again,A1
same,A1
another,A1
great,A1
might,A1
number,A1
man,A1
show,A1
never,A1
around,A1
bit,A1
next,A1
school,A1
place,A1
money,A1
end,A1
play,A1
interest,A1
help,A1
life,A1
may,A1
fact,A1
keep,A1
live,A1
government,A1
home,A1
state,A1
sure,A1
world,A1
leave,A1
always,A1
write,A1
child,A1
course,A1
report,A1
every,A1
probably,A1
woman,A1
own,A1
meet,A1
case,A1
move,A1
book,A1
run,A1
anything,A1
pay,A1
job,A1
seem,A1
bring,A1
old,A1
both,A1
believe,A1
late,A1
maybe,A1
quite,A1
read,A1
house,A1
kid,A1
story,A1
whether,A1
high,A1
month,A1
family,A1
speak,A1
between,A1
bad,A1
important,A1
few,A1
group,A1
away,A1
turn,A1
though,A1
president,A1
understand,A1
okay,A1
able,A1
ago,A1
become,A1
area,A1
night,A1
laugh,A1
name,A1
idea,A1
term,A1
hour,A1
remember,A1
deal,A1
program,A1
whole,A1
begin,A1
company,A1
against,A1
hard,A1
early,A1
love,A1
side,A1
plan,A1
far,A1
enough,A1
vote,A1
word,A1
buy,A1
set,A1
ever,A1
build,A1
system,A1
real,A1
test,A1
close,A1
guy,A1
since,A1
minute,A1
hope,A1
student,A1
line,A1
else,A1
business,A1
pretty,A1
person,A1
while,A1
second,A1
reason,A1
everything,A1
under,A1
spend,A1
lose,A1
open,A1
young,A1
public,A1
car,A1
half,A1
stuff,A1
each,A1
together,A1
care,A1
sit,A1
certainly,A1
support,A1
such,A1
war,A1
win,A1
nice,A1
least,A1
news,A1
percent,A1
hold,A1
hand,A1
friend,A1
send,A1
already,A1
watch,A1
once,A1
political,A1
example,A1
morning,A1
somebody,A1
stop,A1
sense,A1
member,A1
couple,A1
join,A1
black,A1
city,A1
small,A1
stay,A1
nothing,A1
concern,A1
continue,A1
exactly,A1
yet,A1
guess,A1
someone,A1
community,A1
head,A1
past,A1
break,A1
until,A1
must,A1
top,A1
market,A1
matter,A1
information,A1
record,A1
expect,A1
without,A1
level,A1
force,A1
lead,A1
learn,A1
include,A1
whatever,A1
answer,A1
process,A1
large,A1
party,A1
stand,A1
cause,A1
clear,A1
law,A1
agree,A1
listen,A1
mind,A1
almost,A1
