Word,Level,Version
about,A1,3000
above,A1,3000
across,A1,3000
action,A1,3000
activity,A1,3000
actor,A1,3000
actress,A1,3000
add,A1,3000
address,A1,3000
adult,A1,3000
advice,A1,3000
afraid,A1,3000
after,A1,3000
afternoon,A1,3000
again,A1,3000
age,A1,3000
ago,A1,3000
agree,A1,3000
air,A1,3000
airport,A1,3000
all,A1,3000
also,A1,3000
always,A1,3000
amazing,A1,3000
and,A1,3000
angry,A1,3000
animal,A1,3000
another,A1,3000
answer,A1,3000
any,A1,3000
anyone,A1,3000
anything,A1,3000
apartment,A1,3000
apple,A1,3000
april,A1,3000
area,A1,3000
arm,A1,3000
around,A1,3000
arrive,A1,3000
art,A1,3000
article,A1,3000
artist,A1,3000
as,A1,3000
ask,A1,3000
at,A1,3000
august,A1,3000
aunt,A1,3000
away,A1,3000
awesome,A1,3000
baby,A1,3000
back,A1,3000
bad,A1,3000
bag,A1,3000
ball,A1,3000
banana,A1,3000
band,A1,3000
bank,A1,3000
bar,A1,3000
baseball,A1,3000
basketball,A1,3000
bath,A1,3000
bathroom,A1,3000
be,A1,3000
beach,A1,3000
beautiful,A1,3000
because,A1,3000
become,A1,3000
bed,A1,3000
bedroom,A1,3000
beer,A1,3000
before,A1,3000
begin,A1,3000
beginning,A1,3000
behind,A1,3000
believe,A1,3000
below,A1,3000
best,A1,3000
better,A1,3000
between,A1,3000
bicycle,A1,3000
big,A1,3000
bike,A1,3000
bill,A1,3000
bird,A1,3000
birthday,A1,3000
black,A1,3000
blog,A1,3000
blond,A1,3000
blue,A1,3000
boat,A1,3000
body,A1,3000
book,A1,3000
boot,A1,3000
bored,A1,3000
boring,A1,3000
born,A1,3000
both,A1,3000
bottle,A1,3000
box,A1,3000
boy,A1,3000
boyfriend,A1,3000
bread,A1,3000
break,A1,3000
breakfast,A1,3000
bring,A1,3000
brother,A1,3000
brown,A1,3000
build,A1,3000
building,A1,3000
bus,A1,3000
business,A1,3000
busy,A1,3000
but,A1,3000
butter,A1,3000
buy,A1,3000
by,A1,3000
bye,A1,3000
cafe,A1,3000
cake,A1,3000
call,A1,3000
camera,A1,3000
can,A1,3000
cannot,A1,3000
capital,A1,3000
car,A1,3000
card,A1,3000
career,A1,3000
carrot,A1,3000
carry,A1,3000
cat,A1,3000
cd,A1,3000
cent,A1,3000
center,A1,3000
chair,A1,3000
change,A1,3000
chart,A1,3000
cheap,A1,3000
check,A1,3000
cheese,A1,3000
chicken,A1,3000
child,A1,3000
chocolate,A1,3000
choose,A1,3000
city,A1,3000
class,A1,3000
classroom,A1,3000
clean,A1,3000
climb,A1,3000
clock,A1,3000
close,A1,3000
clothes,A1,3000
club,A1,3000
coat,A1,3000
coffee,A1,3000
cold,A1,3000
college,A1,3000
color,A1,3000
come,A1,3000
common,A1,3000
company,A1,3000
compare,A1,3000
complete,A1,3000
computer,A1,3000
concert,A1,3000
conversation,A1,3000
cook,A1,3000
cooking,A1,3000
cool,A1,3000
correct,A1,3000
cost,A1,3000
could,A1,3000
country,A1,3000
course,A1,3000
cousin,A1,3000
cow,A1,3000
cream,A1,3000
create,A1,3000
culture,A1,3000
cup,A1,3000
customer,A1,3000
cut,A1,3000
dad,A1,3000
dance,A1,3000
dancer,A1,3000
dancing,A1,3000
dangerous,A1,3000
dark,A1,3000
date,A1,3000
daughter,A1,3000
day,A1,3000
dear,A1,3000
december,A1,3000
decide,A1,3000
delicious,A1,3000
describe,A1,3000
description,A1,3000
design,A1,3000
desk,A1,3000
detail,A1,3000
dialogue,A1,3000
dictionary,A1,3000
die,A1,3000
diet,A1,3000
difference,A1,3000
different,A1,3000
difficult,A1,3000
dinner,A1,3000
dirty,A1,3000
discuss,A1,3000
dish,A1,3000
do,A1,3000
doctor,A1,3000
dog,A1,3000
dollar,A1,3000
door,A1,3000
down,A1,3000
downstairs,A1,3000
draw,A1,3000
dress,A1,3000
drink,A1,3000
drive,A1,3000
driver,A1,3000
during,A1,3000
dvd,A1,3000
each,A1,3000
ear,A1,3000
early,A1,3000
east,A1,3000
easy,A1,3000
eat,A1,3000
egg,A1,3000
eight,A1,3000
eighteen,A1,3000
eighty,A1,3000
elephant,A1,3000
eleven,A1,3000
else,A1,3000
email,A1,3000
end,A1,3000
enjoy,A1,3000
enough,A1,3000
euro,A1,3000
even,A1,3000
evening,A1,3000
event,A1,3000
ever,A1,3000
every,A1,3000
everybody,A1,3000
everyone,A1,3000
everything,A1,3000
exam,A1,3000
example,A1,3000
excited,A1,3000
exciting,A1,3000
exercise,A1,3000
expensive,A1,3000
explain,A1,3000
extra,A1,3000
eye,A1,3000
face,A1,3000
fact,A1,3000
fall,A1,3000
false,A1,3000
family,A1,3000
famous,A1,3000
fantastic,A1,3000
far,A1,3000
farm,A1,3000
farmer,A1,3000
fast,A1,3000
fat,A1,3000
father,A1,3000
favorite,A1,3000
february,A1,3000
feel,A1,3000
feeling,A1,3000
festival,A1,3000
few,A1,3000
fifteen,A1,3000
fifth,A1,3000
fifty,A1,3000
fill,A1,3000
final,A1,3000
find,A1,3000
fine,A1,3000
finish,A1,3000
fire,A1,3000
first,A1,3000
fish,A1,3000
five,A1,3000
flight,A1,3000
floor,A1,3000
flower,A1,3000
fly,A1,3000
follow,A1,3000
food,A1,3000
foot,A1,3000
football,A1,3000
for,A1,3000
forget,A1,3000
form,A1,3000
forty,A1,3000
four,A1,3000
fourteen,A1,3000
fourth,A1,3000
free,A1,3000
friday,A1,3000
friend,A1,3000
friendly,A1,3000
from,A1,3000
front,A1,3000
fruit,A1,3000
full,A1,3000
fun,A1,3000
funny,A1,3000
future,A1,3000
game,A1,3000
garden,A1,3000
geography,A1,3000
get,A1,3000
girl,A1,3000
girlfriend,A1,3000
give,A1,3000
glass,A1,3000
go,A1,3000
good,A1,3000
goodbye,A1,3000
grandfather,A1,3000
grandmother,A1,3000
grandparent,A1,3000
gray,A1,3000
great,A1,3000
green,A1,3000
group,A1,3000
grow,A1,3000
guess,A1,3000
guitar,A1,3000
gym,A1,3000
hair,A1,3000
half,A1,3000
hand,A1,3000
happen,A1,3000
happy,A1,3000
hard,A1,3000
hat,A1,3000
hate,A1,3000
have,A1,3000
he,A1,3000
head,A1,3000
health,A1,3000
healthy,A1,3000
hear,A1,3000
hello,A1,3000
help,A1,3000
her,A1,3000
here,A1,3000
hey,A1,3000
hi,A1,3000
high,A1,3000
him,A1,3000
his,A1,3000
history,A1,3000
hobby,A1,3000
home,A1,3000
homework,A1,3000
hope,A1,3000
horse,A1,3000
hospital,A1,3000
hot,A1,3000
hotel,A1,3000
hour,A1,3000
house,A1,3000
how,A1,3000
however,A1,3000
hundred,A1,3000
hungry,A1,3000
husband,A1,3000
i,A1,3000
ice,A1,3000
ice cream,A1,3000
idea,A1,3000
if,A1,3000
imagine,A1,3000
important,A1,3000
improve,A1,3000
in,A1,3000
include,A1,3000
information,A1,3000
interest,A1,3000
interested,A1,3000
interesting,A1,3000
internet,A1,3000
interview,A1,3000
into,A1,3000
introduce,A1,3000
island,A1,3000
it,A1,3000
its,A1,3000
jacket,A1,3000
january,A1,3000
jeans,A1,3000
job,A1,3000
join,A1,3000
juice,A1,3000
july,A1,3000
june,A1,3000
just,A1,3000
keep,A1,3000
key,A1,3000
kind,A1,3000
kitchen,A1,3000
know,A1,3000
land,A1,3000
language,A1,3000
large,A1,3000
last,A1,3000
late,A1,3000
later,A1,3000
laugh,A1,3000
learn,A1,3000
leave,A1,3000
left,A1,3000
leg,A1,3000
lesson,A1,3000
let,A1,3000
letter,A1,3000
library,A1,3000
lie,A1,3000
life,A1,3000
light,A1,3000
like,A1,3000
line,A1,3000
lion,A1,3000
list,A1,3000
listen,A1,3000
little,A1,3000
live,A1,3000
local,A1,3000
long,A1,3000
look,A1,3000
lose,A1,3000
lot,A1,3000
love,A1,3000
lunch,A1,3000
machine,A1,3000
magazine,A1,3000
main,A1,3000
make,A1,3000
mall,A1,3000
man,A1,3000
many,A1,3000
map,A1,3000
march,A1,3000
market,A1,3000
married,A1,3000
match,A1,3000
may,A1,3000
maybe,A1,3000
me,A1,3000
meal,A1,3000
mean,A1,3000
meaning,A1,3000
meat,A1,3000
meet,A1,3000
meeting,A1,3000
member,A1,3000
menu,A1,3000
message,A1,3000
meter,A1,3000
midnight,A1,3000
mile,A1,3000
milk,A1,3000
million,A1,3000
minute,A1,3000
miss,A1,3000
mistake,A1,3000
model,A1,3000
modern,A1,3000
mom,A1,3000
moment,A1,3000
monday,A1,3000
money,A1,3000
month,A1,3000
more,A1,3000
morning,A1,3000
most,A1,3000
mother,A1,3000
mountain,A1,3000
