title,title_kr,title_en,genre,age_rating,director,release_year,running_time,story,subs_path,img_path,type
About.Time,어바웃 타임,About Time,"드라마, 로맨스, 판타지, SF, 코미디, Made in Europe",15,Richard Curtis,2013,2시간 3분,"모태솔로 팀(돔놀 글리슨)은 성인이 된 날, 아버지(빌 나이)로부터 놀랄만한 가문의 비밀을 듣게 된다.  바로 시간을 되돌릴 수 있는 능력이 있다는 것!  그것이 비록 히틀러를 죽이거나 여신과 뜨거운 사랑을 할 수는 없지만,  여자친구는 만들어 줄 순 있으리..  꿈을 위해 런던으로 간 팀은 우연히 만난 사랑스러운 여인 메리에게 첫눈에 반하게 된다.  그녀의 사랑을 얻기 위해 자신의 특별한 능력을 마음껏 발휘하는 팀.  어설픈 대시, 어색한 웃음은 리와인드! 뜨거웠던 밤은 더욱 뜨겁게 리플레이!  꿈에 그리던 그녀와 매일매일 최고의 순간을 보낸다.  하지만 그와 그녀의 사랑이 완벽해질수록 팀을 둘러싼 주변 상황들은 미묘하게 엇갈리고,  예상치 못한 사건들이 여기저기 나타나기 시작하는데…  어떠한 순간을 다시 살게 된다면, 과연 완벽한 사랑을 이룰 수 있을까? ",https://netflixschool-script-csv.s3.amazonaws.com/About.Time_2013.csv,https://netflixschool-posters.s3.amazonaws.com/About.Time_2013.jpg,1
Arthur.Christmas,아더 크리스마스,Arthur Christmas,"드라마, 코미디, 가족, 판타지, 애니메이션",All,Sarah Smith,2011,1시간 37분,"광활한 북극, 거대한 빙산 아래 1,000년의 역사를 이어온 산타 왕국. 할아버지의 할아버지 때부터 이어져 내려온 산타의 임무는 바로 크리스마스 이브 단 하루 동안 전세계로 20억 개의 선물을 배달하는 것. 하지만 올 겨울, 실수로 한 아이의 선물이 배달되지 못하는 사고가 벌어지고, 산타 가족의 막내 ‘아더’가 이 사실을 알게 된다. ‘크리스마스 아침이 오기 전 마지막 선물을 배달하라!’ 는 미션아래, 눈과 사슴 알러지, 고소공포증까지 가진 ‘허당 산타’ 아더와 은퇴한 지 오래지만 여전히 팔팔한 ‘왕산타’ 할배, 그리고 160만 요정군단 중 최정예 ‘포장의 달인’ 브라이오니의 선물 배달 미션 임파서블이 시작 되는데… ",https://netflixschool-script-csv.s3.amazonaws.com/Arthur.Christmas_2011.csv,https://netflixschool-posters.s3.amazonaws.com/Arthur.Christmas_2011.jpg,1
Baby.Driver,베이비 드라이버,Baby Driver,"액션, 범죄, 드라마, 음악, 스릴러",15,Edgar Wright,2017,1시간 53분,"베이비(앤설 엘고트)는 탈출 전문 드라이버다. 은행 강도 등 범죄의 설계자인 박사(케빈 스페이스)에게 약점이 잡혀 일을 하고 있지만 손을 씻고 새로운 생활을 꿈꾼다. 어린 시절 교통사고를 당해 청력에 이상이 생긴 베이비는 이어폰을 끼고 음악을 들으며 안정을 유지한다. 어느 날 자주 가는 식당에서 종업원인 데보라(릴리 제임스)를 만나 마음을 나누는 베이비. 하지만 마지막인 줄 알았던 범죄는 그의 발목을 놓아주지 않고 배츠(제이미 폭스), 버디(존 햄), 달링(에이사 곤살레스)과 함께 최후의 한탕을 준비한다. ",https://netflixschool-script-csv.s3.amazonaws.com/Baby.Driver_2017.csv,https://netflixschool-posters.s3.amazonaws.com/Baby.Driver_2017.jpg,1
Bad.Boys,나쁜 녀석들,Bad Boys,"범죄, 스릴러, 액션, 코미디",18,Michael Bay,1995,1시간 58분,"멋쟁이 총각 마이크 라우리(윌 스미스)와 공처가이며 세 아이 아버지인 마커스 버넷(마틴 로렌스)은 마이애미의 마약수사반 경찰이다. 각각 바람둥이와 착실한 가장인 이들은 서로 대조적인 성격이지만 손발이 잘 맞는 파트너이다. 그러던 중 72시간 안에 경찰서 증거물 보관 창고에서 도둑 맞은 헤로인을 찾아오라는 마약반 반장의 명령을 받은 이들에게 전화 한 통이 걸려 온다. 전화를 건 여자가 원하는 사람은 라우리였지만 대신 버젯이 라우리인 척 전화를 받고 라우리 행세를 한다. 이 때부터 사건이 꼬이기 시작하는데, 경찰서 증거물 보관창고에서 헤로인이 사라진 사건 이후 섹시한 목격자가 나타나면서 사건의 꼬임은 더욱 심화된다. ",https://netflixschool-script-csv.s3.amazonaws.com/Bad.Boys_1995.csv,https://netflixschool-posters.s3.amazonaws.com/Bad.Boys_1995.jpg,1
Bee.Movie,꿀벌 대소동,Bee Movie,"애니메이션, 로맨스, 판타지, 코미디, 드라마, 가족",All,Simon J. Smith,2007,1시간 31분,"용감하지만 사고뭉치 꿀벌인 ‘배리’는 평생 꿀만 만들며 반복되는 삶을 살아야 한다는 꿀벌의 운명에 회의를 느끼고, 벌집 밖으로의 위험한 여정을 강행한다. 얼굴만큼 마음도 예쁜 꽃집 아가씨 ‘바네사’를 만나 위험천만 인간세상에서 구사일생으로 목숨을 건진 배리는 꿀벌 세계의 규율을 어기고 그녀와 대화를 시도, 친구가 된다.  꿀벌 세상과 친구들의 충고도 뒤로 한 채 바네사와 함께 그 동안 알지 못했던 바깥세상의 재미를 배워가던 배리의 즐거운 시간도 잠시, 우연히 꿀벌이 힘들게 만들어 놓은 꿀을 인간들이 공짜로 먹고 있다는 사실을 알게 되고, 바네사와 함께 그들만의 ‘꿀’을 되찾아 오기 위한 인간들과의 전쟁을 선포하게 되는데.. ",https://netflixschool-script-csv.s3.amazonaws.com/Bee.Movie_2007.csv,https://netflixschool-posters.s3.amazonaws.com/Bee.Movie_2007.jpg,1
Ben.Platt.Live.from.Radio.City.Music.Hall,벤 플랫: 라디오 시티 뮤직홀 라이브,Ben Platt: Live from Radio City Music Hall,"음악, 다큐멘터리",All,Alex Timbers,2020,1시간 25분,"풀 밴드의 라이브 연주, 위트 넘치는 멘트, 그리고 그의 감미로운 노래. 데뷔 앨범 《Sing to Me Instead》를 발표한 배우 벤 플랫이 음악과 함께 그의 인생을 들려준다. ",https://netflixschool-script-csv.s3.amazonaws.com/Ben.Platt.Live.from.Radio.City.Music.Hall_2020.csv,https://netflixschool-posters.s3.amazonaws.com/Ben.Platt.Live.from.Radio.City.Music.Hall_2020.jpg,1
Constantine,콘스탄틴,Constantine,"판타지, 공포, 액션",15,Francis Lawrence,2005,2시간 1분,"인간의 형상을 한 혼혈 천사와 혼혈 악마가 존재하는 세상. 태어날 때부터 그들을 구분하는 능력을 타고난 존 콘스탄틴은 자신의 능력을 저주하며 운명에서 벗어나기 위해 자살을 시도하지만 실패하고 만다. 그 후 다시 살아난 그는 천국과 지옥의 경계를 넘나들며 세상에 존재하는 악을 지옥으로 돌려보내기에 나선다. 그래야만 지옥으로 가게 되어 있는 자신의 운명이 뒤바뀌어 천국으로 들어갈 수 있음을 깨달았기 때문이다. 술, 담배에 쩔어 살면서 계속되는 전투에 지쳐만 가던 콘스탄틴. 그런 그에게 어느 날, LA 강력계 소속의 형사 안젤라가 찾아와 쌍둥이 동생의 죽음에 대한 의문을 풀기 위해 도움을 요청한다. 그러나 사건을 파헤칠수록 거대한 어둠의 힘 속으로 빨려 들게 되는데... ",https://netflixschool-script-csv.s3.amazonaws.com/Constantine_2005.csv,https://netflixschool-posters.s3.amazonaws.com/Constantine_2005.jpg,1
Dolittle,닥터 두리틀,Dolittle,"판타지, 코미디, 가족",All,Stephen Gaghan,2020,1시간 41분,"동물들과 소통하는 특별한 능력을 지닌 닥터 두리틀은 사랑하는 사람을 잃고 세상과 단절한 채 동물들과 친구가 되어 살아간다. 어느 날, 여왕에게 알 수 없는 불치병이 생기고 왕국마저 위험에 빠지게 되자, 그의 놀라운 능력만이 모든 것을 해결할 수 있음을 알게 된다. 세상을 구하기 위해서는 반드시 주어진 시간 안에 누구도 가보지 못했던 신비의 섬을 찾아내야만 하고, 두리틀은 친구들과 함께 위험천만한 모험을 떠나게 되는데… ",https://netflixschool-script-csv.s3.amazonaws.com/Dolittle_2020.csv,https://netflixschool-posters.s3.amazonaws.com/Dolittle_2020.jpg,1
Dracula.Untold,드라큘라: 전설의 시작,Dracula Untold,"판타지, 드라마, 공포, 전쟁, 액션",15,Gary Shore,2014,1시간 32분,"강인한 군주이자 아버지 그리고 위대한 영웅, 드라큘라 백작은 백성들을 평화로 다스리며 절대적인 신임을 받는다.  하지만 막강한 군대를 앞세운 투르크 제국의 술탄이 세상을 정복하기 위한 야욕을 드러내며 복종의 대가로  사내아이 1천 명을 요구하자, 분노한 드라큘라는 그들과의 전쟁을 선포한다.  압도적인 전력의 투르크 대군을 물리치기 위한 유일한 방법으로 그는 전설 속 악마를 찾아가  절대적인 힘을 얻고 자신을 담보로 한 위험한 계약을 하고 만다.  스스로 어둠의 존재가 되는 것을 선택한 그에게 주어진 시간은 단 3일.  피할 수 없는 악마의 저주로부터 벗어나 그는 세상을 구원할 영웅이 될 수 있을 것인가… ",https://netflixschool-script-csv.s3.amazonaws.com/Dracula.Untold_2014.csv,https://netflixschool-posters.s3.amazonaws.com/Dracula.Untold_2014.jpg,1
Enola.Holmes,에놀라 홈즈,Enola Holmes,"스릴러, 범죄, 액션, 드라마",12,Harry Bradbeer,2020,2시간 3분,"열여섯 생일을 맞은 셜록의 여동생, 에놀라 홈즈. 사라진 엄마를 찾아 런던으로 향한다. 명석한 두뇌의 대명사인 오빠까지 따돌리고, 위험에 빠진 귀족 청년의 미스터리와 엮이는데. 사건을 추적하며, 홈즈 가문답게 예리한 추리력이 폭발한다. 미스터리 가득한 이 모험, 무사히 마칠 수 있을까? ",https://netflixschool-script-csv.s3.amazonaws.com/Enola.Holmes_2020.csv,https://netflixschool-posters.s3.amazonaws.com/Enola.Holmes_2020.jpg,1
