start,end,script
00:00:53.166,00:00:55.000,Get in them cane.
00:00:55.750,00:00:57.083,Make it sing.
00:00:57.166,00:00:59.083,Take the cane out.
00:00:59.166,00:01:00.375,Cut my tops.
00:01:00.708,00:01:02.833,Clean the shucks off.
00:01:03.166,00:01:06.833,Throw it on a pile for the planting gang.
00:01:06.916,00:01:09.333,"Now, them cane ain't gonna jump up and bite you."
00:01:09.416,00:01:10.416,Don't shy back.
00:01:10.750,00:01:12.416,"Rush here, boys! Rush here!"
00:01:16.166,00:06:45.875,"My Lord My Lord Lord, Lord My ma She dead My pa He dead My Lord Sunshine My Lord Sunshine Is late In high In high In high My Lord Sunshine My Lord Lord, Lord My ma She dead My pa He dead My Lord Sunshine My Lord Yes, sir All right, all right, all right, all right."
00:06:47.416,00:06:48.666,Into bed.
00:06:49.083,00:06:50.833,Into bed. Thank you for the music.
00:06:50.916,00:06:52.125,-Come on. -Ouch.
00:06:52.208,00:06:53.916,Get in there. Come on.
00:06:55.666,00:06:56.750,Give me a kiss.
00:07:00.291,00:07:01.291,"I love you, Margaret."
00:07:02.208,00:07:03.208,"I love you, too."
00:07:04.083,00:07:05.416,Sleep well.
00:07:11.666,00:07:14.083,I don't want to hear any more noise.
00:07:25.208,00:07:27.791,Three weeks and two days.
00:07:27.875,00:07:30.041,It is the custom.
00:07:30.125,00:07:32.333,I wonder what you will do without me.
00:07:33.208,00:07:35.166,I won't stay idle.
00:07:36.750,00:07:38.916,"Darling, it's good money."
00:07:41.000,00:07:44.166,If only I didn't have to share your cooking with other people.
00:07:45.791,00:07:47.750,You don't.
00:07:53.000,00:07:55.666,"Be good for your mother. Okay, Alonzo?"
00:07:57.208,00:07:59.625,"Can I get a kiss, please? Thank you."
00:08:00.208,00:08:01.250,Travel safely.
00:08:01.333,00:08:02.875,Stay safely.
00:08:06.166,00:08:07.333,Ready?
00:08:24.791,00:08:26.083,Mr. Northup!
00:08:26.166,00:08:29.000,I have two gentlemen whose acquaintance you should make.
00:08:29.083,00:08:31.166,Misters Brown and Hamilton.
00:08:31.250,00:08:32.291,Sir.
00:08:32.666,00:08:42.208,"Mr. Northup, these two gentlemen… were inquiring about distinguished individuals… and I was just this very moment… saying Solomon Northup is an expert player on the violin."
00:08:42.291,00:08:43.666,He was indeed.
00:08:43.750,00:08:44.916,Mr. Moon is being overly gracious.
00:08:45.000,00:08:51.083,"Well, taking into consideration his graciousness and your modesty… may we trouble you for a moment of your time to converse, sir?"
00:08:51.166,00:08:52.416,Of course.
00:08:52.916,00:08:54.041,Good day.
00:08:54.291,00:08:55.791,A circus?
00:08:55.875,00:08:56.916,That is our usual employee.
00:08:57.000,00:08:58.416,The company currently in the city of Washington.
00:08:58.750,00:09:03.083,Circus is too constricting a word… to describe the talented and merry band with which we travel.
00:09:03.166,00:09:06.166,It is a spectacle unlike most have ever witnessed.
00:09:06.250,00:09:09.750,Creatures from the darkest Africa as yet unseen by civilized man.
00:09:10.041,00:09:14.333,Acrobats from the Orient… who contort themselves in the most confounding manners.
00:09:14.416,00:09:20.166,And I myself in aide of Mr. Brown… an internationally renowned practitioner in the art of prestidigitation.
00:09:20.250,00:09:25.416,We are on our way thither to rejoin the company having left for a short time… to make a small profit from our own exhibitions.
00:09:25.750,00:09:31.166,The reason for our inquiry with Mr. Moon-- Yes. We had just a devil of a time in procuring music for our entertainments.
00:09:31.250,00:09:33.333,Men of true talents are seemingly in short supply.
00:09:33.416,00:09:34.416,"Thank you, sir."
00:09:34.750,00:09:42.750,If we could persuade you to accompany us as far as Washington-- We could give you one dollar for each day's services… and three dollars for every night played at our performances.
00:09:42.833,00:09:47.833,"In addition, we would provide sufficient pay… for your return here to Saratoga, two weeks from today."
00:09:53.000,00:09:55.166,"Welcome to Washington, Solomon."
00:10:02.833,00:10:05.083,"Hamilton, you know too much."
00:10:05.166,00:10:06.750,Some say not enough.
00:10:07.125,00:10:10.666,"Solomon, 43 dollars. All to you."
00:10:11.750,00:10:13.750,That is far more than my wages amount to.
00:10:13.833,00:10:15.291,"It's been a most profitable week, sir."
00:10:15.666,00:10:16.875,-Cheers. -Cheers.
00:10:16.958,00:10:18.166,Cheers.
00:10:22.833,00:10:24.250,Another.
00:10:25.916,00:10:30.958,"Gentlemen, your generosity is extraordinary."
00:10:31.041,00:10:33.083,And your talents are undeniable.
00:10:33.166,00:10:34.250,Mmm. To Solomon.
00:10:34.333,00:10:35.666,Cheers.
00:10:35.750,00:10:36.916,Cheers.
00:11:17.375,00:11:18.208,Ugh!
00:11:20.708,00:11:22.250,"It's all right, Solomon."
00:11:22.333,00:11:23.666,There's no shame in it.
00:11:23.750,00:11:25.041,No shame at all.
00:11:47.041,00:11:47.916,"Hamilton, we must hurry."
00:11:49.916,00:11:51.083,One too many libation.
00:11:51.875,00:11:52.958,We're halfway there.
00:12:09.250,00:12:13.833,So sorry-- We won't hear it. We won't.
00:12:13.916,00:12:15.875,"Let him sleep, Hamilton."
00:12:15.958,00:12:18.416,Mmm. A good night's rest.
00:12:19.041,00:12:26.416,And tomorrow… tomorrow you will feel as well and refreshed as if the earth were new again.
00:12:26.750,00:12:29.291,"Hamilton, there's nothing more we can do for him."
00:12:31.166,00:12:32.416,Such is the pity.
00:12:42.083,00:12:44.958,"Well, boy, how do you feel now?"
00:12:47.250,00:12:51.166,My name-- My name is Solomon Northup.
00:12:51.250,00:12:54.750,"I'm a free man. A resident of Saratoga, New York."
00:12:54.833,00:12:57.333,The residence of my wife and children who are equally free.
00:12:57.666,00:12:59.375,And you have no right whatsoever to detain me.
00:12:59.708,00:13:01.083,You're not any free man.
00:13:01.166,00:13:07.083,And I promise you… I promise you upon my liberation I will have satisfaction for this wrong.
00:13:08.791,00:13:10.166,Resolve this.
00:13:10.708,00:13:12.166,Produce your papers.
00:13:20.083,00:13:21.916,You're no free man.
00:13:22.416,00:13:24.333,And you ain't from Saratoga.
00:13:24.958,00:13:26.916,You're from Georgia.
00:13:30.250,00:13:32.041,You ain't a free man.
00:13:33.875,00:13:38.041,You're nothing but a Georgia runaway.
00:13:40.083,00:13:47.125,You're just a runaway nigger… from Georgia.
00:14:18.333,00:14:20.083,You're a slave!
00:14:20.666,00:14:23.166,You're a Georgia slave!
00:14:40.041,00:14:41.750,Are you a slave?
00:14:42.958,00:14:44.125,No.
00:15:42.166,00:15:43.750,Help.
00:15:44.958,00:15:46.750,Help me.
00:15:48.083,00:15:49.875,Help me!
00:15:50.416,00:15:52.916,Somebody help me!
00:15:53.666,00:15:55.750,Help!
00:15:57.416,00:15:59.000,Help!
00:16:10.750,00:16:13.416,That old thing of yours is just rags and tatters.
00:16:13.750,00:16:16.083,You need something proper to wear.
00:16:19.125,00:16:21.416,"Go on, put it on."
00:16:40.916,00:16:42.166,There.
