start,end,script
01:10:21.317,01:10:25.454,Get those assholes in the chicken coop cleaned up.
01:10:26.322,01:10:27.957,If the guero's really U.S. Navy...
01:10:28.290,01:10:31.260,...you and I just might get 43 million dollars richer.
01:10:31.560,01:10:33.796,What about our friend from the CIA?
01:10:34.430,01:10:36.498,He can go fuck his mother.
01:10:36.732,01:10:37.967,"I like it, boss."
00:01:37.806,00:01:40.768,Hi.
00:01:40.768,00:01:42.978,How many?
00:01:42.978,00:01:44.521,Two.
00:02:12.257,00:02:15.928,"Listen, I wanted to get a safe-deposit box."
00:02:15.928,00:02:17.262,Can you do that for me?
00:02:24.895,00:02:27.397,Okay.
00:02:24.895,00:02:31.652,Your box will be available anytime from an hour after opening to 30 minutes before close.
00:02:31.652,00:02:32.903,Thank you.
00:02:32.903,00:02:37.866,"Also, if you open a checking account, we'll give you 5 percent off the box along with free overdraft protection."
00:02:37.866,00:02:40.577,Here I was hoping for a free toaster.
00:02:42.245,00:02:44.081,Why would a bank give out free toasters?
00:02:46.041,00:02:47.709,"Hello, Ma."
00:02:47.709,00:02:49.670,I'm ordering you the French toast.
00:02:49.670,00:02:52.589,"No, thank you."
00:02:49.670,00:02:53.966,Our patient waitress Maggie-- It says Maggie on her name tag.
00:02:53.966,00:02:55.550,--has asked me to order four times.
00:02:55.550,00:02:56.969,"If I don't order at this point, it's rude."
00:02:56.969,00:02:58.929,MAGGIE: I can come back.
00:02:58.929,00:03:01.389,You know what? I'm making an executive decision. Pancakes.
00:03:01.389,00:03:03.767,I don't like pancakes.
00:03:03.767,00:03:05.144,"What are you, a communist?"
00:03:05.144,00:03:07.104,Pancakes and a fried egg.
00:03:05.144,00:03:08.689,"I'm thinking hash, but only if it's like chunky style."
00:03:08.689,00:03:12.109,"Listen, if you order me eggs and pancakes, I'm gonna kick your behind."
00:03:12.109,00:03:13.652,STIG: But you gotta eat breakfast.
00:03:13.652,00:03:15.737,It's the most important meal of the day.
00:03:15.737,00:03:17.906,"Ma'am, ignore everything he said, okay?"
00:03:17.906,00:03:20.868,Don't bring me any eggs and pancakes.
00:03:20.868,00:03:24.163,Just bring me some coffee and bring him a couple eggs.
00:03:24.163,00:03:27.248,I don't want eggs. I want hash.
00:03:27.248,00:03:29.960,Give him some rye toast.
00:03:29.960,00:03:31.252,A pancake.
00:03:31.252,00:03:32.629,Maybe a little silver-dollar one.
00:03:32.629,00:03:34.173,You got the little baby ones?
00:03:34.173,00:03:36.299,"No pancakes, no silver dollars, no rye toast."
00:03:36.299,00:03:38.552,I like pumpernickel.
00:03:38.552,00:03:40.762,Pumpernickel toast.
00:03:40.762,00:03:42.806,MAGGIE: Yeah.
00:03:40.762,00:03:45.809,You take that with you till we see each other again in case you miss me.
00:03:47.352,00:03:49.312,Why you gotta do that?
00:03:49.312,00:03:51.148,Wink at the waitresses like that?
00:03:51.148,00:03:53.025,Waitresses like me.
00:03:53.025,00:03:54.401,So?
00:03:54.401,00:03:55.986,So.
00:03:55.986,00:03:58.446,So it is a sleepy bank.
00:03:58.446,00:04:00.407,Doable?
00:04:00.407,00:04:02.367,I told you.
00:04:05.913,00:04:08.082,STIG: That is a lot of doughnuts.
00:04:11.543,00:04:13.087,I'll be back with your hash.
00:04:13.087,00:04:15.214,"Maggie, your hot homemade doughnuts, they any good?"
00:04:15.214,00:04:17.216,Best in three counties.
00:04:17.216,00:04:20.301,Bring us three of those.
00:04:20.301,00:04:22.303,MAGGIE: All right.
00:04:24.056,00:04:25.557,"All right, time to make the move."
00:04:25.557,00:04:28.309,There's gonna be some sirens in this bitch.
00:04:28.309,00:04:29.811,I'm gonna go shake the weasel.
00:04:29.811,00:04:32.689,Shake the weasel.
00:04:32.689,00:04:34.900,"Good morning, sir. How are you?"
00:04:34.900,00:04:37.152,"Hey, Maggie."
00:04:37.152,00:04:38.486,I'm very sorry about my friend.
00:04:38.486,00:04:40.488,He was kicked in the head as a child.
00:04:40.488,00:04:42.741,He's really not that bad.
00:04:48.371,00:04:51.125,MAGGIE: What's going on?
00:04:51.125,00:04:53.501,"Okay, I'm just gonna have you all exit the building."
00:04:53.501,00:04:56.671,"It might be a false alarm, but just do it safely."
00:04:56.671,00:04:59.758,Thank you. Thank you.
00:04:59.758,00:05:01.969,Is everybody out? I'm gonna need you to step outside.
00:05:01.969,00:05:03.595,I'm gonna grab my friend.
00:05:03.595,00:05:05.346,We gotta pay our bill.
00:05:07.724,00:05:09.643,We should go.
00:05:09.643,00:05:12.771,Is that all you're gonna tip?
00:05:12.771,00:05:14.106,You gotta leave at least 30.
00:05:14.106,00:05:16.399,"No, you don't."
00:05:16.399,00:05:18.693,Maggie's about to be out of a job. Don't be cheap.
00:05:18.693,00:05:20.361,"Okay, there's 5. That's 7."
00:05:20.361,00:05:24.199,There you go. Come on.
00:05:24.199,00:05:25.617,What?
00:05:25.617,00:05:28.245,"Yes, I did."
00:05:28.245,00:05:30.247,How'd you say it?
00:05:28.245,00:05:32.415,Never rob a bank across from a diner with the best doughnuts?
00:05:32.415,00:05:33.959,BOBBY: That's correct.
00:06:04.489,00:06:07.408,Bobby.
00:06:07.408,00:06:09.203,Why don't you get something to eat?
00:06:09.203,00:06:10.453,Not hungry.
00:06:10.453,00:06:12.039,Sure you are.
00:06:12.039,00:06:15.625,We're here to do business.
00:06:15.625,00:06:18.212,"Well, I can be diplomatic."
00:06:18.212,00:06:19.921,JULIO: Bobby.
00:06:20.839,00:06:22.716,Wait here.
00:06:22.716,00:06:25.384,Somebody sitting here?
00:06:25.384,00:06:28.055,"Oh, well, you move your feet, you lose your seat, right?"
00:06:28.055,00:06:30.265,Lose your head too.
00:06:30.265,00:06:31.933,So where is Little Toro?
00:06:31.933,00:06:34.435,"Allí, where you put him."
00:06:48.950,00:06:50.369,Let's play some dominoes.
00:06:50.369,00:06:51.995,Papi's ready.
00:06:51.995,00:06:53.454,Yeah.
00:07:01.420,00:07:03.006,Papi Greco!
00:07:03.006,00:07:06.218,I-know-a-guy Bobby.
00:07:06.218,00:07:12.015,"PAPI: Quick: an ostrich, a tank of ether, a '63 Impala convertible."
00:07:12.015,00:07:13.267,Make it a '64.
00:07:13.267,00:07:14.976,My side of the border.
00:07:14.976,00:07:16.436,I know a guy.
00:07:18.146,00:07:24.444,"What did I tell you? He never says no, never says maybe, never says I'll see what I can do."
00:07:26.071,00:07:28.573,BOBBY: Nice bull.
00:07:28.573,00:07:30.992,I hope he's a good breeder.
00:07:30.992,00:07:32.827,That's a shame about Little Toro.
00:07:32.827,00:07:34.913,Julio caught him skimming.
00:07:34.913,00:07:36.248,Oh.
00:07:36.248,00:07:37.958,That don't sound like Little Toro.
00:07:37.958,00:07:40.168,Is that for me?
00:07:42.212,00:07:45.173,Everybody skims a little cream.
00:07:45.173,00:07:48.551,Just because it's human don't mean you let it go.
00:07:48.551,00:07:49.970,Mm.
00:07:55.142,00:07:57.185,Nice lines. Good color.
00:07:57.185,00:07:59.646,That's right.
00:08:02.983,00:08:04.359,What you got for me?
00:08:08.447,00:08:10.490,Cash.
00:08:10.490,00:08:11.992,Cash?
00:08:14.619,00:08:16.371,"Supposed to be giving me 100,000 to deal."
00:08:16.371,00:08:18.581,"Why didn't you give me a $100,000 worth of cocaine?"
00:08:19.833,00:08:21.668,Where's the cocaine?
00:08:21.668,00:08:23.170,My buyer wants cocaine.
00:08:23.170,00:08:25.130,So let him buy cocaine.
00:08:25.130,00:08:27.674,That's what he's trying to do.
00:08:27.674,00:08:30.093,"I told him I knew a guy, therefore I come to you."
00:08:30.093,00:08:32.012,You the guy I know.
00:08:34.181,00:08:36.683,So take back the passports.
00:08:36.683,00:08:39.811,"After Little Toro, we're not taking on any new customers."
00:08:39.811,00:08:42.356,"Well, no disrespect, but I ain't no new customer."
00:08:42.356,00:08:44.816,You been dealing with me for a long time.
00:08:44.816,00:08:46.276,You keep the passports.
00:08:47.861,00:08:49.279,Keep the money too.
00:08:49.279,00:08:53.700,"When you're ready to give me the product, you give me the product."
00:08:51.239,00:08:55.576,"Till then, you owe me."
00:09:11.092,00:09:12.844,"It's not very sporting, man."
00:09:12.844,00:09:15.138,At least give the chickens a chance to shoot back.
00:09:16.764,00:09:18.183,"Hey, I'm just saying."
00:09:18.183,00:09:24.356,"If I'm gonna kill a defenseless animal, I'm gonna honor its sacrifice by grilling it into some tasty barbecue."
00:09:21.769,00:09:26.900,I'm not gonna torture it to prove I can't hit anything further away than my pecker.
00:09:26.900,00:09:28.818,Your cuate's a real junkyard dog.
00:09:28.818,00:09:30.278,Mm.
00:09:30.278,00:09:32.947,Where'd you two find each other?
00:09:32.947,00:09:35.825,"I threw him a bone one night, he followed me home."
00:09:37.244,00:09:40.080,"Hey, cowboy."
00:09:40.080,00:09:43.250,"You ever hear the expression, You got a face only a mother can love?"
00:09:43.250,00:09:44.709,That don't apply to you.
00:09:44.709,00:09:46.794,You're uglier than the devil's asshole.
00:09:46.794,00:09:49.047,Stig!
00:09:49.047,00:09:50.298,What are you doing?
00:09:50.298,00:09:52.592,"They're torturing chickens, man."
00:09:52.592,00:09:54.010,What are you eating?
00:09:54.010,00:09:55.303,A chicken.
00:09:55.303,00:09:56.679,It's not the same thing.
00:09:56.679,00:09:59.182,See that bag over there by the table?
00:09:59.182,00:10:00.725,Buffet table next to the potato salad.
00:10:00.725,00:10:02.394,"Yeah, the bowling bag."
00:10:02.394,00:10:05.272,Little Toro's head is in that bag.
00:10:05.272,00:10:07.065,Bullshit.
00:10:07.065,00:10:09.817,You know what?
00:10:09.817,00:10:12.904,"Hey, whoa, whoa, whoa. Let's go."
00:10:15.907,00:10:17.284,"Say it in English, you goat fuck."
00:10:18.535,00:10:20.078,Suck my chicken.
00:10:20.078,00:10:22.456,"Ha-ha. That's funny, coming from you, fat boy."
00:10:22.456,00:10:24.665,You ain't seen your pecker since you were a baby.
00:10:24.665,00:10:29.379,"Just because you put your finger in your belly button and brown shit comes out, don't mean it's your asshole."
00:10:29.379,00:10:31.381,What did you say?
00:10:36.761,00:10:38.888,Now dig them up and make some damn barbecue.
00:10:43.935,00:10:45.853,"STIG: Bye, chica."
00:10:45.853,00:10:47.522,BOBBY: Did you just wink at him?
00:10:47.522,00:10:49.357,"I did wink at him, because he's my bitch now."
00:10:49.357,00:10:51.776,Uh-oh.
00:10:51.776,00:10:54.195,That's good shooting.
00:10:59.659,00:11:01.744,"You know, Little Toro never did nothing to nobody, man."
00:11:01.744,00:11:05.540,We should rip off Papi's stash at the Tres Cruces Savings &amp; Loan.
00:11:05.540,00:11:09.419,Papi's guy delivers a briefcase full of money to Tres Cruces every two weeks.
00:11:09.419,00:11:11.379,That's gotta add up to 3 million.
00:11:11.379,00:11:18.761,"If Papi knew we were even talking about ripping off Tres Cruces, it would be our heads in that bag next to the potato salad."
00:11:18.761,00:11:20.930,Our two heads would never fit in a bag that small.
00:11:24.559,00:11:26.311,"STIG: Come on, let's hit the bank."
00:11:26.311,00:11:28.271,Little Toro was your friend.
00:11:28.271,00:11:30.398,BOBBY: So?
00:11:30.398,00:11:32.066,What if it was me?
00:11:32.066,00:11:33.776,What if it was my head Papi ran through the saw mill?
00:11:33.776,00:11:35.236,You wouldn't come after him?
00:11:35.236,00:11:37.238,You wouldn't kill him?
00:11:37.238,00:11:39.366,"He did that to you, I'd kill him. Know why?"
00:11:39.366,00:11:40.825,You're my people and there's a code.
00:11:40.825,00:11:42.577,"There is no code, first of all."
00:11:42.577,00:11:45.038,"You do whatever you gotta do, whatever it takes."
00:11:45.038,00:11:47.332,And second?
00:11:47.332,00:11:50.293,"Right, we're not people because you don't have people."
00:11:50.293,00:11:51.836,That's correct.
00:11:54.464,00:11:56.257,Purpose for your visit to Mexico?
00:11:56.257,00:11:58.092,Quail hunting.
00:11:58.092,00:12:00.470,My aunt in Tuba City had a heart attack so we cut our trip short.
00:12:02.305,00:12:04.807,Tuba City?
00:12:04.807,00:12:06.142,Nice place?
00:12:06.142,00:12:08.395,"Hellhole, but she's my favorite aunt."
00:12:08.395,00:12:09.646,AGENT: Don't move.
00:12:09.646,00:12:11.772,AGENT: Let me see your hands.
00:12:14.192,00:12:16.110,Tell us about your trip.
00:12:16.110,00:12:18.029,What's the big deal?
00:12:18.029,00:12:20.365,"You were down in Sonora, weren't you?"
00:12:23.284,00:12:27.622,You don't think Agent Jessup and the DEA know about you and Papi Greco?
00:12:27.622,00:12:29.790,They know you were at his ranch.
00:12:29.790,00:12:32.210,AGENT: Tell Agent Rees about Papi Greco.
00:12:32.210,00:12:35.589,Who?
00:12:35.589,00:12:38.883,"Well, who's that? Some Mexican Santa Claus or something?"
00:12:38.883,00:12:40.801,"Come on, Mr. Stigman."
00:12:40.801,00:12:43.888,I think it's in your best interest to cooperate.
00:12:43.888,00:12:47.016,"You need to stop playing the stupid card, all right?"
00:12:47.016,00:12:49.352,It's my intent to cooperate with whatever you need.
00:12:49.352,00:12:51.438,I know you're just doing your job.
00:12:51.438,00:12:53.398,Innocent folks get caught up in the system.
00:12:53.398,00:12:55.734,"Airlines don't lose your luggage on purpose, right?"
00:12:55.734,00:12:57.736,But everybody takes it so damn personal.
00:12:57.736,00:13:00.614,"Come on, Mr. Stigman."
00:13:00.614,00:13:02.823,"Well, what did you have in mind?"
00:13:02.823,00:13:05.118,Do you wanna help yourself?
00:13:06.244,00:13:08.496,Do I have to do it in front of him?
00:13:09.997,00:13:12.417,"All right, we're done here."
00:13:12.417,00:13:14.043,You gonna leave?
00:13:16.254,00:13:17.756,My God.
00:13:17.756,00:13:20.341,"How do you concentrate working with her, man?"
00:13:31.728,00:13:34.188,Five border agents are ripping apart your car as we speak.
00:13:34.188,00:13:35.814,They ain't gonna find anything.
00:13:41.488,00:13:43.072,Where did you hide the cocaine?
00:13:43.072,00:13:45.283,Can they hear us?
00:13:45.283,00:13:46.825,Can they see us?
00:13:46.825,00:13:48.411,Okay.
00:13:49.412,00:13:51.623,There was no cocaine.
00:13:54.375,00:13:55.834,You had a deal in place.
00:13:55.834,00:13:58.630,Five hundred passports in return for cocaine.
00:13:58.630,00:13:59.964,Right.
00:13:59.964,00:14:02.759,"Hey, Bobby."
00:14:02.759,00:14:06.346,"Good. Man, your boy Stig's a piece of work."
00:14:06.346,00:14:08.598,"He winked at you, didn't he?"
00:14:09.683,00:14:10.849,How did you know?
00:14:10.849,00:14:13.144,Bobby didn't get the cocaine.
00:14:13.144,00:14:14.521,DEB: What? What happened?
00:14:14.521,00:14:17.816,Papi offered me cash.
