start,end,script
00:00:58.375,00:00:59.583,A PROPHECY.
00:00:59.625,00:01:03.083,SPARTA WILL FALL.
00:01:03.125,00:01:06.750,ALL OF GREECE WILL FALL.
00:01:11.959,00:01:16.834,AND PERSIAN FIRE WILL REDUCE ATHENS TO CINDER.
00:01:16.875,00:01:22.166,FOR ATHENS IS A PILE OF STONE AND WOOD AND CLOTH AND DUST.
00:01:22.208,00:01:25.792,"AND AS DUST, WILL VANISH INTO THE WIND."
00:01:25.834,00:01:29.208,ONLY THE ATHENIANS THEMSELVES EXIST.
00:01:29.250,00:01:32.917,AND THE FATE OF THE WORLD HANGS ON THEIR EVERY SYLLABLE.
00:01:37.583,00:01:40.458,ONLY THE ATHENIANS EXIST.
00:01:41.959,00:01:45.875,AND ONLY STOUT WOODEN SHIPS CAN SAVE THEM.
00:01:45.917,00:01:48.250,WOODEN SHIPS...
00:01:48.291,00:01:51.458,AND A TIDAL WAVE OF HEROES' BLOOD.
00:02:00.291,00:02:03.417,"LEONIDAS, MY HUSBAND..."
00:02:03.458,00:02:06.709,"LEONIDAS, YOUR KING..."
00:02:06.750,00:02:10.750,LEONIDAS AND THE BRAVE 300 ARE DEAD.
00:02:10.792,00:02:17.291,THE FREE MEN AND WOMEN OF GREECE ARE NOT BOUND BY A BEAUTIFUL SPARTAN DEATH.
00:02:17.333,00:02:19.125,WAR IS NOT THEIR LOVE.
00:02:19.166,00:02:22.000,YET HE LAY DOWN HIS LIFE FOR THEM.
00:02:22.041,00:02:24.375,FOR THE PROMISE GREECE HOLDS.
00:02:26.083,00:02:32.083,'TIS OUR ENEMIES WHO FORGED OUR FREEDOM IN THE FIRES OF WAR.
00:02:32.125,00:02:35.709,IT WAS KING DARIUS WHO CAME TO TAKE OUR LAND.
00:02:35.750,00:02:44.500,"TEN YEARS AGO, WHEN YOUTH STILL BURNED IN OUR EYES, BEFORE THIS BITTER WAR FORCED OUR CHILDREN TO BECOME MEN."
00:02:44.542,00:02:54.208,"TEN YEARS AGO, THIS WAR BEGAN AS ALL WARS BEGIN: WITH A GRIEVANCE."
00:02:56.542,00:02:59.375,MARATHON.
00:02:59.417,00:03:08.083,"THE PERSIAN KING, DARIUS, ANNOYED BY THE NOTION OF GREEK FREEDOM, HAS COME TO GREECE TO BRING US TO HEEL."
00:03:08.125,00:03:16.959,HE MAKES LANDFALL AT THE FIELD OF MARATHON WITH AN INVADING FORCE WHICH OUTNUMBERS THE GREEK DEFENDERS THREE TO ONE.
00:03:17.000,00:03:20.917,"AND SO AT DAWN, THE HOPELESS ATHENIANS DO THE UNTHINKABLE."
00:03:20.959,00:03:23.250,THEY ATTACK.
00:03:23.291,00:03:30.333,THEY ATTACK THE WEARY PERSIANS AS THEY DISEMBARK THEIR SHIPS ON SHAKY LEGS AFTER A MONTH AT SEA.
00:03:30.375,00:03:34.709,THEY ATTACK BEFORE THEY CAN ESTABLISH THEIR WAR CAMP AND SUPPLY THEIR SOLDIERS.
00:03:34.750,00:03:39.458,AND WHO IS THE ARCHITECT OF THIS MAD STRATEGY?
00:03:39.500,00:03:42.625,A LITTLE-KNOWN ATHENIAN SOLDIER.
00:03:42.667,00:03:46.750,HIS MEN CALL HIM THEMISTOKLES.
00:03:46.792,00:03:51.166,HE GIVES THE PERSIANS A TASTE OF ATHENIAN SHOCK COMBAT.
00:06:12.625,00:06:16.291,Queen Gorgo: ALL THOUGHTS OF GLORY ARE GONE.
00:06:16.333,00:06:17.667,THOUSANDS DEAD.
00:06:17.709,00:06:20.417,HUNDREDS OF THEM THEIR OWN.
00:06:22.709,00:06:25.709,ALL FOR AN IDEA: A FREE GREECE...
00:06:25.750,00:06:29.458,AN ATHENIAN EXPERIMENT CALLED DEMOCRACY.
00:06:32.542,00:06:35.375,COULD THIS IDEA BE WORTH IT?
00:06:35.417,00:06:38.583,WORTH ALL THIS SACRIFICE?
00:06:38.625,00:06:42.709,THEMISTOKLES WOULD LET THE GOOD KING DARIUS DECIDE.
00:06:45.875,00:06:50.250,Queen Gorgo: FOR THROUGH THE CHAOS A MOMENT APPEARED.
00:06:52.834,00:06:56.709,AND THEMISTOKLES WOULD SEIZE IT.
00:07:05.000,00:07:08.917,A MOMENT THAT WOULD RING ACROSS THE CENTURIES.
00:07:08.959,00:07:14.667,A MOMENT THAT WOULD RAISE HIM FROM SIMPLE SOLDIER TO THE HEIGHT OF ATHENIAN POLITICAL POWER.
00:07:19.458,00:07:23.166,A MOMENT THAT WOULD MAKE THEMISTOKLES A LEGEND.
00:07:41.625,00:07:48.917,"YET EVEN AS THE PRAISE AND GLORY WERE HEAPED UPON HIM, THEMISTOKLES KNEW IN HIS HEART HE HAD MADE A MISTAKE."
00:07:48.959,00:07:55.458,"IT WAS DARIUS'S SON, XERXES, WHOSE EYES HAD THE STINK OF DESTINY ABOUT THEM."
00:07:55.500,00:08:00.083,THEMISTOKLES KNEW HE SHOULD HAVE KILLED THAT BOY.
00:08:00.125,00:08:05.000,THAT GLORIOUS MISTAKE WOULD FOREVER HAUNT HIM.
00:08:10.458,00:08:21.250,AND SO IT WAS THEMISTOKLES HIMSELF WHO SENT A RIPPLE ACROSS THE PERSIAN EMPIRE AND SET INTO MOTION FORCES THAT WOULD BRING FIRE TO THE HEART OF GREECE.
00:08:21.291,00:08:31.041,"FOR AS THE GOOD KING LAY DYING, ALL HIS GREATEST GENERALS AND ADVISORS WERE SUMMONED TO HIS BEDSIDE."
00:08:31.083,00:08:36.375,"NONE GREATER THAN HIS FINEST NAVAL COMMANDER, ARTEMISIA."
00:08:36.417,00:08:39.208,HER FEROCITY BESTED ONLY BY HER BEAUTY.
00:08:39.250,00:08:42.917,HER BEAUTY MATCHED ONLY BY HER DEVOTION TO HER KING.
00:08:48.250,00:08:55.041,DARIUS FAVORED ARTEMISIA AMONG HIS GENERALS FOR SHE HAD BROUGHT HIM VICTORY ON THE BATTLEFIELD.
00:08:55.083,00:09:00.959,"IN HER, HE HAD THE PERFECT WARRIOR PROTéGéE THAT HIS SON XERXES WOULD NEVER BE."
00:09:05.250,00:09:09.250,"SO SWEET, MY CHILD."
00:09:09.291,00:09:12.166,MY SWEET...
00:09:12.208,00:09:14.041,CHILD.
00:09:21.875,00:09:24.083,FATHER.
00:09:24.125,00:09:26.500,XERXES.
00:09:26.542,00:09:31.542,DO NOT REPEAT YOUR FATHER'S MISTAKE.
00:09:31.583,00:09:35.375,LEAVE THE IGNOBLE GREEKS TO THEIR WAYS.
00:09:35.417,00:09:40.375,ONLY THE GODS CAN DEFEAT THEM.
00:09:40.417,00:09:43.792,ONLY...THE GODS.
00:09:54.208,00:09:57.792,"Queen Gorgo: FOR SEVEN DAYS, XERXES MOURNED..."
00:09:57.834,00:09:59.875,PARALYZED BY GRIEF.
00:09:59.917,00:10:05.333,"ON THE EIGHTH DAY, ARTEMISIA WHISPERED THE SEED OF MADNESS THAT WOULD CONSUME HIM."
00:10:05.375,00:10:09.542,YOUR FATHER'S WORDS WERE NOT A WARNING...
00:10:09.583,00:10:12.083,BUT A CHALLENGE.
00:10:12.125,00:10:16.542,ONLY THE GODS CAN DEFEAT THE GREEKS?
00:10:18.834,00:10:23.625,YOU WILL BE A GOD-KING.
00:10:26.625,00:10:32.542,"ARTEMISIA GATHERED THE PRIESTS, WIZARDS AND MYSTICS FROM EVERY CORNER OF THE EMPIRE."
00:10:32.583,00:10:37.959,THEY WRAPPED THE YOUNG KING IN CIMMERIAN GAUZE DIPPED IN ANCIENT POTIONS...
00:10:38.000,00:10:40.667,AND SET HIM TO WANDER THE DESERT...
00:10:40.709,00:10:46.458,"TILL IN A DELIRIUM OF HEAT AND THIRST, HE STUMBLED UPON A HERMITS' CAVE."
00:10:49.792,00:10:59.333,XERXES PASSED THE VACANT EYES AND EMPTY SOULS OF THE HOLLOW CREATURES THAT DWELL IN THE DARK CORNERS OF ALL MEN'S HEARTS.
00:11:01.250,00:11:10.417,"AND IN THAT DARKNESS, HE SURRENDERED HIMSELF COMPLETELY TO POWER SO EVIL AND PERVERSE..."
00:11:13.709,00:11:19.792,"...THAT, AS HE EMERGED, NO PART OF A HUMAN MAN THAT WAS XERXES SURVIVED."
00:11:27.417,00:11:31.542,HIS EYES BLAZED LIKE SCARLET COALS.
00:11:31.583,00:11:38.792,"HE WAS STRIPPED, CLEANSED, GLABROUS AND SMOOTH."
00:11:40.166,00:11:44.125,XERXES WAS REBORN A GOD.
00:11:47.875,00:11:50.959,ARTEMISIA TRUSTED NO ONE.
00:11:51.000,00:11:58.000,"SO, IN THE COVER OF NIGHT THE PALACE WAS CLEANSED OF ALL XERXES' ALLIES."
00:12:00.166,00:12:03.083,ALL THOSE HE TRUSTED.
00:12:06.250,00:12:10.041,ALL THOSE WHO HAD RAISED HIM.
00:12:13.792,00:12:21.458,ALL THOSE HE HAD ONCE LOOKED TO FOR COUNSEL WERE QUICKLY INTRODUCED TO HER WRATH.
00:12:46.583,00:12:54.917,"AND AS THE GOD-KING STOOD BEFORE HIS PEOPLE, ARTEMISIA WATCHED HER FLAWLESS MANIPULATION TAKE SHAPE."
00:12:54.959,00:12:57.917,Both: FOR GLORY'S SAKE...
00:12:57.959,00:13:01.041,FOR VENGEANCE'S SAKE...
00:13:01.083,00:13:04.250,WAR!
