start,end,script
00:00:50.300,00:00:52.553,How was Hawaii?
00:00:53.804,00:00:55.430,It was unbelievable.
00:00:55.430,00:00:57.892,"Oh, yeah?"
00:00:57.892,00:00:59.476,I met this guy.
00:00:59.476,00:01:02.187,It was the best week of my life.
00:01:02.187,00:01:05.148,It was just a little vacation romance.
00:01:05.148,00:01:07.275,But he was so sweet...
00:01:07.275,00:01:09.778,He took me to all these cool local places.
00:01:09.778,00:01:12.239,We went scuba diving...
00:01:12.239,00:01:14.825,Snorkeling...
00:01:19.038,00:01:21.999,"Well, we got a little drunk."
00:01:21.999,00:01:24.125,He gave me...
00:01:24.125,00:01:25.586,We slow-danced...
00:01:25.586,00:01:27.086,In the rain.
00:01:27.086,00:01:29.464,But it wasn't just about the sex.
00:01:34.053,00:01:36.013,"You know, it ended kind of weird, though."
00:01:36.013,00:01:38.515,"When I asked for his phone number, he told me..."
00:01:38.515,00:01:39.934,He's married...
00:01:39.934,00:01:41.309,Entering the priesthood...
00:01:41.309,00:01:42.770,He doesn't believe in phones.
00:01:42.770,00:01:44.145,He just kind of...
00:01:44.145,00:01:46.314,ran away.
00:01:46.314,00:01:49.026,"You know, it was just a little fling, but..."
00:01:49.026,00:01:50.736,I will never forget my week...
00:01:50.736,00:01:52.237,With Henry Roth.
00:01:52.237,00:01:53.488,Henry Roth.
00:01:53.488,00:01:55.074,Harry.
00:01:55.074,00:01:57.785,Harry Pairatesticles.
00:01:57.785,00:01:59.995,Henry Roth.
00:01:59.995,00:02:02.456,Henry Roth.
00:02:02.456,00:02:05.834,"Henry Roth, why didn't you tell me you were a secret agent?"
00:02:05.834,00:02:10.714,"I prefer intelligence operative, and I couldn't tell you until I thought I knew you."
00:02:10.714,00:02:12.800,"Well, can I call you when I land?"
00:02:12.800,00:02:14.718,"You can call me, but I'll be in Peru."
00:02:14.718,00:02:16.428,"Ooh, I said that a little loud."
00:02:16.428,00:02:18.138,"Come on, that's a 187."
00:02:18.138,00:02:20.724,Code blue. We got the wolf sleeping at night.
00:02:20.724,00:02:23.769,"He's slipping his right arm in the drawer, and out comes the cookie jar."
00:02:23.769,00:02:25.228,All clear.
00:02:25.228,00:02:27.314,"Bling-blang, walla-walla bing bang. Got it? Zzt."
00:02:27.314,00:02:30.567,"Well, maybe when you get back from Peru."
00:02:30.567,00:02:32.945,"I don't think that's an option, Lisa."
00:02:32.945,00:02:34.237,Linda.
00:02:34.237,00:02:35.572,I know.
00:02:35.572,00:02:37.866,I changed your name for your protection.
00:02:37.866,00:02:39.701,Oh.
00:02:39.701,00:02:41.787,We have to go our separate ways now.
00:02:41.787,00:02:43.038,Well...
00:02:43.038,00:02:44.623,goodbye.
00:02:44.623,00:02:45.958,Got it! Moving out!
00:02:49.628,00:02:50.879,Oh!
00:02:50.879,00:02:52.255,What the hell is your problem?
00:02:52.255,00:02:54.091,"Hey, just keep going."
00:02:54.091,00:02:55.425,You got it.
00:02:55.425,00:02:56.969,How's your balls?
00:02:56.969,00:02:59.387,Killing me.
00:03:13.568,00:03:15.154,"Easy, Honah Lee."
00:03:15.154,00:03:18.740,"Ah! Hey, I'm a person, not a seal, huh?"
00:03:18.740,00:03:23.662,"Well, I am a vet, not a doctor, so just hold still or I won't give you a treat."
00:03:23.662,00:03:25.080,Ow!
00:03:25.080,00:03:26.790,I know. It's okay.
00:03:26.790,00:03:29.168,You see what happens when you play with sharks?
00:03:29.168,00:03:32.171,"Ah! Now, why you got to spread those lies?"
00:03:32.171,00:03:33.881,Sharks are like dogs.
