start,end,script
00:01:26.670,00:02:22.726,"STAB YOUR BRAIN THESE STREETS 'CAUSE IT'S IT'LL BE YOUR VERY YOU'RE MAJOR, AND DON'T DESERVE FOR REAL MY WARM HEART REALLY, AND YO, HOLD ON A MINUTE."
00:02:38.993,00:02:41.787,WHAT THE FUCK?!
00:03:08.856,00:03:11.775,"YO, WHAT THE FUCK?"
00:03:11.775,00:03:14.862,"YO, WHAT THE FUCK, MAN?"
00:03:14.862,00:03:17.823,OPEN THE DOOR!
00:03:21.535,00:03:22.870,"WHAT THE FUCK, MAN?"
00:03:22.870,00:03:24.579,"WHO THE FUCK IS YOU, NIGGA?"
00:03:24.579,00:03:26.498,WHERE THE HELL YOU THINK YOU'RE GOING?
00:03:26.498,00:03:28.583,"GOING BACKSTAGE, I'M IN THE BATTLE."
00:03:28.583,00:03:30.418,"MAN, COME ON, DOG, I GOT A STAMP ON MY HAND."
00:03:30.418,00:03:32.129,YOU GOTTA GO AROUND FRONT.
00:03:32.129,00:03:34.173,I DIDN'T SEE NOTHING.
00:03:34.173,00:03:36.842,"MAN, YOU JUST FUCKING SEEN ME!"
00:03:36.842,00:03:38.760,"WHOA, WHAT'S UP?"
00:03:38.760,00:03:40.095,YOU BETTER SHUT THE FUCK UP.
00:03:40.095,00:03:41.722,"HE'S STRAIGHT, DOG, HE'S STRAIGHT."
00:03:41.722,00:03:43.891,HE WITH YOU?
00:03:43.891,00:03:46.101,"OKAY, COOL, FUTURE."
00:03:46.101,00:03:48.979,BUT I THINK YOUR BOY GOT AN ATTITUDE PROBLEM.
00:03:48.979,00:03:51.732,"COME ON, MAC, YOU A CRAZY MOTHERFUCKER, YOU KNOW?"
00:03:51.732,00:03:53.608,TRYING TO FIGHT BOUNCERS AND SHIT.
00:03:53.608,00:03:55.360,THE FUCKING GUY'S OBVIOUSLY GOT SOMETHING AGAINST ME.
00:03:55.360,00:03:56.904,"I GO TO THE BATHROOM, I COME RIGHT BACK AND..."
00:03:56.904,00:03:58.405,RISE ABOVE THAT BULLSHIT.
00:03:58.405,00:03:59.948,"HOLD ON, MAN."
00:03:59.948,00:04:02.450,"YOU FUCKING THREW UP ON YOURSELF, HUH?"
00:04:02.450,00:04:04.327,"COME HERE, MAN."
00:04:05.829,00:04:08.207,"HEY, MAN!"
00:04:08.207,00:04:09.708,WHERE YOU GOING?
00:04:09.708,00:04:11.334,HE HURLED ON HIS SHIRT.
00:04:11.334,00:04:12.753,LET ME SEE IT.
00:04:12.753,00:04:14.337,"YO, GET THE FUCK OFF ME, CHEDDAR."
00:04:14.337,00:04:15.881,OH.
00:04:15.881,00:04:17.549,"WHAT ARE YOU DOING, MAN?"
00:04:18.884,00:04:20.761,"COME ON, IT'S DEAL TIME, RABBIT."
00:04:20.761,00:04:24.014,I COULD GET ON THE MAP AFTER YOU WHUP SOME ASS TONIGHT.
00:04:24.014,00:04:26.934,ME AND JANEANE JUST BROKE UP.
00:04:26.934,00:04:29.352,"WHAT, AGAIN?"
00:04:29.352,00:04:31.312,"OH, COME ON, RABBIT."
00:04:31.312,00:04:33.065,"YO, SHE SAYS SHE'S PREGNANT."
00:04:35.150,00:04:38.737,SHE'S GONNA NEED THE CAR IF SHE'S PREGNANT.
00:04:38.737,00:04:40.739,I'M GONNA NEED A PLACE TO CRASH.
00:04:40.739,00:04:43.200,YOU GONNA STAY AT YOUR MOM'S?
00:04:45.619,00:04:47.287,COME ON.
00:04:47.287,00:04:49.831,"YO, CAN I GET SOME FUCKING PRIVACY HERE, MAN?"
00:04:49.831,00:04:51.541,"ALL RIGHT, COME ON, MAN, COME ON."
00:04:51.541,00:04:54.628,WHAT?
00:04:54.628,00:04:59.216,"SO, LOOK, SOMETHING'S GONNA HAPPEN WITH THIS SHIT, IT NEEDS TO HAPPEN NOW."
00:04:59.216,00:05:00.717,"HEY, MAN, I FEEL YOU."
00:05:00.717,00:05:01.927,I KNOW EXACTLY WHAT YOU'RE TALKING ABOUT.
00:05:01.927,00:05:03.428,YEAH.
00:05:03.428,00:05:05.388,"ALL RIGHT, COME ON, MAN."
00:05:05.388,00:05:07.348,FEEL GOOD.
00:05:07.348,00:05:08.433,YEAH.
00:05:08.433,00:05:10.102,YOU SURE?
00:05:10.102,00:05:12.938,"READY, BABY."
00:05:12.938,00:05:15.816,ALL RIGHT?
00:05:15.816,00:05:17.151,"IT'S ALL YOU, BABY!"
00:05:17.151,00:05:19.194,YOU HEARD?
00:05:19.194,00:05:21.863,YOUR LYRICS ARE SHIT LIKE WHEN I COP A SQUAT.
00:05:21.863,00:05:24.449,WHO TOLD YOU YOU COULD FUCK WITH THE MIGHTY PAPA DOC?
00:05:24.449,00:05:27.077,"FOR STEPPING ON THE STAGE, I SHOULD ROCK YOUR KNOT."
00:05:27.077,00:05:29.496,"DON'T GET TOO CLOSE, OR YOU MIGHT GET SHOT."
00:05:29.496,00:05:31.790,YOU NEED TO CALL YOUR MOMMA AND TELL HER COME GET YOU.
00:05:31.790,00:05:34.793,"AND IF SHE KNEW HIM, SHE COULD BRING YOUR MIDGET POPS WITH HER."
00:05:34.793,00:05:37.504,"I PUT A HOLD IN YOUR HEAD, LIKE A 12-GUAGE."
00:05:37.504,00:05:40.090,"LOOKING LIKE KRIS KROSS, JIGGITY JUMP YOUR ASS OFF STAGE."
00:05:40.090,00:05:43.342,"'CAUSE I'M A GROWN MAN, SON, I SLAUGHTER YOU."
00:05:43.342,00:05:45.720,MAKE YOUR MOM WISH THAT HER FAT ASS ABORTED YOU.
00:05:45.720,00:05:47.848,"WHOA, WHOA, WHOA!"
00:05:47.848,00:05:50.309,LOT OF HOSTILITY AT THE END OF THE 45 SECONDS.
00:05:50.309,00:05:52.686,"LET ME GET THAT MIC FROM YOU, BROTHER."
00:05:52.686,00:05:54.771,"LET EVERYBODY SEE FUTURE, KNOW WHAT I MEAN?"
00:05:54.771,00:05:57.941,"ALL RIGHT, HOW YOU ALL FEELIN' ABOUT SHORTY MIKE RIGHT HERE?"
00:05:59.609,00:06:02.112,JUST ALL RIGHT FOR SHORTY MIKE?
00:06:02.112,00:06:04.281,"ALL RIGHT, WHAT YOU ALL THINK ABOUT PAPA DOC?"
00:06:08.202,00:06:11.079,"ALL RIGHT, PAPA, YOU GO TO THE NEXT ROUND."
00:06:11.079,00:06:12.497,"FREE WORLD, BABY."
00:06:12.497,00:06:13.957,"ALL RIGHT, NEXT UP, NEXT UP."
00:06:13.957,00:06:18.170,"MY MAN BUNNY RABBIT, AND LI'L TIC."
00:06:18.170,00:06:21.006,"COME ON, NOW, BRING YOUR ASSES TO THE STAGE."
00:06:21.006,00:06:22.674,WE AIN'T GOT ALL DAY.
00:06:25.219,00:06:28.638,"ALL RIGHT, ALL RIGHT, ENOUGH OF THE FANFARE, CALL IT."
00:06:28.638,00:06:30.349,HEADS OR TAILS.
00:06:32.934,00:06:35.229,TAILS.
00:06:35.229,00:06:37.522,YOU FIRST.
00:06:37.522,00:06:40.192,"ALL RIGHT, LI'L TIC, SET IT OFF."
00:06:40.192,00:06:41.651,SPIN THAT SHIT!
00:06:43.320,00:06:45.030,I'M A'MURDER THIS MAN.
00:06:47.241,00:06:52.537,"HE THE TYPE TO LOSE A FIGHT WITH A DYKE THEY DON'T LAUGH 'CAUSE YOU WACK, THEY LAUGH 'CAUSE YOU WHITE WITH A MIC."
00:06:52.537,00:06:54.956,"YOU'RE A LAUGHINGSTOCK, AND WHEN WOULD THIS LAUGHING STOP?"
00:06:54.956,00:06:58.001,"WHEN YOU WENT EVERLAST, BITCH ASS GET POPPED."
00:06:58.001,00:07:00.379,YOU A WIGGA THAT INVENTED RHYME FOR MONEY.
00:07:00.379,00:07:03.173,WATCH LI'L TIC'S SPIT KICK THE ENERGIZER BUNNY.
00:07:03.173,00:07:05.759,"RIP THE RABBIT'S HEAD OFF, TOSS IT TO HUGH HEFNER."
00:07:05.759,00:07:08.345,"'CAUSE I DON'T PLAY, BOY, NOW TELL ME WHO FRESHER?"
00:07:08.345,00:07:10.305,YOU ARE!
00:07:08.345,00:07:11.765,"L.T. THAT'S RIGHT, COCK THE HEAT AND SHOOT YA."
