start,end,script
00:01:12.625,00:01:17.625,"Then he said, Someday, when you're ready, you might tell our family story."
00:01:18.791,00:01:22.833,Only then will you understand what happened and why.
00:01:40.375,00:01:44.666,"In our family, there was no clear line between religion and fly-fishing."
00:01:53.208,00:02:02.375,"We lived at the junction of great trout rivers, in Missoula, Montana, where Indians still appeared out of the wilderness to walk the honky-tonks and brothels of Front Street."
00:03:39.791,00:03:43.875,My father was a Presbyterian minister and a fly-fisherman.
00:03:49.791,00:03:55.958,"was given over wholly to religion, even then he told us about Christ's disciples being fishermen."
00:03:56.541,00:04:08.666,"And we were left to assume, as my younger brother, Paul, and I did, that all first-class fishermen on the Sea of Galilee were fly-fishermen and that John, the favorite, was a dry fly-fisherman."
00:04:09.166,00:04:13.208,The poor without Christ are of all men the most miserable.
00:04:15.083,00:04:20.333,But the poor with Christ are princes and kings of the earth.
00:04:24.208,00:04:25.916,while he unwound between services.
00:04:27.083,00:04:32.458,"He almost always chose a path along the Big Blackfoot, which we considered our family river."
00:04:33.083,00:04:37.708,And it was there he felt his soul restored and his imagination stirred.
00:04:39.166,00:04:42.333,"Long ago, rain fell on mud and became rock."
00:04:42.416,00:04:44.500,Half a billion years ago.
00:04:46.625,00:04:53.416,"But even before that, beneath the rocks, are the words of God."
00:04:54.041,00:04:55.375,Listen.
00:05:06.625,00:05:08.291,we might hear those words.
00:05:14.291,00:05:21.166,"Even so, Paul and I probably received as many hours of instruction in fly-fishing as we did in all other spiritual matters."
00:05:23.541,00:05:33.791,"As a Presbyterian, my father believed that man by nature was a damned mess and that only by picking up God's rhythms were we able to regain power and beauty."
00:05:34.333,00:05:35.666,Ten and two.
00:05:35.750,00:05:45.291,"To him, all good things, trout as well as eternal salvation, come by grace, and grace comes by art, and art does not come easy."
00:05:45.375,00:05:46.208,Norman.
00:06:01.375,00:06:03.666,He began each session with the same instruction.
00:06:04.458,00:06:09.541,Casting is an art that is performed on a four-count rhythm between ten o'clock and two o'clock.
00:06:14.125,00:06:19.875,"If he had had his way, nobody who did not know how to catch a fish would be allowed to disgrace a fish by catching it."
00:06:28.291,00:06:31.041,"So it was with my formal education, as well."
00:06:32.333,00:06:38.250,"Each weekday, while my father worked on his Sunday sermon, I attended the school of the Reverend Maclean."
00:06:40.666,00:06:47.250,"He taught nothing but reading and writing and, being a Scot, believed that the art of writing lay in thrift."
00:06:59.083,00:07:00.000,Half as long.
00:07:10.375,00:07:13.250,I stayed home and learned to write the American language.
00:07:24.916,00:07:27.291,Again. Half as long.
00:07:55.958,00:07:58.125,Good. Now throw it away.
00:08:17.375,00:08:18.750,Wait for your brother!
00:08:31.500,00:08:39.458,"Every afternoon, I was set free, untutored and untouched till supper, to learn on my own the natural side of God's order."
00:08:49.833,00:08:53.250,And there could be no better place to learn than the Montana of my youth.
00:08:56.250,00:09:04.125,"It was a world with dew still on it, more touched by wonder and possibility than any I have since known."
00:09:43.000,00:09:45.666,"Hey, what the hell is going on?"
00:09:46.250,00:09:47.708,"Hey, where are you guys going?"
00:09:47.791,00:09:48.708,Chicken!
00:09:57.916,00:09:59.375,"Come on, move out of the way."
00:10:30.791,00:10:33.958,"Even as children, we understood that and admired it."
00:10:38.291,00:10:40.083,"And, of course, we had to test it."
00:10:42.083,00:10:44.916,"I knew I was tough, because I had been bloodied in battle."
00:10:45.000,00:10:47.500,"-Get him, get him! -Give him a shiner!"
00:10:47.583,00:10:49.583,Don't be a sissy!
00:10:49.666,00:10:50.916,Come on!
00:10:51.875,00:10:54.083,"Yeah, come on! Let's see some blood here!"
00:10:54.166,00:10:56.208,-Go on! -Lots of blood.
00:10:59.458,00:11:02.708,His toughness came from some secret place inside of him.
00:11:02.791,00:11:05.541,He simply knew he was tougher than anyone alive.
00:11:24.500,00:11:29.000,"Man has been eating God's oats for 1,000 years."
00:11:29.083,00:11:32.333,It's not the place of an 8-year-old boy to change that tradition.
00:12:36.208,00:12:37.333,Grace.
00:12:46.833,00:13:01.750,"Oh, God, who art rich in forgiveness, grant that we may hold fast the good things we receive from thee and as often as we've fallen to sin be lifted by repentance through thy grace. Amen."
00:13:09.000,00:13:10.208,"Minister, I guess."
00:13:12.625,00:13:14.583,Or a professional boxer.
00:13:15.125,00:13:17.333,You think you could beat Jack Johnson?
00:13:18.541,00:13:19.458,I don't know.
00:13:20.750,00:13:22.541,I think you could.
00:13:22.625,00:13:24.500,I'd lay a bet on it.
00:13:25.750,00:13:27.083,What are you going to be?
00:13:28.125,00:13:29.708,Professional fly-fisherman.
