start,end,script
00:01:25.250,00:01:26.583,WEYLAND: What do you see?
00:01:27.916,00:01:30.083,ANDROID: White... Room...
00:01:31.875,00:01:32.875,Chair...
00:01:34.208,00:01:36.041,Carlo Bugatti throne chair...
00:01:36.916,00:01:38.291,Piano...
00:01:38.958,00:01:40.791,"Steinway, concert grand."
00:01:42.583,00:01:43.583,Art...
00:01:44.916,00:01:48.916,The Nativity by Piero della Francesca.
00:01:50.708,00:01:52.416,I am your father.
00:01:56.083,00:01:57.250,Ambulate.
00:02:02.750,00:02:03.833,Perfect.
00:02:07.666,00:02:09.000,Am I?
00:02:09.166,00:02:10.166,Perfect?
00:02:11.250,00:02:12.416,Your son?
00:02:13.333,00:02:15.083,WEYLAND: You are my creation.
00:02:18.000,00:02:19.416,What is your name?
00:02:31.250,00:02:32.458,David.
00:02:33.333,00:02:34.500,WEYLAND: Why don't you play something?
00:02:47.000,00:02:49.416,What would you like me to play?
00:02:49.583,00:02:50.666,Wagner.
00:02:51.500,00:02:52.583,Selection?
00:02:53.750,00:02:54.958,Dealer's choice.
00:03:12.583,00:03:15.083,The Entry of the Gods into Valhalla...
00:03:16.666,00:03:18.833,A little anemic without the orchestra.
00:03:27.625,00:03:30.208,"May I ask you a question, Father?"
00:03:31.958,00:03:33.041,Please.
00:03:33.750,00:03:35.375,If you created me...
00:03:36.750,00:03:38.250,who created you?
00:03:38.791,00:03:39.791,Ah.
00:03:41.625,00:03:43.750,The question of the ages...
00:03:44.958,00:03:47.750,which I hope you and I will answer one day.
00:03:48.416,00:03:49.541,All this.
00:03:50.500,00:03:52.333,All these wonders of art...
00:03:52.916,00:03:55.416,"design, human ingenuity..."
00:03:56.666,00:04:00.750,all utterly meaningless in the face of the only question that matters.
00:04:03.166,00:04:05.000,Where do we come from?
00:04:07.916,00:04:09.500,I refuse to believe...
00:04:09.583,00:04:13.833,that mankind is a random byproduct of molecular circumstance...
00:04:15.666,00:04:20.000,no more than the result of mere biological chance.
00:04:20.166,00:04:21.416,No.
00:04:21.583,00:04:23.875,There must be more.
00:04:24.041,00:04:26.166,"And you and I, son..."
00:04:27.041,00:04:28.500,we will find it.
00:04:30.916,00:04:33.750,"Allow me, then, a moment to consider."
00:04:34.875,00:04:38.583,You seek your creator.
00:04:40.208,00:04:43.208,I will serve you.
00:04:44.750,00:04:47.708,You will die.
00:04:54.958,00:04:56.625,"Bring me this tea, David."
00:04:59.125,00:05:00.416,Bring me the tea.
00:06:32.625,00:06:36.000,"MOTHER: Walter, it's time to recharge the energy grid."
00:06:36.208,00:06:38.000,Please report to the bridge.
00:06:38.166,00:06:39.666,"WALTER: On my way, Mother."
00:06:45.416,00:06:47.583,Deploying energy recharge sails now.
00:07:14.750,00:07:18.416,MOTHER: Sails deployed.
00:07:37.250,00:07:39.583,MOTHER: Seven bells and all's well.
00:07:45.875,00:07:48.416,Crew checks complete.
00:07:51.333,00:07:55.541,Use security code 31564-F.
00:08:33.625,00:08:36.625,"MOTHER: Walter, we have a problem."
00:08:36.791,00:08:40.416,A neutrino burst was detected in Sector 106.
00:08:40.833,00:08:43.791,This could trigger a destructive event.
00:08:43.958,00:08:46.250,"Report to the bridge, immediately."
00:08:46.416,00:08:48.500,"On my way, Mother."
00:08:53.916,00:08:55.916,MOTHER: Warning.
00:08:56.083,00:08:58.625,"Mother, retract the energy sails."
00:08:58.791,00:08:59.791,And channel all...
00:08:59.916,00:09:01.416,...reserve power.
00:09:05.416,00:09:06.416,MOTHER: Emergency.
00:09:07.083,00:09:09.125,Threat level critical.
00:09:09.583,00:09:11.791,Initiate emergency crew revival.
00:09:15.000,00:09:16.041,MOTHER: Attention.
00:09:16.208,00:09:21.250,"Non-essential personnel, evacuate the cryo-chamber immediately."
00:09:21.833,00:09:23.458,ORAM: Daniels!
00:09:23.625,00:09:25.750,"I need you to get up, okay?"
00:09:25.916,00:09:27.583,Override the SSP...
00:09:27.750,00:09:29.000,and breach the chamber now.
00:09:29.166,00:09:30.833,MOTHER: Warning.
00:09:31.000,00:09:32.041,It's okay.
00:09:32.916,00:09:35.041,Hey. Come on up.
00:09:50.000,00:09:51.583,LOPE: Captain!
00:09:51.708,00:09:54.041,Jacob! Wake up!
00:09:54.208,00:09:55.208,ORAM: Let them work.
00:09:55.375,00:09:56.708,DANIELS: Jake!
00:09:56.875,00:09:58.583,"Daniels, come on!"
00:09:58.750,00:09:59.958,Let them work.
00:10:00.125,00:10:01.166,Let them work!
00:10:04.000,00:10:05.208,DANIELS: Get it open!
00:10:13.208,00:10:14.750,No!
00:10:14.875,00:10:16.541,TENNESSEE: Get her out of there!
00:10:19.583,00:10:20.708,LOPE: Stay back!
00:12:14.291,00:12:17.375,Hey! Where are you?
00:12:18.375,00:12:20.041,Would you take a look at this?
00:12:20.208,00:12:21.416,"I know, I know."
00:12:21.541,00:12:22.958,I said I wouldn't go without you...
00:12:24.750,00:12:25.875,You all right?
00:12:27.208,00:12:28.625,JACOB: Look at this!
00:12:29.375,00:12:30.750,Now get your ass up here.
00:12:30.916,00:12:33.416,I can't make any promises.
00:12:33.583,00:12:35.000,I love you.
00:12:45.083,00:12:47.208,ORAM: Hmm? Mmm.
00:12:48.500,00:12:50.250,They're your crew now.
00:12:50.416,00:12:51.583,They need a leader.
00:12:54.250,00:12:55.541,"You believe in me, right?"
00:13:19.375,00:13:21.041,"Sorry I'm late, sir."
00:13:21.208,00:13:22.416,"No, it's okay."
00:13:26.625,00:13:30.125,I can't think of any other way to say it than to say it.
00:13:31.291,00:13:35.375,a monumental tragedy.
00:13:36.083,00:13:39.250,And I'm gonna do the best that I can to...
00:13:39.416,00:13:44.250,live up to Jacob's fine example as your captain.
00:13:44.750,00:13:48.250,But he will be sorely missed.
00:13:49.458,00:13:51.958,"And I'm grateful in advance for, uh, your support."
00:13:52.125,00:13:55.291,"So, we lost 47 colonists..."
00:13:55.458,00:13:59.250,"and 16, uh, second-generation embryos..."
00:14:00.416,00:14:02.291,"and obviously, one crew member."
00:14:02.458,00:14:07.166,The current structural integrity of the ship is holding at 83%...
00:14:07.333,00:14:11.625,but we have many secondary systems that are offline.
00:14:11.791,00:14:13.291,"So, what was it?"
