start,end,script
00:01:58.750,00:01:59.833,Violet Markey?
00:02:02.375,00:02:03.458,"Oh, my God."
00:02:10.583,00:02:11.583,Please go.
00:02:13.083,00:02:15.250,"-Well, I don't think that's very-- -Just go!"
00:02:33.041,00:02:34.166,I asked you first.
00:02:38.125,00:02:39.666,This is higher than I thought.
00:02:44.666,00:02:45.500,Hey.
00:02:46.708,00:02:47.708,"Hey, look."
00:02:48.625,00:02:49.791,Look what I can do.
00:02:51.791,00:02:53.541,Stop. Stop!
00:03:05.166,00:03:06.166,"Hey, Violet."
00:04:04.750,00:04:07.875,Hey. Do you have plans this weekend? My parents are gonna be out of town.
00:04:07.958,00:04:10.375,I was thinking about having a party or something.
00:04:16.541,00:04:17.416,Violet?
00:04:18.791,00:04:19.625,You OK?
00:04:26.208,00:04:27.916,Everything is a really big word.
00:04:31.458,00:04:34.166,Emotionally? Those both could encompass everything.
00:04:34.250,00:04:36.083,Or is everything encompassed by both things?
00:04:36.166,00:04:37.916,Are you feeling overwhelmed by anything?
00:04:38.000,00:04:42.125,"If everything is encompassed by both things, are they a part of our reality, or are they somewhere else?"
00:04:42.208,00:04:43.666,"This isn't funny, Theodore."
00:04:45.416,00:04:46.250,Finch.
00:04:47.625,00:04:49.791,I need you to take these meetings seriously.
00:04:49.875,00:04:50.875,I get it.
00:04:51.583,00:04:56.541,"OK, do you get that you're on probation, and in danger of not graduating?"
00:04:58.750,00:05:01.333,You've already missed two weeks of school this year.
00:05:01.958,00:05:03.000,"Yeah, um..."
00:05:04.416,00:05:06.125,-my grandma-- -Stop one second.
00:05:06.208,00:05:07.916,I just wanna clarify real quickly.
00:05:08.000,00:05:11.125,Is this the grandma who's died four times over the past three years?
00:05:12.000,00:05:13.333,"Five times, actually."
00:05:14.083,00:05:15.166,This is the fifth.
00:05:18.625,00:05:19.875,She's our miracle.
00:05:21.750,00:05:25.000,"I really wanna help you, but you've gotta take this seriously."
00:05:26.291,00:05:33.375,"I mean, you agreed to these terms, these weekly counseling sessions, maintaining a B-average, extracurricular participation."
00:05:33.458,00:05:35.500,And I am loving pottery.
00:05:36.125,00:05:37.125,"Come on, man."
00:05:37.583,00:05:38.708,"Look, I get it."
00:05:38.791,00:05:40.916,"If I screw anything up, I'm out."
00:05:41.666,00:05:43.541,"We're not askin' a lot of you, Finch."
00:05:45.083,00:05:46.375,You just need to show up.
00:05:50.541,00:05:52.125,"but it's not like that matters, anyway."
00:05:52.208,00:05:54.125,"I mean, I know I'm gonna get in."
00:05:56.333,00:05:57.916,Did you apply anywhere yet?
00:05:59.208,00:06:01.083,-Hey. -Hi.
00:06:01.625,00:06:03.875,"So, you going to Amanda's party?"
00:06:07.125,00:06:08.208,So I've heard.
00:06:08.625,00:06:10.625,"It couldn't hurt to have a little fun, right?"
00:06:11.208,00:06:15.125,"Yo, do you think it'd be weird if I named my kid after a famous person?"
00:06:15.208,00:06:21.416,"Like, if I named him Danny DeVito Donahue, do you... do you think he'd be mad about it?"
00:06:22.375,00:06:23.875,Is DeVito the middle name?
00:06:24.458,00:06:25.333,Yeah.
00:06:25.875,00:06:27.875,Follow-up question: how high are you right now?
00:06:29.500,00:06:33.250,"On the scale, I'd probably say very... this way."
00:06:37.083,00:06:38.458,What are you looking at?
00:06:39.000,00:06:42.250,Just admiring the social norms of teenage angst.
00:06:42.833,00:06:45.041,-Are you looking at Violet Markey? -Yep.
00:06:46.250,00:06:47.083,"Her, um..."
00:06:48.250,00:06:49.458,"her sister died, right?"
00:06:50.458,00:06:51.333,"Yeah, dude."
00:06:51.416,00:06:52.291,Hm.
00:06:53.083,00:06:54.625,Why ask about her all of a sudden?
00:06:54.708,00:06:56.208,I'm intrigued. A guy can't be intrigued?
00:06:56.291,00:06:59.541,"Well, a guy can be intrigued. You being intrigued is weird."
00:07:03.166,00:07:04.333,I wouldn't say weird.
00:07:04.416,00:07:06.500,"Wait, if you don't think you're weird, well..."
00:07:25.541,00:07:29.458,"His name's Embry. I call him Embryo. It's the little things, Kate."
00:07:29.541,00:07:31.625,Did you do something I should be worried about?
00:07:31.708,00:07:34.375,I'm genuinely offended by that supposition.
00:07:34.916,00:07:36.250,-Finch. -No.
00:07:37.000,00:07:38.500,It's fine. I'll deal with it.
00:07:40.833,00:07:44.083,Because what you really mean is that I'm gonna have to deal with it.
00:07:46.500,00:07:47.708,Did you cut class again?
00:07:47.791,00:07:52.208,"No! For fuck's sake, just go hang out with Tina or whatever it is you do."
00:07:52.291,00:07:53.166,I'm fine.
00:07:54.083,00:07:57.333,OK. I'm gonna be home late. There's food in the fridge.
00:07:57.416,00:07:59.125,"-Mm-hmm. -Real food, Finch."
00:07:59.833,00:08:00.708,Where's Mom?
00:08:00.791,00:08:03.041,She had to go to Chicago for business. Remember?
00:08:03.125,00:08:05.291,"-Oh, yeah, right. Cool. -Love you."
00:08:10.583,00:08:11.833,-Love you. -Love you.
00:08:28.208,00:08:29.666,I'm gonna get the dessert.
00:08:39.708,00:08:41.833,And it wasn't easy for us either.
00:09:05.875,00:09:07.625,I've been making it for 19 years.
00:11:13.750,00:11:20.375,"and leaving us at the end of the year, I feel an obligation to make sure you see the wondrous sights of Indiana while you can."
00:11:20.458,00:11:23.458,"To wander them, if you will."
00:11:24.458,00:11:28.791,"For your class project, you must report on two or more wonders of Indiana."
00:11:28.875,00:11:35.458,"You will write about them, explain their significance to you and to Indiana, and why you chose to visit them."
00:11:36.125,00:11:38.250,I want you to take time on this assignment.
00:11:38.333,00:11:39.500,Be thoughtful.
00:11:44.958,00:11:45.958,What just happened?
00:11:46.750,00:11:47.958,That was so weird.
00:11:49.583,00:11:50.625,"Violet, are you OK?"
00:11:51.708,00:11:54.541,"All right, let's take our seats. Let's focus up."
00:11:55.166,00:11:56.916,"If you're done, Mr. Finch?"
00:11:57.000,00:12:01.041,"Yes, I am done, and can I just say you are doing a fine job teaching this class."
00:12:01.125,00:12:03.125,My young brain is plump with knowledge.
00:12:08.250,00:12:11.958,"you'll be taking photos, doing some drawings, capturing detail."
00:12:12.041,00:12:14.750,You will be doing this in teams of two.
00:12:16.041,00:12:17.458,Can we choose our partners?
00:12:17.875,00:12:19.000,"Yes, Mr. Finch."
00:12:21.958,00:12:22.791,Hey.
00:12:25.916,00:12:26.916,"So, um..."
00:12:27.958,00:12:31.500,do you think that there's such a thing as a perfect day?
00:12:32.791,00:12:34.875,I'm the last person you should be asking.
00:13:01.458,00:13:07.291,"this teacher wants us to do this project with a partner, and I just don't wanna do it."
00:13:07.708,00:13:10.125,"Well, did you ask for an alternate project?"
00:13:10.875,00:13:12.750,"Yeah, he just... he wouldn't listen."
00:13:13.583,00:13:15.250,"Well, maybe it's time to get back out there."
00:13:15.750,00:13:17.333,That's the same thing he said.
00:13:19.958,00:13:21.166,I know it's hard.
00:13:22.666,00:13:25.333,-But you just don't go out anymore. -That's not true.
00:13:25.416,00:13:27.791,When's the last time you hung out with your friends?
00:13:29.250,00:13:32.583,I think it would be really good if you'd spend some time with them.
00:13:34.166,00:13:37.625,"So, if I hung out with my friends, you'd get me outta this assignment?"
00:13:52.458,00:13:53.375,Violet!
00:14:00.416,00:14:03.166,-I'm gonna get a drink. Do you want one? -I'm good.
00:14:03.250,00:14:04.625,"Come on, babe."
00:14:05.166,00:14:06.125,OK.
00:14:47.041,00:14:47.875,Yeah...
00:14:58.416,00:14:59.500,Hey.
00:15:01.125,00:15:02.458,That's a heavy pour.
00:15:03.083,00:15:04.708,You know me. I love to rage.
00:15:10.291,00:15:12.708,"I think I'm gonna leave pretty soon, actually."
00:15:13.375,00:15:16.125,"Really? But... I mean, I just got here."
00:15:17.458,00:15:19.500,"It's just all a little much, you know?"
00:15:21.208,00:15:23.458,How much longer are you gonna act like this?
00:15:25.125,00:15:27.625,It's been months. When are you gonna just...
00:15:32.750,00:15:33.666,Nice.
00:15:35.666,00:15:38.416,"Violet, you know I didn't mean it like that. Just..."
00:16:01.500,00:16:02.708,Please call to confirm.
00:16:03.166,00:16:05.791,765-276-8504.
00:16:31.708,00:16:32.833,Theodore Finch speaking.
00:16:32.916,00:16:34.166,Take it down now.
00:16:36.708,00:16:41.000,"The video will self-destruct in three, two..."
00:16:42.291,00:16:43.291,...please refresh.
00:16:46.541,00:16:47.708,Why would you do that?
00:16:48.125,00:16:49.750,I wanna talk about the bridge.
00:17:00.416,00:17:03.166,One morning barely qualifies as a terrible time.
00:17:03.541,00:17:04.833,It's a quote.
00:17:05.750,00:17:06.833,Virginia Woolf.
00:17:08.791,00:17:09.666,OK.
00:17:11.208,00:17:12.208,Can I come over?
00:17:15.291,00:17:16.375,Yeah.
00:17:26.500,00:17:28.375,So...
