start,end,script
01:32:19.450,01:32:20.826,Everything good?
01:32:32.255,01:32:33.547,I'm here.
01:32:34.799,01:32:35.633,I'm here.
01:32:39.720,01:32:42.431,And I brought your Harleys.
01:34:15.900,01:34:18.736,He betrayed us!
01:34:18.819,01:34:21.405,"Pablo, we have to take care of this immediately."
01:34:21.572,01:34:23.741,That son of a bitch. I'm going to rip his head off!
01:45:03.505,01:45:05.924,'Schafer' got a promotion.
01:45:10.387,01:45:15.475,"After his release, Pete found God and became a preacher in rural Alabama."
01:45:18.603,01:45:21.648,The other pilots were never seen again.
01:45:22.858,01:45:24.818,The CIA continued to use Barry's plane to arm the Contras...
01:45:28.030,01:45:32.784,...until one was shot down over Nicaragua.
01:45:37.998,01:45:42.919,The ensuing scandal was known as the Iran-Contra Affair.
01:45:57.350,01:46:01.021,Lucy and the kids settled back in Louisiana.
00:00:25.775,00:00:31.322,I promised you a president who feels your pain and who shares your dreams.
00:00:35.410,00:00:40.749,I wanna talk to you about a fundamental threat to American democracy.
00:00:47.255,00:00:58.016,"For the first time in the history of our country, a majority of our people believe that the next five years will be worse than the past five years."
00:01:11.321,00:01:12.655,Shit.
00:01:18.161,00:01:20.246,Apologize for the delay.
00:01:20.580,00:01:22.916,We're number 11 for takeoff.
00:01:23.625,00:01:25.794,We'll try to make it up in the air.
00:01:27.086,00:01:29.464,Just wake me up over Texas.
00:02:25.979,00:02:28.148,Just a little bit of turbulence.
00:02:38.116,00:02:39.450,Welcome to Baton Rouge.
00:02:44.497,00:02:47.041,"...and for you history buffs, is in Louisiana..."
00:03:00.179,00:03:01.472,"Um, back here."
00:03:19.198,00:03:20.408,Welcome to Vancouver.
00:03:20.867,00:03:21.868,Welcome to Bakersfield.
00:03:29.792,00:03:31.377,Those little cocktail gals are on fire.
00:03:31.461,00:03:34.756,"Soon as they see a man in uniform, panties come off."
00:03:39.093,00:03:40.428,How about that landing in Detroit?
00:03:40.511,00:03:42.263,"Oh, man. It was gusty that day."
00:03:52.357,00:03:53.775,"Thanks, Bobby."
00:03:59.614,00:04:01.783,Hey. Chivas on the rocks.
00:04:29.060,00:04:30.061,Barry.
00:04:31.521,00:04:32.522,What was that?
00:04:33.231,00:04:34.816,Barry Seal.
00:04:36.943,00:04:38.236,That's right.
00:04:41.322,00:04:46.411,You have a drop-off and pick-up service here every other Thursday.
00:04:48.955,00:04:50.164,Cuban exiles.
00:04:50.290,00:04:56.838,"They pay commercial pilots to smuggle homegrown contraband through Canadian hubs. Vancouver, Montreal."
00:04:57.046,00:04:58.214,Right?
00:04:59.465,00:05:01.801,"I'm sorry, I don't know what you're talking about."
00:05:01.884,00:05:03.469,-No? -No.
00:05:03.553,00:05:05.513,You're smuggling cigars.
00:05:10.268,00:05:12.478,"You have an interesting file, Barry."
00:05:13.271,00:05:14.105,File?
00:05:14.439,00:05:15.690,Starts off with a bang.
00:05:15.773,00:05:17.483,Top of your class in the Civil Air Patrol.
00:05:17.567,00:05:20.153,Youngest pilot in TWA history.
00:05:20.778,00:05:22.113,You were going places.
00:05:23.865,00:05:25.658,What is going on here?
00:05:26.492,00:05:29.162,"Revolution's in the air, Barry."
00:05:29.662,00:05:31.539,"Central America, right now."
00:05:32.332,00:05:35.168,"We're building nations down there, Barry."
00:05:35.335,00:05:37.086,We're building nations.
00:05:37.211,00:05:39.464,It's America at its fucking finest.
00:05:39.672,00:05:41.799,And we could use someone like you.
00:05:47.722,00:05:49.182,Goddamn.
00:05:51.184,00:05:52.477,You're CIA.
00:05:57.273,00:05:58.274,Holy shit.
00:06:12.038,00:06:13.706,It's the fastest twin-engine on the planet.
00:06:18.419,00:06:22.173,She looks like she's going 300 miles an hour just sitting there.
00:06:24.967,00:06:26.594,CIA owns this?
00:06:26.761,00:06:28.221,No. No.
00:06:28.596,00:06:32.016,"Uh, Independent Aviation Consultants."
00:06:33.893,00:06:36.020,IAC.
00:06:36.104,00:06:37.230,Yeah.
00:06:38.314,00:06:41.692,"Well, wait, is that... What do they call it, one of them front groups? Is that..."
00:06:41.776,00:06:45.279,"-No, no, no. It's as real as IBM. -Uh-huh."
00:06:45.363,00:06:49.242,"You'd run the company, but after-hours, you work for us."
