start,end,script
00:04:17.133,00:04:18.500,Why? What's going on?
00:04:29.400,00:04:33.000,"Is there a key code, Sandi, to open the garage from the outside?"
00:04:39.466,00:04:42.133,"Frank, what's the key code of the garage?"
00:04:42.833,00:04:45.300,Shanann's house. The cops are there.
00:04:51.966,00:04:53.400,What's going on?
00:04:57.133,00:05:00.133,He told me Shanann was at a girlfriend's house.
00:05:03.733,00:05:04.933,He didn't say.
00:05:39.900,00:05:41.433,Can we go in the house?
00:05:47.600,00:05:50.866,"Nicky, I'm giving you permission to walk into my daughter's house."
00:05:52.300,00:05:53.566,"Oh, yeah."
00:05:57.900,00:06:00.133,"I'm checking the house, with consent."
00:06:18.400,00:06:20.100,"They're across country, North Carolina."
00:06:21.533,00:06:23.100,"Yeah, so that's not happening."
00:06:28.333,00:06:30.166,All the girls' blankies are gone.
00:06:33.566,00:06:36.000,Their blankies they sleep with. They don't leave anywhere without them.
00:06:46.166,00:06:48.466,-Her phone. -Her phone's here?
00:06:48.533,00:06:49.933,Her phone's here.
00:06:56.566,00:06:58.166,She works and this is her lifeline.
00:07:02.800,00:07:05.400,"When that thing turns back on, it's going to start blowing up."
00:07:13.433,00:07:16.333,"So, that's 1... 31... 8... 19."
00:07:34.733,00:07:37.466,She works at a direct sales company called Thrive.
00:09:20.200,00:09:22.900,"She got in a car wreck, and they believe that's what happened."
00:09:22.966,00:09:26.133,But Imitrex is something she takes for migraines.
00:09:26.200,00:09:34.933,"She took more Imitrex this last month than she ever had before, but that's because she was in North Carolina with the humidity and everything like that. She was there for six weeks, and we got back..."
00:09:36.166,00:09:40.633,"Monday or Tuesday, and then she flew out to Arizona Friday morning."
00:09:41.166,00:09:44.566,And then she got back last night... about 2:00 a.m.
00:09:44.633,00:09:47.433,Flight got delayed. She left about 11:00. She got here at 2:00.
00:09:48.400,00:09:51.266,"I went to work this morning about 5:15, 5:30."
00:09:54.733,00:09:56.466,"I work at oil and gas, Anadarko."
00:09:57.666,00:09:58.733,Operator.
00:10:10.366,00:10:11.566,Her wedding ring's here?
00:10:13.500,00:10:16.366,It was on the nightstand next to her side of the bed.
00:10:20.533,00:10:21.366,No.
00:11:45.700,00:11:47.633,I don't know what I should do right now.
00:11:47.700,00:11:50.866,"Should I drive around, like, the normal route that she would be?"
00:12:14.600,00:12:18.166,Neighbor over there said he has a camera that sees out into the street.
00:12:31.100,00:12:33.200,"Any motion event that happens, I got."
00:12:33.266,00:12:36.833,"But I get cars driving from this street, from this street."
00:12:38.900,00:12:41.233,This is him at 5:17.
00:12:42.500,00:12:46.200,I usually park out there on the side until I can get everything back in.
00:12:46.366,00:12:49.866,"Be easier to lugging everything out there, all the tools that I had to bring in."
00:12:56.366,00:13:00.033,"'Cause if there is any sort of action out there, I would have got it."
00:13:00.100,00:13:06.966,I've got issues the other week when people were stealing stuff out of garages and stuff like that.
00:13:07.033,00:13:10.533,-And I had to park my truck-- -I have you parked right here.
00:13:10.833,00:13:14.433,I could see if someone tried to jimmy with a flathead screwdriver.
00:13:15.133,00:13:17.700,"-Over there. -Yeah, I've got nothing."
00:13:25.933,00:13:27.333,She's pregnant as well.
00:13:28.600,00:13:30.033,"Fourteen, fifteen weeks."
00:14:28.533,00:14:30.766,Belly... a baby.
00:14:32.966,00:14:34.133,It is in my belly.
00:15:58.933,00:16:00.366,He's not acting right at all.
00:16:02.100,00:16:04.200,He's never fidgety. He's never...
00:16:05.233,00:16:07.800,rocking back and forth. And if you look...
00:16:11.766,00:16:14.500,"He never loads his stuff in and out of the garage, ever."
00:16:17.000,00:16:21.433,"He's normally... You can ask them. He's normally quiet, real subdued."
00:16:21.500,00:16:27.233,"He never talks. So, the fact that he's over here blabbing his mouth makes me kind of suspicious of something."
00:16:30.100,00:16:30.966,"Oh, I agree."
00:16:31.033,00:16:32.733,"You know, anyone's gonna be nervous."
00:16:32.800,00:16:34.066,You don't know what to do.
