start,end,script
00:04:26.899,00:04:30.370,All three canisters are stored under every possible safeguard.
00:04:30.536,00:04:32.939,I'm only asking you to wait.
00:04:33.406,00:04:37.443,We can't wait. The bulk of the antimatter is generated at start-up.
00:04:37.577,00:04:38.845,Put us back online.
00:04:39.612,00:04:42.715,"Do you want to call the director, or shall I?"
00:04:50.323,00:04:52.759,Don't blow us all to heaven.
00:05:06.306,00:05:08.975,"Vittoria, what did Philippe want?"
00:05:09.575,00:05:13.646,They're terrified. He wants us to wait. What do you think?
00:05:13.913,00:05:19.052,"I think if we don't harvest now, we never will."
00:05:24.023,00:05:27.894,Sending timing trigger now. Collisions imminent.
00:06:07.433,00:06:09.836,Collisions are active. We should be back online.
00:06:10.002,00:06:12.839,Capture should begin at any moment.
00:07:12.999,00:07:16.002,We have antimatter.
00:07:19.772,00:07:23.643,It's on a scale never seen before.
00:07:30.883,00:07:34.020,"Silvano, we've done it."
00:07:39.659,00:07:43.529,"We're in God's hands now, Vittoria."
00:07:44.063,00:07:46.499,I'll be right down.
00:48:05.549,00:48:08.418,I call as my witness Christ the Lord...
00:48:08.552,00:48:11.455,"...who will be my judge, that my vote is given..."
00:48:11.588,00:48:14.491,...to the one before God I think should be elected.
00:48:38.582,00:48:43.453,"I elect as the most high pontiff, Dominic Scolamiero."
00:52:42.192,00:52:45.729,There was no consensus after the first ballot...
00:52:45.862,00:52:50.200,"...but Cardinal Baggia, the Italian, is the odds-on favorite...."
00:52:50.333,00:52:53.770,"There is no new Pope, but it is possible..."
00:52:53.904,00:52:58.308,"...that Cardinal Guidera, the Spaniard, is the most probable...."
00:52:58.441,00:53:04.848,"It is possible that Cardinal Ebner, from Germany, is the favorite...."
00:53:05.882,00:53:09.286,Stem cell research is murder!
00:53:09.419,00:53:12.322,You're condemning sick people to die.
00:53:12.455,00:53:14.257,Man is not God.
00:56:10.767,00:56:12.769,Get the police!
00:56:13.937,00:56:15.638,Call an ambulance!
00:56:58.948,00:57:01.084,Clear the square.
01:01:25.381,01:01:30.687,The Vatican is expressing sympathy for the mugging victim...
01:01:30.820,01:01:35.058,"...a Düsseldorf tourist, now confirmed dead...."
01:01:35.191,01:01:39.762,The Vatican police have a suspect in custody....
01:01:39.896,01:01:46.903,The Vatican will allow the crowd back into St. Peter's Square...
01:01:47.036,01:01:48.805,...where security will be doubled....
01:03:20.530,01:03:22.465,Power is now cut to Zone 73.
01:03:22.799,01:03:25.067,No light reaction on the monitor.
01:03:25.201,01:03:28.571,Restore power and move on to 74.
01:07:19.201,01:07:21.203,"Command, do you read me?"
01:07:21.337,01:07:24.106,Power is off. Oxygen is very low.
01:07:24.240,01:07:26.375,Come in. Can you read me?
01:11:20.876,01:11:23.946,No light reaction on Zone 97.
01:11:24.513,01:11:28.484,Based on the rate the battery is using power...
01:11:28.617,01:11:31.687,...the device will detonate just before midnight.
01:15:04.967,01:15:07.703,His Holiness Celestine V was murdered.
01:15:07.836,01:15:11.573,Is it so hard to believe it could happen again?
01:17:47.362,01:17:49.264,"Oh, my God."
01:17:49.398,01:17:51.333,Get him down!
01:28:17.458,01:28:19.494,Good evening. Can you help me?
01:28:19.861,01:28:22.030,I'm waiting for a doctor.
01:28:38.613,01:28:40.381,Come here.
01:28:43.084,01:28:45.787,Stay calm. Don't shoot.
01:42:39.186,01:42:44.358,I don't care who he talks to. He doesn't go into that room.
01:54:05.371,01:54:09.309,It was the camerlengo. He saved us all!
01:54:09.442,01:54:13.413,He saved the church and he is alive.
02:07:00.079,02:07:02.181,Crowds of the faithful are calling for...
02:07:02.314,02:07:06.318,...the camerlengo's immediate canonization and sainthood.
02:07:06.652,02:07:10.189,The Vatican also announced the death of three of its cardinals...
02:07:10.322,02:07:12.925,...in the fire at Santa Maria della Vittoria.
00:02:13.675,00:02:23.268,"MAN: The Ring of the Fisherman, which bears the official papal seal, must be destroyed immediately following the pope's death."
00:02:23.310,00:02:33.112,"The papal apartment is then sealed for nine days of mourning, a period known as sede vacante: The time of the empty throne."
00:02:35.114,00:02:46.041,"Over the last several days Catholic leaders from every corner of the world have flocked to Rome, shocked by the sudden death of this progressive and beloved pope."
00:02:53.841,00:03:05.894,"Today, in St. Peter's Square, the faithful pray that there is among them another leader who can unite their Church, which has been so riven by change and dissent in recent years."
00:03:10.273,00:03:23.037,"As the body of the pontiff passes by, we see prayers are being offered by the preferiti, favorites among those being considered to succeed him as the Vicar of Christ."
