start,end,script
00:00:47.583,00:00:49.166,Roger that.
00:00:49.208,00:00:57.166,"Inspired by the late President Kennedy, in only seven years, America has risen to the challenge of what he called..."
00:00:57.208,00:01:00.709,the most hazardous and dangerous and greatest adventure...
00:01:00.750,00:01:03.417,on which man has ever embarked.
00:01:03.458,00:01:09.750,After trailing the Russians for years with our manned space program-- - and after that sudden...
00:01:09.792,00:01:13.500,and horrible fire on the launchpad during a routine test...
00:01:13.542,00:01:18.959,"that killed American astronauts Gus Grissom, Ed White and Roger Chaffee, We're on fire!"
00:01:19.000,00:01:22.792,there were serious doubts that we could beat the Russians to the moon.
00:01:22.834,00:01:28.250,"But tonight, a mere 18 months after the tragedy of Apollo 1, the entire world watched in awe..."
00:01:28.291,00:01:32.333,as Neil Armstrong and Buzz Aldrin landed on the moon.
00:01:32.375,00:01:35.083,The big news came just a moment ago.
00:01:35.125,00:01:37.917,Mission Control gave the spacecraft permission...
00:01:37.959,00:01:47.667,"to go for the extravehicular activity-- that is, for the walk on the moon-- far earlier than anticipated, 9:00 p.m. eastern daylight time."
00:01:47.709,00:01:51.417,Now the important thing when you penetrate the lunar module is your attitude...
00:01:51.458,00:01:53.375,and your relative speed.
00:01:53.417,00:01:55.417,Now let's say this is me here in the command module...
00:01:55.458,00:01:57.959,and this is you.
00:01:58.000,00:02:00.583,"You're the LEM. This thing sticks out here in front, that's called a probe."
00:02:00.625,00:02:03.291,Is that true?
00:02:03.333,00:02:09.333,"And-And-- And, Tracy, I'll tell you, when you feel that thing slide in, everything's clicking, it's like no other feeling in the world."
00:02:11.834,00:02:14.333,A little liquid propulsion.
00:02:14.375,00:02:16.625,"Hey, how's it going over there at Mission Control?"
00:02:16.667,00:02:19.458,"Oh, it's nervous time."
00:02:19.500,00:02:21.375,Gene Kranz is gonna have puppies.
00:02:21.417,00:02:23.458,Hi.
00:02:23.500,00:02:27.458,"How do you do, Tracey?"
00:02:27.500,00:02:30.166,Wow.
00:02:30.208,00:02:33.000,With one hand on the wheel.
00:02:33.041,00:02:35.000,"Hey, Marilyn."
00:02:35.041,00:02:37.291,This is the last champagne in the city of Houston.
00:02:37.333,00:02:38.667,Very good. Very good.
00:02:38.709,00:02:40.542,Everything else all right?
00:02:40.583,00:02:42.792,Looks okay. Hey! Cadet Lovell.
00:02:42.834,00:02:45.250,Put this on ice in the back with the rest and make sure it gets cold.
00:02:45.291,00:02:46.917,You gonna get a haircut this summer?
00:02:46.959,00:02:48.125,I'm on vacation.
00:02:48.166,00:02:50.875,Oh. Get a haircut.
00:03:00.000,00:03:03.250,I wouldn't mind being up there tonight.
00:03:03.291,00:03:06.875,Don't worry. Our day's coming.
00:03:06.917,00:03:09.083,They're not gonna cut the program before number 14.
00:03:10.333,00:03:12.417,"You know, my cousin called."
00:03:12.458,00:03:15.500,Asked who we'd bribed to get on Jim Lovell's crew.
00:03:15.542,00:03:18.959,"I just told him, uh, they wanted to make sure he got the best."
00:03:19.000,00:03:21.166,"Well, they got that right."
00:03:21.208,00:03:22.542,What network do we want?
00:03:22.583,00:03:25.542,- Come on. Pick one.
00:03:27.709,00:03:30.000,Turn it up. Turn it up.
00:03:30.041,00:03:39.041,...completed putting on their space suits-- I really appreciate you all coming to this dress rehearsal party for my Apollo 12 landing.
00:03:41.125,00:03:50.417,"No, but I-I-I think we should all take a moment to-- to recognize the exemplary-- hell, damn near heroic effort..."
00:03:50.458,00:03:54.166,displayed by Neil Armstrong's backup for this historic moonwalk.
00:03:54.208,00:03:56.583,"And, of course, his crew."
00:03:54.208,00:03:59.375,"Let's hear it-- Let's hear it for Jim Lovell, Ken Mattingly and Fred Haise."
00:04:04.417,00:04:08.000,Oh! There he is! There he is.
00:04:08.041,00:04:10.208,There he is.
00:04:10.250,00:04:11.709,"You got a good picture, huh?"
00:04:13.291,00:04:18.208,"Okay, will you verify the position, uh-- the, uh, opening I ought to have on the camera?"
00:04:19.792,00:04:22.458,What?
00:04:22.500,00:04:24.125,"Jim, you think it's too late for him to abort?"
00:04:24.166,00:04:26.250,"No, no. He's got time to get out of there."
00:04:26.291,00:04:28.125,He just needs somebody to wave him off.
00:04:28.166,00:04:29.458,"Pull up, Neil!"
00:04:29.500,00:04:30.875,Quiet down! Shh!
00:04:32.750,00:04:35.083,"Okay, Neil, we can see you coming down the ladder now."
00:04:35.125,00:04:36.458,Okay.
00:04:36.500,00:04:38.917,"Boy, look at those pictures. Wow."
00:04:38.959,00:04:41.375,"I'm, uh, at the foot of the ladder."
00:04:41.417,00:04:48.250,"The LEM footpads are only, uh, depressed in the surface about, uh, one or two inches."
00:04:48.291,00:04:50.458,It's almost like a powder.
00:04:50.500,00:04:53.583,- Armstrong is on the moon.
00:04:53.625,00:04:57.750,Thirty-eight-year-old American standing on the surface of the moon...
00:04:59.709,00:05:03.041,"on this July 20, 1969."
00:05:03.083,00:05:11.875,"That's one small step for man, one giant leap for mankind."
00:05:11.917,00:05:18.250,"His quote was, That's one small step for man, one giant leap for mankind."
00:05:33.083,00:05:34.834,"You're drunk, Lovell."
00:05:34.875,00:05:38.000,Yeah. I'm not used to the champagne.
00:05:38.041,00:05:40.000,Me neither.
00:05:43.417,00:05:46.000,I can't deal with cleaning up.
