start,end,script
00:00:54.387,00:00:59.325,Why did some people do something and others nothing at all?
00:00:59.726,00:01:02.328,"Good job, Mr. Bowden."
00:01:02.462,00:01:07.133,"It's nice to see a few more A's. Including Mr. Bowden's, of course."
00:01:12.105,00:01:15.475,This concludes our week on the Holocaust.
00:01:20.680,00:01:23.783,"If you want to know more, you may find the Santo Donato Library..."
00:01:24.117,00:01:26.352,...to be an excellent resource.
00:05:37.603,00:05:39.572,-Guess who likes you? -Who?
00:05:41.007,00:05:42.709,Becky Trask. You gonna ask her out?
00:05:42.842,00:05:46.512,-You know who I'm talking about? -I know who she is.
00:05:46.646,00:05:49.649,"-I'll think about it. -No, you don't think. You just do it."
00:05:49.782,00:05:51.050,All right?
00:05:51.384,00:05:54.620,And could you give me your trig notes from last year?
00:05:54.754,00:05:58.091,-I knew this was leading to something. -I've got Fiscarelli.
00:05:58.458,00:06:01.427,-I'll bring them in tomorrow. -All right? Cool. Ask Becky out.
00:06:01.561,00:06:02.895,I still gotta think about it.
00:06:03.029,00:06:06.566,-What are you doing after school? -I'm busy.
00:07:43.529,00:07:46.499,"All right, I'm coming."
00:07:48.568,00:07:50.570,For God's sake.
00:07:56.909,00:07:58.778,Yes?
00:08:02.482,00:08:03.749,What do you want?
00:08:04.050,00:08:05.518,I....
00:08:07.653,00:08:09.755,If you're selling something I'm not interested.
00:08:09.889,00:08:12.124,I have your newspaper.
00:08:16.496,00:08:18.798,I'm not selling anything.
00:08:19.098,00:08:21.033,Then what do you want?
00:08:21.167,00:08:23.903,"If you could let me in for a minute, I just want to talk."
00:08:24.637,00:08:26.572,Talk?
00:08:27.139,00:08:30.676,I don't have anything to say to you. Good day.
00:08:30.810,00:08:34.714,"Bergen-Belsen, January '43-June '43."
00:08:35.181,00:08:38.985,"Auschwitz, June '43-June '44."
00:08:39.151,00:08:41.220,Then you went to Patin.
00:08:41.888,00:08:44.023,"After that, you disappeared."
00:08:44.590,00:08:47.894,But then in 1965 you were spotted in West Berlin.
00:08:49.529,00:08:51.731,"Listen, boy..."
00:08:53.165,00:08:55.935,...I don't have time for this game.
00:08:56.168,00:08:58.971,Now get out of here before I call the police.
00:08:59.105,00:09:02.775,Call them if you want. I'm sure they'd love to meet you.
00:09:06.078,00:09:07.947,Who are you?
00:09:08.714,00:09:12.151,My name is Todd Bowden. I didn't mean to scare you.
00:09:12.285,00:09:14.253,I just really want to talk to you.
00:09:14.887,00:09:17.290,If you could let me in for a minute?
00:09:17.623,00:09:21.227,"Please, Mr. Dussander."
00:09:24.564,00:09:29.335,All of this because you saw an old man with a raincoat and an umbrella?
00:09:29.669,00:09:30.903,It wasn't that easy.
00:09:31.037,00:09:33.239,These pictures are 40 years old at least.
00:09:33.839,00:09:36.943,"But when I held them up next to the ones I took, I knew I was close."
00:09:37.743,00:09:43.583,"-You took photographs of me? -Yeah, but even then I wasn't sure."
00:09:43.716,00:09:45.885,I needed real proof.
00:09:46.018,00:09:48.120,So I dusted your mail box for fingerprints.
00:09:49.021,00:09:51.324,"You know, that's a lot harder than people think."
00:09:51.657,00:09:54.927,You need a lot of stuff.
00:09:55.061,00:09:57.029,Then I waited until you were at the movies.
00:09:57.163,00:10:00.933,You put dust on my mail box for fingerprints?
00:10:01.067,00:10:04.670,You took photographs of me. What else did you do?
00:10:05.371,00:10:09.709,I already had a copy of your fingerprints from your Israeli wanted sheet.
00:10:09.842,00:10:11.677,It's all on database at UC Irvine.
00:10:15.915,00:10:17.750,Are you okay?
00:10:20.786,00:10:23.956,"-Would you care for a drink, boy? -How about milk?"
00:10:24.090,00:10:25.625,Milk?
00:10:35.401,00:10:38.771,Have you told your parents all this?
00:10:38.904,00:10:41.140,Do you think I'm crazy?
00:10:42.642,00:10:46.646,It takes eight good matches for a print to get accepted in court.
00:10:46.779,00:10:48.114,They're called compares.
00:10:48.247,00:10:52.418,"One or two is not so hard to find, but eight good ones, that's really tough."
00:10:52.752,00:10:55.788,"It all sounds very exciting, boy..."
00:10:56.122,00:10:59.992,...but I'm afraid all your work has been for nothing.
00:11:00.126,00:11:01.761,I found 14 compares.
00:11:06.932,00:11:09.435,"Boy, what you have done..."
00:11:09.769,00:11:13.839,...I have to explain this to you because clearly you don't understand.
00:11:13.973,00:11:16.675,What you have done is a violation.
00:11:16.809,00:11:19.211,Like those experiments with the decompression chamber?
00:11:19.345,00:11:21.447,Now that's a violation.
00:11:21.781,00:11:24.750,To hell with this and to hell with you. I'm calling the police.
00:11:24.884,00:11:28.687,Your father's going to beat your behind when he picks you up.
00:11:28.821,00:11:32.091,-He doesn't believe in violence. -They should start. I'm calling.
00:11:43.302,00:11:45.371,My name is Denker.
00:11:49.408,00:11:51.377,Arthur Denker.
00:11:54.146,00:11:55.714,I'm an American.
00:11:57.083,00:12:00.252,I became a citizen in 1955.
00:12:04.056,00:12:05.891,I vote.
00:12:08.761,00:12:14.433,You've no right to come here and say these lies about me.
00:12:16.969,00:12:18.971,I have your fingerprints.
00:12:19.939,00:12:22.174,I have your photographs.
00:12:22.308,00:12:25.244,"One way or another, I'll get them to the right people."
00:12:32.818,00:12:35.154,This is unbelievable.
00:12:40.493,00:12:43.362,What do you want? Tell me.
00:12:46.165,00:12:47.766,I want to hear about it.
00:12:48.767,00:12:49.902,Hear about what?
00:12:50.035,00:12:53.906,The stories. Everything.
00:12:55.007,00:12:56.775,What everything?
00:12:57.776,00:13:01.113,Everything they're afraid to show us in school.
00:13:02.314,00:13:06.152,You were there. You did those things.
00:13:06.318,00:13:11.457,No one can tell it better than you. That's all I want.
00:13:11.790,00:13:16.462,Then I'll leave you alone. And just so you know....
00:13:19.465,00:13:22.268,Everything I have on you...
00:13:22.401,00:13:26.572,"...the compares, the want sheet, all the photographs..."
00:13:26.906,00:13:28.874,...are all in a very safe place.
00:13:29.008,00:13:32.211,"If anything happens to me, someone will find it, believe me."
00:13:35.514,00:13:40.386,"Tell me, boy, why should I consider doing this?"
00:13:41.120,00:13:43.489,"Because you hung up the phone, that's why."
00:14:07.046,00:14:10.382,Judging by the results of your first exam...
00:14:10.516,00:14:15.154,"...for most of you, we moved too fast through chapter one."
00:14:16.288,00:14:22.394,"By a show of hands, how many of you think you know what sociology is?"
00:14:26.031,00:14:31.303,"As I thought. All right, class, let's turn to chapter two."
00:14:39.144,00:14:43.349,"Once they were in the chamber, how long did it take? A minute? Five?"
00:14:44.383,00:14:49.255,"No, the Prussic acid took about 15 minutes."
00:14:49.388,00:14:55.160,"But the monoxide could take an hour, sometimes more."
00:14:55.961,00:14:59.431,"What happened to them? I mean, exactly?"
00:15:03.535,00:15:05.504,It was a mess.
00:15:06.305,00:15:08.607,They would lose control of their bodies.
00:15:08.941,00:15:14.213,"They vomited, urinated and defecated themselves."
00:15:14.346,00:15:18.684,Even though the gas came through vents in the ceiling...
00:15:19.051,00:15:21.553,...they climbed up on each other...
00:15:21.921,00:15:25.925,...desperately reaching for fresh air that wasn't there.
00:15:27.026,00:15:30.663,There died in a mountain of themselves.
00:15:31.263,00:15:33.332,What about the children?
00:15:35.668,00:15:37.503,On the bottom.
00:15:40.940,00:15:43.142,Did anyone ever survive it?
00:15:48.614,00:15:50.516,One time...
00:15:52.351,00:15:55.020,...the gas didn't work.
00:15:56.188,00:16:02.494,"There was a leak in the pipes, so oxygen mixed with the monoxide."
00:16:03.395,00:16:05.130,It was horrible.
00:16:05.965,00:16:09.368,"But after an hour, they were still moving."
00:16:09.969,00:16:15.240,"Stumbling around the room like drunks, their eyes glassy."
00:16:16.675,00:16:18.110,What did you do?
00:16:19.511,00:16:23.315,"I ordered more gas, but we didn't know about the leak."
00:16:23.716,00:16:27.252,Soon they began to twitch all over...
00:16:27.553,00:16:29.555,...like they were dancing.
00:16:30.055,00:16:31.991,Some even fell to their knees...
00:16:32.124,00:16:36.528,...laughing this terrible high-pitched scream.
00:16:37.563,00:16:40.566,Even the guards were frightened.
00:16:44.136,00:16:46.138,It didn't kill them.
00:16:46.672,00:16:51.043,"After two hours, I sent five men in with rifles."
00:16:56.382,00:16:59.151,It's getting dark. Your mother will be worried.
00:17:01.020,00:17:02.554,Shit! I've got to go.
00:17:02.688,00:17:05.791,I can be here tomorrow by 3:15. I wanna hear the end of this.
00:17:06.125,00:17:07.693,The end?
00:17:12.131,00:17:14.066,The end.
00:18:11.690,00:18:14.159,"Todd, are you up?"
00:18:14.293,00:18:16.495,"Honey, let's go. Joey's outside."
00:18:17.229,00:18:18.764,"Tell him I'm coming, will you?"
00:18:19.098,00:18:21.233,I thought you said you were up half an hour ago.
00:18:23.869,00:18:27.806,-Todd? -Yeah. I must have fallen back asleep.
00:18:28.140,00:18:30.776,"Listen, honey, I'm gonna see a client tonight at 7:00."
00:18:31.110,00:18:33.846,But I've got some cold chicken in the fridge.
