start,end,script
00:00:21.000,00:00:24.625,"You are a go to open the stable door. I repeat, open the stable door."
00:01:00.708,00:01:02.583,"I think it went. Go, baby."
00:01:02.666,00:01:04.208,Let's go. Let's go.
00:01:21.625,00:01:26.500,"Love, love, love… What are you doing? Get in here. I feel it!"
00:01:31.458,00:01:33.375,Why we need all this firepower to protect it?
00:01:35.541,00:01:41.291,to the original copy of the Constitution but the one written in the Founding Fathers' blood.
00:01:41.958,00:01:47.500,"Right. Or like, uh… …Bigfoot."
00:01:47.583,00:01:55.041,"I was thinking more like headpiece to the Staff of Ra or, uh, Amelia Earhart but alive."
00:01:55.125,00:01:57.625,"-So, the less you know, the better. -True."
00:01:57.708,00:02:01.541,I got you a little present for making an honest woman out of me.
00:02:04.541,00:02:05.875,Oh.
00:02:05.958,00:02:07.208,"Oh, yeah."
00:02:07.291,00:02:08.208,Okay.
00:02:08.791,00:02:11.458,Get in there. All right.
00:02:11.541,00:02:13.958,"You are in trouble now, mister."
00:02:28.833,00:02:32.583,How about the lunar lander that was supposedly left on the moon?
00:02:35.583,00:02:38.833,"seeing as we're just coming from, uh… Well, you know."
00:02:38.916,00:02:41.333,-So you're saying there's a chance. -Chance of what?
00:02:41.416,00:02:43.875,"Chance we're hauling a… Well, you know."
00:02:45.041,00:02:45.916,The Holy Grail.
00:02:46.000,00:02:47.875,"Yeah, could be the Grail."
00:02:47.958,00:02:52.416,Not the Grail Grail but the Holy Grail of things we shouldn't be hauling.
00:02:53.916,00:02:55.791,You're gonna just make me say it out loud?
00:02:55.875,00:02:59.083,"I honestly don't… I mean, you're being cryptic."
00:03:07.958,00:03:09.500,Area 51.
00:03:09.583,00:03:12.541,Secret hangar. Autopsy.
00:03:15.083,00:03:17.000,"All right, I'll say it. It's an alien."
00:03:17.083,00:03:18.416,"-Oh, my God! -Look out!"
00:03:40.958,00:03:42.250,"Come on, guys. Hustle up."
00:03:50.041,00:03:53.000,Never mind. They're dead in there. Let's get to this one. Come on.
00:03:55.458,00:03:57.625,"Mothership, this is the Four Horsemen. Do you copy?"
00:03:59.750,00:04:02.916,"We're in an emergency situation, Mothership. Requesting support."
00:04:05.333,00:04:07.208,What is the nature of your emergency?
00:04:07.833,00:04:10.125,"We've been in a serious accident, Mothership."
00:04:10.208,00:04:12.416,We got numerous fatalities for sure.
00:04:12.500,00:04:13.875,We need a medevac ASAP.
00:04:19.250,00:04:21.708,Keep your comms open while I contact the medevac.
00:04:32.375,00:04:33.583,The payload.
00:04:34.291,00:04:44.791,"Uh… Yeah, payload is compromised."
00:04:45.500,00:04:47.875,Looks like it's busted open in the middle of the highway.
00:04:51.083,00:04:52.500,"All right, listen carefully."
00:04:52.583,00:04:56.291,Gather whoever can walk or move and get away from the payload immediately.
00:04:56.375,00:04:58.458,"Wait, what are you telling me to do?"
00:05:01.791,00:05:03.666,"If they can't move, leave them. You understand?"
00:05:03.750,00:05:06.500,Get away from that location now! Do you copy?
00:05:06.583,00:05:07.916,"Yeah, yeah, I copy."
00:05:24.000,00:05:24.958,Leave it.
00:05:25.583,00:05:26.458,Do what?
00:05:30.666,00:05:48.125,"They said stay… Hey, we gotta go."
00:05:48.208,00:05:50.666,You heard what they said. We need to move now!
00:05:53.583,00:05:55.375,We need to go back. They need our help!
00:05:55.458,00:05:58.541,No. There is no they. You understand? Everyone's fucked. Come on.
00:06:06.416,00:06:08.125,"Wait, wait, wait! Wait!"
00:06:09.000,00:06:11.291,"No, no, no. We can't stop. We got to keep moving."
00:06:11.375,00:06:13.541,We're far enough away now. It's okay.
00:06:13.625,00:06:15.500,It is so not okay.
00:06:17.041,00:06:18.125,"All right, all right."
00:06:30.291,00:06:31.750,It's hunting us.
00:08:19.000,00:10:58.833,"A one, two, three, four… And now, ladies and gentlemen, joining me at the microphone, Ms. Allison Crowe."
00:14:14.958,00:14:36.291,"in response to yesterday's historic Congressional vote that narrowly ratified the controversial proposal to wipe out the last remains of the so-called Zombie Wars, which drew to a dramatic end with the US military suffering massive casualties and being forced to retreat as Vegas was walled off with the zombies left inside to haunt the abandoned city."
00:14:36.375,00:14:56.166,"This will mark the culmination of the president's efforts to fulfill his campaign promise to exterminate Las Vegas' undead population by taking the extreme action of dropping a low-yield tactical nuclear bomb on the city of Las Vegas in four days' time, coinciding with sunset on the Fourth of July holiday."
00:14:56.250,00:15:08.166,"The executive order has prompted the full evacuation of the McCarran quarantine camp, which has long been the target of civil rights groups who have argued that no evidence of infection has been detected in the camp."
00:15:08.250,00:15:09.291,Excuse me.
00:15:09.833,00:15:11.916,"May I talk to that gentleman, please?"
00:15:14.500,00:15:15.666,Mr. Ward.
00:15:17.083,00:15:19.958,"Hey. You're Bly Tanaka, right?"
00:15:20.750,00:15:21.750,You want to see me?
00:15:22.375,00:15:33.250,"It's not every man who saves the secretary of defense from a horde of flesh-eating monsters, earns the Medal of Freedom, only to end up… Working at a burger joint."
00:15:33.333,00:15:35.791,"Mr. Tanaka, I am well aware of my situation."
00:15:37.791,00:15:42.083,There's $200 million in the basement vault beneath the Strip.
00:15:42.916,00:15:49.541,"Two hundred million the insurance company already reimbursed me for, un-taxable, untraceable."
00:15:49.625,00:15:50.916,Un-spendable.
00:15:53.000,00:16:03.750,"With 96 hours left, the government has already moved more than half of its military presence out of the quarantine zone, which makes it vulnerable."
00:16:03.833,00:16:06.791,I want you to put together a team and get it out.
00:16:07.375,00:16:13.041,"In exchange, 50 million is yours to divvy up amongst whomever you take in with you."
00:16:14.083,00:16:15.125,Intrigued?
00:16:16.458,00:16:17.583,Don't give me an answer.
00:16:17.666,00:16:19.166,Think on it for the night.
00:16:23.333,00:16:24.458,In good faith.
00:16:51.791,00:16:57.125,that this is essentially a government-funded health care solution that will put an end to all of this.
00:16:59.666,00:17:01.833,"If they were, they would be zombies already."
00:17:01.916,00:17:05.541,"They're political prisoners, just people the government doesn't want on the streets."
00:17:05.625,00:17:18.458,"You know as well as I do, if you have questionable immigration status, advocate for gay rights or abortion, the next thing you know, they have a temperature gun at your head or dragging you out of your house or your car under the guise of public safety."
00:17:21.625,00:17:23.666,This is no different.
00:17:34.750,00:17:37.666,This facility is in an active evacuation.
00:17:38.166,00:17:40.125,Board the shuttle bus for Barstow.
00:17:40.708,00:17:46.291,Have your current temporary health clearance card to present to officials as you board the shuttle.
00:17:46.375,00:17:48.666,"Reminder, shuttles will be leaving every 15 minutes."
00:17:48.750,00:17:50.208,"-Hey, guys. -Kate!"
00:17:52.666,00:17:54.750,-You guys excited for the big move? -Yeah!
00:17:54.833,00:17:57.375,"Kate, let the kids finish packing."
00:17:57.458,00:17:58.583,Go on. Come on.
00:18:00.750,00:18:03.250,"Kate, I need you to promise me something."
00:18:03.333,00:18:09.083,"In case anything happens to me in the next few days, just make sure the kids make it out to Barstow. Okay?"
00:18:09.708,00:18:11.958,What do you mean? What could happen?
00:18:15.125,00:18:16.375,"You know her, don't you?"
00:18:18.833,00:18:20.041,The coyote.
00:18:20.666,00:18:23.583,"Geeta, that is not an option."
00:18:26.333,00:18:28.250,"crack a slot machine, slip back out."
00:18:28.333,00:18:30.250,"Before anyone even knows, you're gone."
00:18:31.416,00:18:35.500,"That money is our ticket out of here, or we'll be trapped in Barstow forever."
00:18:36.083,00:18:38.916,"Listen, these guards, they don't give a shit."
00:18:39.000,00:18:43.041,"But for five grand, I can buy my way out, me and my kids."
00:18:44.250,00:18:51.750,"I have to get the kids out by Friday, and I will do whatever it takes to protect my family."
00:18:51.833,00:18:56.041,"Geeta, people that go in there, they don't always come back."
00:18:56.125,00:18:57.208,Just forget it.
00:18:57.291,00:19:00.208,"-Hey, wait, wait, wait, Geeta, come on. -Just let it go, okay?"
00:19:03.208,00:19:04.791,"Everything okay here, ladies?"
00:19:06.541,00:19:08.750,"What, you don't have anything better to do?"
00:19:08.833,00:19:12.791,"Kate… -The fuck you say to me, volunteer? -She didn't say anything."
00:19:15.083,00:19:18.875,Shut the fuck up! Shut the fuck up!
00:19:18.958,00:19:19.791,Okay.
00:19:20.333,00:19:22.875,What? Were you saying something to me?
00:19:25.916,00:19:27.666,"No, I didn't say anything."
00:19:32.208,00:19:38.416,"You know, the first sign of infection is belligerence and actions outside of social norms."
00:19:45.458,00:19:48.000,Look at me and hold still.
00:19:58.208,00:19:59.041,Clear.
00:20:01.125,00:20:03.500,employee shuttles leave in five minutes.
00:20:04.166,00:20:05.333,Your turn.
00:20:06.750,00:20:10.958,"If you want, I could use my rectal thermometer."
00:20:26.166,00:20:28.125,You're down a couple of decimal points.
00:20:28.708,00:20:30.333,You sure you're feeling all right?
00:20:30.916,00:20:33.625,-You sure you're not infected? -I… I'm fine.
00:20:33.708,00:20:36.708,I'm fine. I'm… I feel fine.
00:20:39.875,00:20:45.125,"Well, you're both within the margin of error, but watch it."
00:20:48.083,00:20:50.291,"You better be on that bus, volunteer."
00:20:53.250,00:20:54.125,Asshole.
00:20:55.166,00:20:56.625,What were you thinking?
00:20:56.708,00:20:59.833,Do you know how easy it would be for him to make you disappear?
00:20:59.916,00:21:04.833,"All he has to say is that you dropped a degree, and nobody would question it, nobody."
00:21:05.458,00:21:06.708,"-I know, I'm… -You know?"
00:21:06.791,00:21:11.541,"I just… He… Look, it doesn't matter."
00:21:13.750,00:21:17.791,I need you to promise me that you're not gonna do anything stupid.
00:21:18.500,00:21:21.833,"Geeta, it's… it's not worth the risk."
00:21:23.041,00:21:24.375,"No, you're right."
00:21:25.166,00:21:26.125,I won't.
00:21:27.083,00:21:28.500,I promise. Okay?
00:21:29.791,00:21:30.750,Thanks.
00:23:59.750,00:24:00.583,Yes?
