start,end,script
00:00:27.653,00:00:31.782,I'll be back in 20 minutes.
00:00:31.824,00:00:34.409,It's tulip season today.
00:00:34.451,00:00:37.621,"And I'm, oh, so happy."
00:00:39.957,00:00:42.584,Son of a bitch.
00:00:44.211,00:00:47.214,"Come on, sweetie."
00:00:47.255,00:00:49.550,Excuse me.
00:00:51.343,00:00:55.222,"Yes, come on."
00:00:55.263,00:00:57.641,"Come on, sweetie."
00:00:57.683,00:01:03.355,"Let's go for a little ride, then you can whiz all over the city."
00:01:03.397,00:01:07.609,"Come on, go for a ride."
00:01:07.651,00:01:10.946,No! Freeze! Freeze!
00:01:10.988,00:01:13.281,Leg down! Leg down!
00:01:13.323,00:01:17.494,That's it. That's it.
00:01:17.536,00:01:20.664,"Come on. Come on, now."
00:01:20.706,00:01:23.834,No! You monkey-eared son of a...
00:01:23.876,00:01:28.756,You have pissed your last floor.
00:01:28.797,00:01:32.175,I'll bet you wish you were a real...
00:01:33.886,00:01:38.724,"Oh, you..."
00:01:38.766,00:01:42.644,This is New York.
00:01:42.686,00:01:44.855,"You relentless, smelly, little..."
00:01:52.780,00:01:55.074,SIMON: Verdell?
00:01:55.198,00:01:58.201,Verdell? Verdell?
00:01:59.536,00:02:03.749,Where's my good doggie?
00:02:03.791,00:02:07.461,"Come here, sweetheart."
00:02:07.502,00:02:09.922,Mr. Udall?
00:02:12.215,00:02:16.637,Have you seen Verdell?
00:02:18.764,00:02:23.310,"Uh, my dog. You know, my..."
00:02:23.351,00:02:26.021,My dog with the little face.
00:02:26.063,00:02:29.608,Don't you know what it looks like?
00:02:29.650,00:02:32.402,"Oh, I got it. You were talking about your dog."
00:02:32.444,00:02:37.825,I thought it was the name of that colored man I've been seeing in the halls.
00:02:37.866,00:02:39.660,Which color was that?
00:02:39.701,00:02:44.039,"Uh, like thick molasses with a broad nose."
00:02:44.081,00:02:45.707,Perfect for smelling-- Frank!
00:02:45.749,00:02:47.668,FRANK: Just a second.
00:02:47.709,00:02:49.711,Frank.
00:02:49.753,00:02:51.463,"Simon, you have got to get dressed."
00:02:51.505,00:02:54.382,Frank Sachs. Melvin Udall.
00:02:54.424,00:02:59.429,"Frank shows my work, Mr. Udall. I think-- I think you know that."
00:02:59.471,00:03:00.722,Please.
00:02:59.471,00:03:03.851,"What I know is, as long as you keep your work zipped up..."
00:03:03.892,00:03:06.979,I don't give a rat crap what or where you shove your show.
00:03:07.021,00:03:10.315,Are we done being neighbors for now?
00:03:14.862,00:03:17.072,Let me talk to you-- No! No! No! Not worth it.
00:03:17.114,00:03:21.660,Definitely not worth it.
00:03:21.702,00:03:22.911,Okay.
00:03:24.496,00:03:28.000,Hope you find him.
00:03:28.042,00:03:32.379,"You don't love anything, Mr. Udall."
00:03:47.477,00:03:50.313,Hmm. Hmm. Hmm.
00:03:51.523,00:03:56.070,"One, two, three, four, five."
00:03:56.111,00:04:00.074,"One, two, three, four, five."
00:04:00.115,00:04:03.118,"One, two, three, four, five."
00:04:03.160,00:04:05.328,Okay.
00:04:23.764,00:04:27.142,Hot.
00:04:44.785,00:04:46.703,"Hi, Carl."
00:04:46.745,00:04:48.371,So where is he?
00:04:48.413,00:04:50.624,Take it easy. He just had a thing with the dog.
00:04:50.665,00:04:52.626,"First, it's not just a hot-looking dog."
00:04:52.667,00:04:54.502,He's adorable.
00:04:54.544,00:04:59.007,Where you going? He's not the only one who's working.
00:04:59.049,00:05:02.844,My honey. Where have you been?
00:05:02.886,00:05:07.390,"Oh, look at my boy."
00:05:11.270,00:05:15.523,"Yeah, I found him, Mr. Bishop."
00:05:15.565,00:05:18.152,Where was my little baby?
00:05:18.193,00:05:22.530,In the basement garbage bin eating diaper shit.
00:05:25.951,00:05:27.995,"Go ahead, John."
00:05:28.036,00:05:31.165,"Sorry, it just struck me as funny."
00:05:31.206,00:05:33.041,"SIMON: Oh, uh, wait."
00:05:33.083,00:05:36.837,How did he get down in the basement?
00:05:36.878,00:05:39.798,"I mean, even if he got in the elevator..."
00:05:39.840,00:05:44.427,Maybe some nice neighbor shoved him down the garbage chute.
00:05:46.721,00:05:52.727,"MELVIN: Somewhere in the dark, she had confessed and he had forgiven."
00:05:52.769,00:05:55.856,"This is what you live for, he said."
00:05:55.897,00:05:59.776,Two heads on a pillow where all is approval.
00:05:59.818,00:06:04.698,And there is only the safety of being with each other.
00:06:04.739,00:06:08.827,"How, she wondered, could she find such hope in the most shameful part of her?"
00:06:10.662,00:06:13.248,SIMON: Mr. Udall!
00:06:10.662,00:06:16.459,"At last, she was able to define love."
00:06:16.459,00:06:18.962,Love was...
00:06:19.004,00:06:24.634,"Mr. Udall, I'd like to speak to you, please."
00:06:24.676,00:06:26.469,Love was...
00:06:26.469,00:06:27.804,SIMON: Are you in there?
00:06:27.846,00:06:30.224,Son of a bitch!
00:06:30.265,00:06:32.642,Pansy-assed stool-pusher!
00:06:32.684,00:06:35.478,Yes?
00:06:35.478,00:06:37.814,Maybe this can wait.
00:06:37.856,00:06:42.485,"I... I found Verdell, Mr. Udall."
00:06:46.865,00:06:51.286,"Well, that's a load off."
00:06:51.328,00:06:55.498,Uh-huh. Did you-- Did you do something to him?
00:06:55.540,00:07:01.504,Do you realize I work at home?
00:07:01.546,00:07:06.676,Do you like being interrupted when playing in your garden?
00:07:09.137,00:07:13.183,"No, I... I actually will turn the ringer off on my phone."
00:07:13.225,00:07:17.812,And sometimes I put a piece of cardboard-- I work all the time.
00:07:17.854,00:07:22.525,"So never, never interrupt me. Okay?"
00:07:22.525,00:07:27.030,Not if there's a fire.
00:07:22.525,00:07:37.582,"Not even if you hear the sound of a thud from my home, one week later there's a smell coming from there that can only be a decaying human body and you have to hold a hanky to your face because the stench is so thick you think you're gonna faint."
00:07:37.624,00:07:41.295,"Even then, don't come knocking."
00:07:41.336,00:07:53.056,Or if it's election night and you're excited and you wanna celebrate because some fudge-packer that you date has been elected the first queer president of the United States.
00:07:53.098,00:07:58.103,And he's going to have you down to Camp David...
00:07:58.145,00:08:02.357,and you want someone to share the moment with.
00:08:02.399,00:08:08.071,"Even then, don't knock."
00:08:08.113,00:08:11.658,Not for any reason.
00:08:11.699,00:08:16.788,"Do you get me, sweetheart?"
00:08:16.830,00:08:23.003,Yes. It's not a subtle point that you're making.
00:08:23.044,00:08:26.006,"Okay, then."
00:08:38.810,00:08:43.106,So the theory of confrontations is now he'll think twice before messing with me.
00:08:48.653,00:08:50.613,All right.
00:08:52.615,00:08:54.117,Love was...
00:08:58.246,00:09:01.416,What was love?
00:09:01.458,00:09:04.127,Love was...
00:09:08.631,00:09:13.345,"Oh, now I'm pissed."
00:09:13.387,00:09:15.180,Don't touch!
00:09:15.222,00:09:16.931,Don't touch!
00:09:16.973,00:09:21.936,"Shut up! You think you can intimidate the world, but you don't intimidate me."
00:09:21.978,00:09:25.940,I grew up in hell.
00:09:25.982,00:09:29.444,Police!
