start,end,script
00:02:27.166,00:02:28.625,SON OF A BITCH.
00:02:28.667,00:02:31.417,"WHEN I FIRST SAW YOU, I WASN'T SCARED."
00:02:31.458,00:02:34.875,I WAS JUST WONDERING WHY YOU WERE WEARING THOSE BOOTS.
00:02:34.917,00:02:36.417,NOW I KNOW.
00:02:45.208,00:02:47.959,"AHH, SHIT."
00:02:48.000,00:02:50.000,HA HA HA.
00:03:11.625,00:03:14.875,"WE'VE BOTH PLAYED THIS GAME, RATH."
00:03:14.917,00:03:18.917,WHAT KIND OF SHOES WILL YOU BE WEARING WHEN YOUR DAY COMES?
00:03:20.583,00:03:23.000,"WHATEVER THE CONTRACT IS, I'LL DOUBLE IT."
00:03:23.041,00:03:25.000,JUST SAY YOU COULDN'T FIND ME.
00:03:28.667,00:03:30.583,LISTEN TO ME.
00:03:30.625,00:03:33.125,I'M TALKING LIKE A MARK.
00:03:46.834,00:03:48.750,"OH, GOD."
00:03:48.792,00:03:49.792,NOT YET.
00:03:51.125,00:03:55.417,"CHRIST, I'VE KILLED A FEW INNOCENTS IN MY TIME."
00:03:55.458,00:03:58.709,"YOU'RE SO HIGH AND MIGHTY, YOU AND YOUR PRINCIPLES."
00:03:58.750,00:04:02.250,SOMEONE HAD TO DO THE JOBS YOU WOULDN'T DO.
00:04:05.291,00:04:08.166,I CAN'T DIE LIKE THIS.
00:04:08.208,00:04:12.333,"I'M NOT A MARK, NOT LIKE A MARK."
00:04:30.667,00:04:32.208,IT'S CHAMBERED.
00:04:39.667,00:04:41.166,"THANKS, RATH."
00:04:47.667,00:04:49.166,"GOODBYE, OLD FRIEND."
00:05:01.500,00:05:02.625,UHH.
00:07:36.667,00:07:39.125,I DON'T CARE WHAT YOU BELIEVE.
00:07:39.166,00:07:40.625,I'VE HAD IT.
00:07:40.667,00:07:42.792,I WANT OUT.
00:07:46.917,00:07:49.917,"GO AWAY, YOU SON OF A BITCH."
00:07:59.917,00:08:01.417,YOU SHOULD BE.
00:09:10.458,00:09:13.375,"THERE'S AN ARMY OF PRESS, POLICE, AND PRIVATE SECURITY."
00:09:13.417,00:09:19.834,"THE ATTENTION IS NOT FOR THE MAN BEING LAID TO REST, BUT RATHER FOR ONE OF THE MOURNERS."
00:09:19.875,00:09:27.750,"WE'RE JUST WITNESSING THE ARRIVAL OF RECLUSE BILLIONAIRE ALAN BRANCH, HERE ATTENDING THE FUNERAL OF HIS BROTHER SAMUEL BRANCH, WHO DIED IN AN AUTOMOBILE ACCIDENT."
00:09:27.792,00:09:31.250,ALAN BRANCH WAS LAST SEEN TESTIFYING BEFORE A SENATE HEARING 10 YEARS AGO.
00:09:31.291,00:09:37.667,"AT THAT TIME, HE WAS QUESTIONED FOR HIS ALLEGED FINANCING OF RIGHT-WING DEATH SQUADS THROUGHOUT SOUTH AND CENTRAL AMERICA."
00:09:37.709,00:09:40.166,"BRANCH WAS BORN IN QUEENS, NEW YORK."
00:09:40.208,00:09:44.792,"AS YOU SEE FROM THE WHEELCHAIR, HE'S THE VICTIM OF A HIT MAN'S BULLET."
00:09:44.834,00:09:55.959,"10 YEARS AGO, ALAN BRANCH WAS BROUGHT BEFORE SENATE HEARINGS IN WASHINGTON, WHERE HE WAS QUESTIONED ABOUT HIS ALLEGED INVOLVEMENT IN MONEY LAUNDERING, DRUG TRAFFICKING, AND RIGHT-WING DEATH SQUAD FINANCING."
00:10:51.583,00:10:53.041,LET US PRAY.
00:10:53.083,00:11:01.333,"LORD JESUS CHRIST, BY THE THREE DAYS YOU LAY IN THE TOMB, YOU MADE HOLY THE GRAVES OF ALL WHO BELIEVE IN YOU."
00:11:01.375,00:11:06.125,"THOUGH THEY LIE IN THE EARTH, THEY TRUST THAT THEY, LIKE YOU, WILL RISE."
00:11:06.166,00:11:15.709,"BLESS THIS GRAVE, O LORD, AND GIVE SAMUEL PEACEFUL REST UNTIL THE DAY THE RESURRECTION AND THE LIGHT WILL RAISE HIM UP TO GLORY."
00:11:15.750,00:11:21.000,"MAY SAMUEL SEE THE LIGHT OF HIS PRESENCE, LORD JESUS, IN THE KINGDOM WHERE YOU LIVE FOREVER."
00:11:21.041,00:11:22.250,AMEN.
00:11:22.291,00:11:27.500,"AS GOD HAS CALLED ON BROTHER SAMUEL TO-- OH, MY GOD."
00:11:27.542,00:11:28.625,MY GOD.
00:11:28.667,00:11:29.625,AAH!
00:11:29.667,00:11:30.834,HE'S BEEN SHOT.
00:11:30.875,00:11:40.250,SON OF A-- LEAN HIM THIS WAY.
00:11:40.291,00:11:41.959,I CAN'T.
00:11:42.000,00:11:44.500,GET IN AROUND THOSE TREES.
00:11:45.500,00:11:47.000,"OH, MY GOD."
00:11:51.125,00:11:52.458,UHH.
00:12:19.000,00:12:21.083,"COME ON, YOU LITTLE BASTARD."
00:12:21.125,00:12:22.083,BE BRAVE.
00:12:22.125,00:12:23.917,RUN FOR IT.
00:12:29.375,00:12:31.166,OOH-UH-OH-OH.
00:12:35.500,00:12:37.458,AY-YI-YI-YI-YI.
00:12:40.208,00:12:41.792,PUT IT DOWN!
00:12:41.834,00:12:43.291,PUT IT DOWN!
00:12:43.333,00:12:44.583,FUCK.
00:12:44.625,00:12:46.500,THROW THE GUN AWAY!
00:12:46.542,00:12:48.750,ON THE GROUND!
00:12:48.792,00:12:49.750,FACE DOWN!
00:12:49.792,00:12:50.917,ALL RIGHT.
00:12:50.959,00:12:52.417,ALL RIGHT. ALL RIGHT.
00:12:52.458,00:12:54.458,THROW THE GUN AWAY!
00:12:54.500,00:12:56.458,GET DOWN AND DON'T MOVE!
00:12:56.500,00:12:57.625,DON'T MOVE!
00:12:57.667,00:12:58.959,DON'T MOVE!
00:12:59.000,00:13:01.458,HANDS BEHIND YOUR BACK.
00:13:01.500,00:13:03.417,WHAT THE HELL'S HE DOING?
00:13:03.458,00:13:05.375,SHUT UP!
00:13:05.417,00:13:06.875,GIVE ME YOUR HAND.
00:13:06.917,00:13:08.375,CHECK HIM FOR MORE WEAPONS.
00:13:08.417,00:13:09.959,WHERE IS IT?
00:13:10.000,00:13:11.000,MY POCKET.
00:13:11.041,00:13:12.000,DON'T WORRY.
00:13:12.041,00:13:13.542,I'M NOT WORRIED.
00:13:13.583,00:13:15.041,HERE.
00:13:15.083,00:13:16.667,GET UP. GET UP!
