start,end,script
00:00:15.166,00:00:17.583,BOY: Listen.
00:00:19.917,00:00:22.041,Can you hear it?
00:00:24.250,00:00:26.166,The music?
00:00:29.333,00:00:33.959,I can hear it everywhere.
00:00:34.000,00:00:35.750,In the wind...
00:00:37.667,00:00:40.083,...in the air...
00:00:40.125,00:00:43.208,in the light.
00:00:49.000,00:00:51.291,It's all around us.
00:01:00.625,00:01:05.125,All you have to do is open yourself up.
00:01:14.834,00:01:17.917,All you have to do...
00:01:17.959,00:01:19.917,is listen.
00:02:09.333,00:02:10.709,"Hello, Porky."
00:02:12.542,00:02:13.959,Where's your little friend?
00:02:14.083,00:02:15.500,"I-I don't know, Mr. Mannix."
00:02:15.542,00:02:17.291,"Okay, well go find him, or your big butt's mine."
00:02:17.333,00:02:19.625,BOY: Where I've grown up...
00:02:19.667,00:02:21.500,Evan!
00:02:22.458,00:02:24.417,Evan!
00:02:24.458,00:02:28.834,...they try to stop me from hearing the music.
00:02:31.500,00:02:35.083,But when I'm alone...
00:02:35.083,00:02:38.625,it builds up from inside me.
00:02:38.667,00:02:43.333,And I think if I could learn how to play it...
00:02:46.542,00:02:49.250,...they might hear me.
00:02:52.083,00:02:55.458,They would know I was theirs...
00:02:55.500,00:02:57.542,and find me.
00:02:58.667,00:03:01.500,Knock-knock.
00:03:01.542,00:03:04.291,Knock-knock.
00:03:04.333,00:03:07.125,Wake up.
00:03:07.166,00:03:09.375,Freak.
00:03:09.417,00:03:12.583,Freak.
00:03:12.625,00:03:15.083,"I said, knock-knock, freak."
00:03:15.083,00:03:16.083,Who's there?
00:03:16.125,00:03:19.083,Your long lost mommy and daddy.
00:03:19.125,00:03:21.542,Can you hear them?
00:03:21.583,00:03:24.500,Yes.
00:03:29.083,00:03:31.208,"No, you can't."
00:03:31.250,00:03:33.583,I can.
00:03:37.458,00:03:40.917,You don't have no family.
00:03:40.959,00:03:44.125,You can't hear anything.
00:03:44.166,00:03:45.792,Say it.
00:03:47.500,00:03:49.417,Say it.
00:03:49.458,00:03:51.667,Say it!
00:03:51.709,00:03:55.166,Say it! Say it!
00:03:55.208,00:03:57.250,Yes...
00:03:57.291,00:03:59.083,I can.
00:04:00.208,00:04:03.250,He doesn't hear anything.
00:04:03.291,00:04:04.625,Yeah.
00:04:06.125,00:04:07.917,What is he?
00:04:07.959,00:04:11.333,He's a freak.
00:04:13.542,00:04:16.709,"Sweet dreams, freaks."
00:04:24.417,00:04:27.875,EVAN: Sometimes the world tries to knock it out of you.
00:04:32.291,00:04:37.083,But I believe in music the way that some people believe in fairy tales.
00:04:48.542,00:04:54.792,I like to imagine that what I hear came from my mother and father.
00:05:13.083,00:05:16.667,EVAN: Maybe the notes I hear are the same ones they heard...
00:05:16.709,00:05:21.458,the night they met.
00:05:21.500,00:05:23.834,Maybe that's how they found each other.
00:05:26.542,00:05:30.166,Maybe that's how they'll find me.
00:05:30.208,00:05:32.291,Louis?
00:05:32.333,00:05:34.458,"Louie, where are you?"
00:05:34.500,00:05:36.333,Lyla? She's here.
00:05:36.375,00:05:37.333,What are you doing?
00:05:37.375,00:05:38.500,They're waiting for us.
00:05:38.542,00:05:40.458,"Hey, sit up straight, please."
00:05:40.500,00:05:41.875,"Where are you, baby bro?"
00:05:41.917,00:05:46.583,"We didn't follow you from San Francisco to play for free, man, yeah?"
00:05:46.625,00:05:48.500,"We need this one, baby bro, all right?"
00:05:48.542,00:05:50.083,I need this one.
00:05:50.125,00:05:52.500,"Don't forget to smile, and look relaxed."
00:05:54.125,00:05:55.166,"All right, not that relaxed."
00:05:55.208,00:05:56.583,"Come on, come on."
00:05:58.834,00:06:04.583,"EVAN: I believe that once upon a time, long ago..."
00:06:04.625,00:06:06.667,they heard the music...
00:06:06.709,00:06:09.917,and followed it.
00:09:01.166,00:09:03.542,"Not bad, Connelly."
00:09:03.583,00:09:05.417,Not bad.
00:09:05.458,00:09:07.125,Where's the main man?
00:09:07.166,00:09:10.291,"Goddamn it, Louis."
00:09:10.333,00:09:12.542,Louis!
00:09:12.583,00:09:14.834,"Louis, wait up, man."
00:09:18.250,00:09:19.709,"So, girls..."
00:09:19.750,00:09:22.083,we are going to a party tonight.
00:09:22.083,00:09:24.542,"It's a full moon, you know what that means, right?"
00:09:36.417,00:09:38.834,Lyla!
00:10:21.208,00:10:23.875,"It's a great sound, isn't it?"
00:10:25.834,00:10:28.542,What are you doing?
00:10:28.583,00:10:30.375,Listening.
00:10:31.959,00:10:34.417,What are you doing?
00:10:36.834,00:10:40.291,"I... I just came up here to, um..."
00:10:40.333,00:10:41.750,Get away?
00:10:45.333,00:10:48.375,Have a seat.
00:10:48.417,00:10:50.250,Come on.
00:10:50.291,00:10:51.667,Be brave.
00:10:51.709,00:10:54.792,Front row center.
00:11:19.083,00:11:21.166,Can you hear that?
00:11:21.208,00:11:23.583,What is that?
00:11:23.625,00:11:25.917,It's a wish.
00:11:34.625,00:11:36.875,And what does that sound like?
00:11:57.083,00:12:02.917,"When I was a young fella, I used to talk to the moon."
00:12:02.959,00:12:05.875,Are you making that up?
00:12:07.792,00:12:10.250,"God, I haven't done that in a long time."
00:12:12.709,00:12:15.917,Does it ever talk back?
00:12:15.959,00:12:20.417,"Well, he used to."
00:12:20.458,00:12:24.750,Now I just find myself on a roof talking to myself.
00:12:24.792,00:12:28.583,Like a loon.
00:12:28.625,00:12:31.583,Just...
00:12:31.625,00:12:34.500,out here on my own.
00:12:34.542,00:12:39.375,"Well, I'm here."
00:12:39.417,00:12:43.291,"Yes, you are."
00:12:51.458,00:12:53.125,I'm Louis.
00:12:55.583,00:12:57.625,Lyla.
00:12:57.667,00:12:59.875,"So what's your story, Lyla?"
00:12:59.917,00:13:04.917,I don't know.
00:13:07.500,00:13:09.500,I'm just me.
00:13:16.625,00:13:19.125,What are you looking at?
00:13:19.166,00:13:22.083,You.
00:14:17.083,00:14:19.250,MAN: Next.
00:14:20.583,00:14:23.166,What did he want?
00:14:23.208,00:14:26.083,You know-- same old junk.
00:14:26.083,00:14:28.667,MAN: My name is Mr. Jefferies.
00:14:28.709,00:14:33.750,I'm with Child Services for the State of New York.
00:14:33.792,00:14:35.792,"Okay, Evan..."
00:14:35.834,00:14:42.625,"Born December 17, 1995..."
00:14:39.208,00:14:45.375,legal adoption to New York Children's...
00:14:48.625,00:14:50.625,"How long have you been here, Evan?"
00:14:50.667,00:14:53.083,Eleven years and 16 days.
00:14:54.625,00:14:56.542,I've been counting.
00:14:56.583,00:14:59.458,That's a long time.
00:14:59.500,00:15:01.333,How do you do that?
00:15:01.375,00:15:02.959,Do what?
